SampleID,Plate,Date,avg_copies_per_g_sample,avg_std,C_material,Sample_source,Week,HRT,Gene
CC-1-6W,1,28-Feb-25,247290211.5695816,26995969.320419703,corncob,water,6,8,16S
CC-1-6W,1,28-Feb-25,247290211.5695816,26995969.320419703,corncob,water,6,8,16S
CC-1-6W,1,28-Feb-25,247290211.5695816,26995969.320419703,corncob,water,6,8,16S
CC-2-9W,1,28-Feb-25,83192718.61138818,13034873.180511149,corncob,water,9,8,16S
CC-2-9W,1,28-Feb-25,83192718.61138818,13034873.180511149,corncob,water,9,8,16S
CC-2-9W,1,28-Feb-25,83192718.61138818,13034873.180511149,corncob,water,9,8,16S
CC-3-12W,1,28-Feb-25,69207403.785856,3061729.9211630817,corncob,water,12,8,16S
CC-3-12W,1,28-Feb-25,69207403.785856,3061729.9211630817,corncob,water,12,8,16S
CC-3-12W,1,28-Feb-25,69207403.785856,3061729.9211630817,corncob,water,12,8,16S
CC-2-6W,1,28-Feb-25,163038142.14332044,4451321.18548769,corncob,water,6,8,16S
CC-2-6W,1,28-Feb-25,163038142.14332044,4451321.18548769,corncob,water,6,8,16S
CC-2-6W,1,28-Feb-25,163038142.14332044,4451321.18548769,corncob,water,6,8,16S
CC-3-9W,1,28-Feb-25,141457874.86882243,9016108.399855511,corncob,water,9,8,16S
CC-3-9W,1,28-Feb-25,141457874.86882243,9016108.399855511,corncob,water,9,8,16S
CC-3-9W,1,28-Feb-25,141457874.86882243,9016108.399855511,corncob,water,9,8,16S
WC-4-12W,1,28-Feb-25,46949723.78287599,19451435.321992315,woodchip,water,12,8,16S
WC-4-12W,1,28-Feb-25,46949723.78287599,19451435.321992315,woodchip,water,12,8,16S
WC-4-12W,1,28-Feb-25,46949723.78287599,19451435.321992315,woodchip,water,12,8,16S
CC-3-6W,1,28-Feb-25,204202589.0786135,4557151.028310914,corncob,water,6,8,16S
CC-3-6W,1,28-Feb-25,204202589.0786135,4557151.028310914,corncob,water,6,8,16S
CC-3-6W,1,28-Feb-25,204202589.0786135,4557151.028310914,corncob,water,6,8,16S
WC-4-9W,1,28-Feb-25,34443133.28326717,6001664.985925793,woodchip,water,9,8,16S
WC-4-9W,1,28-Feb-25,34443133.28326717,6001664.985925793,woodchip,water,9,8,16S
WC-4-9W,1,28-Feb-25,34443133.28326717,6001664.985925793,woodchip,water,9,8,16S
WC-5-12W,1,28-Feb-25,38161445.830120936,13838523.887636362,woodchip,water,12,8,16S
WC-5-12W,1,28-Feb-25,38161445.830120936,13838523.887636362,woodchip,water,12,8,16S
WC-5-12W,1,28-Feb-25,38161445.830120936,13838523.887636362,woodchip,water,12,8,16S
WC-4-6W,1,28-Feb-25,34213310.81588862,2135487.1026520347,woodchip,water,6,8,16S
