SampleID,Plate,Date,avg_copies_per_g_sample,avg_std,C_material,Sample_source,Week,HRT,Gene
CC-1-20,1,9-Jul-24,4483138.698336124,907039.5411964558,corncob,media,20.0,8,16S
CC-1-20,1,9-Jul-24,4483138.698336124,907039.5411964558,corncob,media,20.0,8,16S
CC-1-20,1,9-Jul-24,4483138.698336124,907039.5411964558,corncob,media,20.0,8,16S
CC-3-21,1,9-Jul-24,2650099.144552355,478043.8024384087,corncob,media,21.0,16,16S
CC-3-21,1,9-Jul-24,2650099.144552355,478043.8024384087,corncob,media,21.0,16,16S
CC-3-21,1,9-Jul-24,2650099.144552355,478043.8024384087,corncob,media,21.0,16,16S
CC-2-25,1,9-Jul-24,3088352.076177381,2815228.192292413,corncob,media,25.0,16,16S
CC-2-25,1,9-Jul-24,3088352.076177381,2815228.192292413,corncob,media,25.0,16,16S
CC-2-25,1,9-Jul-24,3088352.076177381,2815228.192292413,corncob,media,25.0,16,16S
CC-2-20,1,9-Jul-24,2462775.081702448,222986.3979852327,corncob,media,20.0,8,16S
CC-2-20,1,9-Jul-24,2462775.081702448,222986.3979852327,corncob,media,20.0,8,16S
CC-2-20,1,9-Jul-24,2462775.081702448,222986.3979852327,corncob,media,20.0,8,16S
WC-4-21,1,9-Jul-24,2587723.043720719,155995.6369836162,woodchip,media,21.0,16,16S
WC-4-21,1,9-Jul-24,2587723.043720719,155995.6369836162,woodchip,media,21.0,16,16S
WC-4-21,1,9-Jul-24,2587723.043720719,155995.6369836162,woodchip,media,21.0,16,16S
CC-3-25,1,9-Jul-24,5121784.291444224,237818.75841798104,corncob,media,25.0,16,16S
CC-3-25,1,9-Jul-24,5121784.291444224,237818.75841798104,corncob,media,25.0,16,16S
CC-3-25,1,9-Jul-24,5121784.291444224,237818.75841798104,corncob,media,25.0,16,16S
CC-3-20,1,9-Jul-24,6477686.55458652,449697.527639801,corncob,media,20.0,8,16S
CC-3-20,1,9-Jul-24,6477686.55458652,449697.527639801,corncob,media,20.0,8,16S
