SampleID,Plate,Date,avg_copies_per_g_sample,avg_std,C_material,Sample_source,Week,HRT,Gene
CC-1-7W,1,25-Feb-25,3315850.40750465,61945.900149717614,corncob,water,7.0,8,nirK
CC-1-7W,1,25-Feb-25,3315850.40750465,61945.900149717614,corncob,water,7.0,8,nirK
CC-1-7W,1,25-Feb-25,3315850.40750465,61945.900149717614,corncob,water,7.0,8,nirK
CC-2-8W,1,25-Feb-25,875123.8517775132,84610.28139382327,corncob,water,8.0,8,nirK
CC-2-8W,1,25-Feb-25,875123.8517775132,84610.28139382327,corncob,water,8.0,8,nirK
CC-2-8W,1,25-Feb-25,875123.8517775132,84610.28139382327,corncob,water,8.0,8,nirK
CC-3-10W,1,25-Feb-25,7457780.868790525,315052.83335043787,corncob,water,10.0,8,nirK
CC-3-10W,1,25-Feb-25,7457780.868790525,315052.83335043787,corncob,water,10.0,8,nirK
CC-3-10W,1,25-Feb-25,7457780.868790525,315052.83335043787,corncob,water,10.0,8,nirK
CC-2-7W,1,25-Feb-25,2859777.975070711,186316.05680974663,corncob,water,7.0,8,nirK
CC-2-7W,1,25-Feb-25,2859777.975070711,186316.05680974663,corncob,water,7.0,8,nirK
CC-2-7W,1,25-Feb-25,2859777.975070711,186316.05680974663,corncob,water,7.0,8,nirK
CC-3-8W,1,25-Feb-25,3526700.450049296,400823.8370364538,corncob,water,8.0,8,nirK
CC-3-8W,1,25-Feb-25,3526700.450049296,400823.8370364538,corncob,water,8.0,8,nirK
CC-3-8W,1,25-Feb-25,3526700.450049296,400823.8370364538,corncob,water,8.0,8,nirK
WC-4-10W,1,25-Feb-25,4124287.044428122,279468.3927082865,woodchip,water,10.0,8,nirK
WC-4-10W,1,25-Feb-25,4124287.044428122,279468.3927082865,woodchip,water,10.0,8,nirK
WC-4-10W,1,25-Feb-25,4124287.044428122,279468.3927082865,woodchip,water,10.0,8,nirK
CC-3-7W,1,25-Feb-25,3657556.348801129,997115.7727262524,corncob,water,7.0,8,nirK
CC-3-7W,1,25-Feb-25,3657556.348801129,997115.7727262524,corncob,water,7.0,8,nirK
CC-3-7W,1,25-Feb-25,3657556.348801129,997115.7727262524,corncob,water,7.0,8,nirK
BLANK,1,25-Feb-25,,,,media,,,nirK
BLANK,1,25-Feb-25,,,,media,,,nirK
BLANK,1,25-Feb-25,,,,media,,,nirK
WC-5-10W,1,25-Feb-25,8578495.813083554,4895134.23331007,woodchip,water,10.0,8,nirK
WC-5-10W,1,25-Feb-25,8578495.813083554,4895134.23331007,woodchip,water,10.0,8,nirK
WC-5-10W,1,25-Feb-25,8578495.813083554,4895134.23331007,woodchip,water,10.0,8,nirK
WC-4-7W,1,25-Feb-25,2785003.8696687333,87544.96636099435,woodchip,water,7.0,8,nirK
WC-4-7W,1,25-Feb-25,2785003.8696687333,87544.96636099435,woodchip,water,7.0,8,nirK
WC-4-7W,1,25-Feb-25,2785003.8696687333,87544.96636099435,woodchip,water,7.0,8,nirK
WC-4-8W,1,25-Feb-25,4403952.24979119,317027.50814562384,woodchip,water,8.0,8,nirK
WC-4-8W,1,25-Feb-25,4403952.24979119,317027.50814562384,woodchip,water,8.0,8,nirK
WC-4-8W,1,25-Feb-25,4403952.24979119,317027.50814562384,woodchip,water,8.0,8,nirK
WC-6-10W,1,25-Feb-25,7316881.981693114,168245.18432553305,woodchip,water,10.0,8,nirK
WC-6-10W,1,25-Feb-25,7316881.981693114,168245.18432553305,woodchip,water,10.0,8,nirK
WC-6-10W,1,25-Feb-25,7316881.981693114,168245.18432553305,woodchip,water,10.0,8,nirK
WC-5-7W,1,25-Feb-25,2289614.3172618933,125101.78282709638,woodchip,water,7.0,8,nirK
WC-5-7W,1,25-Feb-25,2289614.3172618933,125101.78282709638,woodchip,water,7.0,8,nirK
WC-5-7W,1,25-Feb-25,2289614.3172618933,125101.78282709638,woodchip,water,7.0,8,nirK
WC-5-8W,1,25-Feb-25,2781860.6640715823,192659.08131508445,woodchip,water,8.0,8,nirK
WC-5-8W,1,25-Feb-25,2781860.6640715823,192659.08131508445,woodchip,water,8.0,8,nirK
WC-5-8W,1,25-Feb-25,2781860.6640715823,192659.08131508445,woodchip,water,8.0,8,nirK
INF10,1,25-Feb-25,1714201.985286967,152338.48616462873,influent,water,10.0,8,nirK
INF10,1,25-Feb-25,1714201.985286967,152338.48616462873,influent,water,10.0,8,nirK
INF10,1,25-Feb-25,1714201.985286967,152338.48616462873,influent,water,10.0,8,nirK
WC-6-7W,1,25-Feb-25,3312248.251563451,344184.25847443164,woodchip,water,7.0,8,nirK
WC-6-7W,1,25-Feb-25,3312248.251563451,344184.25847443164,woodchip,water,7.0,8,nirK
WC-6-7W,1,25-Feb-25,3312248.251563451,344184.25847443164,woodchip,water,7.0,8,nirK
WC-6-8W,1,25-Feb-25,3446799.027136428,69878.27870475224,woodchip,water,8.0,8,nirK
WC-6-8W,1,25-Feb-25,3446799.027136428,69878.27870475224,woodchip,water,8.0,8,nirK
WC-6-8W,1,25-Feb-25,3446799.027136428,69878.27870475224,woodchip,water,8.0,8,nirK
CC-1-11W,1,25-Feb-25,13709801.775597448,4003418.166544088,corncob,water,11.0,8,nirK
CC-1-11W,1,25-Feb-25,13709801.775597448,4003418.166544088,corncob,water,11.0,8,nirK
CC-1-11W,1,25-Feb-25,13709801.775597448,4003418.166544088,corncob,water,11.0,8,nirK
INF7,1,25-Feb-25,1335842.684600028,180619.09996837916,influent,water,7.0,8,nirK
INF7,1,25-Feb-25,1335842.684600028,180619.09996837916,influent,water,7.0,8,nirK
INF7,1,25-Feb-25,1335842.684600028,180619.09996837916,influent,water,7.0,8,nirK
CC-1-10W,1,25-Feb-25,11104655.237217868,660248.259226265,corncob,water,10.0,8,nirK
CC-1-10W,1,25-Feb-25,11104655.237217868,660248.259226265,corncob,water,10.0,8,nirK
CC-1-10W,1,25-Feb-25,11104655.237217868,660248.259226265,corncob,water,10.0,8,nirK
CC-2-11W,1,25-Feb-25,9122277.255005842,684342.0997310734,corncob,water,11.0,8,nirK
CC-2-11W,1,25-Feb-25,9122277.255005842,684342.0997310734,corncob,water,11.0,8,nirK
CC-2-11W,1,25-Feb-25,9122277.255005842,684342.0997310734,corncob,water,11.0,8,nirK
CC-1-8W,1,25-Feb-25,3749275.702385547,213852.7450837755,corncob,water,8.0,8,nirK
CC-1-8W,1,25-Feb-25,3749275.702385547,213852.7450837755,corncob,water,8.0,8,nirK
CC-1-8W,1,25-Feb-25,3749275.702385547,213852.7450837755,corncob,water,8.0,8,nirK
CC-2-10W,1,25-Feb-25,9188963.732343296,2242364.741293024,corncob,water,10.0,8,nirK
CC-2-10W,1,25-Feb-25,9188963.732343296,2242364.741293024,corncob,water,10.0,8,nirK
CC-2-10W,1,25-Feb-25,9188963.732343296,2242364.741293024,corncob,water,10.0,8,nirK
CC-3-11W,1,25-Feb-25,5982797.553398213,359898.2283897684,corncob,water,11.0,8,nirK
CC-3-11W,1,25-Feb-25,5982797.553398213,359898.2283897684,corncob,water,11.0,8,nirK
CC-3-11W,1,25-Feb-25,5982797.553398213,359898.2283897684,corncob,water,11.0,8,nirK
WC-4-11W,2,25-Feb-25,2106356.805119248,145890.31083071698,woodchip,water,11.0,8,nirK
WC-4-11W,2,25-Feb-25,2106356.805119248,145890.31083071698,woodchip,water,11.0,8,nirK
WC-4-11W,2,25-Feb-25,2106356.805119248,145890.31083071698,woodchip,water,11.0,8,nirK
WC-5-13W,2,25-Feb-25,2699331.7659771424,266290.31829853414,woodchip,water,13.0,8,nirK
WC-5-13W,2,25-Feb-25,2699331.7659771424,266290.31829853414,woodchip,water,13.0,8,nirK
WC-5-13W,2,25-Feb-25,2699331.7659771424,266290.31829853414,woodchip,water,13.0,8,nirK
WC-6-14W,2,25-Feb-25,2338167.460701475,285039.91302525,woodchip,water,14.0,8,nirK
WC-6-14W,2,25-Feb-25,2338167.460701475,285039.91302525,woodchip,water,14.0,8,nirK
WC-6-14W,2,25-Feb-25,2338167.460701475,285039.91302525,woodchip,water,14.0,8,nirK
WC-5-11W,2,25-Feb-25,1814298.0788937148,9478.806903906914,woodchip,water,11.0,8,nirK
WC-5-11W,2,25-Feb-25,1814298.0788937148,9478.806903906914,woodchip,water,11.0,8,nirK
WC-5-11W,2,25-Feb-25,1814298.0788937148,9478.806903906914,woodchip,water,11.0,8,nirK
WC-6-13W,2,25-Feb-25,2694659.391782789,227442.9548586588,woodchip,water,13.0,8,nirK
WC-6-13W,2,25-Feb-25,2694659.391782789,227442.9548586588,woodchip,water,13.0,8,nirK
WC-6-13W,2,25-Feb-25,2694659.391782789,227442.9548586588,woodchip,water,13.0,8,nirK
INF14,2,25-Feb-25,309833.1078341107,85570.38682865808,influent,water,14.0,8,nirK
INF14,2,25-Feb-25,309833.1078341107,85570.38682865808,influent,water,14.0,8,nirK
INF14,2,25-Feb-25,309833.1078341107,85570.38682865808,influent,water,14.0,8,nirK
WC-6-11W,2,25-Feb-25,2600094.624145061,29148.81023913934,woodchip,water,11.0,8,nirK
WC-6-11W,2,25-Feb-25,2600094.624145061,29148.81023913934,woodchip,water,11.0,8,nirK
WC-6-11W,2,25-Feb-25,2600094.624145061,29148.81023913934,woodchip,water,11.0,8,nirK
INF13,2,25-Feb-25,514651.90582022007,75821.63911371859,influent,water,13.0,8,nirK
INF13,2,25-Feb-25,514651.90582022007,75821.63911371859,influent,water,13.0,8,nirK
INF13,2,25-Feb-25,514651.90582022007,75821.63911371859,influent,water,13.0,8,nirK
CC-1-15W,2,25-Feb-25,12342855.007869847,1135460.243718807,corncob,water,15.0,8,nirK
CC-1-15W,2,25-Feb-25,12342855.007869847,1135460.243718807,corncob,water,15.0,8,nirK
CC-1-15W,2,25-Feb-25,12342855.007869847,1135460.243718807,corncob,water,15.0,8,nirK
INF11,2,25-Feb-25,120411.3358236972,5963.397267410833,influent,water,11.0,8,nirK
INF11,2,25-Feb-25,120411.3358236972,5963.397267410833,influent,water,11.0,8,nirK
INF11,2,25-Feb-25,120411.3358236972,5963.397267410833,influent,water,11.0,8,nirK
CC-1-14W,2,25-Feb-25,14805698.48103294,420004.55843557575,corncob,water,14.0,8,nirK
CC-1-14W,2,25-Feb-25,14805698.48103294,420004.55843557575,corncob,water,14.0,8,nirK
CC-1-14W,2,25-Feb-25,14805698.48103294,420004.55843557575,corncob,water,14.0,8,nirK
CC-2-15W,2,25-Feb-25,26588671.09584797,1705167.181040768,corncob,water,15.0,8,nirK
CC-2-15W,2,25-Feb-25,26588671.09584797,1705167.181040768,corncob,water,15.0,8,nirK
CC-2-15W,2,25-Feb-25,26588671.09584797,1705167.181040768,corncob,water,15.0,8,nirK
CC-1-13W,2,25-Feb-25,13174366.126740385,947428.8619748438,corncob,water,13.0,8,nirK
CC-1-13W,2,25-Feb-25,13174366.126740385,947428.8619748438,corncob,water,13.0,8,nirK
CC-1-13W,2,25-Feb-25,13174366.126740385,947428.8619748438,corncob,water,13.0,8,nirK
CC-2-14W,2,25-Feb-25,30143458.937759843,911198.1288159818,corncob,water,14.0,8,nirK
CC-2-14W,2,25-Feb-25,30143458.937759843,911198.1288159818,corncob,water,14.0,8,nirK
CC-2-14W,2,25-Feb-25,30143458.937759843,911198.1288159818,corncob,water,14.0,8,nirK
CC-3-15W,2,25-Feb-25,1781900.8335905664,295027.9574701501,corncob,water,15.0,8,nirK
CC-3-15W,2,25-Feb-25,1781900.8335905664,295027.9574701501,corncob,water,15.0,8,nirK
CC-3-15W,2,25-Feb-25,1781900.8335905664,295027.9574701501,corncob,water,15.0,8,nirK
CC-2-13W,2,25-Feb-25,12119783.20078557,795882.5629771115,corncob,water,13.0,8,nirK
CC-2-13W,2,25-Feb-25,12119783.20078557,795882.5629771115,corncob,water,13.0,8,nirK
CC-2-13W,2,25-Feb-25,12119783.20078557,795882.5629771115,corncob,water,13.0,8,nirK
CC-3-14W,2,25-Feb-25,3265136.4104247293,394686.5174703442,corncob,water,14.0,8,nirK
CC-3-14W,2,25-Feb-25,3265136.4104247293,394686.5174703442,corncob,water,14.0,8,nirK
CC-3-14W,2,25-Feb-25,3265136.4104247293,394686.5174703442,corncob,water,14.0,8,nirK
WC-4-15W,2,25-Feb-25,2269392.546207566,192224.72136954,woodchip,water,15.0,8,nirK
WC-4-15W,2,25-Feb-25,2269392.546207566,192224.72136954,woodchip,water,15.0,8,nirK
WC-4-15W,2,25-Feb-25,2269392.546207566,192224.72136954,woodchip,water,15.0,8,nirK
CC-3-13W,2,25-Feb-25,2211066.782925091,217968.14021546463,corncob,water,13.0,8,nirK
CC-3-13W,2,25-Feb-25,2211066.782925091,217968.14021546463,corncob,water,13.0,8,nirK
CC-3-13W,2,25-Feb-25,2211066.782925091,217968.14021546463,corncob,water,13.0,8,nirK
WC-4-14W,2,25-Feb-25,3692347.38702384,152112.21336648957,woodchip,water,14.0,8,nirK
WC-4-14W,2,25-Feb-25,3692347.38702384,152112.21336648957,woodchip,water,14.0,8,nirK
WC-4-14W,2,25-Feb-25,3692347.38702384,152112.21336648957,woodchip,water,14.0,8,nirK
WC-5-15W,2,25-Feb-25,3593146.0502280504,361815.4738946071,woodchip,water,15.0,8,nirK
WC-5-15W,2,25-Feb-25,3593146.0502280504,361815.4738946071,woodchip,water,15.0,8,nirK
WC-5-15W,2,25-Feb-25,3593146.0502280504,361815.4738946071,woodchip,water,15.0,8,nirK
WC-4-13W,2,25-Feb-25,2766417.339474154,509638.48116961145,woodchip,water,13.0,8,nirK
WC-4-13W,2,25-Feb-25,2766417.339474154,509638.48116961145,woodchip,water,13.0,8,nirK
WC-4-13W,2,25-Feb-25,2766417.339474154,509638.48116961145,woodchip,water,13.0,8,nirK
WC-5-14W,2,25-Feb-25,3952510.881369551,326752.46474929986,woodchip,water,14.0,8,nirK
WC-5-14W,2,25-Feb-25,3952510.881369551,326752.46474929986,woodchip,water,14.0,8,nirK
WC-5-14W,2,25-Feb-25,3952510.881369551,326752.46474929986,woodchip,water,14.0,8,nirK
WC-6-15W,2,25-Feb-25,2344170.4428155734,56152.66501541666,woodchip,water,15.0,8,nirK
