Well,Content,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,SampleID,Plate,Date,Dilution,ul_dna_eluted,mL_sample,calc_qty,per_ul_dna,copies_in_dna,copies_per_g_sample,avg_copies_per_g_sample,avg_std
A04,Unkn-01,12.1504470204209,12.0973037850145,0.0498768876829182,25071744.4112169,7.39918455182059,25922240.6576336,801036.119682518,CC-1-30W,1,14-Mar-25,0.1,100,25,25071744.411217894,125358722.05608946,12535872205.608946,501434888.22435784,518444813.15269667,16020722.393650554
A05,Unkn-01,12.0515084495949,12.0973037850145,0.0498768876829182,26662371.2448811,7.42589877121332,25922240.6576336,801036.119682518,CC-1-30W,1,14-Mar-25,0.1,100,25,26662371.24488197,133311856.22440983,13331185622.440983,533247424.89763933,518444813.15269667,16020722.393650554
A06,Unkn-01,12.0899558850278,12.0973037850145,0.0498768876829182,26032606.3168028,7.41551765071937,25922240.6576336,801036.119682518,CC-1-30W,1,14-Mar-25,0.1,100,25,26032606.316804644,130163031.5840232,13016303158.40232,520652126.3360928,518444813.15269667,16020722.393650554
A07,Unkn-09,13.1637901893582,13.2486728933206,0.0755663521197675,13352840.1047129,7.12557364851865,12675826.898514,601489.349932631,CC-2-32W,1,14-Mar-25,0.1,100,40,13352840.10471375,66764200.52356874,6676420052.356874,166910501.30892187,158447836.2314303,7518616.874162521
A08,Unkn-09,13.3086204870093,13.2486728933206,0.0755663521197675,12203047.1519472,7.08646828936639,12675826.898514,601489.349932631,CC-2-32W,1,14-Mar-25,0.1,100,40,12203047.151947403,61015235.759737015,6101523575.9737015,152538089.39934254,158447836.2314303,7518616.874162521
A09,Unkn-09,13.2736080035942,13.2486728933206,0.0755663521197675,12471593.4388819,7.09592194485814,12675826.898514,601489.349932631,CC-2-32W,1,14-Mar-25,0.1,100,40,12471593.438882114,62357967.19441057,6235796719.441057,155894917.98602644,158447836.2314303,7518616.874162521
A10,Unkn-17,12.6980123695828,12.7088848579483,0.0260834015139784,17837642.3056958,7.25133745086451,17719022.2228315,286124.836355399,CC-2-35W,1,14-Mar-25,0.1,100,40,17837642.3056969,89188211.5284845,8918821152.84845,222970528.82121125,221487777.7854066,3576560.454442964
A11,Unkn-17,12.7386456901459,12.7088848579483,0.0260834015139784,17392664.6595322,7.24036612359431,17719022.2228315,286124.836355399,CC-2-35W,1,14-Mar-25,0.1,100,40,17392664.659533236,86963323.29766618,8696332329.766617,217408308.24416542,221487777.7854066,3576560.454442964
A12,Unkn-17,12.689996514116,12.7088848579483,0.0260834015139784,17926759.7032663,7.25350179708229,17719022.2228315,286124.836355399,CC-2-35W,1,14-Mar-25,0.1,100,40,17926759.703267448,89633798.51633723,8963379851.633722,224084496.29084307,221487777.7854066,3576560.454442964
B04,Unkn-02,11.5631734692914,11.4973537246318,0.0570915772201197,36120453.1806981,7.55775319049645,37644904.2265243,1322428.98481282,CC-2-30W,1,14-Mar-25,0.1,100,40,36120453.18070054,180602265.9035027,18060226590.35027,451505664.75875676,470561302.83158284,16530362.310159659
B05,Unkn-02,11.4676483958253,11.4973537246318,0.0570915772201197,38330610.6241638,7.58354573781925,37644904.2265243,1322428.98481282,CC-2-30W,1,14-Mar-25,0.1,100,40,38330610.62416537,191653053.12082684,19165305312.082684,479132632.8020671,470561302.83158284,16530362.310159659
B06,Unkn-02,11.4612393087788,11.4973537246318,0.0570915772201197,38483648.874711,7.58527624348591,37644904.2265243,1322428.98481282,CC-2-30W,1,14-Mar-25,0.1,100,40,38483648.874713995,192418244.37356997,19241824437.356995,481045610.93392485,470561302.83158284,16530362.310159659
B07,Unkn-10,12.9812623763168,13.0673234416657,0.0807589519240564,14957452.8895709,7.17485764364969,14190138.9761882,716113.451682368,CC-3-32W,1,14-Mar-25,0.1,100,25,14957452.889571944,74787264.44785972,7478726444.785972,299149057.7914389,283802779.5237828,14322269.033650259
B08,Unkn-10,13.079255291263,13.0673234416657,0.0807589519240564,14073391.169635,7.1483987590413,14190138.9761882,716113.451682368,CC-3-32W,1,14-Mar-25,0.1,100,25,14073391.169635974,70366955.84817986,7036695584.8179865,281467823.39271945,283802779.5237828,14322269.033650259
B09,Unkn-10,13.1414526574173,13.0673234416657,0.0807589519240564,13539572.8693588,7.13160496394983,14190138.9761882,716113.451682368,CC-3-32W,1,14-Mar-25,0.1,100,25,13539572.8693595,67697864.3467975,6769786434.6797495,270791457.38719,283802779.5237828,14322269.033650259
B10,Unkn-18,12.4567220777766,12.4806352863881,0.0706227308702424,20724678.0910436,7.31648779353502,20431875.6750243,888000.454840568,CC-3-35W,1,14-Mar-25,0.1,100,40,20724678.09104461,103623390.45522304,10362339045.522305,259058476.13805762,255398445.93781582,11100005.685508044
B11,Unkn-18,12.4250738267702,12.4806352863881,0.0706227308702424,21136500.2402301,7.32503307889463,20431875.6750243,888000.454840568,CC-3-35W,1,14-Mar-25,0.1,100,40,21136500.24023114,105682501.2011557,10568250120.11557,264206253.00288925,255398445.93781582,11100005.685508044
B12,Unkn-18,12.5601099546175,12.4806352863881,0.0706227308702424,19434448.6937992,7.28857222530498,20431875.6750243,888000.454840568,CC-3-35W,1,14-Mar-25,0.1,100,40,19434448.693800047,97172243.46900024,9717224346.900024,242930608.6725006,255398445.93781582,11100005.685508044
C04,Unkn-03,11.0589117009333,11.0339839912156,0.037744838445893,49420595.2721229,7.69390797218385,50201734.2714694,1185676.42284949,CC-3-30W,1,14-Mar-25,0.1,100,40,49420595.27212706,247102976.3606353,24710297636.06353,617757440.9015882,627521678.3934165,14820955.28561666
C05,Unkn-03,10.990558389063,11.0339839912156,0.037744838445893,51566056.8083528,7.71236392272243,50201734.2714694,1185676.42284949,CC-3-30W,1,14-Mar-25,0.1,100,40,51566056.80835662,257830284.0417831,25783028404.17831,644575710.1044577,627521678.3934165,14820955.28561666
C06,Unkn-03,11.0524818836503,11.0339839912156,0.037744838445893,49618550.7339323,7.69564407518311,50201734.2714694,1185676.42284949,CC-3-30W,1,14-Mar-25,0.1,100,40,49618550.73393628,248092753.6696814,24809275366.96814,620231884.1742035,627521678.3934165,14820955.28561666
C07,Unkn-11,13.9946336884671,14.0161790300606,0.0500900752716703,7965978.71144176,6.9012391414512,7862512.36280868,242811.254066221,INF32,1,14-Mar-25,0.1,100,250,7965978.711442167,39829893.55721083,3982989355.721083,15931957.422884332,15725024.725618178,485622.50813254935
C08,Unkn-11,13.9804666028963,14.0161790300606,0.0500900752716703,8036452.27312257,6.90506436986246,7862512.36280868,242811.254066221,INF32,1,14-Mar-25,0.1,100,250,8036452.2731230445,40182261.36561522,4018226136.561522,16072904.546246087,15725024.725618178,485622.50813254935
C09,Unkn-11,14.0734367988182,14.0161790300606,0.0500900752716703,7585106.1038617,6.87996166027098,7862512.36280868,242811.254066221,INF32,1,14-Mar-25,0.1,100,250,7585106.103862061,37925530.5193103,3792553051.9310303,15170212.20772412,15725024.725618178,485622.50813254935
C10,Unkn-19,16.9666368849625,17.1040771712652,0.156865732339921,1255376.77281797,6.09877408900299,1156182.18642215,110939.737851657,INF35,1,14-Mar-25,0.1,100,100,1255376.7728179377,6276883.864089688,627688386.4089688,6276883.864089688,5780910.932110727,554698.689258156
C11,Unkn-19,17.070623522482,17.1040771712652,0.156865732339921,1176784.25901137,6.07069685051636,1156182.18642215,110939.737851657,INF35,1,14-Mar-25,0.1,100,100,1176784.2590113732,5883921.295056866,588392129.5056865,5883921.295056866,5780910.932110727,554698.689258156
C12,Unkn-19,17.2749711063512,17.1040771712652,0.156865732339921,1036385.5274371,6.01552133966878,1156182.18642215,110939.737851657,INF35,1,14-Mar-25,0.1,100,100,1036385.5274371254,5181927.637185627,518192763.71856266,5181927.637185627,5780910.932110727,554698.689258156
D04,Unkn-04,13.775346055416,13.5142416396485,0.235330189134902,9129533.51285496,6.96044858717627,10813952.4922361,1533242.13953104,WC-4-30W,1,14-Mar-25,0.1,100,120,9129533.512855142,45647667.56427571,4564766756.427571,38039722.97022976,45058135.384318806,6388508.914713096
D05,Unkn-04,13.3185076784261,13.5142416396485,0.235330189134902,12128264.708946,7.08379866721113,10813952.4922361,1533242.13953104,WC-4-30W,1,14-Mar-25,0.1,100,120,12128264.708946336,60641323.54473168,6064132354.473167,50534436.287276395,45058135.384318806,6388508.914713096
D06,Unkn-04,13.4488711851033,13.5142416396485,0.235330189134902,11184059.2549074,7.04859945936827,10813952.4922361,1533242.13953104,WC-4-30W,1,14-Mar-25,0.1,100,120,11184059.254908063,55920296.27454031,5592029627.454031,46600246.89545026,45058135.384318806,6388508.914713096
D07,Unkn-12,13.2683931928571,13.3503415630006,0.101268630039432,12512093.6466485,7.09732998620095,11906164.4965688,739310.626556973,CC-1-33W,1,14-Mar-25,0.1,100,30,12512093.646648971,62560468.23324485,6256046823.324485,208534894.11081615,198436074.9428209,12321843.775948016
D08,Unkn-12,13.3190752891647,13.3503415630006,0.101268630039432,12123985.4833035,7.08364540769187,11906164.4965688,739310.626556973,CC-1-33W,1,14-Mar-25,0.1,100,30,12123985.4833038,60619927.416519,6061992741.6519,202066424.72173002,198436074.9428209,12321843.775948016
D09,Unkn-12,13.4635562069799,13.3503415630006,0.101268630039432,11082414.3597544,7.04463438393891,11906164.4965688,739310.626556973,CC-1-33W,1,14-Mar-25,0.1,100,30,11082414.359754993,55412071.79877496,5541207179.877496,184706905.99591652,198436074.9428209,12321843.775948016
D10,Unkn-20,12.3403587451709,12.3249631245793,0.20248128637911,22279571.837313,7.34790684042992,22613394.6824367,2861184.97158745,CC-1-36W,1,14-Mar-25,0.1,100,50,22279571.837313976,111397859.18656987,11139785918.656986,222795718.37313974,226133946.82437778,28611849.715872757
D11,Unkn-20,12.1152234807844,12.3249631245793,0.20248128637911,25626848.0724906,7.40869519420993,22613394.6824367,2861184.97158745,CC-1-36W,1,14-Mar-25,0.1,100,50,25626848.07249146,128134240.36245729,12813424036.24573,256268480.72491458,226133946.82437778,28611849.715872757
D12,Unkn-20,12.5193071477826,12.3249631245793,0.20248128637911,19933764.1375066,7.29958931524802,22613394.6824367,2861184.97158745,CC-1-36W,1,14-Mar-25,0.1,100,50,19933764.1375079,99668820.6875395,9966882068.75395,199337641.375079,226133946.82437778,28611849.715872757
E04,Unkn-05,13.7096964057958,13.741296110484,0.0312722340826318,9509868.83359867,6.97817452690196,9326035.87053536,181368.840051151,WC-5-30W,1,14-Mar-25,0.1,100,105,9509868.833599254,47549344.16799627,4754934416.799627,45285089.68380597,44409694.62159891,863661.1431013148
E05,Unkn-05,13.7722302491421,13.741296110484,0.0312722340826318,9147235.91871146,6.96128988023004,9326035.87053536,181368.840051151,WC-5-30W,1,14-Mar-25,0.1,100,105,9147235.918711802,45736179.593559004,4573617959.355901,43558266.279580005,44409694.62159891,863661.1431013148
E06,Unkn-05,13.7419616765142,13.741296110484,0.0312722340826318,9321002.85929595,6.96946264119814,9326035.87053536,181368.840051151,WC-5-30W,1,14-Mar-25,0.1,100,105,9321002.859296257,46605014.29648128,4660501429.6481285,44385727.90141075,44409694.62159891,863661.1431013148
E07,Unkn-13,12.7795499942621,13.015881350421,0.20720151038437,16955930.5301429,7.22932162855923,14721841.9831079,1953962.47615699,CC-2-33W,1,14-Mar-25,0.1,100,50,16955930.53014368,84779652.65071839,8477965265.071839,169559305.30143678,147218419.8310841,19539624.76157189
E08,Unkn-13,13.101750225599,13.015881350421,0.20720151038437,13877938.0237781,7.14232494368234,14721841.9831079,1953962.47615699,CC-2-33W,1,14-Mar-25,0.1,100,50,13877938.02377876,69389690.1188938,6938969011.88938,138779380.2377876,147218419.8310841,19539624.76157189
E09,Unkn-13,13.1663438314018,13.015881350421,0.20720151038437,13331657.3954026,7.12488414438258,14721841.9831079,1953962.47615699,CC-2-33W,1,14-Mar-25,0.1,100,50,13331657.395402787,66658286.97701393,6665828697.701393,133316573.95402786,147218419.8310841,19539624.76157189
E10,Unkn-21,12.9932247458929,12.9735742799107,0.0170565253146677,14846623.8840956,7.1716277065014,15029680.1585633,158898.752024664,CC-2-36W,1,14-Mar-25,0.1,100,40,14846623.884095844,74233119.42047921,7423311942.047921,185582798.55119804,187871001.9820455,1986234.4003096635
E11,Unkn-21,12.9648977182486,12.9735742799107,0.0170565253146677,15110409.5144532,7.1792762345215,15029680.1585633,158898.752024664,CC-2-36W,1,14-Mar-25,0.1,100,40,15110409.514453856,75552047.57226928,7555204757.226928,188880118.93067318,187871001.9820455,1986234.4003096635
E12,Unkn-21,12.9626003755906,12.9735742799107,0.0170565253146677,15132007.077141,7.17989653573745,15029680.1585633,158898.752024664,CC-2-36W,1,14-Mar-25,0.1,100,40,15132007.077141222,75660035.3857061,7566003538.57061,189150088.46426526,187871001.9820455,1986234.4003096635
F04,Unkn-06,15.3264188832589,15.244836388512,0.0759303203392385,3480537.3560986,6.541646299341,3664337.98807689,171916.67413156,WC-6-30W,1,14-Mar-25,0.1,100,125,3480537.356098723,17402686.780493613,1740268678.0493612,13922149.42439489,14657351.952307912,687666.6965259818
F05,Unkn-06,15.1762308289959,15.244836388512,0.0759303203392385,3821187.04237359,6.58219829638577,3664337.98807689,171916.67413156,WC-6-30W,1,14-Mar-25,0.1,100,125,3821187.042373561,19105935.2118678,1910593521.1867802,15284748.169494241,14657351.952307912,687666.6965259818
F06,Unkn-06,15.2318594532812,15.244836388512,0.0759303203392385,3691289.56575847,6.56717811506246,3664337.98807689,171916.67413156,WC-6-30W,1,14-Mar-25,0.1,100,125,3691289.565758652,18456447.828793257,1845644782.8793259,14765158.263034606,14657351.952307912,687666.6965259818
F07,Unkn-14,12.3066432441971,12.3467556031213,0.0401708721782708,22751513.8960455,7.35701030010627,22195755.1448518,554263.434556481,CC-3-33W,1,14-Mar-25,0.1,100,30,22751513.896046296,113757569.48023148,11375756948.023148,379191898.26743823,369929252.4142085,9237723.909274997
F08,Unkn-14,12.3869847339717,12.3467556031213,0.0401708721782708,21642999.2283497,7.3353174439607,22195755.1448518,554263.434556481,CC-3-33W,1,14-Mar-25,0.1,100,30,21642999.228350412,108214996.14175205,10821499614.175205,360716653.8058402,369929252.4142085,9237723.909274997
F09,Unkn-14,12.3466388311951,12.3467556031213,0.0401708721782708,22192752.3101603,7.34621116608922,22195755.1448518,554263.434556481,CC-3-33W,1,14-Mar-25,0.1,100,30,22192752.31016082,110963761.5508041,11096376155.08041,369879205.169347,369929252.4142085,9237723.909274997
F10,Unkn-22,12.2274499043182,12.2637600156328,0.11944768474644,23899738.3520987,7.37839314643509,23408789.4615582,1710346.8663774,CC-3-36W,1,14-Mar-25,0.1,100,40,23899738.352100078,119498691.76050039,11949869176.05004,298746729.40125096,292609868.2694889,21379335.829720777
F11,Unkn-22,12.1666808261478,12.2637600156328,0.11944768474644,24819972.2812299,7.39480129214597,23408789.4615582,1710346.8663774,CC-3-36W,1,14-Mar-25,0.1,100,40,24819972.2812307,124099861.40615349,12409986140.615349,310249653.5153837,292609868.2694889,21379335.829720777
F12,Unkn-22,12.3971493164325,12.2637600156328,0.11944768474644,21506657.7513461,7.33257292396586,23408789.4615582,1710346.8663774,CC-3-36W,1,14-Mar-25,0.1,100,40,21506657.751346562,107533288.7567328,10753328875.67328,268833221.891832,292609868.2694889,21379335.829720777
G04,Unkn-07,15.575242604329,15.4463598744898,0.127044137062219,2981685.74792245,6.47446186945402,3237150.40377637,255041.556394543,INF30,1,14-Mar-25,0.1,100,200,2981685.7479224587,14908428.739612292,1490842873.9612293,7454214.369806146,8092876.009440991,637603.8909863603
G05,Unkn-07,15.4425991837903,15.4463598744898,0.127044137062219,3237998.7189388,6.51027667259588,3237150.40377637,255041.556394543,INF30,1,14-Mar-25,0.1,100,200,3237998.7189388606,16189993.594694301,1618999359.4694302,8094996.797347151,8092876.009440991,637603.8909863603
