Well,Content,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,SampleID,Plate,Date,Dilution,ul_dna_eluted,mL_sample,calc_qty,per_ul_dna,copies_in_dna,copies_per_g_sample,avg_copies_per_g_sample,avg_std
A04,Unkn-01,16.1742005872065,16.5255355407664,0.304315648921284,2897916.01296941,6.46208579465051,2349164.67792811,475288.719586989,CC-1-20,1,9-Jul-24,0.1,100,262.0,2897916.0129693723,14489580.06484686,1448958006.4846861,5530374.070552237,4483138.6983361235,907039.5411964558
A05,Unkn-01,16.6956508122511,16.5255355407664,0.304315648921284,2082092.85764266,6.31850009436882,2349164.67792811,475288.719586989,CC-1-20,1,9-Jul-24,0.1,100,262.0,2082092.857642708,10410464.28821354,1041046428.821354,3973459.651989901,4483138.6983361235,907039.5411964558
A06,Unkn-01,16.7067552228417,16.5255355407664,0.304315648921284,2067485.16317226,6.31544240162215,2349164.67792811,475288.719586989,CC-1-20,1,9-Jul-24,0.1,100,262.0,2067485.1631723058,10337425.815861529,1033742581.5861529,3945582.3724662326,4483138.6983361235,907039.5411964558
A07,Unkn-09,17.6045717998265,17.4694064364402,0.272778203080617,1170094.84065484,6.06822106439895,1287948.18425246,232329.28798508,CC-3-21,1,9-Jul-24,0.1,100,243.0,1170094.840654853,5850474.203274265,585047420.3274264,2407602.552787763,2650099.144552355,478043.8024384087
A08,Unkn-09,17.1554385046176,17.4694064364402,0.272778203080617,1555584.7985739,6.19189369050028,1287948.18425246,232329.28798508,CC-3-21,1,9-Jul-24,0.1,100,243.0,1555584.7985738693,7777923.992869346,777792399.2869346,3200791.7666128995,2650099.144552355,478043.8024384087
A09,Unkn-09,17.6482090048766,17.4694064364402,0.272778203080617,1138164.91352864,6.05620519338286,1287948.18425246,232329.28798508,CC-3-21,1,9-Jul-24,0.1,100,243.0,1138164.9135286117,5690824.567643058,569082456.7643057,2341903.114256402,2650099.144552355,478043.8024384087
A10,Unkn-17,16.0359099741538,22.4447859317732,10.5802623409233,3163481.33763456,6.5001652767638,1772714.09172579,1615940.98237584,CC-2-25,1,9-Jul-24,0.1,100,287.0,3163481.337634548,15817406.688172739,1581740668.8172739,5511291.528980048,3088352.076177381,2815228.192292413
A11,Unkn-17,16.6416336155792,22.4447859317732,10.5802623409233,2154637.34673251,6.33337418328252,1772714.09172579,1615940.98237584,CC-2-25,1,9-Jul-24,0.1,100,287.0,2154637.3467325983,10773186.73366299,1077318673.3662992,3753723.6005794397,3088352.076177381,2815228.192292413
A12,Unkn-17,34.6568142055866,22.4447859317732,10.5802623409233,23.5908103038351,1.37274285841168,1772714.09172579,1615940.98237584,CC-2-25,1,9-Jul-24,0.1,100,287.0,23.590810303831677,117.95405151915838,11795.405151915838,41.09897265475902,3088352.076177381,2815228.192292413
B04,Unkn-02,17.3531332683156,17.424758035677,0.146808186921484,1372324.37235736,6.13745677643974,1315121.89362913,119074.736524113,CC-2-20,1,9-Jul-24,0.1,100,267.0,1372324.3723573377,6861621.861786689,686162186.1786689,2569895.8283845275,2462775.081702448,222986.3979852327
B05,Unkn-02,17.3275100448187,17.424758035677,0.146808186921484,1394801.30904137,6.14451234629584,1315121.89362913,119074.736524113,CC-2-20,1,9-Jul-24,0.1,100,267.0,1394801.3090413506,6974006.545206753,697400654.5206753,2611987.4701148886,2462775.081702448,222986.3979852327
B06,Unkn-02,17.5936307938969,17.424758035677,0.146808186921484,1178239.99948866,6.07123376229942,1315121.89362913,119074.736524113,CC-2-20,1,9-Jul-24,0.1,100,267.0,1178239.9994886331,5891199.997443166,589119999.7443166,2206441.9466079273,2462775.081702448,222986.3979852327
B07,Unkn-10,17.3249101078934,17.3090731641546,0.094432904074591,1397102.47099442,6.14522826077085,1412896.78187151,85173.6177930446,WC-4-21,1,9-Jul-24,0.1,100,273.0,1397102.470994394,6985512.3549719695,698551235.4971969,2558795.7344219666,2587723.043720719,155995.6369836162
B08,Unkn-10,17.2077230767489,17.3090731641546,0.094432904074591,1504862.06430176,6.17749669430996,1412896.78187151,85173.6177930446,WC-4-21,1,9-Jul-24,0.1,100,273.0,1504862.0643017862,7524310.321508931,752431032.1508931,2756157.6269263485,2587723.043720719,155995.6369836162
B09,Unkn-10,17.3945863078215,17.3090731641546,0.094432904074591,1336725.81031834,6.12604233375587,1412896.78187151,85173.6177930446,WC-4-21,1,9-Jul-24,0.1,100,273.0,1336725.8103183575,6683629.0515917875,668362905.1591787,2448215.7698138417,2587723.043720719,155995.6369836162
B10,Unkn-18,16.3377218000024,16.3703524887957,0.0741875735312694,2612515.37453598,6.41705885493021,2560892.14572205,118909.379208998,CC-3-25,1,9-Jul-24,0.1,100,250.0,2612515.3745361143,13062576.87268057,1306257687.268057,5225030.749072229,5121784.291444224,237818.75841798104
B11,Unkn-18,16.3180731928907,16.3703524887957,0.0741875735312694,2645265.47651627,6.42246926397062,2560892.14572205,118909.379208998,CC-3-25,1,9-Jul-24,0.1,100,250.0,2645265.4765162617,13226327.382581308,1322632738.2581308,5290530.953032523,5121784.291444224,237818.75841798104
B12,Unkn-18,16.455262473494,16.3703524887957,0.0741875735312694,2424895.5861139,6.38469304299979,2560892.14572205,118909.379208998,CC-3-25,1,9-Jul-24,0.1,100,250.0,2424895.5861139614,12124477.930569807,1212447793.0569806,4849791.172227923,5121784.291444224,237818.75841798104
C04,Unkn-03,15.8348798399901,15.7295961547941,0.109177007953935,3593524.52448514,6.55552061310322,3847745.81342432,267120.331417962,CC-3-20,1,9-Jul-24,0.1,100,297.0,3593524.5244851783,17967622.62242589,1796762262.2425892,6049704.586675385,6477686.5545865195,449697.527639801
C05,Unkn-03,15.6169032648327,15.7295961547941,0.109177007953935,4126124.17964716,6.61554229434096,3847745.81342432,267120.331417962,CC-3-20,1,9-Jul-24,0.1,100,297.0,4126124.179647347,20630620.898236733,2063062089.8236732,6946337.002773311,6477686.5545865195,449697.527639801
C06,Unkn-03,15.7370053595595,15.7295961547941,0.109177007953935,3823588.73614066,6.58247117355439,3847745.81342432,267120.331417962,CC-3-20,1,9-Jul-24,0.1,100,297.0,3823588.7361406544,19117943.68070327,1911794368.070327,6437018.074310865,6477686.5545865195,449697.527639801
C07,Unkn-11,17.622336363903,17.6591164563403,0.105810750444584,1156989.56609438,6.06332944243657,1131999.86088717,74726.2663144071,WC-5-21,1,9-Jul-24,0.1,100,246.0,1156989.5660943596,5784947.830471798,578494783.0471798,2351604.8091348773,2300812.725380411,151882.65511058876
C08,Unkn-11,17.5766039083908,17.6591164563403,0.105810750444584,1191028.78651525,6.07592225827005,1131999.86088717,74726.2663144071,WC-5-21,1,9-Jul-24,0.1,100,246.0,1191028.786515247,5955143.932576235,595514393.2576236,2420790.2164944047,2300812.725380411,151882.65511058876
C09,Unkn-11,17.7784090967272,17.6591164563403,0.105810750444584,1047981.23005189,6.02035350425277,1131999.86088717,74726.2663144071,WC-5-21,1,9-Jul-24,0.1,100,246.0,1047981.2300518795,5239906.150259397,523990615.0259397,2130043.15051195,2300812.725380411,151882.65511058876
C10,Unkn-19,17.7870570387234,18.0790653248243,0.270305901249903,1042250.76069298,6.01797222077089,874726.4710594,152757.348123497,WC-4-27,1,9-Jul-24,0.1,100,277.0,1042250.7606929917,5211253.803464958,521125380.34649587,1881319.0626227288,1578928.6481216752,275735.2854214799
C11,Unkn-19,18.1296040244576,18.0790653248243,0.270305901249903,838781.86165376,5.92364903043797,874726.4710594,152757.348123497,WC-4-27,1,9-Jul-24,0.1,100,277.0,838781.8616537655,4193909.3082688274,419390930.8268827,1514046.6816854973,1578928.6481216752,275735.2854214799
C12,Unkn-19,18.3205349112919,18.0790653248243,0.270305901249903,743146.790831459,5.87107460669664,874726.4710594,152757.348123497,WC-4-27,1,9-Jul-24,0.1,100,277.0,743146.7908314669,3715733.9541573343,371573395.41573346,1341420.2000567995,1578928.6481216752,275735.2854214799
D04,Unkn-04,16.2109416323674,16.1743019779305,0.0575352397521302,2831188.84957128,6.451968839196,2899024.12717784,106826.193081789,WC-4-20,1,9-Jul-24,0.1,100,300.0,2831188.8495713994,14155944.247856997,1415594424.7856996,4718648.082618998,4831706.878629908,178043.65513636437
D05,Unkn-04,16.2039764795999,16.1743019779305,0.0575352397521302,2843719.47693641,6.45388675252629,2899024.12717784,106826.193081789,WC-4-20,1,9-Jul-24,0.1,100,300.0,2843719.4769364605,14218597.384682301,1421859738.4682302,4739532.461560767,4831706.878629908,178043.65513636437
D06,Unkn-04,16.1079878218242,16.1743019779305,0.0575352397521302,3022164.05502583,6.48031803586621,2899024.12717784,106826.193081789,WC-4-20,1,9-Jul-24,0.1,100,300.0,3022164.0550259743,15110820.275129871,1511082027.5129871,5036940.091709957,4831706.878629908,178043.65513636437
D07,Unkn-12,16.8852823904485,17.1605555710901,0.312139295432187,1846219.97802845,6.26628344617642,1570461.88558892,300277.158468318,WC-6-21,1,9-Jul-24,0.1,100,246.0,1846219.9780285123,9231099.890142562,923109989.0142562,3752479.630139253,3191995.702416604,610319.4277811669
D08,Unkn-12,17.0966991174428,17.1605555710901,0.312139295432187,1614611.62208879,6.20806807424108,1570461.88558892,300277.158468318,WC-6-21,1,9-Jul-24,0.1,100,246.0,1614611.6220888405,8073058.110444202,807305811.0444202,3281730.93920496,3191995.702416604,610319.4277811669
D09,Unkn-12,17.4996852053789,17.1605555710901,0.312139295432187,1250554.05664953,6.09710246935496,1570461.88558892,300277.158468318,WC-6-21,1,9-Jul-24,0.1,100,246.0,1250554.0566495538,6252770.283247769,625277028.3247769,2541776.537905597,3191995.702416604,610319.4277811669
D10,Unkn-20,17.2540233443598,17.3329981204801,0.1572178012184,1461327.39738353,6.16474752664478,1394477.65048185,134890.001154701,WC-5-27,1,9-Jul-24,0.1,100,251.0,1461327.3973835474,7306636.986917737,730663698.6917737,2911010.7517600544,2777843.92526268,268705.18158305134
D11,Unkn-20,17.2309239474705,17.3329981204801,0.1572178012184,1482887.27918823,6.17110813964126,1394477.65048185,134890.001154701,WC-5-27,1,9-Jul-24,0.1,100,251.0,1482887.2791882476,7414436.395941238,741443639.5941238,2953958.723482565,2777843.92526268,268705.18158305134
D12,Unkn-20,17.51404706961,17.3329981204801,0.1572178012184,1239218.27487377,6.09314780938181,1394477.65048185,134890.001154701,WC-5-27,1,9-Jul-24,0.1,100,251.0,1239218.2748738003,6196091.374369001,619609137.4369001,2468562.300545419,2777843.92526268,268705.18158305134
E04,Unkn-05,17.9786710891898,17.7840265206808,0.169461088060298,923016.962399846,5.96520968218405,1048198.34708625,109099.296077052,WC-5-20,1,9-Jul-24,0.1,100,281.0,923016.9623998647,4615084.811999323,461508481.1999323,1642378.9366545633,1865121.6140324792,194126.8613470431
E05,Unkn-05,17.7040875424703,17.7840265206808,0.169461088060298,1098546.81330411,6.0408185686088,1048198.34708625,109099.296077052,WC-5-20,1,9-Jul-24,0.1,100,281.0,1098546.8133041055,5492734.066520527,549273406.6520526,1954709.6322137106,1865121.6140324792,194126.8613470431
E06,Unkn-05,17.6693209303822,17.7840265206808,0.169461088060298,1123031.26555479,6.05039184732905,1048198.34708625,109099.296077052,WC-5-20,1,9-Jul-24,0.1,100,281.0,1123031.2655547902,5615156.32777395,561515632.777395,1998276.2732291638,1865121.6140324792,194126.8613470431
E07,Unkn-13,17.8835567394196,17.8653557998175,0.0581941601139048,980393.035528117,5.99140021746942,992224.818116914,36888.6724612724,WC-4-24,1,9-Jul-24,0.1,100,268.0,980393.0355281227,4901965.177640613,490196517.76406133,1829091.4841942587,1851165.7054419976,68822.1501143462
E08,Unkn-13,17.9122741181108,17.8653557998175,0.0581941601139048,962703.711139258,5.98349264598593,992224.818116914,36888.6724612724,WC-4-24,1,9-Jul-24,0.1,100,268.0,962703.7111392299,4813518.555696149,481351855.56961495,1796089.0133194588,1851165.7054419976,68822.1501143462
E09,Unkn-13,17.800236541922,17.8653557998175,0.0581941601139048,1033577.70768337,6.01434313384131,992224.818116914,36888.6724612724,WC-4-24,1,9-Jul-24,0.1,100,268.0,1033577.7076833799,5167888.538416899,516788853.8416899,1928316.6188122756,1851165.7054419976,68822.1501143462
E10,Unkn-21,17.9100515119167,17.754524152305,0.161444183220573,964061.32176662,5.98410465927405,1067705.04711501,109726.238066681,WC-6-27,1,9-Jul-24,0.1,100,281.0,964061.3217666378,4820306.608833189,482030660.8833189,1715411.604566971,1899831.0446886364,195242.4164887491
E11,Unkn-21,17.5877511774513,17.754524152305,0.161444183220573,1182640.54514003,6.07285276408363,1067705.04711501,109726.238066681,WC-6-27,1,9-Jul-24,0.1,100,281.0,1182640.5451400345,5913202.725700173,591320272.5700172,2104342.6070107375,1899831.0446886364,195242.4164887491
E12,Unkn-21,17.7657697675469,17.754524152305,0.161444183220573,1056413.27443838,6.0238338497283,1067705.04711501,109726.238066681,WC-6-27,1,9-Jul-24,0.1,100,281.0,1056413.274438369,5282066.372191845,528206637.2191845,1879738.9224882012,1899831.0446886364,195242.4164887491
F04,Unkn-06,16.1207174865901,15.8192759809705,0.263016238850897,2997870.13534091,6.47681281572827,3661963.47316371,580819.287632002,WC-6-20,1,9-Jul-24,0.1,100,245.0,2997870.135340999,14989350.676704993,1498935067.6704993,6118102.317022447,7473394.843191467,1185345.4849633384
F05,Unkn-06,15.6365036148378,15.8192759809705,0.263016238850897,4075164.77151716,6.61014517330028,3661963.47316371,580819.287632002,WC-6-20,1,9-Jul-24,0.1,100,245.0,4075164.7715173927,20375823.85758696,2037582385.758696,8316662.799015086,7473394.843191467,1185345.4849633384
F06,Unkn-06,15.7006068414835,15.8192759809705,0.263016238850897,3912855.51263305,6.5924938112984,3661963.47316371,580819.287632002,WC-6-20,1,9-Jul-24,0.1,100,245.0,3912855.512633066,19564277.56316533,1956427756.3165329,7985419.413536869,7473394.843191467,1185345.4849633384
F07,Unkn-14,17.7375277070603,17.9309471949122,0.180176102171167,1075500.30615472,6.0316105383509,955554.88501946,110493.673934581,WC-5-24,1,9-Jul-24,0.1,100,258.0,1075500.3061547524,5377501.530773762,537750153.0773761,2084302.9189045585,1851850.5523633088,214135.027005055
F08,Unkn-14,18.094027896967,17.9309471949122,0.180176102171167,857916.886173689,5.93344521602523,955554.88501946,110493.673934581,WC-5-24,1,9-Jul-24,0.1,100,258.0,857916.8861736646,4289584.430868323,428958443.0868323,1662629.624367567,1851850.5523633088,214135.027005055
F09,Unkn-14,17.9612859807093,17.9309471949122,0.180176102171167,933247.462729972,5.9699968178602,955554.88501946,110493.673934581,WC-5-24,1,9-Jul-24,0.1,100,258.0,933247.4627299852,4666237.313649926,466623731.3649926,1808619.1138178008,1851850.5523633088,214135.027005055
F10,Unkn-22,15.471088735572,15.5806590171485,0.101554673815229,4525781.15768013,6.65569354999216,4227911.18489069,274404.592806193,CC-1-28,1,9-Jul-24,0.1,100,268.0,4525781.157680257,22628905.788401283,2262890578.8401284,8443621.5628363,7887894.001662004,511948.8671756859
F11,Unkn-22,15.5992624385174,15.5806590171485,0.101554673815229,4172533.61421458,6.62039984407126,4227911.18489069,274404.592806193,CC-1-28,1,9-Jul-24,0.1,100,268.0,4172533.614214707,20862668.071073536,2086266807.1073537,7784577.638460275,7887894.001662004,511948.8671756859
F12,Unkn-22,15.6716258773562,15.5806590171485,0.101554673815229,3985418.78277735,6.60047396324615,4227911.18489069,274404.592806193,CC-1-28,1,9-Jul-24,0.1,100,268.0,3985418.7827775385,19927093.91388769,1992709391.3887691,7435482.803689437,7887894.001662004,511948.8671756859
G04,Unkn-07,17.1021725507373,16.8185956495366,0.287287058935722,1609018.05870108,6.20656091839997,1947363.79219927,354457.127791433,CC-1-21,1,9-Jul-24,0.1,100,247.0,1609018.0587010495,8045090.293505248,804509029.3505248,3257121.5763179143,3942031.9680147045,717524.5501851726
