Well,Content,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,SampleID,Plate,Date,Dilution,ul_dna_eluted,mL_sample,calc_qty,per_ul_dna,copies_in_dna,copies_per_g_sample,avg_copies_per_g_sample,avg_std
A04,Unkn-01,11.4658794204296,11.5539108107431,0.209285462846488,70149084.1783556,7.84602200552998,66522737.074106,9051381.10743671,CC-3-31W,3,28-Feb-25,0.1,100,40,70149084.17835934,350745420.8917967,35074542089.17967,876863552.2294918,831534213.4263827,113142263.84295495
A05,Unkn-01,11.4030207320026,11.5539108107431,0.209285462846488,73198656.8164202,7.86450311189761,66522737.074106,9051381.10743671,CC-3-31W,3,28-Feb-25,0.1,100,40,73198656.8164251,365993284.0821255,36599328408.21255,914983210.2053137,831534213.4263827,113142263.84295495
A06,Unkn-01,11.792832279797,11.5539108107431,0.209285462846488,56220470.2275423,7.74989447372202,66522737.074106,9051381.10743671,CC-3-31W,3,28-Feb-25,0.1,100,40,56220470.227547385,281102351.1377369,28110235113.773693,702755877.8443424,831534213.4263827,113142263.84295495
A07,Unkn-09,13.6827537190572,13.8139068792809,0.11835651736981,15640043.9207173,7.19423796832091,14342203.3024424,1165515.10438711,INF34,3,28-Feb-25,0.1,100,250,15640043.920717625,78200219.60358812,7820021960.358812,31280087.84143525,28684406.604886338,2331030.2087736134
A08,Unkn-09,13.9127611039368,13.8139068792809,0.11835651736981,13384847.0101231,7.12661341153049,14342203.3024424,1165515.10438711,INF34,3,28-Feb-25,0.1,100,250,13384847.010123817,66924235.05061908,6692423505.061908,26769694.02024763,28684406.604886338,2331030.2087736134
A09,Unkn-09,13.8462058148488,13.8139068792809,0.11835651736981,14001718.9764869,7.14618135683358,14342203.3024424,1165515.10438711,INF34,3,28-Feb-25,0.1,100,250,14001718.976488069,70008594.88244034,7000859488.244035,28003437.952976137,28684406.604886338,2331030.2087736134
A10,Unkn-17,15.1191317214489,15.2666635257302,0.148053953009639,5914634.84487818,6.77192793751007,5370375.46735116,537316.041495174,INF22,3,28-Feb-25,0.1,100,250,5914634.844878248,29573174.224391237,2957317422.4391236,11829269.689756494,10740750.934702573,1074632.0829903085
A11,Unkn-17,15.2656246950934,15.2666635257302,0.148053953009639,5356208.61685797,6.72885748383397,5370375.46735116,537316.041495174,INF22,3,28-Feb-25,0.1,100,250,5356208.616858158,26781043.08429079,2678104308.429079,10712417.233716317,10740750.934702573,1074632.0829903085
A12,Unkn-17,15.4152341606483,15.2666635257302,0.148053953009639,4840282.94031734,6.68487074921197,5370375.46735116,537316.041495174,INF22,3,28-Feb-25,0.1,100,250,4840282.940317453,24201414.701587263,2420141470.158726,9680565.880634906,10740750.934702573,1074632.0829903085
B04,Unkn-02,12.4615801159936,12.4269224730093,0.0324142582401604,35749969.3361899,7.55327567362999,36604541.3633067,801172.841039015,WC-4-31W,3,28-Feb-25,0.1,100,120,35749969.33619212,178749846.6809606,17874984668.096058,148958205.56746715,152518922.34712052,3338220.1709970473
B05,Unkn-02,12.4218337485079,12.4269224730093,0.0324142582401604,36724975.7692913,7.56496151791998,36604541.3633067,801172.841039015,WC-4-31W,3,28-Feb-25,0.1,100,120,36724975.76929281,183624878.84646404,18362487884.646404,153020732.37205335,152518922.34712052,3338220.1709970473
B06,Unkn-02,12.3973535545265,12.4269224730093,0.0324142582401604,37338678.984439,7.57215894885898,36604541.3633067,801172.841039015,WC-4-31W,3,28-Feb-25,0.1,100,120,37338678.984441854,186693394.92220926,18669339492.220924,155577829.10184103,152518922.34712052,3338220.1709970473
B07,Unkn-10,11.9913536047744,11.99243009406,0.0236407502694658,49150410.0181931,7.69152714511619,49118795.9101583,785663.200498089,CC-1-38W,3,28-Feb-25,0.1,100,50,49150410.01819527,245752050.09097636,24575205009.097637,491504100.1819527,491187959.10161656,7856632.004971622
B08,Unkn-10,12.0165906999611,11.99243009406,0.0236407502694658,48317802.8426723,7.68410717737221,49118795.9101583,785663.200498089,CC-1-38W,3,28-Feb-25,0.1,100,50,48317802.842677094,241589014.21338546,24158901421.338547,483178028.4267709,491187959.10161656,7856632.004971622
B09,Unkn-10,11.9693459774446,11.99243009406,0.0236407502694658,49888174.8696096,7.69799761581418,49118795.9101583,785663.200498089,CC-1-38W,3,28-Feb-25,0.1,100,50,49888174.86961259,249440874.34806293,24944087434.806293,498881748.69612586,491187959.10161656,7856632.004971622
B10,Unkn-18,12.8417925378831,13.0828818027496,0.235204540079119,27636896.8768718,7.44148927803256,23674688.1811678,3780855.54730088,WC-4-22W,3,28-Feb-25,0.1,100,100,27636896.876872838,138184484.3843642,13818448438.436419,138184484.3843642,118373440.90584318,18904277.736505557
B11,Unkn-18,13.0951298496024,13.0828818027496,0.235204540079119,23281206.3823876,7.36700548077336,23674688.1811678,3780855.54730088,WC-4-22W,3,28-Feb-25,0.1,100,100,23281206.3823886,116406031.91194299,11640603191.1943,116406031.911943,118373440.90584318,18904277.736505557
B12,Unkn-18,13.3117230207635,13.0828818027496,0.235204540079119,20105961.2842439,7.30332484194838,23674688.1811678,3780855.54730088,WC-4-22W,3,28-Feb-25,0.1,100,100,20105961.28424447,100529806.42122234,10052980642.122234,100529806.42122234,118373440.90584318,18904277.736505557
C04,Unkn-03,12.064626398963,11.9733760699995,0.094679042201889,46771810.7377755,7.66998418363956,49820555.864322,3202153.58314968,WC-5-31W,3,28-Feb-25,0.1,100,105,46771810.737778895,233859053.68889445,23385905368.889446,222722908.27513757,237240742.21107617,15248350.3959508
C05,Unkn-03,11.8756053963122,11.9733760699995,0.094679042201889,53156737.5883784,7.72555831894409,49820555.864322,3202153.58314968,WC-5-31W,3,28-Feb-25,0.1,100,105,53156737.588381864,265783687.9419093,26578368794.190933,253127321.84943745,237240742.21107617,15248350.3959508
C06,Unkn-03,11.9798964147232,11.9733760699995,0.094679042201889,49533119.2668122,7.69489567782515,49820555.864322,3202153.58314968,WC-5-31W,3,28-Feb-25,0.1,100,105,49533119.26681724,247665596.3340862,24766559633.408623,235871996.50865355,237240742.21107617,15248350.3959508
C07,Unkn-11,12.1048723041674,12.0028359980604,0.0893064756405129,45514677.5261382,7.65815147007908,48828639.4201385,2903778.87492841,CC-2-38W,3,28-Feb-25,0.1,100,50,45514677.52614151,227573387.63070753,22757338763.070755,455146775.2614151,488286394.2014192,29037788.749282576
C08,Unkn-11,11.9388914855675,12.0028359980604,0.0893064756405129,50927405.5845414,7.70695155229994,48828639.4201385,2903778.87492841,CC-2-38W,3,28-Feb-25,0.1,100,50,50927405.58454369,254637027.92271844,25463702792.271843,509274055.8454369,488286394.2014192,29037788.749282576
C09,Unkn-11,11.9647442044463,12.0028359980604,0.0893064756405129,50043835.1497361,7.69935058480524,48828639.4201385,2903778.87492841,CC-2-38W,3,28-Feb-25,0.1,100,50,50043835.14974056,250219175.7487028,25021917574.87028,500438351.49740565,488286394.2014192,29037788.749282576
C10,Unkn-19,14.075284711406,13.9182802799745,0.201141723001485,11990292.7074424,7.07882978524025,13419190.3585252,1878639.68511162,WC-5-22W,3,28-Feb-25,0.1,100,100,11990292.707443176,59951463.53721587,5995146353.721587,59951463.53721587,67095951.7926287,9393198.425558006
C11,Unkn-19,13.6915545873222,13.9182802799745,0.201141723001485,15547136.8648301,7.19165042176842,13419190.3585252,1878639.68511162,WC-5-22W,3,28-Feb-25,0.1,100,100,15547136.864830688,77735684.32415344,7773568432.415344,77735684.32415344,67095951.7926287,9393198.425558006
C12,Unkn-19,13.9880015411952,13.9182802799745,0.201141723001485,12720141.5033029,7.10449194258298,13419190.3585252,1878639.68511162,WC-5-22W,3,28-Feb-25,0.1,100,100,12720141.503303355,63600707.51651677,6360070751.651677,63600707.516516775,67095951.7926287,9393198.425558006
D04,Unkn-04,13.0691613959994,13.0068928025623,0.0694692282580626,23694114.0993915,7.37464047547736,24732586.8230359,1170039.75531764,WC-6-31W,3,28-Feb-25,0.1,100,125,23694114.099392157,118470570.49696077,11847057049.696077,94776456.39756861,98930347.29214863,4680159.021274227
D05,Unkn-04,12.9319642096592,13.0068928025623,0.0694692282580626,26000270.7987287,7.41497787127009,24732586.8230359,1170039.75531764,WC-6-31W,3,28-Feb-25,0.1,100,125,26000270.798731133,130001353.99365567,13000135399.365566,104001083.19492453,98930347.29214863,4680159.021274227
