Well,Content,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,SampleID,Plate,Date,Dilution,ul_dna_eluted,mL_sample,calc_qty,per_ul_dna,copies_in_dna,copies_per_g_sample,avg_copies_per_g_sample,avg_std
A04,Unkn-01,18.5756234712569,18.6078920013523,0.0289449511804225,676995.919348158,5.83058605094524,663170.081500924,12389.1800299574,CC-1-7W,1,25-Feb-25,0.1,100,100.0,676995.9193481496,3384979.596740748,338497959.67407477,3384979.596740748,3315850.40750465,61945.900149717614
A05,Unkn-01,18.6315672658661,18.6078920013523,0.0289449511804225,653074.956160182,5.81496302994055,663170.081500924,12389.1800299574,CC-1-7W,1,25-Feb-25,0.1,100,100.0,653074.9561602026,3265374.780801013,326537478.0801013,3265374.780801013,3315850.40750465,61945.900149717614
A06,Unkn-01,18.6164852669338,18.6078920013523,0.0289449511804225,659439.368994431,5.81917487126733,663170.081500924,12389.1800299574,CC-1-7W,1,25-Feb-25,0.1,100,100.0,659439.3689944377,3297196.8449721886,329719684.49721885,3297196.8449721886,3315850.40750465,61945.900149717614
A07,Unkn-09,20.9641350684583,20.9368422029277,0.14865596670878,145734.911828125,5.1635636025461,148771.05480218,14383.7478369468,CC-2-8W,1,25-Feb-25,0.1,100,85.0,145734.91182811873,728674.5591405936,72867455.91405936,857264.1872242277,875123.8517775132,84610.28139382327
A08,Unkn-09,21.0699606196887,20.9368422029277,0.14865596670878,136147.748042457,5.13401046226928,148771.05480218,14383.7478369468,CC-2-8W,1,25-Feb-25,0.1,100,85.0,136147.74804245247,680738.7402122623,68073874.02122623,800869.1061320732,875123.8517775132,84610.28139382327
A09,Unkn-09,20.7764309206361,20.9368422029277,0.14865596670878,164430.50453596,5.21598238937623,148771.05480218,14383.7478369468,CC-2-8W,1,25-Feb-25,0.1,100,85.0,164430.50453596056,822152.5226798027,82215252.26798028,967238.2619762386,875123.8517775132,84610.28139382327
A10,Unkn-17,17.9534277477484,18.0180550658746,0.0657830137574718,1010048.3742518,6.00434217394852,969511.512942747,40956.8683355599,CC-3-10W,1,25-Feb-25,0.1,100,65.0,1010048.3742518206,5050241.871259103,505024187.1259103,7769602.878860158,7457780.868790525,315052.83335043787
A11,Unkn-17,18.08493586559,18.0180550658746,0.0657830137574718,928147.176992067,5.96761684808037,969511.512942747,40956.8683355599,CC-3-10W,1,25-Feb-25,0.1,100,65.0,928147.176992092,4640735.88496046,464073588.49604595,7139593.669169937,7457780.868790525,315052.83335043787
A12,Unkn-17,18.0158015842854,18.0180550658746,0.0657830137574718,970338.987584373,5.98692348139885,969511.512942747,40956.8683355599,CC-3-10W,1,25-Feb-25,0.1,100,65.0,970338.9875843923,4851694.937921961,485169493.7921961,7464146.058341478,7457780.868790525,315052.83335043787
B04,Unkn-02,18.9487404397749,18.8400498628556,0.102089110433085,532584.299948435,5.72638835972542,571955.595014143,37263.2113619451,CC-2-7W,1,25-Feb-25,0.1,100,100.0,532584.2999484289,2662921.4997421443,266292149.97421443,2662921.4997421443,2859777.975070711,186316.05680974666
B05,Unkn-02,18.7461829937629,18.8400498628556,0.102089110433085,606673.633063536,5.78295512027148,571955.595014143,37263.2113619451,CC-2-7W,1,25-Feb-25,0.1,100,100.0,606673.6330635371,3033368.1653176853,303336816.53176856,3033368.165317686,2859777.975070711,186316.05680974666
B06,Unkn-02,18.8252261550291,18.8400498628556,0.102089110433085,576608.852030459,5.76088130534056,571955.595014143,37263.2113619451,CC-2-7W,1,25-Feb-25,0.1,100,100.0,576608.852030461,2883044.2601523045,288304426.0152305,2883044.2601523045,2859777.975070711,186316.05680974666
B07,Unkn-10,18.6950617633502,18.5185461240978,0.176959454689276,626947.793821236,5.79723137847135,705340.090009855,80164.7674073088,CC-3-8W,1,25-Feb-25,0.1,100,100.0,626947.79382125,3134738.9691062495,313473896.910625,3134738.96910625,3526700.450049296,400823.8370364538
B08,Unkn-10,18.5194304405711,18.5185461240978,0.176959454689276,701905.546611124,5.84627867431574,705340.090009855,80164.7674073088,CC-3-8W,1,25-Feb-25,0.1,100,100.0,701905.5466111441,3509527.73305572,350952773.30557203,3509527.73305572,3526700.450049296,400823.8370364538
B09,Unkn-10,18.341146168372,18.5185461240978,0.176959454689276,787166.929597205,5.8960668402567,705340.090009855,80164.7674073088,CC-3-8W,1,25-Feb-25,0.1,100,100.0,787166.929597184,3935834.6479859194,393583464.7985919,3935834.647985919,3526700.450049296,400823.8370364538
B10,Unkn-18,18.624030098237,18.7182134367673,0.106498702721713,656247.830256654,5.8170678805144,618643.056664229,41920.2589062568,WC-4-10W,1,25-Feb-25,0.1,100,75.0,656247.8302566323,3281239.1512831612,328123915.1283161,4374985.535044215,4124287.0444281227,279468.3927082865
B11,Unkn-18,18.6968281191036,18.7182134367673,0.106498702721713,626236.102409737,5.79673810100906,618643.056664229,41920.2589062568,WC-4-10W,1,25-Feb-25,0.1,100,75.0,626236.1024097208,3131180.5120486035,313118051.2048603,4174907.3493981375,4124287.0444281227,279468.3927082865
B12,Unkn-18,18.8337820929614,18.7182134367673,0.106498702721713,573445.237326298,5.75849195011421,618643.056664229,41920.2589062568,WC-4-10W,1,25-Feb-25,0.1,100,75.0,573445.2373263023,2867226.1866315114,286722618.66315114,3822968.2488420154,4124287.0444281227,279468.3927082865
C04,Unkn-03,19.5655854218129,19.5723058704857,0.429344960140165,358200.75738606,5.55412649979397,365755.634880112,99711.5772726175,CC-3-7W,1,25-Feb-25,0.1,100,50.0,358200.7573860653,1791003.7869303266,179100378.69303265,3582007.573860653,3657556.348801129,997115.7727262523
C05,Unkn-03,20.0049716054727,19.5723058704857,0.429344960140165,270036.382668441,5.43142228166881,365755.634880112,99711.5772726175,CC-3-7W,1,25-Feb-25,0.1,100,50.0,270036.38266843115,1350181.9133421557,135018191.33421558,2700363.8266843115,3657556.348801129,997115.7727262523
C06,Unkn-03,19.1463605841714,19.5723058704857,0.429344960140165,469029.764585836,5.67120040387759,365755.634880112,99711.5772726175,CC-3-7W,1,25-Feb-25,0.1,100,50.0,469029.7645858423,2345148.8229292114,234514882.29292116,4690297.645858423,3657556.348801129,997115.7727262523
C07,Unkn-11,20.1691668552809,31.2828423653343,9.71081534817834,242978.952604131,5.38556865564041,80997.8701091657,140279.73246174,BLANK,1,25-Feb-25,0.1,100,,242978.952604123,1214894.763020615,121489476.30206151,,,
C08,Unkn-11,38.1298728266438,31.2828423653343,9.71081534817834,2.34321169568428,0.369811526375176,80997.8701091657,140279.73246174,BLANK,1,25-Feb-25,0.1,100,,2.343211695683972,11.716058478419859,1171.605847841986,,,
C09,Unkn-11,35.5494874140781,31.2828423653343,9.71081534817834,12.3145116705716,1.09041719465819,80997.8701091657,140279.73246174,BLANK,1,25-Feb-25,0.1,100,,12.314511670569727,61.57255835284863,6157.255835284863,,,
C10,Unkn-19,18.5822458162568,18.0760276348823,0.814072390505476,674119.168309949,5.82873667630491,1029419.49757004,587416.107997212,WC-5-10W,1,25-Feb-25,0.1,100,60.0,674119.1683099418,3370595.8415497085,337059584.1549708,5617659.735916181,8578495.813083554,4895134.23331007
C11,Unkn-19,18.5088640388357,18.0760276348823,0.814072390505476,706690.864732268,5.84922947730311,1029419.49757004,587416.107997212,WC-5-10W,1,25-Feb-25,0.1,100,60.0,706690.8647322461,3533454.3236612305,353345432.3661231,5889090.539435385,8578495.813083554,4895134.23331007
C12,Unkn-19,17.1369730495545,18.0760276348823,0.814072390505476,1707448.45966791,6.23234760311805,1029419.49757004,587416.107997212,WC-5-10W,1,25-Feb-25,0.1,100,60.0,1707448.4596678917,8537242.298339458,853724229.8339459,14228737.163899098,8578495.813083554,4895134.23331007
D04,Unkn-04,18.2017230050227,18.2489862038987,0.0489675464252307,860998.795579409,5.93500254393498,835501.160900617,26263.4899083048,WC-4-7W,1,25-Feb-25,0.1,100,150.0,860998.7955794197,4304993.977897098,430499397.7897098,2869995.985264732,2785003.8696687333,87544.96636099435
D05,Unkn-04,18.2994964775397,18.2489862038987,0.0489675464252307,808533.5576952,5.9076980497457,835501.160900617,26263.4899083048,WC-4-7W,1,25-Feb-25,0.1,100,150.0,808533.5576952209,4042667.7884761044,404266778.8476104,2695111.8589840694,2785003.8696687333,87544.96636099435
D06,Unkn-04,18.2457391291336,18.2489862038987,0.0489675464252307,836971.129427242,5.92271047765075,835501.160900617,26263.4899083048,WC-4-7W,1,25-Feb-25,0.1,100,150.0,836971.1294272197,4184855.6471360987,418485564.7136099,2789903.764757399,2785003.8696687333,87544.96636099435
D07,Unkn-12,18.1520319874565,18.1690976862916,0.112934503439384,888954.221934834,5.94887939688361,880790.449958235,63405.5016291277,WC-4-8W,1,25-Feb-25,0.1,100,100.0,888954.2219348286,4444771.109674143,444477110.96741426,4444771.109674143,4403952.24979119,317027.50814562384
D08,Unkn-12,18.2895938042822,18.1690976862916,0.112934503439384,813698.467499791,5.91046349805656,880790.449958235,63405.5016291277,WC-4-8W,1,25-Feb-25,0.1,100,100.0,813698.4674998006,4068492.337499003,406849233.7499003,4068492.337499003,4403952.24979119,317027.50814562384
D09,Unkn-12,18.0656672671362,18.1690976862916,0.112934503439384,939718.660440079,5.97299785093292,880790.449958235,63405.5016291277,WC-4-8W,1,25-Feb-25,0.1,100,100.0,939718.660440085,4698593.3022004245,469859330.22004247,4698593.3022004245,4403952.24979119,317027.50814562384
D10,Unkn-20,17.4941362328177,17.4569034059688,0.0358135788953805,1357079.25193062,6.13260521071878,1390207.57652168,31966.5850218494,WC-6-10W,1,25-Feb-25,0.1,100,95.0,1357079.2519306228,6785396.259653114,678539625.9653114,7142522.378582225,7316881.981693114,168245.18432553305
D11,Unkn-20,17.4227017467354,17.4569034059688,0.0358135788953805,1420869.54504021,6.15255420567555,1390207.57652168,31966.5850218494,WC-6-10W,1,25-Feb-25,0.1,100,95.0,1420869.5450402112,7104347.725201055,710434772.5201056,7478260.763369532,7316881.981693114,168245.18432553305
D12,Unkn-20,17.4538722383532,17.4569034059688,0.0358135788953805,1392673.93259419,6.14384944675325,1390207.57652168,31966.5850218494,WC-6-10W,1,25-Feb-25,0.1,100,95.0,1392673.9325942409,6963369.662971204,696336966.2971205,7329862.803127584,7316881.981693114,168245.18432553305
E04,Unkn-05,18.5216442726235,18.5546500566786,0.0861814019948374,700907.058159921,5.84566043336701,686884.295178562,37530.5348481163,WC-5-7W,1,25-Feb-25,0.1,100,150.0,700907.0581599207,3504535.2907996033,350453529.07996035,2336356.860533069,2289614.3172618933,125101.78282709638
E05,Unkn-05,18.4898498262939,18.5546500566786,0.0861814019948374,715384.357403426,5.85453943963229,686884.295178562,37530.5348481163,WC-5-7W,1,25-Feb-25,0.1,100,150.0,715384.3574034492,3576921.7870172462,357692178.70172465,2384614.524678164,2289614.3172618933,125101.78282709638
E06,Unkn-05,18.6524560711184,18.5546500566786,0.0861814019948374,644361.469972341,5.8091295635928,686884.295178562,37530.5348481163,WC-5-7W,1,25-Feb-25,0.1,100,150.0,644361.469972334,3221807.34986167,322180734.98616695,2147871.5665744464,2289614.3172618933,125101.78282709638
E07,Unkn-13,18.1903082583079,18.2527878617623,0.110036078992512,867341.762401618,5.93819025812088,834558.199221484,57797.7243945453,WC-5-8W,1,25-Feb-25,0.1,100,150.0,867341.7624015983,4336708.812007991,433670881.20079905,2891139.208005327,2781860.6640715823,192659.08131508445
E08,Unkn-13,18.3798408308736,18.2527878617623,0.110036078992512,767822.54576901,5.88526086026812,834558.199221484,57797.7243945453,WC-5-8W,1,25-Feb-25,0.1,100,150.0,767822.545769024,3839112.7288451195,383911272.88451195,2559408.485896746,2781860.6640715823,192659.08131508445
E09,Unkn-13,18.1882144961054,18.2527878617623,0.110036078992512,868510.289493823,5.93877496802655,834558.199221484,57797.7243945453,WC-5-8W,1,25-Feb-25,0.1,100,150.0,868510.289493802,4342551.44746901,434255144.746901,2895034.2983126733,2781860.6640715823,192659.08131508445
E10,Unkn-21,18.7241208561482,18.5600510705095,0.142128188968797,615341.569205857,5.78911625470596,685680.794114784,60935.3944658492,INF10,1,25-Feb-25,0.1,100,200.0,615341.5692058572,3076707.846029286,307670784.6029286,1538353.923014643,1714201.985286967,152338.48616462873
E11,Unkn-21,18.4746618998399,18.5600510705095,0.142128188968797,722405.198554428,5.85878086257591,685680.794114784,60935.3944658492,INF10,1,25-Feb-25,0.1,100,200.0,722405.1985544356,3612025.992772178,361202599.2772178,1806012.9963860891,1714201.985286967,152338.48616462873
E12,Unkn-21,18.4813704555403,18.5600510705095,0.142128188968797,719295.614584067,5.85690741249355,685680.794114784,60935.3944658492,INF10,1,25-Feb-25,0.1,100,200.0,719295.6145840674,3596478.072920337,359647807.2920337,1798239.0364601684,1714201.985286967,152338.48616462873
F04,Unkn-06,18.1681274351747,17.9846128866954,0.165260021467878,879801.173687378,5.94438453700617,993674.47546903,103255.277542315,WC-6-7W,1,25-Feb-25,0.1,100,150.0,879801.1736873656,4399005.868436827,439900586.8436827,2932670.5789578846,3312248.251563451,344184.25847443164
F05,Unkn-06,17.8475490724433,17.9846128866954,0.165260021467878,1081210.23903243,6.03391014980345,993674.47546903,103255.277542315,WC-6-7W,1,25-Feb-25,0.1,100,150.0,1081210.239032447,5406051.195162235,540605119.5162234,3604034.1301081562,3312248.251563451,344184.25847443164
F06,Unkn-06,17.9381621524682,17.9846128866954,0.165260021467878,1020012.01368728,6.00860528690639,993674.47546903,103255.277542315,WC-6-7W,1,25-Feb-25,0.1,100,150.0,1020012.0136872937,5100060.068436468,510006006.8436468,3400040.045624312,3312248.251563451,344184.25847443164
F07,Unkn-14,18.2135485841927,18.2006690585126,0.0313681235515938,854476.453500587,5.93170009952526,861699.756784112,17469.569676203,WC-6-8W,1,25-Feb-25,0.1,100,125.0,854476.4535005976,4272382.267502988,427238226.7502988,3417905.8140023905,3446799.027136428,69878.27870475224
