Well,Content,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,SampleID,Plate,Date,Dilution,ul_dna_eluted,mL_sample,Unnamed: 8,calc_qty,per_ul_dna,copies_in_dna,copies_per_g_sample,avg_copies_per_g_sample,avg_std
A04,Unkn-01,24.4797727606655,23.6995506733881,0.675787829534077,81789.0716128063,4.91269527854514,146823.145734093,56337.7735128645,WC-4-16W,2,24-Jan-25,0.1,100,85,,81789.07161280113,408945.3580640056,40894535.80640056,481112.1859576536,863665.5631416924,331398.6677227343
A05,Unkn-01,23.3208111485511,23.6995506733881,0.675787829534077,177972.108682307,5.25035194616013,146823.145734093,56337.7735128645,WC-4-16W,2,24-Jan-25,0.1,100,85,,177972.10868229944,889860.5434114971,88986054.34114972,1046894.7569547025,863665.5631416924,331398.6677227343
A06,Unkn-01,23.2980681109479,23.6995506733881,0.675787829534077,180708.256907165,5.25697799676289,146823.145734093,56337.7735128645,WC-4-16W,2,24-Jan-25,0.1,100,85,,180708.25690716255,903541.2845358127,90354128.45358127,1062989.7465127208,863665.5631416924,331398.6677227343
A07,Unkn-09,25.2314082658571,26.4809990814288,3.09166778054868,49398.149817011,4.69371068294571,49815.0464442552,48011.7668546669,WC-5-21W,2,24-Jan-25,0.1,100,100,,49398.14981701006,246990.74908505028,24699074.908505026,246990.74908505025,249075.23222126337,240058.83427331888
A08,Unkn-09,24.2097106229373,26.4809990814288,3.09166778054868,98033.9040917763,4.99137629827963,49815.0464442552,48011.7668546669,WC-5-21W,2,24-Jan-25,0.1,100,100,,98033.90409176986,490169.52045884926,49016952.04588493,490169.5204588493,249075.23222126337,240058.83427331888
A09,Unkn-09,30.001878355492,26.4809990814288,3.09166778054868,2013.08542397835,3.30386220428521,49815.0464442552,48011.7668546669,WC-5-21W,2,24-Jan-25,0.1,100,100,,2013.0854239781138,10065.427119890568,1006542.7119890568,10065.427119890568,249075.23222126337,240058.83427331888
A10,Unkn-17,29.2896547532228,29.7751191154115,0.551469814476197,3246.11852530772,3.51136437314497,2448.02621090016,842.285065803181,CC-2-28W,2,24-Jan-25,0.1,100,75,,3246.118525307525,16230.592626537624,1623059.2626537625,21640.790168716834,16320.174739333024,5615.233772021123
A11,Unkn-17,29.6609728563306,29.7751191154115,0.551469814476197,2530.36412628059,3.4031830218302,2448.02621090016,842.285065803181,CC-2-28W,2,24-Jan-25,0.1,100,75,,2530.364126280339,12651.820631401693,1265182.0631401693,16869.094175202255,16320.174739333024,5615.233772021123
A12,Unkn-17,30.3747297366812,29.7751191154115,0.551469814476197,1567.59598111217,3.19523414139509,2448.02621090016,842.285065803181,CC-2-28W,2,24-Jan-25,0.1,100,75,,1567.5959811119974,7837.979905559987,783797.9905559986,10450.639874079981,16320.174739333024,5615.233772021123
B04,Unkn-02,25.7168880655979,24.4429792291137,1.14547855957514,35667.1978573536,4.55226899095058,99410.3576086575,61348.5995259004,WC-5-16W,2,24-Jan-25,0.1,100,85,,35667.19785735145,178335.98928675725,17833598.928675726,209807.04621971442,584766.8094626673,360874.11485823174
