Well,Content,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,SampleID,Plate,Date,Dilution,ul_dna_eluted,mL_sample,calc_qty,per_ul_dna,copies_in_dna,copies_per_g_sample,avg_copies_per_g_sample,avg_std
A04,Unkn-01,31.286484594106,30.1610344431298,0.9746919125661,21283.3210706749,4.32803939665551,45611.298280896,21069.9156020088,CC-1-35,5,30-Jan-25,0.1,100,419.0,21283.321070673843,106416.6053533692,10641660.535336921,25397.757840899572,54428.756898440806,25143.097377097296
A05,Unkn-01,29.605076395971,30.1610344431298,0.9746919125661,57544.0140601094,4.76000015340678,45611.298280896,21069.9156020088,CC-1-35,5,30-Jan-25,0.1,100,419.0,57544.0140601054,287720.070300527,28772007.0300527,68668.27453473197,54428.756898440806,25143.097377097296
A06,Unkn-01,29.5915423393123,30.1610344431298,0.9746919125661,58006.5597119037,4.76347710883181,45611.298280896,21069.9156020088,CC-1-35,5,30-Jan-25,0.1,100,419.0,58006.55971190097,290032.79855950485,29003279.855950486,69220.23831969089,54428.756898440806,25143.097377097296
A07,Unkn-09,30.0381967498862,29.7984496721352,0.745359354529456,44537.8997859115,4.64872973373765,54919.1820972735,25660.9064486409,CC-3-37,5,30-Jan-25,0.1,100,246.0,44537.899785909154,222689.49892954575,22268949.892954573,90524.18655672591,111624.35385624137,52156.31392000007
A08,Unkn-09,28.9627189048845,29.7984496721352,0.745359354529456,84144.2538254635,4.92502446354297,54919.1820972735,25660.9064486409,CC-3-37,5,30-Jan-25,0.1,100,246.0,84144.25382545969,420721.26912729844,42072126.912729844,171024.9061493083,111624.35385624137,52156.31392000007
A09,Unkn-09,30.3944333616348,29.7984496721352,0.745359354529456,36075.3926804456,4.55721106708424,54919.1820972735,25660.9064486409,CC-3-37,5,30-Jan-25,0.1,100,246.0,36075.392680443416,180376.96340221708,18037696.340221707,73323.96886268987,111624.35385624137,52156.31392000007
B04,Unkn-02,31.2300310734886,31.2635503859414,0.202371101850897,22006.0725702168,4.3425425408142,21676.2165957259,2552.69211671116,CC-2-35,5,30-Jan-25,0.1,100,244.0,22006.072570216118,110030.36285108059,11003036.285108058,45094.41100454122,44418.47663058359,5230.926468669431
B05,Unkn-02,31.4805883601003,31.2635503859414,0.202371101850897,18974.6307049017,4.27817333216256,21676.2165957259,2552.69211671116,CC-2-35,5,30-Jan-25,0.1,100,244.0,18974.63070490085,94873.15352450425,9487315.352450425,38882.439969059116,44418.47663058359,5230.926468669431
B06,Unkn-02,31.0800317242354,31.2635503859414,0.202371101850897,24047.9465120593,4.38107799727713,21676.2165957259,2552.69211671116,CC-2-35,5,30-Jan-25,0.1,100,244.0,24047.946512057406,120239.73256028703,12023973.256028702,49278.57891815042,44418.47663058359,5230.926468669431
B07,Unkn-10,31.7404488693543,30.1793287005295,1.35754715965943,16270.9940751131,4.21141408693489,48880.4410886672,28634.2934739565,CC-1-38,5,30-Jan-25,0.1,100,279.0,16270.994075111925,81354.97037555961,8135497.037555961,29159.48758980631,87599.3567897224,51315.93812536862
