Well,Content,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,SampleID,Plate,Date,Dilution,ul_dna_eluted,mL_sample,calc_qty,per_ul_dna,copies_in_dna,copies_per_g_sample,avg_copies_per_g_sample,avg_std
A04,Unkn-01,23.5612362679075,23.6559651104769,0.0828553232199444,12.2076577301408,1.08663234433337,8.61756212183676,3.12603193258214,INF15,3,6-Feb-25,0.1,100,250.0,12.207657730132535,61.03828865066267,6103.828865066267,24.41531546026507,17.235124243659733,6.252063865161717
A05,Unkn-01,23.6917174959805,23.6559651104769,0.0828553232199444,7.14730007160578,0.854142015864546,8.61756212183676,3.12603193258214,INF15,3,6-Feb-25,0.1,100,250.0,7.147300071598929,35.73650035799464,3573.650035799464,14.294600143197856,17.235124243659733,6.252063865161717
A06,Unkn-01,23.7149415675427,23.6559651104769,0.0828553232199444,6.49772856376366,0.812761565161961,8.61756212183676,3.12603193258214,INF15,3,6-Feb-25,0.1,100,250.0,6.497728563758138,32.48864281879069,3248.8642818790686,12.995457127516275,17.235124243659733,6.252063865161717
A07,Unkn-09,18.5313982297486,17.9848986453385,0.473290505858805,11188051156.4923,10.0487544434817,219162822877.39,180148299450.006,CC-1-18W,3,6-Feb-25,0.1,100,50.0,11188051156.500816,55940255782.50408,5594025578250.408,111880511565.00816,2191628228776.3835,1801482994502.1323
A08,Unkn-09,17.7089000141495,17.9848986453385,0.473290505858805,326794456322.683,11.5142746806361,219162822877.39,180148299450.006,CC-1-18W,3,6-Feb-25,0.1,100,50.0,326794456322.9969,1633972281614.9844,163397228161498.44,3267944563229.9688,2191628228776.3835,1801482994502.1323
A09,Unkn-09,17.7143976921173,17.9848986453385,0.473290505858805,319505961152.994,11.5044789653792,219162822877.39,180148299450.006,CC-1-18W,3,6-Feb-25,0.1,100,50.0,319505961153.41736,1597529805767.0867,159752980576708.66,3195059611534.1733,2191628228776.3835,1801482994502.1323
A10,Unkn-17,16.6103139671148,16.7989382450146,0.210594517829058,29629603385342.6,13.4717258381588,17006766798391.1,12155515404780.8,CC-2-19W,3,6-Feb-25,0.1,100,50.0,29629603385382.72,148148016926913.6,1.481480169269136e+16,296296033853827.2,170067667984155.1,121555154047971.47
A11,Unkn-17,16.7603379606184,16.7989382450146,0.210594517829058,16010849622420.9,13.2044143785488,17006766798391.1,12155515404780.8,CC-2-19W,3,6-Feb-25,0.1,100,50.0,16010849622446.824,80054248112234.11,8005424811223411.0,160108496224468.22,170067667984155.1,121555154047971.47
A12,Unkn-17,17.0261628073106,16.7989382450146,0.210594517829058,5379847387409.8,12.730769956011,17006766798391.1,12155515404780.8,CC-2-19W,3,6-Feb-25,0.1,100,50.0,5379847387416.991,26899236937084.953,2689923693708495.5,53798473874169.91,170067667984155.1,121555154047971.47
B04,Unkn-02,17.0379862627831,17.0574403526861,0.0550464862124754,5125108038722.69,12.7097030248744,4809917785235.01,1022246818805.01,CC-1-17W,3,6-Feb-25,0.1,100,60.0,5125108038728.872,25625540193644.36,2562554019364436.0,42709233656073.93,40082648210345.1,8518723490053.864
B05,Unkn-02,17.1195722584224,17.0574403526861,0.0550464862124754,3667193282908.07,12.5643338004674,4809917785235.01,1022246818805.01,CC-1-17W,3,6-Feb-25,0.1,100,60.0,3667193282913.0244,18335966414565.12,1833596641456512.0,30559944024275.2,40082648210345.1,8518723490053.864
B06,Unkn-02,17.0147625368528,17.0574403526861,0.0550464862124754,5637452034074.27,12.7510828597329,4809917785235.01,1022246818805.01,CC-1-17W,3,6-Feb-25,0.1,100,60.0,5637452034082.34,28187260170411.7,2818726017041170.0,46978766950686.164,40082648210345.1,8518723490053.864
B07,Unkn-10,17.2599693725269,17.3127022430694,0.0904641304401454,2061462465310.33,12.3141754316637,1732028384702.39,563241983770.04,CC-2-18W,3,6-Feb-25,0.1,100,50.0,2061462465312.9282,10307312326564.64,1030731232656464.0,20614624653129.28,17320283847046.516,5632419837706.644
B08,Unkn-10,17.4171596007936,17.3127022430694,0.0904641304401454,1081671125530.88,12.0340952366689,1732028384702.39,563241983770.04,CC-2-18W,3,6-Feb-25,0.1,100,50.0,1081671125532.4215,5408355627662.107,540835562766210.75,10816711255324.215,17320283847046.516,5632419837706.644
B09,Unkn-10,17.2609777558878,17.3127022430694,0.0904641304401454,2052951563265.96,12.3123787028755,1732028384702.39,563241983770.04,CC-2-18W,3,6-Feb-25,0.1,100,50.0,2052951563268.6047,10264757816343.023,1026475781634302.4,20529515632686.047,17320283847046.516,5632419837706.644
B10,Unkn-18,19.084842524728,19.1801848657264,0.0832166204758507,1155133462.70723,9.06263216498031,813704572.389907,296945560.400671,CC-3-19W,3,6-Feb-25,0.1,100,60.0,1155133462.7078485,5775667313.539243,577566731353.9243,9626112189.232073,6780871436.587017,2474546336.672866
B11,Unkn-18,19.2174933901775,19.1801848657264,0.0832166204758507,670310458.198811,8.82627599531884,813704572.389907,296945560.400671,CC-3-19W,3,6-Feb-25,0.1,100,60.0,670310458.1993538,3351552290.996769,335155229099.6769,5585920484.994615,6780871436.587017,2474546336.672866
B12,Unkn-18,19.2382186822738,19.1801848657264,0.0832166204758507,615669796.263675,8.78934784834904,813704572.389907,296945560.400671,CC-3-19W,3,6-Feb-25,0.1,100,60.0,615669796.2641238,3078348981.3206186,307834898132.0619,5130581635.534365,6780871436.587017,2474546336.672866
C04,Unkn-03,17.2178495330248,17.1689273513295,0.0447860578922251,2450327865693.02,12.3892241989501,3028120950053.64,537888003116.239,CC-2-17W,3,6-Feb-25,0.1,100,50.0,2450327865696.4717,12251639328482.357,1225163932848235.8,24503278656964.715,30281209500579.27,5378880031171.135
C05,Unkn-03,17.1299488197586,17.1689273513295,0.0447860578922251,3514349364077.2,12.545844932842,3028120950053.64,537888003116.239,CC-2-17W,3,6-Feb-25,0.1,100,50.0,3514349364082.4424,17571746820412.21,1757174682041221.0,35143493640824.42,30281209500579.27,5378880031171.135
C06,Unkn-03,17.1589837012049,17.1689273513295,0.0447860578922251,3119685620390.69,12.494110831131,3028120950053.64,537888003116.239,CC-2-17W,3,6-Feb-25,0.1,100,50.0,3119685620394.867,15598428101974.336,1559842810197433.5,31196856203948.67,30281209500579.27,5378880031171.135
C07,Unkn-11,20.5663768374389,20.5886259945213,0.0601580909411823,2647567.77033922,6.42284708564738,2463970.74118834,567476.147295928,CC-3-18W,3,6-Feb-25,0.1,100,55.0,2647567.770339673,13237838.851698363,1323783885.1698363,24068797.91217884,22399734.010808248,5158874.066329564
C08,Unkn-11,20.6567394067278,20.5886259945213,0.0601580909411823,1827426.16107864,6.26183983789586,2463970.74118834,567476.147295928,CC-3-18W,3,6-Feb-25,0.1,100,55.0,1827426.1610788973,9137130.805394486,913713080.5394485,16612965.100717245,22399734.010808248,5158874.066329564
C09,Unkn-11,20.5427617393972,20.5886259945213,0.0601580909411823,2916918.29214716,6.46492426396348,2463970.74118834,567476.147295928,CC-3-18W,3,6-Feb-25,0.1,100,55.0,2916918.2921481538,14584591.460740767,1458459146.0740767,26517439.019528665,22399734.010808248,5158874.066329564
C10,Unkn-19,20.0980419884278,20.1727445316478,0.14680568810683,18085148.7963799,7.25732208628984,14781843.452433,7083057.51903955,WC-4-19W,3,6-Feb-25,0.1,100,105.0,18085148.796382222,90425743.98191111,9042574398.19111,86119756.17324868,70389730.72588262,33728845.328768276
C11,Unkn-19,20.0783135677787,20.1727445316478,0.14680568810683,19609838.4693013,7.29247401630011,14781843.452433,7083057.51903955,WC-4-19W,3,6-Feb-25,0.1,100,105.0,19609838.469305582,98049192.3465279,9804919234.65279,93380183.18716943,70389730.72588262,33728845.328768276
C12,Unkn-19,20.3418780387369,20.1727445316478,0.14680568810683,6650543.09161787,6.82285711177862,14781843.452433,7083057.51903955,WC-4-19W,3,6-Feb-25,0.1,100,105.0,6650543.091618248,33252715.45809124,3325271545.809124,31669252.81722975,70389730.72588262,33728845.328768276
