Well,SampleID,Content,Plate,Date,Dilution,ul_dna_eluted,mL_sample
A04,CC-1-20,Unkn-01,1,9-Jul-24,0.1,100,262
A05,CC-1-20,Unkn-01,1,9-Jul-24,0.1,100,262
A06,CC-1-20,Unkn-01,1,9-Jul-24,0.1,100,262
A07,CC-3-21,Unkn-09,1,9-Jul-24,0.1,100,243
A08,CC-3-21,Unkn-09,1,9-Jul-24,0.1,100,243
A09,CC-3-21,Unkn-09,1,9-Jul-24,0.1,100,243
A10,CC-2-25,Unkn-17,1,9-Jul-24,0.1,100,287
A11,CC-2-25,Unkn-17,1,9-Jul-24,0.1,100,287
A12,CC-2-25,Unkn-17,1,9-Jul-24,0.1,100,287
B04,CC-2-20,Unkn-02,1,9-Jul-24,0.1,100,267
B05,CC-2-20,Unkn-02,1,9-Jul-24,0.1,100,267
B06,CC-2-20,Unkn-02,1,9-Jul-24,0.1,100,267
B07,WC-4-21,Unkn-10,1,9-Jul-24,0.1,100,273
B08,WC-4-21,Unkn-10,1,9-Jul-24,0.1,100,273
B09,WC-4-21,Unkn-10,1,9-Jul-24,0.1,100,273
B10,CC-3-25,Unkn-18,1,9-Jul-24,0.1,100,250
B11,CC-3-25,Unkn-18,1,9-Jul-24,0.1,100,250
B12,CC-3-25,Unkn-18,1,9-Jul-24,0.1,100,250
C04,CC-3-20,Unkn-03,1,9-Jul-24,0.1,100,297
C05,CC-3-20,Unkn-03,1,9-Jul-24,0.1,100,297
C06,CC-3-20,Unkn-03,1,9-Jul-24,0.1,100,297
C07,WC-5-21,Unkn-11,1,9-Jul-24,0.1,100,246
C08,WC-5-21,Unkn-11,1,9-Jul-24,0.1,100,246
C09,WC-5-21,Unkn-11,1,9-Jul-24,0.1,100,246
C10,WC-4-27,Unkn-19,1,9-Jul-24,0.1,100,277
C11,WC-4-27,Unkn-19,1,9-Jul-24,0.1,100,277
C12,WC-4-27,Unkn-19,1,9-Jul-24,0.1,100,277
D04,WC-4-20,Unkn-04,1,9-Jul-24,0.1,100,300
D05,WC-4-20,Unkn-04,1,9-Jul-24,0.1,100,300
D06,WC-4-20,Unkn-04,1,9-Jul-24,0.1,100,300
D07,WC-6-21,Unkn-12,1,9-Jul-24,0.1,100,246
D08,WC-6-21,Unkn-12,1,9-Jul-24,0.1,100,246
D09,WC-6-21,Unkn-12,1,9-Jul-24,0.1,100,246
D10,WC-5-27,Unkn-20,1,9-Jul-24,0.1,100,251
D11,WC-5-27,Unkn-20,1,9-Jul-24,0.1,100,251
D12,WC-5-27,Unkn-20,1,9-Jul-24,0.1,100,251
E04,WC-5-20,Unkn-05,1,9-Jul-24,0.1,100,281
E05,WC-5-20,Unkn-05,1,9-Jul-24,0.1,100,281
E06,WC-5-20,Unkn-05,1,9-Jul-24,0.1,100,281
E07,WC-4-24,Unkn-13,1,9-Jul-24,0.1,100,268
E08,WC-4-24,Unkn-13,1,9-Jul-24,0.1,100,268
E09,WC-4-24,Unkn-13,1,9-Jul-24,0.1,100,268
E10,WC-6-27,Unkn-21,1,9-Jul-24,0.1,100,281
E11,WC-6-27,Unkn-21,1,9-Jul-24,0.1,100,281
E12,WC-6-27,Unkn-21,1,9-Jul-24,0.1,100,281
F04,WC-6-20,Unkn-06,1,9-Jul-24,0.1,100,245
F05,WC-6-20,Unkn-06,1,9-Jul-24,0.1,100,245
F06,WC-6-20,Unkn-06,1,9-Jul-24,0.1,100,245
F07,WC-5-24,Unkn-14,1,9-Jul-24,0.1,100,258
F08,WC-5-24,Unkn-14,1,9-Jul-24,0.1,100,258
F09,WC-5-24,Unkn-14,1,9-Jul-24,0.1,100,258
F10,CC-1-28,Unkn-22,1,9-Jul-24,0.1,100,268
F11,CC-1-28,Unkn-22,1,9-Jul-24,0.1,100,268
F12,CC-1-28,Unkn-22,1,9-Jul-24,0.1,100,268
G04,CC-1-21,Unkn-07,1,9-Jul-24,0.1,100,247
G05,CC-1-21,Unkn-07,1,9-Jul-24,0.1,100,247
G06,CC-1-21,Unkn-07,1,9-Jul-24,0.1,100,247
G07,WC-6-24,Unkn-15,1,9-Jul-24,0.1,100,258
G08,WC-6-24,Unkn-15,1,9-Jul-24,0.1,100,258
G09,WC-6-24,Unkn-15,1,9-Jul-24,0.1,100,258
G10,CC-2-28,Unkn-23,1,9-Jul-24,0.1,100,277
G11,CC-2-28,Unkn-23,1,9-Jul-24,0.1,100,277
G12,CC-2-28,Unkn-23,1,9-Jul-24,0.1,100,277
H04,CC-2-21,Unkn-08,1,9-Jul-24,0.1,100,277
H05,CC-2-21,Unkn-08,1,9-Jul-24,0.1,100,277
H06,CC-2-21,Unkn-08,1,9-Jul-24,0.1,100,277
H07,CC-1-25,Unkn-16,1,9-Jul-24,0.1,100,265
H08,CC-1-25,Unkn-16,1,9-Jul-24,0.1,100,265
H09,CC-1-25,Unkn-16,1,9-Jul-24,0.1,100,265
H10,CC-3-28,Unkn-24,1,9-Jul-24,0.1,100,275
H11,CC-3-28,Unkn-24,1,9-Jul-24,0.1,100,275
H12,CC-3-28,Unkn-24,1,9-Jul-24,0.1,100,275
A04,WC-4-28,Unkn-01,2,9-Jul-24,0.1,100,288.9
A05,WC-4-28,Unkn-01,2,9-Jul-24,0.1,100,288.9
A06,WC-4-28,Unkn-01,2,9-Jul-24,0.1,100,288.9
A07,WC-6-29,Unkn-09,2,9-Jul-24,0.1,100,252
A08,WC-6-29,Unkn-09,2,9-Jul-24,0.1,100,252
A09,WC-6-29,Unkn-09,2,9-Jul-24,0.1,100,252
A10,CC-2-31,Unkn-17,2,9-Jul-24,0.1,100,259.4
A11,CC-2-31,Unkn-17,2,9-Jul-24,0.1,100,259.4
A12,CC-2-31,Unkn-17,2,9-Jul-24,0.1,100,259.4
B04,WC-5-28,Unkn-02,2,9-Jul-24,0.1,100,251.9
B05,WC-5-28,Unkn-02,2,9-Jul-24,0.1,100,251.9
B06,WC-5-28,Unkn-02,2,9-Jul-24,0.1,100,251.9
B07,CC-1-30,Unkn-10,2,9-Jul-24,0.1,100,229.5
B08,CC-1-30,Unkn-10,2,9-Jul-24,0.1,100,229.5
