,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,,Std-01,,17643.4224187551,,Standard,Unassigned,False
,A02,SYBR,,Std-01,,18171.5977605024,,Standard,Unassigned,False
,A03,SYBR,,Std-01,,18275.4060801712,,Standard,Unassigned,False
,A04,SYBR,,Unkn-01,,11691.4509313045,,Unknown,Unassigned,False
,A05,SYBR,,Unkn-01,,12884.0892789931,,Unknown,Unassigned,False
,A06,SYBR,,Unkn-01,,12426.9789581477,,Unknown,Unassigned,False
,A07,SYBR,,Unkn-09,,11932.1526080314,,Unknown,Unassigned,False
,A08,SYBR,,Unkn-09,,12080.7970610191,,Unknown,Unassigned,False
,A09,SYBR,,Unkn-09,,12186.4913078327,,Unknown,Unassigned,False
,A10,SYBR,,Unkn-17,,12080.5150371039,,Unknown,Unassigned,False
,A11,SYBR,,Unkn-17,,11772.8403258952,,Unknown,Unassigned,False
,A12,SYBR,,Unkn-17,,11891.2987481893,,Unknown,Unassigned,False
,B01,SYBR,,Std-02,,17892.3705431931,,Standard,Unassigned,False
,B02,SYBR,,Std-02,,18498.272077152,,Standard,Unassigned,False
,B03,SYBR,,Std-02,,19133.0470616395,,Standard,Unassigned,False
,B04,SYBR,,Unkn-02,,13075.806182838,,Unknown,Unassigned,False
,B05,SYBR,,Unkn-02,,13551.0078142931,,Unknown,Unassigned,False
,B06,SYBR,,Unkn-02,,13578.9354085654,,Unknown,Unassigned,False
,B07,SYBR,,Unkn-10,,12918.4932670024,,Unknown,Unassigned,False
,B08,SYBR,,Unkn-10,,13914.4239123924,,Unknown,Unassigned,False
,B09,SYBR,,Unkn-10,,13156.1549428289,,Unknown,Unassigned,False
,B10,SYBR,,Unkn-18,,12231.1016388032,,Unknown,Unassigned,False
,B11,SYBR,,Unkn-18,,12599.6316093199,,Unknown,Unassigned,False
,B12,SYBR,,Unkn-18,,11126.7187648494,,Unknown,Unassigned,False
,C01,SYBR,,Std-03,,17184.6473463029,,Standard,Unassigned,False
,C02,SYBR,,Std-03,,19062.9963735633,,Standard,Unassigned,False
,C03,SYBR,,Std-03,,18418.2983418908,,Standard,Unassigned,False
,C04,SYBR,,Unkn-03,,11723.2434879491,,Unknown,Unassigned,False
,C05,SYBR,,Unkn-03,,12193.2305718459,,Unknown,Unassigned,False
,C06,SYBR,,Unkn-03,,11280.0328879463,,Unknown,Unassigned,False
,C07,SYBR,,Unkn-11,,14426.4706244754,,Unknown,Unassigned,False
,C08,SYBR,,Unkn-11,,15127.4456495722,,Unknown,Unassigned,False
,C09,SYBR,,Unkn-11,,14718.7169278172,,Unknown,Unassigned,False
,C10,SYBR,,Unkn-19,,14897.8962123905,,Unknown,Unassigned,False
,C11,SYBR,,Unkn-19,,15929.3571191988,,Unknown,Unassigned,False
,C12,SYBR,,Unkn-19,,13724.7888937199,,Unknown,Unassigned,False
,D01,SYBR,,Std-04,,18501.4679080282,,Standard,Unassigned,False
,D02,SYBR,,Std-04,,18260.8969442751,,Standard,Unassigned,False
,D03,SYBR,,Std-04,,18541.8320179278,,Standard,Unassigned,False
,D04,SYBR,,Unkn-04,,12165.3849005744,,Unknown,Unassigned,False
,D05,SYBR,,Unkn-04,,14461.1483340141,,Unknown,Unassigned,False
,D06,SYBR,,Unkn-04,,13649.7488622634,,Unknown,Unassigned,False
,D07,SYBR,,Unkn-12,,13992.184961804,,Unknown,Unassigned,False
,D08,SYBR,,Unkn-12,,14473.1623948788,,Unknown,Unassigned,False
,D09,SYBR,,Unkn-12,,12842.9143904602,,Unknown,Unassigned,False
,D10,SYBR,,Unkn-20,,7308.1232769885,,Unknown,Unassigned,False
,D11,SYBR,,Unkn-20,,7745.77748698645,,Unknown,Unassigned,False
,D12,SYBR,,Unkn-20,,6650.60889400135,,Unknown,Unassigned,False
,E01,SYBR,,Std-05,,17499.4337422306,,Standard,Unassigned,False
,E02,SYBR,,Std-05,,18475.687928604,,Standard,Unassigned,False
,E03,SYBR,,Std-05,,18572.2576229629,,Standard,Unassigned,False
,E04,SYBR,,Unkn-05,,13662.8700811501,,Unknown,Unassigned,False
,E05,SYBR,,Unkn-05,,13025.6969047906,,Unknown,Unassigned,False
,E06,SYBR,,Unkn-05,,13825.304085984,,Unknown,Unassigned,False
,E07,SYBR,,Unkn-13,,14686.8792197965,,Unknown,Unassigned,False
,E08,SYBR,,Unkn-13,,13781.871915614,,Unknown,Unassigned,False
,E09,SYBR,,Unkn-13,,13219.4911820694,,Unknown,Unassigned,False
,E10,SYBR,,Unkn-21,,12687.6054321141,,Unknown,Unassigned,False
,E11,SYBR,,Unkn-21,,11643.5121465986,,Unknown,Unassigned,False
,E12,SYBR,,Unkn-21,,12079.05620717,,Unknown,Unassigned,False
,F01,SYBR,,Std-06,,17495.1227835383,,Standard,Unassigned,False
,F02,SYBR,,Std-06,,17510.7396788462,,Standard,Unassigned,False
,F03,SYBR,,Std-06,,18783.3358798395,,Standard,Unassigned,False
,F04,SYBR,,Unkn-06,,14003.7336912027,,Unknown,Unassigned,False
,F05,SYBR,,Unkn-06,,14464.7571421923,,Unknown,Unassigned,False
,F06,SYBR,,Unkn-06,,14065.0214421024,,Unknown,Unassigned,False
,F07,SYBR,,Unkn-14,,13673.0246682655,,Unknown,Unassigned,False
,F08,SYBR,,Unkn-14,,13569.4783299703,,Unknown,Unassigned,False
,F09,SYBR,,Unkn-14,,13534.991887734,,Unknown,Unassigned,False
,F10,SYBR,,Unkn-22,,11801.9588093411,,Unknown,Unassigned,False
,F11,SYBR,,Unkn-22,,10915.6805320062,,Unknown,Unassigned,False
,F12,SYBR,,Unkn-22,,9813.0519550281,,Unknown,Unassigned,False
,G01,SYBR,,Std-07,,17055.1847746545,,Standard,Unassigned,False
,G02,SYBR,,Std-07,,15759.7118673036,,Standard,Unassigned,False
,G03,SYBR,,Std-07,,14968.2205421826,,Standard,Unassigned,False
,G04,SYBR,,Unkn-07,,14945.1564049212,,Unknown,Unassigned,False
,G05,SYBR,,Unkn-07,,14432.1600726261,,Unknown,Unassigned,False
,G06,SYBR,,Unkn-07,,15116.2530698978,,Unknown,Unassigned,False
,G07,SYBR,,Unkn-15,,15406.4968707699,,Unknown,Unassigned,False
,G08,SYBR,,Unkn-15,,15401.9291222727,,Unknown,Unassigned,False
,G09,SYBR,,Unkn-15,,14198.1268558694,,Unknown,Unassigned,False
,G10,SYBR,,Unkn-23,,15499.7541679425,,Unknown,Unassigned,False
,G11,SYBR,,Unkn-23,,15964.9172153544,,Unknown,Unassigned,False
,G12,SYBR,,Unkn-23,,14398.7987052374,,Unknown,Unassigned,False
,H01,SYBR,,NTC,,15140.629688737,,NTC,Unassigned,False
,H02,SYBR,,NTC,,16550.0041626687,,NTC,Unassigned,False
,H03,SYBR,,NTC,,15293.6223374389,,NTC,Unassigned,False
,H04,SYBR,,Unkn-08,,14078.9516134901,,Unknown,Unassigned,False
,H05,SYBR,,Unkn-08,,15143.7429431082,,Unknown,Unassigned,False
,H06,SYBR,,Unkn-08,,14965.775888074,,Unknown,Unassigned,False
,H07,SYBR,,Unkn-16,,11854.8776556105,,Unknown,Unassigned,False
,H08,SYBR,,Unkn-16,,13601.4606416116,,Unknown,Unassigned,False
,H09,SYBR,,Unkn-16,,12690.8588118861,,Unknown,Unassigned,False
,H10,SYBR,,Unkn-24,,12333.78915622,,Unknown,Unassigned,False
,H11,SYBR,,Unkn-24,,12999.4497415982,,Unknown,Unassigned,False
,H12,SYBR,,Unkn-24,,12893.5043955604,,Unknown,Unassigned,False
