,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,307.39782913317,258.239772532107,260.573239760101,-23.0182957716279,-41.6070407445804,11.3517142121582,-42.9879373591948,-65.4164945468692,-58.6214883136254,-19.4141420755313,15.5549091888952,-35.744906603968,135.071698282584,96.835334322961,105.194512049778,3.77011003637836,-3.43383501544668,32.7892467121428,-91.2876321348913,-25.5440737969948,-67.3970570763177,-50.5128005212609,-9.31150528157013,-32.7721082098215,45.4982293344601,55.3408172320133,53.0503780054196,-16.4447026016314,-19.2172063083963,-69.5380630439577,-53.9291798381264,-82.9266106502273,-40.9879103829835,16.7573505262562,29.4058458259642,21.7111458942582,39.5186653320834,66.2944354258125,46.4828035024975,-23.4629902986981,20.6246472487919,-18.0541082918871,-43.820239144763,-39.3714849872185,-44.8662396470081,-150.833361660367,-71.9809770067404,-111.28028996011,19.5548387816098,11.2108875107115,19.9220842295517,-30.2671693537131,-12.6829974501425,0.153918784543748,-68.3955182075952,-79.3597734362202,-48.3440697996111,-13.4866925594088,-53.7796554708357,-22.7093512257279,28.2807877607884,13.0847602510339,31.6322231003996,-11.9602647915435,-8.25710034035092,-6.53320307182912,-104.904978239219,-72.2475854020049,-70.7993158371673,-86.2952627775994,-118.735603109841,-115.824315649692,19.8113024458289,-2.8737706566526,1.07323009488846,35.5498037420284,28.971725751172,29.4168418443742,-37.0885258999315,-34.7732415003729,-31.3439892903662,15.0437943286643,31.8443984126479,13.6999600705167,1.98973653866869,0.966137371401601,9.4665124863659,17.8408301798472,24.5438691540558,21.2693895586035,-42.8425645908619,-177.038916455884,-57.7800068995775,-66.718612943776,-53.9807824354684,9.56367322527149
,2,359.776554532685,288.262221580516,302.262601084708,83.027755462057,68.2605635663876,104.515057011624,88.4208300626451,86.9812542071459,76.0175097486926,72.1968482024377,67.7506420126683,39.242752884611,144.761439778492,105.977665134611,127.010860421509,119.076252225869,121.091125701627,142.689235481866,86.2783257028868,116.284641324578,70.00579901929,125.53196309675,127.181998682038,88.4092609047057,36.5421013578953,45.4516838875297,48.3361070997107,146.901394825947,112.515772938132,89.7615513614783,59.6126714104657,48.3762994419403,50.2790421563823,23.1697554248231,35.5128865957649,23.3573288881689,32.8342143704676,35.2190917694916,38.1504236945984,33.5520059363198,92.8902312425389,64.1504903149744,90.1451804533517,93.7597705521175,66.1206057738791,95.9766806815387,120.283895731618,61.5032540611155,23.6911880001971,20.5233209957587,22.3740159294148,51.4816259127883,63.2041463666847,59.740093957902,85.5833793111278,56.2029280346715,77.0743452144188,68.392810596717,55.081411556248,59.3215746782107,31.8269022983359,22.2689919046052,30.2773295013731,19.0957676352828,15.1998277663479,19.6357815395404,131.460736025715,120.904695503119,110.010048390752,110.026731685977,51.4977997576625,58.5336935952473,14.3787204887831,6.66431525278585,5.78871647475899,30.6907380096955,36.5874490840406,30.4707277848875,2.26532122173649,37.3038198571794,5.27638808527718,22.3859290063383,28.7755315354061,22.988785198565,4.28180337720823,2.67478239965931,10.3003685540316,25.6139638788245,29.6097235457364,31.641341528577,59.9889751497785,65.2804707805844,68.1132975096334,90.4194605501953,75.5124081762506,115.074510155779
,3,437.979832233324,359.075551373199,375.273243913913,136.644139192082,135.221939586751,164.063610544728,182.622938278982,148.860684433608,143.876298717362,108.936684254997,104.542448704619,99.0201916468086,159.111304443539,117.350640139278,138.725539589069,165.573924160644,164.379957369893,183.170771936494,181.97523270828,191.124588367213,149.589952428133,203.123817633765,196.242769628743,166.823518246468,24.2864837035322,31.0829435557253,29.0577878371287,211.432441279994,176.831298481373,149.218868972906,105.641535496168,103.228870098706,93.2350385510244,16.4912026570555,27.6451752705234,25.1942663012287,23.4520166178409,29.8819478329578,33.3632760151768,28.176137173833,110.304632826344,92.2655657560445,147.510518168246,153.019817789756,128.52600604991,121.846543784055,213.61407512549,137.33330183507,16.4171412636224,20.6318757266163,20.8342429089171,91.3868254291901,94.1395948749841,92.9532974269687,161.066434631906,131.092783251906,126.925189503027,109.437135301338,102.143261453452,114.52826435216,10.1137294651089,17.7301560403503,24.5781559425368,15.5272978256962,13.7666648456498,17.723145425407,207.636893368193,220.989257397186,209.106991712623,175.62718389518,161.313214290098,155.482425649598,9.71347540828174,6.74498654364743,12.3515525022403,22.4241564272925,28.1636840824849,27.7807087680467,15.4742992237789,85.5589133114281,14.172621185613,16.2195730592621,31.3570178248519,21.7844785484858,1.0593772320035,8.89572210219922,11.4962926094167,23.9844593614298,22.8953976830062,21.8481976624325,136.298688652891,167.619105323027,159.739806198588,187.450700500287,189.969000676891,189.745816993564
,4,583.973109644429,478.767401830934,500.364325218537,188.279079218887,181.372573332274,209.831842746569,248.437012960495,207.449497769195,199.149462963883,148.434875131469,134.051092473327,121.925240099483,175.85335246727,138.203057504257,151.946159605516,228.567024721656,222.236935280711,244.214349839282,254.59473992017,273.018790024734,211.717595694571,281.917461839103,281.395908014346,223.63062536551,18.6288744088279,20.4470421286242,21.5765454442671,281.909921706649,216.219386884266,191.65967644641,153.341929149575,136.039906965816,122.247726049035,11.2148620479657,24.3101239973221,16.1136842693741,16.1841826381733,18.6826896587063,28.4354668649385,17.5030408866605,152.921463946718,126.745001684278,213.083766307109,212.585340024918,172.609889414337,173.300527219219,284.818766833978,184.432710289762,16.0792113700991,16.4057325788872,19.9404331659525,118.925394610566,128.799294240222,127.859230486676,220.767188462534,193.911371440365,167.575568648411,145.929816348328,141.112132124303,140.079169786591,3.60711086158699,13.1625014191814,22.4020512208799,12.6968788714867,12.6405279251039,8.94587754859185,280.756316690085,304.438131345052,290.408627515676,244.914951068911,221.762656475534,205.055789460001,13.2552863366609,7.86046216747218,13.8817177117007,15.1300265369609,15.371702567244,15.2349456558877,15.4054486131763,120.832776873149,17.709850247089,15.0209002844031,19.6133641138313,19.7920984369794,2.74895290719178,0.659875459623436,12.118643017121,17.3577028968484,15.8489457418355,17.7992210810862,189.471605795458,222.482827097456,210.829212637813,254.17699669172,256.400851425033,265.525955355561
,5,849.825529053236,703.8483828915,739.533960437497,228.957610712694,225.585230087917,271.65542331193,313.268680881373,249.894857760906,241.256710797097,176.033146827519,168.977207348111,147.123770432407,205.665572322758,170.640682357539,174.647205088281,277.516898769216,274.579327374002,305.281950678926,305.684273775598,322.178181719063,251.769452538292,340.756837055096,331.019059083132,278.279050618145,7.64930722686131,5.48910314208661,5.99395726359853,362.347117768373,290.807695250771,247.238351851349,186.649508329602,171.042984995629,153.645888897589,10.6228558392158,12.4313335942388,12.1064906998618,6.91876369107649,10.2158413042926,12.8674894216738,10.7016494831623,187.612097058483,154.435131691872,260.649506605942,258.823876349086,217.959957630789,205.245266741549,316.737088909274,229.153164627036,12.9423512460107,11.6284856049306,14.1689072487843,150.213737325058,159.114496030335,155.909245218372,266.093229949653,229.346127821096,208.009698942961,181.677663695108,176.792994071148,182.613592718097,0.807922912536014,20.5286716993915,15.710730822675,10.8704559295174,16.3572154176945,17.8395187413144,346.842914053524,370.272586625051,366.216223766623,294.861047667031,270.19103130125,258.686553801424,11.9904531155798,6.28105275276812,12.9107562907711,7.94437265935085,7.84411911918687,7.71599853990392,16.9418383584498,141.915322241619,13.6388158205482,6.44271128940181,11.7644651799683,13.317729733425,4.52023736994397,11.0575122090258,12.2250287037177,8.98912414828646,4.70958201696976,11.2477036189639,228.712485273145,279.163312871737,265.801571205574,313.266380038765,317.236771232654,318.749334862116
,6,1340.13526632223,1122.86305640671,1201.05768768064,290.429964416315,296.45658978596,332.437480299697,366.771703765853,304.856554275557,299.458036581791,220.905889122298,206.643855626455,194.868382380047,257.916884573543,227.61366182209,221.059363795766,348.705968204836,340.143740446227,373.350043205311,368.956325349752,375.940113264355,307.83020763289,399.469085235342,389.732640520541,336.656198593241,-2.95005792141092,-3.93274983959327,-3.55454322833612,468.082196809006,384.871289990002,339.684035022758,220.987255996118,203.404080014955,180.630871198289,0.824897606915329,-2.67266323291824,8.61532022099709,6.54629865604966,11.8969026287505,6.04866809504438,9.46911676432046,218.315424567885,178.362081732816,302.768694693624,310.796973828398,257.160491585209,251.015651883356,385.623785035663,266.598945881187,9.4679967697366,8.62565107492719,5.19447342541298,176.022708183019,189.534000524701,187.033432283436,326.386073949901,272.379261497327,253.4375104274,219.013413806312,206.226465453016,222.525384791316,1.86732159801522,14.4567896346689,17.5334558546238,5.55505153924059,10.067540807815,1.62049875496268,411.172339565933,439.29148312102,422.376346588962,353.135048516679,325.281881080051,318.385579011185,8.84620735841781,8.13673371640107,10.1919947119832,-0.913167867296579,2.79962782303119,-2.21681616525802,17.4284705764694,177.850299457473,15.338885310468,7.60275598899352,5.7373376757796,-1.03866029488927,6.43773908741878,5.36989463931968,9.26772157003234,9.42881768106326,0.768968432102156,8.41107950928472,283.593412403025,336.453239161623,323.821070033981,373.242474722958,383.376953856957,384.461266464888
,7,2242.28963677136,1900.99429907934,2030.97506227385,371.171846017315,381.163595617411,413.635305329306,414.727628455601,356.506392428374,349.462432270449,284.98896840146,254.54310527831,247.20680376369,347.236201439762,335.191778590319,301.805738887088,468.86769436266,458.161843465533,490.303796177781,438.589381378773,435.409922176762,356.367856274833,481.717932366871,475.922293125994,408.797803593197,-12.7427315559598,-14.3083993171094,-16.7751430325297,606.971117993704,540.920962165615,502.322174568881,256.428647333998,240.362439986453,217.494213644464,-7.07344230651233,-7.935877981462,-3.75782696144961,0.2180063970427,10.6470910361559,-1.43199189952156,5.85266471232171,264.297970244574,221.023227380983,358.486582542203,374.543954892178,310.97975035405,322.081606521271,445.001505831207,339.481296630514,8.13095081187294,5.41542838696932,7.56901395474415,212.684877190653,222.612148583495,220.146547014615,391.073631176641,335.338456410383,300.797073113758,270.493648240762,252.942713446662,283.394986533895,-0.733863861529244,14.9387288348207,12.7381416860399,3.34416915650309,-1.43860760622465,-0.0208881164535342,504.265411742282,525.761294035943,503.664099014288,431.377015824924,420.957410282927,391.639783069177,16.2795910424557,7.86645338781091,11.0645924819719,-9.98390837960687,-10.1227559313666,-13.7314985486382,12.2022939826138,202.852017994997,8.89916476760664,-3.45330120331892,-1.57909087734879,0.16491692519412,6.75579064288104,6.76993858995229,9.50322806342501,-2.47230314768876,-5.61114661021475,-0.993426580543201,342.728094755676,403.150126609798,397.595411580082,459.406483858914,478.594908700318,460.80578944515
,8,3794.07725194503,3261.95324973887,3496.29707360506,517.665925197438,521.481691798438,552.367841872238,510.765050701299,421.661822846629,429.558518975248,373.138882984891,349.764465182731,351.530787326071,529.209055394705,535.231970177783,469.93789747313,649.117363508385,655.089625072323,695.975149254229,525.925750557104,510.670779307613,450.506539680417,592.393240570366,584.440621295013,536.15870329369,-8.1842371177363,-13.8147747763005,-13.1499696995479,880.352975548632,839.815956174585,784.541789400497,306.725438570023,287.313067306157,255.189719026392,-6.66367444756725,-9.89753508242848,-14.3000025865103,-7.11499296107468,-5.15873350649053,-14.8896022192184,35.41286942221,331.433889390484,278.983149855891,428.881893466802,440.583985407412,378.894421407011,460.968017307352,605.997646855951,476.851501316436,-1.31420451130634,-0.428168156938227,-0.430812167210206,264.350079546912,274.682732705647,277.720649766989,487.672572090935,415.346701565247,375.001943027973,349.3903399026,346.444473580944,369.380941330135,17.0432546389748,8.62550137586186,6.0474807831506,1.88823227576177,7.18188445933811,7.31027386405185,618.232383542001,653.297831919359,631.066197609746,571.767211780289,558.976469408683,540.86409810763,3.06873566277136,7.94415803024367,7.93389761317394,-6.47838385984323,-10.4471794280207,-3.5190488822991,17.2988655585104,244.505441804706,19.1190185753348,-8.48638310245042,-12.8814627420479,-6.36534089377255,12.5433577756357,6.97109252221253,8.52021814799173,-9.14936649387073,-3.87765309311726,-6.88280747453246,445.412575708566,522.412327090497,511.672279119743,589.950564356629,633.53456913714,608.691967526454
,9,6177.12546979623,5419.22031330152,5793.91152339489,768.272491662074,797.216988052365,810.913060766276,647.859660961824,543.815272632182,551.39463215129,542.2170892869,530.33604865746,529.489803449972,875.629772622238,917.262894293074,771.406505242157,985.453769866,1015.09803501156,1049.28935045376,677.92123525451,653.190110632326,584.231382657905,786.990291273573,776.595866020628,712.472874985173,6.69430359205853,4.34597345819657,3.67844113845058,1355.41766541102,1341.28568083212,1274.65103253864,381.710679481947,372.187095070355,339.18129271514,-4.56485557908672,-17.9817493028631,-17.210883166973,-13.415437052452,-13.8368194194309,-14.9678690530609,94.6886444507827,457.150657992134,393.121071746235,552.299000560558,556.92237561476,494.282338958933,711.211577098282,862.584669848657,708.268976427913,-5.70475054586132,-2.80313377961011,-8.11885237874776,351.481243971502,362.856964480502,368.095878508668,643.228793236386,540.42426633962,508.788023923543,498.526799606032,496.090578505612,515.126623214253,11.8281705311601,5.78030947968455,-1.96267102637648,25.2418244805085,23.3377014974521,24.7670168343529,837.024098822758,841.429899267866,833.018627186279,800.013554300629,802.171201453721,745.453591367674,2.32570657597444,4.82864131166116,8.4897526243667,5.71623937545428,6.77706201964975,2.47943135949572,63.2170374651387,299.737292742049,46.9645129575983,-11.9857154428701,-18.3006531089695,-11.593954632488,9.32192710474283,6.40461591667827,5.99344752986872,-17.2470943974431,-8.30032474834934,-17.0968029349579,629.20606421358,721.187539838077,710.437406735835,822.727309011079,898.270080663268,853.944229477056
,10,9101.91655293281,8354.70500426743,8803.49273149833,1220.44766956035,1269.37600901864,1272.31411119355,863.252964432055,770.609387068177,765.720405403333,870.915246489995,848.691043122091,851.924386722392,1516.40528304519,1635.8533507862,1346.55553363767,1607.25401551435,1668.77156309123,1698.53974387297,932.879600758421,887.791187566127,821.810296201224,1138.50258417797,1148.67503391419,1049.27494945921,40.9959352395708,52.3390330678403,51.9353452975065,2193.80383500121,2248.92938443451,2153.78738109344,536.876135845305,511.29314754198,471.414425197531,4.36835211409471,-15.2121084163509,-20.566573214991,-16.5760570187895,-19.2404906995625,-29.5122592291709,244.136126784031,660.464680949628,580.658073052781,771.945066344659,764.072286306454,686.14096816575,1160.55414351136,1353.5320641054,1124.19260860798,-4.95636703449964,-7.2295421903018,-10.0797488107273,521.105133222321,527.175676606224,535.655472061956,929.056278895127,793.673866672831,746.433297409749,773.726065728531,782.137371882662,799.349915507255,7.5174743636635,2.77860681369293,-9.44415274730727,65.8566154053869,78.7966807761395,70.4180172435053,1215.42487699489,1205.64660162332,1204.60992024502,1226.9752815408,1259.8541496391,1139.09560948006,0.885368922610724,1.51085972599503,1.75294062764078,36.6252915526256,43.9878958159197,43.3517653583403,148.094722841219,405.956458888776,127.86473441103,-12.0301472512811,-21.0183047572918,-12.333156283099,3.63870742704694,2.40328474545913,4.49957333548082,-13.843466779098,-11.7215650864509,-16.4568743243317,960.994317662586,1064.23073689637,1075.18045620427,1253.60279806491,1373.0369346151,1278.86919087874
