,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,,Std-01,,,7.94726296883873,8.08332646143291,0.131059261348493,365000000,8.56229286445648,365000000,0,59,
,A02,SYBR,,Std-01,,,8.20873045252238,8.08332646143291,0.131059261348493,365000000,8.56229286445648,365000000,0,59,
,A03,SYBR,,Std-01,,,8.09398596293762,8.08332646143291,0.131059261348493,365000000,8.56229286445648,365000000,0,59,
,A04,SYBR,,Unkn-01,,,12.1504470204209,12.0973037850145,0.0498768876829182,25071744.4112169,7.39918455182059,25922240.6576336,801036.119682518,59,
,A05,SYBR,,Unkn-01,,,12.0515084495949,12.0973037850145,0.0498768876829182,26662371.2448811,7.42589877121332,25922240.6576336,801036.119682518,59,
,A06,SYBR,,Unkn-01,,,12.0899558850278,12.0973037850145,0.0498768876829182,26032606.3168028,7.41551765071937,25922240.6576336,801036.119682518,59,
,A07,SYBR,,Unkn-09,,,13.1637901893582,13.2486728933206,0.0755663521197675,13352840.1047129,7.12557364851865,12675826.898514,601489.349932631,59,
,A08,SYBR,,Unkn-09,,,13.3086204870093,13.2486728933206,0.0755663521197675,12203047.1519472,7.08646828936639,12675826.898514,601489.349932631,59,
,A09,SYBR,,Unkn-09,,,13.2736080035942,13.2486728933206,0.0755663521197675,12471593.4388819,7.09592194485814,12675826.898514,601489.349932631,59,
,A10,SYBR,,Unkn-17,,,12.6980123695828,12.7088848579483,0.0260834015139784,17837642.3056958,7.25133745086451,17719022.2228315,286124.836355399,59,
,A11,SYBR,,Unkn-17,,,12.7386456901459,12.7088848579483,0.0260834015139784,17392664.6595322,7.24036612359431,17719022.2228315,286124.836355399,59,
,A12,SYBR,,Unkn-17,,,12.689996514116,12.7088848579483,0.0260834015139784,17926759.7032663,7.25350179708229,17719022.2228315,286124.836355399,59,
,B01,SYBR,,Std-02,,,11.5330530161933,11.5550226768967,0.178444889175513,36500000,7.56229286445647,36500000,0,59,
,B02,SYBR,,Std-02,,,11.3885798347187,11.5550226768967,0.178444889175513,36500000,7.56229286445647,36500000,0,59,
,B03,SYBR,,Std-02,,,11.743435179778,11.5550226768967,0.178444889175513,36500000,7.56229286445647,36500000,0,59,
,B04,SYBR,,Unkn-02,,,11.5631734692914,11.4973537246318,0.0570915772201197,36120453.1806981,7.55775319049645,37644904.2265243,1322428.98481282,59,
,B05,SYBR,,Unkn-02,,,11.4676483958253,11.4973537246318,0.0570915772201197,38330610.6241638,7.58354573781925,37644904.2265243,1322428.98481282,59,
,B06,SYBR,,Unkn-02,,,11.4612393087788,11.4973537246318,0.0570915772201197,38483648.874711,7.58527624348591,37644904.2265243,1322428.98481282,59,
,B07,SYBR,,Unkn-10,,,12.9812623763168,13.0673234416657,0.0807589519240564,14957452.8895709,7.17485764364969,14190138.9761882,716113.451682368,59,
,B08,SYBR,,Unkn-10,,,13.079255291263,13.0673234416657,0.0807589519240564,14073391.169635,7.1483987590413,14190138.9761882,716113.451682368,59,
,B09,SYBR,,Unkn-10,,,13.1414526574173,13.0673234416657,0.0807589519240564,13539572.8693588,7.13160496394983,14190138.9761882,716113.451682368,59,
,B10,SYBR,,Unkn-18,,,12.4567220777766,12.4806352863881,0.0706227308702424,20724678.0910436,7.31648779353502,20431875.6750243,888000.454840568,59,
,B11,SYBR,,Unkn-18,,,12.4250738267702,12.4806352863881,0.0706227308702424,21136500.2402301,7.32503307889463,20431875.6750243,888000.454840568,59,
,B12,SYBR,,Unkn-18,,,12.5601099546175,12.4806352863881,0.0706227308702424,19434448.6937992,7.28857222530498,20431875.6750243,888000.454840568,59,
,C01,SYBR,,Std-03,,,15.3787527240568,15.2208185999798,0.138645369877861,3650000,6.56229286445647,3650000,0,59,
,C02,SYBR,,Std-03,,,15.1191546675049,15.2208185999798,0.138645369877861,3650000,6.56229286445647,3650000,0,59,
,C03,SYBR,,Std-03,,,15.1645484083778,15.2208185999798,0.138645369877861,3650000,6.56229286445647,3650000,0,59,
,C04,SYBR,,Unkn-03,,,11.0589117009333,11.0339839912156,0.037744838445893,49420595.2721229,7.69390797218385,50201734.2714694,1185676.42284949,59,
,C05,SYBR,,Unkn-03,,,10.990558389063,11.0339839912156,0.037744838445893,51566056.8083528,7.71236392272243,50201734.2714694,1185676.42284949,59,
,C06,SYBR,,Unkn-03,,,11.0524818836503,11.0339839912156,0.037744838445893,49618550.7339323,7.69564407518311,50201734.2714694,1185676.42284949,59,
,C07,SYBR,,Unkn-11,,,13.9946336884671,14.0161790300606,0.0500900752716703,7965978.71144176,6.9012391414512,7862512.36280868,242811.254066221,59,
,C08,SYBR,,Unkn-11,,,13.9804666028963,14.0161790300606,0.0500900752716703,8036452.27312257,6.90506436986246,7862512.36280868,242811.254066221,59,
,C09,SYBR,,Unkn-11,,,14.0734367988182,14.0161790300606,0.0500900752716703,7585106.1038617,6.87996166027098,7862512.36280868,242811.254066221,59,
,C10,SYBR,,Unkn-19,,,16.9666368849625,17.1040771712652,0.156865732339921,1255376.77281797,6.09877408900299,1156182.18642215,110939.737851657,59,
