,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,,Std-01,,17591.0624474575,,Standard,Unassigned,False
,A02,SYBR,,Std-01,,18522.946034522,,Standard,Unassigned,False
,A03,SYBR,,Std-01,,19291.5874261871,,Standard,Unassigned,False
,A04,SYBR,,Unkn-01,,11923.6882643956,,Unknown,Unassigned,False
,A05,SYBR,,Unkn-01,,8757.25958546759,,Unknown,Unassigned,False
,A06,SYBR,,Unkn-01,,8962.96849014506,,Unknown,Unassigned,False
,A07,SYBR,,Unkn-09,,13481.6034220037,,Unknown,Unassigned,False
,A08,SYBR,,Unkn-09,,12902.8095150197,,Unknown,Unassigned,False
,A09,SYBR,,Unkn-09,,14713.4309152097,,Unknown,Unassigned,False
,A10,SYBR,,Unkn-17,,13098.4469844039,,Unknown,Unassigned,False
,A11,SYBR,,Unkn-17,,12521.9074280677,,Unknown,Unassigned,False
,A12,SYBR,,Unkn-17,,11873.397754021,,Unknown,Unassigned,False
,B01,SYBR,,Std-02,,18263.437370756,,Standard,Unassigned,False
,B02,SYBR,,Std-02,,19092.242814011,,Standard,Unassigned,False
,B03,SYBR,,Std-02,,19677.9019137069,,Standard,Unassigned,False
,B04,SYBR,,Unkn-02,,12290.766448109,,Unknown,Unassigned,False
,B05,SYBR,,Unkn-02,,11486.1552356696,,Unknown,Unassigned,False
,B06,SYBR,,Unkn-02,,12827.3071229942,,Unknown,Unassigned,False
,B07,SYBR,,Unkn-10,,11378.2457889003,,Unknown,Unassigned,False
,B08,SYBR,,Unkn-10,,9320.9758277003,,Unknown,Unassigned,False
,B09,SYBR,,Unkn-10,,8942.50139397685,,Unknown,Unassigned,False
,B10,SYBR,,Unkn-18,,14267.3182752159,,Unknown,Unassigned,False
,B11,SYBR,,Unkn-18,,14018.3592461428,,Unknown,Unassigned,False
,B12,SYBR,,Unkn-18,,12759.261081539,,Unknown,Unassigned,False
,C01,SYBR,,Std-03,,16077.5540447886,,Standard,Unassigned,False
,C02,SYBR,,Std-03,,19333.6855592817,,Standard,Unassigned,False
,C03,SYBR,,Std-03,,17453.1796112409,,Standard,Unassigned,False
,C04,SYBR,,Unkn-03,,10883.5384670484,,Unknown,Unassigned,False
,C05,SYBR,,Unkn-03,,8859.09389036765,,Unknown,Unassigned,False
,C06,SYBR,,Unkn-03,,11076.4060184918,,Unknown,Unassigned,False
,C07,SYBR,,Unkn-11,,13845.1695031924,,Unknown,Unassigned,False
,C08,SYBR,,Unkn-11,,12579.0467856963,,Unknown,Unassigned,False
,C09,SYBR,,Unkn-11,,14022.3255112335,,Unknown,Unassigned,False
,C10,SYBR,,Unkn-19,,14800.4012122261,,Unknown,Unassigned,False
,C11,SYBR,,Unkn-19,,13840.3630400681,,Unknown,Unassigned,False
,C12,SYBR,,Unkn-19,,12267.2574952753,,Unknown,Unassigned,False
,D01,SYBR,,Std-04,,19267.1556005406,,Standard,Unassigned,False
,D02,SYBR,,Std-04,,18279.1195060639,,Standard,Unassigned,False
,D03,SYBR,,Std-04,,18071.0354612306,,Standard,Unassigned,False
,D04,SYBR,,Unkn-04,,12836.786317405,,Unknown,Unassigned,False
,D05,SYBR,,Unkn-04,,13160.97406239,,Unknown,Unassigned,False
,D06,SYBR,,Unkn-04,,12569.7956662199,,Unknown,Unassigned,False
,D07,SYBR,,Unkn-12,,14288.2619881698,,Unknown,Unassigned,False
,D08,SYBR,,Unkn-12,,12290.2204172364,,Unknown,Unassigned,False
,D09,SYBR,,Unkn-12,,13626.9806099595,,Unknown,Unassigned,False
,D10,SYBR,,Unkn-20,,15153.9999620131,,Unknown,Unassigned,False
,D11,SYBR,,Unkn-20,,14683.7394338107,,Unknown,Unassigned,False
,D12,SYBR,,Unkn-20,,14842.1220039357,,Unknown,Unassigned,False
,E01,SYBR,,Std-05,,17931.8321729094,,Standard,Unassigned,False
,E02,SYBR,,Std-05,,18028.6166394419,,Standard,Unassigned,False
,E03,SYBR,,Std-05,,19238.4631609205,,Standard,Unassigned,False
,E04,SYBR,,Unkn-05,,14600.8737505839,,Unknown,Unassigned,False
,E05,SYBR,,Unkn-05,,14599.5237708357,,Unknown,Unassigned,False
,E06,SYBR,,Unkn-05,,15524.5685636449,,Unknown,Unassigned,False
,E07,SYBR,,Unkn-13,,14170.0940765779,,Unknown,Unassigned,False
,E08,SYBR,,Unkn-13,,12757.8084752446,,Unknown,Unassigned,False
,E09,SYBR,,Unkn-13,,14344.7745631003,,Unknown,Unassigned,False
,E10,SYBR,,Unkn-21,,12647.6730554163,,Unknown,Unassigned,False
,E11,SYBR,,Unkn-21,,12058.6555231987,,Unknown,Unassigned,False
,E12,SYBR,,Unkn-21,,10385.9728438713,,Unknown,Unassigned,False
,F01,SYBR,,Std-06,,16653.7243622105,,Standard,Unassigned,False
,F02,SYBR,,Std-06,,17408.1212911407,,Standard,Unassigned,False
,F03,SYBR,,Std-06,,19427.8993850077,,Standard,Unassigned,False
,F04,SYBR,,Unkn-06,,12919.7451826736,,Unknown,Unassigned,False
,F05,SYBR,,Unkn-06,,13328.6959636669,,Unknown,Unassigned,False
,F06,SYBR,,Unkn-06,,13499.2129072789,,Unknown,Unassigned,False
,F07,SYBR,,Unkn-14,,16883.2333095558,,Unknown,Unassigned,False
,F08,SYBR,,Unkn-14,,15342.4569674652,,Unknown,Unassigned,False
,F09,SYBR,,Unkn-14,,16888.794112474,,Unknown,Unassigned,False
,F10,SYBR,,Unkn-22,,13572.9543562003,,Unknown,Unassigned,False
,F11,SYBR,,Unkn-22,,13657.7739858631,,Unknown,Unassigned,False
,F12,SYBR,,Unkn-22,,13253.1151599537,,Unknown,Unassigned,False
,G01,SYBR,,Std-07,,16397.7868858216,,Standard,Unassigned,False
,G02,SYBR,,Std-07,,16731.1773222688,,Standard,Unassigned,False
,G03,SYBR,,Std-07,,17446.122502445,,Standard,Unassigned,False
,G04,SYBR,,Unkn-07,,15175.2249060223,,Unknown,Unassigned,False
,G05,SYBR,,Unkn-07,,15398.1112828886,,Unknown,Unassigned,False
,G06,SYBR,,Unkn-07,,16455.0372405204,,Unknown,Unassigned,False
,G07,SYBR,,Unkn-15,,13374.3851029944,,Unknown,Unassigned,False
,G08,SYBR,,Unkn-15,,12285.7384746178,,Unknown,Unassigned,False
,G09,SYBR,,Unkn-15,,12589.9237420771,,Unknown,Unassigned,False
,G10,SYBR,,Unkn-23,,11363.7338994616,,Unknown,Unassigned,False
,G11,SYBR,,Unkn-23,,11158.2206355291,,Unknown,Unassigned,False
,G12,SYBR,,Unkn-23,,11437.0298095664,,Unknown,Unassigned,False
,H01,SYBR,,NTC,,13802.4473628656,,NTC,Unassigned,False
,H02,SYBR,,NTC,,15318.8740787527,,NTC,Unassigned,False
,H03,SYBR,,NTC,,15605.4284084732,,NTC,Unassigned,False
,H04,SYBR,,Unkn-08,,14478.8452993019,,Unknown,Unassigned,False
,H05,SYBR,,Unkn-08,,14505.6450104121,,Unknown,Unassigned,False
,H06,SYBR,,Unkn-08,,15334.3986668812,,Unknown,Unassigned,False
,H07,SYBR,,Unkn-16,,11601.303136337,,Unknown,Unassigned,False
,H08,SYBR,,Unkn-16,,10193.5743266895,,Unknown,Unassigned,False
,H09,SYBR,,Unkn-16,,11812.3240756467,,Unknown,Unassigned,False
,H10,SYBR,,Unkn-24,,12803.6972889634,,Unknown,Unassigned,False
,H11,SYBR,,Unkn-24,,11944.3745248348,,Unknown,Unassigned,False
,H12,SYBR,,Unkn-24,,13496.1250014345,,Unknown,Unassigned,False
