,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,258.469067149741,230.27745095046,291.358899505086,-0.00124092223268235,17.4230887061094,28.070601014615,56.3741184497967,49.6747790812342,52.9538433113648,54.6630873026879,34.7532869686256,56.2180903029366,126.004782212793,96.0187188210057,118.993398636083,-22.3063706655103,14.9691850446397,40.8458122823613,27.1748877238879,56.4974735300966,90.6396596986397,27.3139638415087,17.4295966913987,19.7811800738018,50.8098004015365,41.2906123263056,54.7846535580657,-2.40912299878073,11.1877396309046,-14.0679802069299,28.8636402363582,35.1883818612996,29.7173792610774,-6.59625660462098,-5.51974826651622,-9.78495405118429,49.7770057092148,45.2933817331668,46.132067408199,-30.7471718067354,-12.2023370749921,-19.7497308586617,2.99378192232598,6.00899090110397,-19.2237544435184,-28.3356349041496,-28.677107346226,-37.9845513068458,17.2713168662531,26.300480312625,18.3062007993249,-101.29874162634,-105.922586381895,-92.2340760071129,54.1979247299478,53.8291025142426,69.4650550757551,94.7651423197585,87.6573416419433,151.998690398525,21.5107570268074,23.0728610592369,26.7438790828955,7.013284990182,-9.75859689355002,3.17091638260263,58.7892619539989,66.6634132633444,54.5073181549978,28.7255713909872,36.9512390186992,41.9697784559867,23.2867009342017,20.9609582331486,34.1457991006628,31.6020042364153,35.3894258224627,22.6836047252846,35.2112343132194,36.6927576758881,66.7476916861415,45.9757005261126,40.911269831031,21.4486940583083,0.253756096331017,16.8040039077041,11.5224683990637,47.5490749632136,59.9085212922419,32.5349790584123,56.8869265871163,129.741573859144,101.968870676896,10.7917777701841,51.5994406999216,27.5262147192434
,2,309.210518180076,281.653183142425,331.100813308996,86.9935484714078,127.746863404383,134.755725895666,49.3158280312855,51.7368828336084,71.1723668874265,94.5973681094674,73.6067131908894,75.3253592827241,143.049267675615,115.897736695147,131.546090639595,108.888511396362,145.815156392486,124.074165911718,79.3365224565387,57.9787969188092,75.2277444735264,26.1414394146432,84.3068049574804,56.846129559598,40.7294790897868,34.2170207114241,50.5412984376535,222.937174891742,232.866378569339,194.010251608655,59.4132659392317,31.2948060912286,63.0634115429575,104.189240519182,7.57128228741476,56.2352344189285,50.01396619771,40.0765236911002,42.3754552291157,112.263894004592,116.22553640451,117.802526209978,51.7056689451238,13.7581805158661,16.6684193997062,-0.122586113116085,11.1667498477063,-1.08761285094988,23.3934767397996,23.6980225532971,22.0442061017311,141.335298049502,146.509539096194,124.943866092107,34.5238194998492,36.1968115182335,44.8075604757223,53.9084799836401,58.9292952541382,95.2847406819055,27.273189731407,23.3704279603298,24.6657825897128,22.82215182665,18.2734554817862,24.870264729273,43.4271514982447,49.3326941473761,46.0809057501428,83.9230149188134,103.051809016384,133.490568076168,21.0792384691131,18.7422986798147,23.4382523757204,33.0603170632048,38.055509986365,28.1041613719763,80.6429139703996,81.0692325741602,103.499611781795,104.614655029067,111.746076794141,75.7487722844362,-0.905873207716468,19.5130022944359,15.1626097070457,49.2759388803661,47.280651379353,32.6830278635216,83.695033486274,113.07594223763,94.5001938006226,84.9378418180349,95.3793307293563,77.5004129234139
,3,373.791019309179,341.037830726596,405.544195487739,157.788573688662,206.420918723004,200.642160711284,28.593266782922,31.1329758328984,87.7676789396046,110.115258140511,103.361726491944,86.1550570720792,149.550730853566,130.237819159968,143.490068596057,186.56793794497,220.898707652836,178.19445544223,106.762151008134,69.3747543565096,64.3023972667033,28.8398399642401,144.488687970284,87.6692761254926,28.8945997782721,23.750353485354,41.0901226539654,369.308657976715,352.775428035875,335.124101653313,86.2010561216075,18.0720173427308,85.3172905156507,182.949982317541,13.8073611674772,104.628131971337,31.6711172382438,36.188081561857,29.5647981549791,197.790648968072,219.307024837017,219.528980694193,85.6863875265535,18.091460609513,17.0563569234164,7.85868776015468,22.4818177883917,5.95505989951198,19.2447567198624,23.7229761951166,16.1259655005888,282.311064346284,298.800627123659,252.881593438918,26.0184207079501,26.5411904531593,25.1284619161033,30.1133645986247,25.6229235882529,51.823433652713,20.7856825763529,21.0918003297584,22.9756557666069,16.8728556125116,21.2834506787276,19.9339812682738,27.4722100040253,29.4640055023156,29.9078767305382,126.201003852329,137.3738177205,161.570978619391,17.1073381284987,13.7052527705937,24.384791233445,28.499342970058,26.2034680161742,23.7696866069909,106.653803862999,101.516938630484,112.536844044158,152.751014900919,154.568862692711,137.112196941818,1.8669120400582,9.48324185390356,11.1756011915122,26.5279361712419,31.3165136859425,27.8313558569234,86.0613271926704,97.3415577201049,112.50532968745,110.380543767544,115.756521703783,96.8732866944538
,4,498.388025745577,454.717107635454,540.725593983668,211.538080685286,281.025760307417,267.522880948383,10.8710394554437,17.1514338549887,98.8165966770966,145.496064903301,129.595568617531,104.342087425723,172.449798664792,145.728734907531,161.167490573714,254.205677677639,294.531610203798,234.037268413609,116.948076576837,97.4004591868998,70.0072071637223,12.8179633022673,196.700595674743,106.984844936595,11.8058257179619,15.1552045720755,22.6657409129275,492.411543968945,470.367237381177,446.832135537761,111.063494891245,18.8074949857601,112.92931671335,253.884431957406,15.0509641466469,138.377006526143,26.5975316548875,23.187078297673,25.5144753498371,266.87946843213,311.024592701324,303.647430842425,122.85586144943,12.7532241385979,21.0857442695778,18.6580428897114,12.2512530397771,22.2028907657623,15.4960165995471,14.902492717215,15.7706279328031,394.621305461294,418.895927278385,354.111439783485,19.1265023407159,19.5892446585649,19.9319116686484,7.55089440333904,9.39324331063654,21.7094947117093,18.4429220125503,21.5625223609741,19.4189020977101,14.4372765943317,16.8445036105732,18.4207036373664,13.6681069301203,14.4063732959557,14.439705037028,170.123928319748,168.18748915192,223.75001622022,21.47123687164,15.8179036653546,17.1461874531606,19.4065733416301,20.6377074238744,15.6309220882977,134.357158821229,122.546110262347,137.797831746355,194.807928475686,196.235638817347,193.16080675438,4.1552599791894,9.61828571922797,12.9231718553474,16.7734952040391,18.7589591339429,14.7806224353399,93.0323333890592,126.882703478503,140.475874642556,141.212299303215,138.518715581304,124.60152468823
,5,740.236148350637,680.742581322476,791.022339293495,263.211619301188,345.194438273678,356.279855010151,6.50684163320329,6.95615579011974,118.279572385435,172.57401481658,147.040072342177,138.611487819666,194.238541098925,170.733417254152,192.518938807108,312.036248658487,358.349592276381,296.279691301863,151.315974370022,110.593698276827,61.3740319989975,5.10058032884626,237.716004818565,144.375650720161,7.18267499726971,3.89693877817354,6.93229823176716,611.051162368731,565.115946287046,553.647224384202,131.145969146941,13.7637535266895,132.13599928344,304.418316764362,16.635160162853,174.973215343695,18.7750032481017,9.93066299316251,13.2336439452829,331.932606537352,369.234753312088,368.07005914035,149.410452761808,7.32927548252974,16.5203484443537,14.6686172794216,19.5528876661647,15.3000019395295,15.2713178897602,12.222139876354,10.7086473069194,488.781097036399,516.111496248815,444.087978874843,4.45544038848038,2.36859256723892,6.13157657810098,5.3221111019102,-1.66063389830197,-15.8892709260672,11.5555011071028,17.0725197294014,12.7670669818699,7.79470676588608,7.11607786754757,12.1386371859098,1.61178718723659,1.74469519350805,-0.222625872727804,207.624926976776,206.506132975319,256.106875664824,14.4072278408776,18.4154162088453,10.9730091764877,7.92134465609161,8.30447904958692,7.06176881923238,160.47998171242,152.546061931533,173.048548234938,252.813006556404,255.643535533272,230.5892370694,4.35212416258946,5.95441906403812,8.67861511296542,3.78862800897787,6.75242898094893,-0.579961602532421,113.465657194361,143.517524463401,165.119833663828,164.283308768288,165.716024838315,163.416490284932
,6,1185.58003955756,1080.97481596096,1252.50459659918,345.77164110073,427.660996575731,455.138738015743,1.0944189172169,-3.73535030534822,149.851072040398,205.608774001907,192.052659430808,166.388486220239,247.836368660284,216.842335326968,229.769184368653,413.149146653992,450.882460668028,391.950977865874,196.535778926625,142.782898859896,94.8894317540271,1.75730695914262,286.636535669289,155.680282075367,-7.35576678329198,-2.80150917502033,-3.39871529647098,739.77159732594,699.678944652442,679.278234526184,169.958508377303,7.63433187438477,162.895928986155,377.916900679244,9.40047447420966,219.009131671331,4.10058284115075,8.35011196679989,8.45750920561295,397.176495403607,430.260385081228,429.734422793909,174.466675073833,9.74596331393423,17.9974140664062,7.41322169728119,7.16291905545313,10.1009712015248,4.5961397453957,9.95734197335241,11.5074513258587,578.261873926283,607.350775675403,531.918440512649,-5.41949138369637,-2.15641284314825,-0.627705366894588,-3.21320165158977,-9.14985256238833,-30.7941637912318,12.1594723420731,17.7672527637505,12.5850138567021,7.53504987064116,8.07602154226606,6.20697852778721,-4.79112678260208,-9.81305367694222,-12.5454099927501,254.075791447451,269.298294694599,330.833820011136,12.365372575101,13.5844689997393,11.4209306491566,-1.60744717497801,6.02352842655,1.79164196535658,211.454637284733,197.909242369187,219.916111860101,311.369311536757,328.795938704377,297.086474864973,6.46472268111575,7.72954422855219,8.72907061879869,0.331002725473809,-6.13708034999581,-6.03081316296539,163.752386765251,196.237163540391,223.016066379016,205.442427928434,196.258590820698,181.36976508579
,7,2007.51707655767,1846.97607148996,2105.97069844483,456.90123393582,560.504500929697,597.639338344377,4.24472647055791,2.13618557332575,191.49178158307,258.52215745458,233.178983077266,192.78910172796,330.840667139159,284.236850349989,318.222947709619,538.751589990419,579.403639610362,510.278432107585,226.600870011951,199.534588711593,137.469873260288,-1.65866894770534,340.786353499476,202.829460409507,-7.0484774210754,-10.3178313636245,-12.43822622688,910.630127521139,871.250233477778,842.911157296054,195.53419385749,3.76958473657032,198.737114348688,430.959592875424,8.40026264020798,239.636958126564,-4.61242239112107,-5.13977665927632,3.05295343450598,457.291531243412,505.210758910796,498.074109532524,207.956070095852,13.1719698244051,8.64945353554413,10.688640523148,5.17283852710079,2.07790261881746,4.20067101057884,3.93761688912764,2.5617831352647,674.107310334806,686.648100937398,600.722479495417,-6.905772169599,-3.69961773291197,-5.46945249792134,-8.53300686907096,3.14425942921298,-23.4212335526154,11.3013716378473,8.85298302795309,8.32663903793673,9.3774684723403,7.15514031386829,11.3229350681077,-14.9584738731191,-10.5848638135312,-11.2608676599666,333.58166005235,355.341081611872,412.923815079484,8.03453815231205,6.41795505600385,5.50060791057695,-4.91456047548945,-9.65612909392439,-1.42689331226484,288.371873640604,270.008211252314,300.411103378508,421.214581587894,425.181462033015,411.082023081526,5.09257567216173,8.81217012725665,5.09665256990411,-6.6145310720558,-6.74842499035549,-7.93128407252607,264.58595148205,279.439590533566,337.289689773681,253.161494260537,262.670693341128,227.176724807952
,8,3437.45675386984,3198.12769443216,3615.71375732162,646.7429029459,796.411245980828,816.912486880954,33.6515391170478,42.2804260209941,257.927378889041,332.704569329662,316.934799784414,278.856003351888,496.7748125473,428.029850917573,475.396381712387,752.908269932796,788.338183231106,703.228513968725,333.98382371444,289.107734644747,206.353490640262,7.64259068760657,398.594067112318,235.319127171894,-9.4148914538664,-12.3732586769247,-22.4191011097855,1178.87734823365,1144.08973480252,1096.19056251318,243.841177552547,28.3206478227212,255.293096930589,507.482123703887,19.2447192090785,309.279250905028,-6.39787277237883,-12.3380136346632,-7.72719291580688,550.953923497053,606.791476508937,597.247370223012,247.101472984382,17.3568756317527,24.2227182394099,6.04249520003032,-1.08964741903128,8.68246499651741,-1.00469746293675,2.25664873520236,2.40014993107798,767.459991044787,796.376696196654,691.456877274796,4.38954539050883,3.20918273733059,2.40727057306322,41.4707679127678,30.8701576499279,-14.9250980711331,3.26366299360598,6.10300070452467,6.03135467419725,19.9606718647692,26.9050799218267,25.3789741414612,-10.4298181460144,-18.8222243252994,-15.2793304710794,477.70503307573,503.910536878004,556.750102272659,2.19984643310272,8.94931154366896,1.87610604160727,-13.6176115017206,-7.7360862951773,-9.02880127970002,418.365949746098,396.767086672598,423.355440123561,613.355224873501,628.18136795502,579.163738938327,3.23843826682605,4.94747214043491,5.74626674463343,2.12458290818176,3.11094082169711,-0.255769039344159,433.989004375771,456.217961723734,526.574936490266,342.910676287829,336.967342694556,296.762096256122
,9,5690.48641284324,5406.65177019117,6023.99074994696,997.881976808485,1244.91869214227,1244.33719789403,115.089828215298,141.614705465346,398.572976596397,484.109642042834,450.211600668489,419.373176350757,812.734135239994,708.257858465367,774.864636382979,1150.16965420542,1172.77656729114,1066.75651414953,514.944041459737,493.356525377547,396.749160778265,34.5431714662036,534.833150796548,319.652667712618,3.59674955561513,3.87889250005628,-17.3969891358129,1627.86471456396,1623.09620470491,1551.68405327664,336.944912769642,74.461480182802,357.880327018193,633.79761916564,63.0178912057399,400.205954325841,-13.4672139408513,-14.621578816038,-15.6398119083278,696.093953677081,761.429701795409,740.272111883884,315.746515972958,62.1682779746634,72.8958405943058,17.595711805363,2.64488567000808,19.3760435192407,-2.88104352976279,-7.06644820968086,-0.706237024559414,908.437295503023,927.008431053628,816.935755511902,39.6301295274425,39.4839685007055,40.6785656718284,158.073620474812,129.434029903858,78.7571497168174,2.80495476997567,7.7681245533222,1.30201262084847,78.9107144932486,86.9316633637518,81.1860743527968,0.38670147359062,-1.76670609335724,1.90230040108599,742.591761741232,779.653814056006,836.281816290068,4.44670788722033,1.59868252505112,5.97231063394429,-6.99210415520884,-9.21482184742217,-9.57809519726197,674.771135647692,668.212032863881,704.378452514544,963.712967766709,975.026200855802,904.827194390244,7.64118375993348,7.46543698907135,12.2804821534874,39.7615973954953,46.2488105511984,40.3060576633688,769.192755432645,790.697001046032,917.444896393661,507.381101180395,498.3104747624,440.565680674704
,10,8662.65222159539,8417.07898512941,9301.25364228734,1618.74474796136,1986.26490909583,1993.5995651782,287.480740113317,361.062422550399,652.360892687175,757.176567916399,713.296199751171,678.424723268028,1405.57507169988,1225.37546032542,1341.69412736423,1850.45503054158,1857.64836469297,1710.18357140628,861.652847250743,871.128792430231,731.485719259339,107.740406583431,743.221640531039,470.565570572199,41.8275698929738,39.8515641873546,6.94085126637128,2398.87172976924,2401.96733379332,2305.69014130529,501.836156075323,201.618672896576,549.388512441258,846.503594710886,152.581705015103,569.400373249351,-24.5085184761883,-24.08995615404,-27.5017805989773,932.125635876083,1020.01115273271,992.544328075474,449.450286473663,175.647092081271,189.23282141198,63.1359827598635,38.474606735942,52.1485769742158,-5.42500423718502,-11.2139299052051,-7.15491669549192,1122.79991726313,1139.75622320464,1010.18138423843,120.170847908133,123.998646749433,134.185745100331,390.720379285545,343.716660952416,275.84932038943,-0.257720727297965,-6.53557310580163,1.5566240793969,199.096729255538,215.618836366803,200.198155577436,43.5720943430069,49.9408577365284,45.132533107967,1227.30486718904,1282.73600205323,1345.78702136677,0.0784397362021991,-2.44078699212423,0.749920037431366,2.15859759489922,3.48797125211331,3.43534469103997,1165.63104898862,1122.45202336352,1207.15057845525,1596.86870882786,1630.88620580365,1508.83124847313,2.94542534408902,3.87986710426776,4.49014404241279,127.355096083204,140.765998544934,124.733768101069,1382.59881231149,1408.60835235013,1620.58130650705,807.183672446754,801.326770815938,682.567365586791
