,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,65,64.1077280436298,51.5952775714468,83.891080596979,-10.1454889654847,-16.0116077028752,-10.6481471761335,-67.9611575893427,-39.3720886151114,-22.0118423826502,-14.521847100862,-8.09526862413213,2.96460850223184,86.2094701043798,81.756282732576,90.0285916609582,-40.9343251406513,-42.365047922573,-29.2505018754446,-12.739372777577,-13.5686821136305,-7.03393870561922,1.91192822021048,-1.94870892815152,12.2483451119706,54.1062120128286,106.797579718373,95.6814683644452,-7.49444775140773,-12.2399335123519,-10.5486042335156,17.6877607872993,14.9920902994563,15.3392144712775,-14.9431239630289,-19.1630526743338,-12.7835831833936,74.684323834425,95.0109493103187,95.9459547171009,22.3947911424721,11.4324444505187,2.36325908842673,7.63161158276944,-12.1118532393589,-4.30703906498638,9.63679919565675,-4.24373658893637,-5.50185703068064,68.8859647885233,100.083593975643,78.0960475591601,-27.7248332872764,-2.47335568131575,-12.4262052843892,11.820141011221,2.46970001908676,12.4929111317251,-17.2089833513737,-10.549902823414,-16.4302226151863,-26.3548545241106,69.8803052436356,57.5724799736436,-5.94411483353724,5.74201693000805,-2.53055940582817,2.25385878767293,9.972594967845,9.63578083719449,-15.7276533630006,-25.3090632320354,-26.31407464617,42.5247496162488,53.1751544389763,70.0407600683898,-12.5586414029808,5.16109786618699,-7.17894360693572,15.1908057192131,0.00730017418618445,10.851894970795,-16.7322730698288,-19.9848233828584,-82.2324932434603,23.5027078768658,61.0664006342981,16.7030067959699,-4.03872370656291,2.35934048281206,-9.18744351947635,1.77036379463607,-2.15447211595892,-1.47714059469354,-8.1813790056417,-12.7165520444432,-10.3289535815543
,65.5,138.90007742787,111.789768071465,181.764007960123,-21.9818927585507,-34.6918166895639,-23.0709855482951,-147.249174776907,-85.3061919994116,-47.6923251624094,-31.4640020518677,-17.5397486856255,6.42331842150134,186.787185226155,177.138612587246,195.061948598741,-88.6910378047428,-91.7909371655765,-63.3760873967976,-27.6019743514112,-29.3988112462048,-15.2402005288432,4.14251114379204,-4.22220267766534,26.5380810759352,117.230126027797,231.39475605648,207.309848122964,-16.2379701280506,-26.5198559434311,-22.8553091726144,38.3234817058142,32.4828623154876,33.2349646877674,-32.3767685865596,-41.5199474610608,-27.6977635640137,161.816034974589,205.857056839023,207.882901887049,48.5220474753582,24.7702963094598,5.12039469159072,16.5351584293385,-26.2423486852781,-9.3319179741361,20.8797315905917,-9.19476260936108,-11.920690233143,149.252923708471,216.847786947224,169.208103044849,-60.0704721224338,-5.35893730951693,-26.9234447828417,25.6103055243107,5.35101670802078,27.0679741187378,-37.2861305946426,-22.8581227840641,-35.5988156662338,-57.1021848022365,151.407328027874,124.740373276231,-12.8789154726651,12.4410366816842,-5.48287871262983,4.88336070662672,21.6072890969986,20.8775251472521,-34.0765822864987,-54.8363036694091,-57.0138284000318,92.1369575018707,115.212834617789,151.754980148181,-27.210389706459,11.1823787100734,-15.5543778150295,32.9134123916274,0.0158170440663525,23.5124391033892,-36.253258317965,-43.3004506628599,-178.170402027497,50.9225337332086,132.310534707647,36.1898480579307,-8.75056803088683,5.11190437942878,-19.9061276255311,3.83578822171148,-4.668022917911,-3.20047128850638,-17.7263211788941,-27.5525294296281,-22.3793994266994
,66,128.215456087268,103.190555142891,167.78216119396,-20.2909779309698,-32.0232154057512,-21.2962943522721,-135.922315178684,-78.7441772302295,-44.0236847652973,-29.0436942017277,-16.1905372482729,5.92921700446641,172.418940208758,163.51256546515,180.057183321915,-81.8686502813011,-84.7300958451478,-58.5010037508901,-25.4787455551486,-27.1373642272661,-14.0678774112362,3.82385644042688,-3.89741785631031,24.4966902239398,108.212424025658,213.595159436751,191.362936728889,-14.9888955028123,-24.479867024706,-21.0972084670252,35.375521574601,29.9841805989149,30.6784289425577,-29.8862479260551,-38.3261053486717,-25.5671663667817,149.368647668851,190.02189862064,191.891909434195,44.7895822849496,22.8648889010465,4.72651817685301,15.2632231655466,-24.2237064787182,-8.61407812996822,19.2735983913194,-8.48747317786865,-11.0037140613626,137.771929577054,200.167187951284,156.192095118322,-55.4496665745578,-4.94671136263105,-24.852410568777,23.6402820224407,4.93940003817306,24.9858222634502,-34.4179667027506,-21.099805646832,-32.8604452303662,-52.709709048218,139.760610487265,115.144959947294,-11.888229667079,11.4840338600197,-5.06111881165816,4.50771757534403,19.9451899356945,19.2715616743862,-31.4553067259949,-50.61812646407,-52.6281492923335,85.0494992324961,106.350308877962,140.081520136782,-25.1172828059657,10.3221957323753,-14.3578872138733,30.3816114384254,0.0146003483655477,21.7037899415868,-33.4645461396599,-39.9696467657204,-164.464986486921,47.0054157537311,122.132801268597,33.4060135919326,-8.07744741312308,4.71868096563048,-18.3748870389554,3.54072758927214,-4.30894423191785,-2.9542811893939,-16.3627580112907,-25.4331040888842,-20.6579071631072
,66.5,128.215456087273,103.19055514285,167.782161193956,-20.2909779310062,-32.0232154057198,-21.2962943522939,-135.922315178739,-78.7441772302441,-44.0236847652718,-29.0436942017323,-16.1905372482747,5.92921700446959,172.418940208811,163.512565465157,180.057183321853,-81.8686502812761,-84.7300958451592,-58.5010037509128,-25.4787455551455,-27.1373642273093,-14.0678774112012,3.82385644045326,-3.89741785636488,24.4966902238771,108.212424025644,213.59515943672,191.362936728841,-14.9888955028823,-24.4798670246937,-21.0972084669661,35.3755215745659,29.9841805989013,30.6784289425664,-29.8862479260524,-38.3261053486576,-25.5671663667695,149.368647668776,190.021898620652,191.891909434253,44.7895822850069,22.8648889010683,4.72651817687392,15.263223165508,-24.2237064787241,-8.6140781299664,19.273598391303,-8.48747317785637,-11.0037140614195,137.771929577066,200.167187951236,156.192095118283,-55.4496665745382,-4.94671136259512,-24.852410568817,23.6402820224644,4.93940003822809,24.9858222634566,-34.4179667027893,-21.0998056468247,-32.860445230353,-52.7097090481784,139.760610487223,115.144959947279,-11.8882296670704,11.4840338600088,-5.06111881160177,4.50771757531447,19.9451899356927,19.2715616743917,-31.4553067260349,-50.6181264640572,-52.6281492923313,85.0494992324784,106.35030887797,140.08152013677,-25.1172828059753,10.3221957323608,-14.3578872138964,30.3816114384704,0.0146003483328059,21.7037899415595,-33.4645461396763,-39.9696467657118,-164.46498648695,47.0054157537102,122.132801268628,33.4060135918999,-8.07744741309398,4.71868096563458,-18.3748870389277,3.54072758932671,-4.30894423197196,-2.95428118938571,-16.3627580113275,-25.433104088886,-20.6579071630886
,67,128.215456087234,103.19055514322,167.782161193946,-20.2909779307151,-32.0232154059872,-21.2962943521025,-135.922315178338,-78.7441772300899,-44.0236847654965,-29.0436942016718,-16.1905372482483,5.92921700444867,172.418940208376,163.512565465109,180.057183322348,-81.8686502814635,-84.7300958450351,-58.5010037507309,-25.4787455551718,-27.13736422695,-14.067877411489,3.82385644021724,-3.89741785589058,24.4966902243791,108.212424025773,213.595159436947,191.362936729213,-14.9888955023462,-24.4798670247587,-21.097208467464,35.3755215748379,29.9841805989931,30.6784289424768,-29.8862479260915,-38.3261053487372,-25.5671663668686,149.368647669389,190.021898620546,191.891909433829,44.7895822845235,22.8648889008859,4.72651817669384,15.2632231657831,-24.2237064786732,-8.61407812998914,19.2735983913926,-8.4874731779496,-11.0037140609775,137.771929576934,200.167187951667,156.192095118566,-55.4496665746537,-4.94671136288252,-24.8524105684842,23.6402820222625,4.93940003778789,24.9858222634089,-34.417966702485,-21.0998056468748,-32.8604452304994,-52.7097090485249,139.760610487592,115.144959947368,-11.8882296671445,11.4840338601011,-5.06111881205288,4.50771757555867,19.9451899357118,19.2715616743812,-31.4553067257561,-50.6181264641464,-52.6281492924031,85.0494992326285,106.35030887788,140.081520136825,-25.1172828059039,10.3221957324899,-14.3578872137145,30.3816114381066,0.0146003486320296,21.7037899417728,-33.4645461394994,-39.9696467657859,-164.464986486729,47.0054157538648,122.132801268381,33.4060135921868,-8.07744741333454,4.71868096556045,-18.3748870391541,3.54072758887742,-4.30894423153904,-2.95428118941709,-16.3627580110078,-25.4331040888792,-20.6579071632214
,67.5,127.276915727449,104.052166406535,167.01776041539,-21.46468151314,-33.3357113572006,-21.7451223249182,-140.140375825726,-82.230639556868,-45.1593619740383,-31.1028523157265,-16.7559004131067,2.11123437370088,171.052131212095,162.181107448239,178.791421540697,-83.1122783309638,-85.723034861388,-60.654020558366,-28.366780636663,-30.7701121406676,-17.2472689736378,1.02097536965675,-6.76456209641492,20.7067131140047,107.446624659238,211.853129726461,188.618411873766,-17.4999344631174,-26.3802289173282,-23.8566443845698,32.0297691894821,26.3634950479645,29.2520679026547,-32.1497282619644,-40.1492963459432,-28.3534807663168,146.923245495392,186.70966931109,189.949029381054,41.6361279205616,20.7169681234464,2.54571710123446,12.8562284800814,-26.0887784080387,-10.8419740610957,17.462251686447,-9.94859218454121,-12.0650628406729,137.029639114695,196.706694858659,154.751655466959,-56.3076594814634,-8.16797166076503,-27.9711593443099,20.8661026763807,1.48286824544357,23.6045755019381,-37.0146852271014,-24.4592296271585,-36.451782586606,-57.683898058423,137.819336204679,112.605519116414,-14.1559075759415,7.65973272450583,-8.34469979172991,1.45894808342473,16.1579657560137,15.3794331598747,-34.3488478101635,-53.7293901349253,-55.0208762574352,83.8636578945216,105.024151188159,138.234844361731,-28.0091694350717,7.12975579100794,-17.8967183209356,27.4199890220384,-3.26140673996451,18.7224058281149,-35.9415482746972,-42.917472035349,-170.347857520262,47.1402805612297,121.235058035538,32.8659081352835,-10.2373693946065,2.07763549959327,-20.4001218076878,1.37414290960123,-5.92160994958704,-5.02923322155993,-17.2999907935418,-27.2998762451134,-23.2533897772873
,68,130.832918583234,97.3311499177971,169.539300666371,-15.7084531450937,-26.9915476931465,-20.0394640336285,-116.295952159973,-62.9515019372589,-40.0601716962565,-20.6815219247364,-13.1266688161463,24.0317088698544,178.290537951884,168.790708142675,184.662791760208,-77.4522312918211,-79.0142242264187,-49.0367805767937,-12.2397918607312,-9.15828843631971,0.23480562385339,16.4331785400909,8.99323044292123,42.9559871748147,110.746902247233,220.983571930944,204.019469316099,-3.74019041620613,-16.6457752139049,-7.96268897812888,51.5861646234116,47.3106965752668,36.5040034321273,-20.1758389008724,-31.3245311108381,-12.6334404077656,159.466398304339,205.792992986976,200.413860013899,59.5330408918394,32.3965967824538,14.1634369383723,25.9287529451985,-16.5243355926614,0.986348374753561,26.945374945416,-3.24139042416527,-7.90972285660291,139.419880969459,216.721362836283,162.067090635481,-52.7226947803852,9.77608875175565,-11.0472545750913,36.4711685795892,21.0029561928209,30.3384940858409,-22.8081049408615,-5.66711675374245,-15.6215910986234,-29.3215244148387,148.20971567005,126.47243608051,-2.75564622392221,29.4679126880278,9.79721179508351,18.3300728091449,37.693182483767,37.6357002827212,-18.3641133782817,-36.3108868217673,-42.2562857877347,89.7801873947637,111.526078440263,148.27245125427,-12.1480627295664,25.1210047668196,2.04704169241859,44.3431568020246,15.6874481412051,35.7096153744965,-22.1686570524216,-26.2966267879337,-136.497632713855,44.6705356860066,125.375655443453,35.0493072028776,1.45144304488849,16.8691433980498,-9.78330536115709,12.9981417882723,2.39645795361366,6.07491718164238,-13.1934114956798,-17.275200646613,-8.90989723010716
,68.5,155.525032163592,94.2087159928537,190.662038918026,6.34047326452219,-1.78723663350183,-9.97562412978596,-53.1741231583505,-6.76862881553052,-17.0178119750331,17.0751978897442,-8.00054090846652,79.9969886551862,201.041568632633,193.169590585377,210.745340751678,-51.3778031643028,-71.7257027106825,-14.0399229239256,31.6950873563401,38.9906845271462,51.0330681309206,60.5244119094345,54.3204169528608,94.9670130889072,127.497606905813,250.770954042523,245.450068010555,36.2543630061236,17.4228483337665,31.8713447477053,98.3692523954442,99.1620715937825,61.5940009113015,17.9935066387879,4.29678601338946,29.4798946864721,203.620778581173,253.349425557658,232.081538166059,106.501237918777,66.701646676644,50.2672891051998,64.960605208712,16.2289700342963,38.0785919034547,57.9518357989045,27.1562174403339,18.3437295733902,160.121917015823,266.237283824297,187.750234766592,-33.2945439264608,59.1130807365012,39.406479065799,77.9205541306028,72.8538483683287,55.9539346933143,18.0383818335049,45.8729772728625,35.1584900986431,43.768983162327,180.32334743387,167.007389690772,39.2609398328127,85.5257411642287,61.0704435756679,65.7765555504061,93.8553572534443,94.339539943724,26.9011862601919,10.8592094281162,-2.28521826456881,111.31607217798,136.547817203429,177.92877085436,33.5666727446587,73.058528396175,55.3703560234139,87.2712613805165,61.6649533390255,79.3492869778142,15.667748095871,17.6896349919675,-51.7266578466961,51.0569649092199,143.451109269513,47.1541208918943,36.2659309120227,56.9183657552371,24.6597154856831,48.6648216326735,30.6104115084968,40.2960481347168,6.87119844779818,13.0175243232397,31.7231551524878
,69,192.712901433863,109.322613023248,233.834302260501,42.199069922634,39.295968560165,17.6131737454698,19.3782563301534,50.0570021550775,31.3337676185115,70.0951930437182,-0.381309646102181,136.827683654535,234.496476534715,233.921388991748,252.390465051108,-8.68760248604076,-63.8476257645743,33.1615728341858,87.0728559202967,86.258122664728,110.453479858333,117.455089701603,111.17962296315,148.865932678433,159.361176767306,293.617821345978,296.487776943201,86.5069303192404,65.3116031555392,75.2244621826094,143.933323614186,152.333633866007,102.901814415916,71.6104346933967,57.9417402055642,75.9150215272566,263.443084501409,305.159648432948,275.706265111843,158.999105363909,113.125205514608,101.914286957558,114.268012985789,67.0679661692425,91.1992998829269,102.024409722474,77.0173153793717,63.6804257936074,203.322180103007,317.555984063332,228.212192982415,3.78301548129411,121.103145637658,105.359414519821,129.768209278595,133.05029191288,102.192217551265,74.0059274675136,105.939207528044,89.2421337765959,125.471714599872,223.741306537762,219.670956020182,99.0912594059441,149.288402851387,125.660256376228,125.473678845634,156.34524382055,158.595852936692,83.0641200249788,69.2764838038152,51.0849558037648,147.151825199454,176.828775354079,217.112142701056,92.5398973271958,130.104032885456,117.21488892054,138.168508303756,115.464959081927,130.035773580246,64.810769048484,71.3425813133649,41.0384649726102,81.2974697811128,176.728038807115,74.0189925985501,83.9695473010474,105.946516451825,75.4022356556579,96.9587434747223,72.32518473654,87.375297223175,44.5494230809586,56.769919047787,81.6362177993274
,69.5,233.380673340186,143.973066303061,283.837211572447,86.9511821453666,92.4742493036606,61.7353310948033,96.538392664248,99.8141150852161,89.3661626709577,129.939211190574,19.3259033221843,186.331395539958,274.641396679639,284.911910344616,299.065486744523,46.5070992417595,-40.737026799402,87.0977899479626,146.119738329893,135.955122962074,170.367785531349,176.2895860267,171.884430414637,198.592374733468,195.864227088432,340.849383629209,349.101544461205,137.933551127129,119.514475513464,107.598563706824,190.22721173297,202.510003276901,156.068032523647,128.601390810215,117.418249245497,126.822196221306,322.232090610373,356.229636802882,321.398505241902,209.97044314223,166.913610135899,159.513784794893,167.597133719913,126.27874134954,152.744939687388,156.790642646316,132.543233235255,120.57429142067,257.831607441072,366.521060807,275.261192696898,46.959015584227,185.93160558287,173.366323842877,187.706384788154,192.015575041549,162.385130792463,136.893977636059,167.070925926585,141.976491752482,210.73669616,272.560362359337,274.929289211096,163.828985386768,214.894598837676,192.656687933742,186.782229527031,216.543916928844,222.68359499962,144.028242322946,131.022192487656,108.795011842544,192.293591841061,224.024554211718,260.688233879761,156.569801514906,187.465826617379,180.823156531277,190.044437595965,174.132481426127,183.749272720556,120.503725934361,129.73174904193,130.551978182781,127.004458328769,217.06861437289,114.873780873244,137.444086049958,158.521276847929,133.191881297721,150.094252287566,124.282713909841,141.030688219606,93.6131628322232,107.454493968364,135.578213035785
