,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,A01,SYBR,,Std-01,,87,3104.24379428421,79.5,95,
,A02,SYBR,,Std-01,,87,2754.56067400968,81,95,
,A03,SYBR,,Std-01,,87,2991.18460379826,81,94,
,A04,SYBR,,Unkn-01,,87,2365.80316346747,68.5,95,
,A05,SYBR,,Unkn-01,,87,2482.99619307972,68.5,94,
,A06,SYBR,,Unkn-01,,87,2346.09684146169,68.5,91,
,A07,SYBR,,Unkn-09,,86.5,2445.8662922053,69,95,
,A08,SYBR,,Unkn-09,,86.5,2444.39805127047,68.5,95,
,A09,SYBR,,Unkn-09,,86,2514.57432576099,68.5,94,
,A10,SYBR,,Unkn-17,,85.5,2560.33356719717,68.5,95,
,A11,SYBR,,Unkn-17,,85.5,2304.38794085963,69,94,
,A12,SYBR,,Unkn-17,,86,2562.61816527522,76.5,93,
,B01,SYBR,,Std-02,,87,3035.59510692958,78,94,
,B02,SYBR,,Std-02,,87,2989.39504670477,81,95,
,B03,SYBR,,Std-02,,87,3183.59536292248,80.5,95,
,B04,SYBR,,Unkn-02,,87,2419.56683956853,69,94,
,B05,SYBR,,Unkn-02,,87,2475.88738519187,70.5,94,
,B06,SYBR,,Unkn-02,,87,2383.25805836502,68.5,95,
,B07,SYBR,,Unkn-10,,85,2611.39621044606,68,95,
,B08,SYBR,,Unkn-10,,85.5,2488.59946577948,68,95,
,B09,SYBR,,Unkn-10,,85,2585.92362126249,68,95,
,B10,SYBR,,Unkn-18,,84.5,2503.9887530769,67.5,95,
,B11,SYBR,,Unkn-18,,84,2526.63079740765,68,94,
,B12,SYBR,,Unkn-18,,84.5,2456.27320530449,67.5,95,
,C01,SYBR,,Std-03,,87,3074.89854463354,81,94,
,C02,SYBR,,Std-03,,87,3296.44261054679,80.5,94,
,C03,SYBR,,Std-03,,87,3147.71593772509,80.5,95,
,C04,SYBR,,Unkn-03,,87,2435.56705298428,68,94,
,C05,SYBR,,Unkn-03,,87,2569.52347296015,68.5,94,
,C06,SYBR,,Unkn-03,,87,2474.59563265931,68,95,
,C07,SYBR,,Unkn-11,,85.5,2661.90495024608,75.5,95,
,C08,SYBR,,Unkn-11,,85.5,2644.05760884427,73,95,
,C09,SYBR,,Unkn-11,,85,2517.98167047078,67.5,95,
,C10,SYBR,,Unkn-19,,87,2649.15193472568,68.5,91.5,
,C11,SYBR,,Unkn-19,,87,2694.51854345604,68.5,91.5,
,C12,SYBR,,Unkn-19,,87,2584.45955672564,75.5,91.5,
,D01,SYBR,,Std-04,,87,3200.67559662126,80.5,93.5,
,D02,SYBR,,Std-04,,87,3145.72375098151,80.5,94,
,D03,SYBR,,Std-04,,87,3045.89499274778,80,95,
,D04,SYBR,,Unkn-04,,86.5,2539.87361839337,67.5,95,
,D05,SYBR,,Unkn-04,,86.5,2682.10647523005,67.5,92,
,D06,SYBR,,Unkn-04,,86.5,2654.34069684275,67.5,91.5,
,D07,SYBR,,Unkn-12,,86,2677.39796815695,67.5,90.5,
,D08,SYBR,,Unkn-12,,86,2631.64470180925,68.5,90.5,
,D09,SYBR,,Unkn-12,,86,2678.78014237927,68,90.5,
,D10,SYBR,,Unkn-20,,86.5,2533.27978104952,67.5,91,
,D11,SYBR,,Unkn-20,,86.5,2653.70661408295,68,91,
,D12,SYBR,,Unkn-20,,87,2505.7625209318,68,91,
,E01,SYBR,,Std-05,,87,3019.19659109431,80.5,91,
,E02,SYBR,,Std-05,,87,3042.72229355445,80.5,90.5,
,E03,SYBR,,Std-05,,86.5,2949.46148687734,80.5,94,
,E04,SYBR,,Unkn-05,,85.5,2981.09566882841,69,95,
,E05,SYBR,,Unkn-05,,85.5,2914.07061023983,68,95,
,E06,SYBR,,Unkn-05,,85.5,3059.64061285791,68,95,
,E07,SYBR,,Unkn-13,,85.5,2846.87558603608,74.5,90,
,E08,SYBR,,Unkn-13,,86,2900.09990038673,77,95,
,E09,SYBR,,Unkn-13,,85.5,2827.3077651499,67.5,95,
,E10,SYBR,,Unkn-21,,86,2562.78601524176,68.5,94,
,E11,SYBR,,Unkn-21,,86,2577.4685107957,68,95,
,E12,SYBR,,Unkn-21,,86,2677.01134347948,76,95,
,F01,SYBR,,Std-06,,87,2798.48613719257,80,95,
,F02,SYBR,,Std-06,,86.5,2829.10869563497,80,91,
,F03,SYBR,,Std-06,,86.5,2815.74224762129,80.5,95,
,F04,SYBR,,Unkn-06,,84.5,2785.81976494427,68,95,
,F05,SYBR,,Unkn-06,,84.5,2860.42174640115,67.5,94,
,F06,SYBR,,Unkn-06,,85,2794.7612839806,68,94,
,F07,SYBR,,Unkn-14,,85,2768.27756268554,67.5,95,
,F08,SYBR,,Unkn-14,,85,2700.88989053996,67.5,95,
,F09,SYBR,,Unkn-14,,85,2629.99054045586,67.5,95,
,F10,SYBR,,Unkn-22,,86,2411.65026250037,68,94,
,F11,SYBR,,Unkn-22,,86.5,2537.75776772762,68.5,95,
,F12,SYBR,,Unkn-22,,86.5,2476.59518359942,68.5,95,
,G01,SYBR,,Std-07,,86.5,2896.40741027434,80.5,91,
,G02,SYBR,,Std-07,,87,2623.15689995763,80.5,91,
,G03,SYBR,,Std-07,,86.5,2746.10222295684,81,91,
,G04,SYBR,,Unkn-07,,85,2468.50703347276,68,94,
,G05,SYBR,,Unkn-07,,85,2372.92399960671,67.5,95,
,G06,SYBR,,Unkn-07,,85,2589.92155765166,68,95,
,G07,SYBR,,Unkn-15,,85.5,2665.45132934325,67.5,95,
,G08,SYBR,,Unkn-15,,85.5,2525.42672119529,67.5,95,
,G09,SYBR,,Unkn-15,,85.5,2433.90179012952,67.5,95,
,G10,SYBR,,Unkn-23,,86,2610.34028150182,68.5,94,
,G11,SYBR,,Unkn-23,,86,2701.61803644278,68.5,95,
,G12,SYBR,,Unkn-23,,86,2689.58454751651,69,94,
,H01,SYBR,,NTC,,87,2494.84257025241,80,91.5,
,H02,SYBR,,NTC,,86.5,2506.25887423656,79.5,94,
,H03,SYBR,,NTC,,87,2337.80824066509,80.5,92,
,H04,SYBR,,Unkn-08,,85.5,2455.85274318031,68,95,
,H05,SYBR,,Unkn-08,,85.5,2483.43595884786,67.5,95,
,H06,SYBR,,Unkn-08,,85.5,2438.64291074666,68,94,
,H07,SYBR,,Unkn-16,,86,2471.65571452112,67.5,95,
,H08,SYBR,,Unkn-16,,86,2566.25252024218,68,95,
,H09,SYBR,,Unkn-16,,86,2588.41136534599,68,95,
,H10,SYBR,,Unkn-24,,87,2548.14925785679,68.5,94,
,H11,SYBR,,Unkn-24,,87,2581.62550176749,68.5,95,
,H12,SYBR,,Unkn-24,,87,2725.18177694491,80.5,94,
