,Well,Fluor,Target,Content,Sample,Melt Temp
,A01,SYBR,,Std-01,,87
,A02,SYBR,,Std-01,,87
,A03,SYBR,,Std-01,,87
,A04,SYBR,,Unkn-01,,87
,A05,SYBR,,Unkn-01,,87
,A06,SYBR,,Unkn-01,,87
,A07,SYBR,,Unkn-09,,86.5
,A08,SYBR,,Unkn-09,,86.5
,A09,SYBR,,Unkn-09,,86
,A10,SYBR,,Unkn-17,,85.5
,A11,SYBR,,Unkn-17,,85.5
,A12,SYBR,,Unkn-17,,86
,B01,SYBR,,Std-02,,87
,B02,SYBR,,Std-02,,87
,B03,SYBR,,Std-02,,87
,B04,SYBR,,Unkn-02,,87
,B05,SYBR,,Unkn-02,,87
,B06,SYBR,,Unkn-02,,87
,B07,SYBR,,Unkn-10,,85
,B08,SYBR,,Unkn-10,,85.5
,B09,SYBR,,Unkn-10,,85
,B10,SYBR,,Unkn-18,,84.5
,B11,SYBR,,Unkn-18,,84
,B12,SYBR,,Unkn-18,,84.5
,C01,SYBR,,Std-03,,87
,C02,SYBR,,Std-03,,87
,C03,SYBR,,Std-03,,87
,C04,SYBR,,Unkn-03,,87
,C05,SYBR,,Unkn-03,,87
,C06,SYBR,,Unkn-03,,87
,C07,SYBR,,Unkn-11,,85.5
,C08,SYBR,,Unkn-11,,85.5
,C09,SYBR,,Unkn-11,,85
,C10,SYBR,,Unkn-19,,87
,C11,SYBR,,Unkn-19,,87
,C12,SYBR,,Unkn-19,,87
,D01,SYBR,,Std-04,,87
,D02,SYBR,,Std-04,,87
,D03,SYBR,,Std-04,,87
,D04,SYBR,,Unkn-04,,86.5
,D05,SYBR,,Unkn-04,,86.5
,D06,SYBR,,Unkn-04,,86.5
,D07,SYBR,,Unkn-12,,86
,D08,SYBR,,Unkn-12,,86
,D09,SYBR,,Unkn-12,,86
,D10,SYBR,,Unkn-20,,86.5
,D11,SYBR,,Unkn-20,,86.5
,D12,SYBR,,Unkn-20,,87
,E01,SYBR,,Std-05,,87
,E02,SYBR,,Std-05,,87
,E03,SYBR,,Std-05,,86.5
,E04,SYBR,,Unkn-05,,85.5
,E05,SYBR,,Unkn-05,,85.5
,E06,SYBR,,Unkn-05,,85.5
,E07,SYBR,,Unkn-13,,85.5
,E08,SYBR,,Unkn-13,,86
,E09,SYBR,,Unkn-13,,85.5
,E10,SYBR,,Unkn-21,,86
,E11,SYBR,,Unkn-21,,86
,E12,SYBR,,Unkn-21,,86
,F01,SYBR,,Std-06,,87
,F02,SYBR,,Std-06,,86.5
,F03,SYBR,,Std-06,,86.5
,F04,SYBR,,Unkn-06,,84.5
,F05,SYBR,,Unkn-06,,84.5
,F06,SYBR,,Unkn-06,,85
,F07,SYBR,,Unkn-14,,85
,F08,SYBR,,Unkn-14,,85
,F09,SYBR,,Unkn-14,,85
,F10,SYBR,,Unkn-22,,86
,F11,SYBR,,Unkn-22,,86.5
,F12,SYBR,,Unkn-22,,86.5
,G01,SYBR,,Std-07,,86.5
,G02,SYBR,,Std-07,,87
,G03,SYBR,,Std-07,,86.5
,G04,SYBR,,Unkn-07,,85
,G05,SYBR,,Unkn-07,,85
,G06,SYBR,,Unkn-07,,85
,G07,SYBR,,Unkn-15,,85.5
,G08,SYBR,,Unkn-15,,85.5
,G09,SYBR,,Unkn-15,,85.5
,G10,SYBR,,Unkn-23,,86
,G11,SYBR,,Unkn-23,,86
,G12,SYBR,,Unkn-23,,86
,H01,SYBR,,NTC,,87
,H02,SYBR,,NTC,,86.5
,H03,SYBR,,NTC,,87
,H04,SYBR,,Unkn-08,,85.5
,H05,SYBR,,Unkn-08,,85.5
,H06,SYBR,,Unkn-08,,85.5
,H07,SYBR,,Unkn-16,,86
,H08,SYBR,,Unkn-16,,86
,H09,SYBR,,Unkn-16,,86
,H10,SYBR,,Unkn-24,,87
,H11,SYBR,,Unkn-24,,87
,H12,SYBR,,Unkn-24,,87
