,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,A01,SYBR,,Std-01,,86.5,3752.1855205482,79.5,95,
,A02,SYBR,,Std-01,,86.5,3742.74423778509,80,95,
,A03,SYBR,,Std-01,,86.5,3781.57582948202,80,95,
,A04,SYBR,,Unkn-01,,86.5,2678.24580675892,68,95,
,A05,SYBR,,Unkn-01,,86.5,2741.38533823869,68,94,
,A06,SYBR,,Unkn-01,,86.5,2658.85675177328,68,94,
,A07,SYBR,,Unkn-09,,86.5,2568.25441813826,67.5,94,
,A08,SYBR,,Unkn-09,,86.5,2617.30845313384,67.5,95,
,A09,SYBR,,Unkn-09,,86.5,2654.56235121749,68,95,
,A10,SYBR,,Unkn-17,,86.5,3197.93849758026,68,94,
,A11,SYBR,,Unkn-17,,86.5,3239.83686227317,68,95,
,A12,SYBR,,Unkn-17,,86.5,3354.30803453287,80,94,
,B01,SYBR,,Std-02,,86.5,3597.45734636156,80,95,
,B02,SYBR,,Std-02,,86.5,3691.92775206898,80,93,
,B03,SYBR,,Std-02,,86.5,3785.39937583364,80,95,
,B04,SYBR,,Unkn-02,,86.5,2905.26052439838,68,95,
,B05,SYBR,,Unkn-02,,86.5,2903.41318901047,67.5,95,
,B06,SYBR,,Unkn-02,,86.5,3012.43505589518,67.5,94,
,B07,SYBR,,Unkn-10,,86.5,2877.90492124197,67.5,95,
,B08,SYBR,,Unkn-10,,86.5,2835.62489022745,73.5,95,
,B09,SYBR,,Unkn-10,,86,3089.10673761983,67.5,95,
,B10,SYBR,,Unkn-18,,86.5,3264.90087220899,68,95,
,B11,SYBR,,Unkn-18,,86.5,3274.41135566991,68,95,
,B12,SYBR,,Unkn-18,,86.5,3353.33520428818,81.5,94,
,C01,SYBR,,Std-03,,86.5,3656.90586148282,79.5,94,
,C02,SYBR,,Std-03,,86.5,3901.71340057941,79.5,94,
,C03,SYBR,,Std-03,,86.5,3702.57449426808,80,94,
,C04,SYBR,,Unkn-03,,86.5,2741.1499365382,68.5,95,
,C05,SYBR,,Unkn-03,,86.5,2931.28846467791,67.5,95,
,C06,SYBR,,Unkn-03,,86.5,2808.77247016032,67.5,95,
,C07,SYBR,,Unkn-11,,86,3358.01883646188,67.5,91.5,
,C08,SYBR,,Unkn-11,,86,3341.55122637144,67.5,91,
,C09,SYBR,,Unkn-11,,86,3485.70276256127,67.5,91,
,C10,SYBR,,Unkn-19,,86.5,3140.19134569993,67.5,95,
,C11,SYBR,,Unkn-19,,86.5,3158.74349433092,67.5,94,
,C12,SYBR,,Unkn-19,,86.5,3007.68962088749,76.5,94,
,D01,SYBR,,Std-04,,86.5,3649.13465392617,79.5,92.5,
,D02,SYBR,,Std-04,,86.5,3657.57861205421,80,95,
,D03,SYBR,,Std-04,,86.5,3588.99299600947,79.5,94,
,D04,SYBR,,Unkn-04,,86.5,3048.9746130478,67.5,91,
,D05,SYBR,,Unkn-04,,86.5,3178.52196270819,67.5,91,
,D06,SYBR,,Unkn-04,,86.5,3209.3190594578,67.5,91,
,D07,SYBR,,Unkn-12,,86.5,2868.35324063313,67.5,95,
,D08,SYBR,,Unkn-12,,86.5,2787.80124695235,67.5,95,
,D09,SYBR,,Unkn-12,,86.5,2830.55082716169,67.5,95,
,D10,SYBR,,Unkn-20,,86,2813.04897678063,67.5,95,
,D11,SYBR,,Unkn-20,,86,2887.35554348752,67.5,95,
,D12,SYBR,,Unkn-20,,86.5,2858.97293441069,67.5,94,
,E01,SYBR,,Std-05,,86.5,3534.05609618931,79,92.5,
,E02,SYBR,,Std-05,,86.5,3577.40778235327,79.5,95,
,E03,SYBR,,Std-05,,86.5,3640.60887101753,79.5,90.5,
,E04,SYBR,,Unkn-05,,86.5,3102.55330364831,68.5,91,
,E05,SYBR,,Unkn-05,,86.5,3067.29399768445,67.5,91,
,E06,SYBR,,Unkn-05,,86.5,3231.1409969332,67.5,91,
,E07,SYBR,,Unkn-13,,86,2740.51984706132,71.5,91,
,E08,SYBR,,Unkn-13,,86,2694.11051109642,71,94,
,E09,SYBR,,Unkn-13,,86,2857.62957351537,67.5,95,
,E10,SYBR,,Unkn-21,,86,2983.96406402396,67.5,94,
,E11,SYBR,,Unkn-21,,85.5,2966.55090685252,67.5,95,
,E12,SYBR,,Unkn-21,,85.5,3004.04757014376,68,95,
,F01,SYBR,,Std-06,,86,3243.87102430819,78,91,
,F02,SYBR,,Std-06,,86.5,3423.97456079198,78,95,
,F03,SYBR,,Std-06,,86.5,3444.40700993623,79.5,95,
,F04,SYBR,,Unkn-06,,86.5,3121.50694716786,67.5,95,
,F05,SYBR,,Unkn-06,,86.5,3211.189683018,67.5,95,
,F06,SYBR,,Unkn-06,,86.5,3243.37472754051,67.5,95,
,F07,SYBR,,Unkn-14,,86.5,2984.50009901385,67.5,94,
,F08,SYBR,,Unkn-14,,86.5,2950.45461498234,67.5,95,
,F09,SYBR,,Unkn-14,,86,2950.22256422026,67.5,94,
