,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,65,26191.5321245046,26380.3636560043,27133.3286303808,22561.7048088112,22923.0591377526,22191.2427388511,22368.2040083834,22837.4560909493,22769.2588873603,24380.5751061012,24375.9860947738,23779.5711434555,25183.8706378706,26630.5255634359,27261.829536427,23583.5939006324,23674.8888672145,24465.0748374071,23900.8895085084,23103.0726940358,24651.8395514738,24678.9275025178,24623.3217910437,24320.3862103302,26332.1682774542,28144.9370841093,26963.9514077414,22646.3630096184,24441.2070898372,23321.2044993217,24935.4320017556,24848.1078188351,25743.8576683668,24726.3256165132,24722.1908332486,22912.1832227501,26903.9428678417,27306.6630024579,27017.1926554631,24543.6270354913,25057.8115494998,24974.9457622345,24491.4669771328,23556.3540040921,23910.535990402,23894.9698744862,24158.8445110007,23984.6336879403,26180.5628678933,27092.2204442052,27179.3180823428,24262.9576828048,24698.611921789,25693.8696177165,23825.7430722526,23299.3258687245,24431.1069205639,24172.1536081295,23896.4017640808,23528.5206204383,24663.9134460482,25777.8694847895,26115.8095061299,24004.8197709016,24562.3048216213,24647.3474063693,23979.4225619842,24077.5051928849,24023.607229407,25456.7883805445,24356.4578826458,24766.5275589516,24774.3180979583,24149.1414562803,24329.3296401286,23573.4106824788,24097.7384544348,24940.0271011188,25656.4028404436,24845.508626757,24068.1773944492,25034.1282738861,24342.6357563588,24829.2456159733,24016.5736412676,23078.552369499,23597.718390715,22239.4880927123,23424.8732786812,23410.1685301679,25180.9993052798,24693.6169627004,25274.8807052113,24515.2913683711,23419.0089838666,24612.4814848288
,65.5,26072.7783794689,26294.7034612233,26994.7481982069,22573.2230321761,22945.8702678392,22221.6382453886,22360.6190033585,22826.5972312285,22782.6889573451,24400.5162280486,24399.5461252433,23778.6859573729,25056.1611764275,26510.3389484715,27118.8907462796,23600.7316099667,23673.0166244061,24452.222149468,23896.9975447304,23089.3784231549,24572.8414038459,24691.9692478925,24638.4871973283,24299.1084108926,26236.7707026479,27992.7350442936,26818.1981478924,22676.41601048,24437.0937847448,23315.1978393097,24895.0471454645,24792.979541674,25705.9576578665,24698.0651650635,24709.8785227165,22897.0982162384,26790.1475833627,27148.7785268411,26854.3109086006,24478.2424373402,25008.3358813915,24950.0347149021,24454.4247254959,23548.2618311993,23899.894178688,23872.7672331774,24154.1723575141,23979.6298549901,26083.1895359163,26946.2719382411,27045.3799856394,24293.288116101,24671.8253593994,25675.2588523595,23800.8737423376,23272.6707581986,24417.3423681887,24145.976678668,23860.6936428897,23558.7742722379,24622.2010782233,25687.6265052729,26030.8134934679,23984.1204338869,24535.7755678002,24619.9194714414,23963.2302588281,24051.1460736918,24001.1909053901,25432.6893390757,24344.0306629074,24756.9653480135,24738.3776704932,24119.7541644392,24282.6017689021,23558.1402036747,24067.4895088543,24896.8214350133,25611.6544773245,24764.5109630784,24017.7572848795,25010.1936447036,24333.8791095937,24821.9374516762,23984.0598454236,23058.138565533,23566.377278326,22250.5033579534,23426.5610646308,23392.0617018104,25167.876846919,24688.7634080817,25270.358893633,24502.6887263158,23413.3019182236,24610.7357046032
,66,25954.0246344331,26209.0432664422,26856.1677660331,22584.7412555411,22968.6813979257,22252.0337519262,22353.0339983336,22815.7383715076,22796.1190273299,24420.4573499961,24423.1061557127,23777.8007712902,24928.4517149844,26390.1523335072,26975.9519561321,23617.869319301,23671.1443815978,24439.3694615288,23893.1055809524,23075.684152274,24493.843256218,24705.0109932672,24653.6526036129,24277.830611455,26141.3731278415,27840.5330044779,26672.4448880433,22706.4690113416,24432.9804796524,23309.1911792977,24854.6622891733,24737.8512645128,25668.0576473661,24669.8047136138,24697.5662121845,22882.0132097268,26676.3522988837,26990.8940512242,26691.4291617381,24412.8578391891,24958.8602132832,24925.1236675697,24417.382473859,23540.1696583065,23889.2523669741,23850.5645918685,24149.5002040275,23974.6260220399,25985.8162039394,26800.3234322771,26911.4418889361,24323.6185493973,24645.0387970099,25656.6480870024,23776.0044124226,23246.0156476727,24403.5778158135,24119.7997492065,23824.9855216985,23589.0279240375,24580.4887103984,25597.3835257562,25945.8174808059,23963.4210968722,24509.246313979,24592.4915365135,23947.0379556721,24024.7869544987,23978.7745813733,25408.5902976069,24331.603443169,24747.4031370754,24702.4372430282,24090.3668725981,24235.8738976756,23542.8697248707,24037.2405632738,24853.6157689078,25566.9061142054,24683.5132993999,23967.3371753098,24986.2590155211,24325.1224628286,24814.629287379,23951.5460495797,23037.7247615671,23535.036165937,22261.5186231945,23428.2488505803,23373.954873453,25154.7543885583,24683.909853463,25265.8370820547,24490.0860842605,23407.5948525806,24608.9899243776
,66.5,25835.2708893974,26123.3830716612,26717.5873338592,22596.2594789061,22991.4925280123,22282.4292584638,22345.4489933087,22804.8795117868,22809.5490973147,24440.3984719435,24446.6661861821,23776.9155852075,24800.7422535413,26269.9657185428,26833.0131659847,23635.0070286353,23669.2721387894,24426.5167735897,23889.2136171744,23061.9898813931,24414.84510859,24718.0527386419,24668.8180098975,24256.5528120173,26045.9755530351,27688.3309646622,26526.6916281942,22736.5220122032,24428.86717456,23303.1845192856,24814.2774328821,24682.7229873517,25630.1576368657,24641.544262164,24685.2539016524,22866.9282032151,26562.5570144048,26833.0095756074,26528.5474148756,24347.4732410381,24909.3845451749,24900.2126202373,24380.3402222221,23532.0774854137,23878.6105552601,23828.3619505596,24144.8280505409,23969.6221890898,25888.4428719624,26654.3749263131,26777.5037922327,24353.9489826935,24618.2522346203,25638.0373216453,23751.1350825076,23219.3605371468,24389.8132634383,24093.622819745,23789.2774005074,23619.2815758371,24538.7763425736,25507.1405462395,25860.821468144,23942.7217598575,24482.7170601579,24565.0636015856,23930.8456525161,23998.4278353055,23956.3582573564,25384.491256138,24319.1762234305,24737.8409261374,24666.4968155632,24060.979580757,24189.1460264491,23527.5992460666,24006.9916176933,24810.4101028024,25522.1577510863,24602.5156357213,23916.9170657401,24962.3243863387,24316.3658160635,24807.3211230819,23919.0322537358,23017.3109576011,23503.695053548,22272.5338884355,23429.9366365298,23355.8480450955,25141.6319301975,24679.0562988443,25261.3152704764,24477.4834422052,23401.8877869376,24607.2441441521
,67,25716.5171443616,26037.7228768801,26579.0069016853,22607.7777022711,23014.3036580988,22312.8247650013,22337.8639882838,22794.020652066,22822.9791672995,24460.339593891,24470.2262166515,23776.0303991249,24673.0327920982,26149.7791035785,26690.0743758373,23652.1447379696,23667.3998959811,24413.6640856505,23885.3216533964,23048.2956105122,24335.8469609621,24731.0944840166,24683.9834161822,24235.2750125797,25950.5779782287,27536.1289248465,26380.9383683452,22766.5750130648,24424.7538694676,23297.1778592736,24773.892576591,24627.5947101906,25592.2576263654,24613.2838107143,24672.9415911203,22851.8431967035,26448.7617299258,26675.1250999905,26365.6656680131,24282.088642887,24859.9088770666,24875.3015729049,24343.2979705852,23523.9853125209,23867.9687435462,23806.1593092507,24140.1558970543,23964.6183561396,25791.0695399855,26508.4264203491,26643.5656955293,24384.2794159898,24591.4656722307,25619.4265562883,23726.2657525925,23192.7054266209,24376.0487110631,24067.4458902834,23753.5692793163,23649.5352276367,24497.0639747487,25416.8975667229,25775.825455482,23922.0224228427,24456.1878063368,24537.6356666577,23914.65334936,23972.0687161124,23933.9419333395,25360.3922146692,24306.7490036921,24728.2787151993,24630.5563880982,24031.5922889159,24142.4181552226,23512.3287672626,23976.7426721128,24767.2044366969,25477.4093879672,24521.5179720428,23866.4969561704,24938.3897571562,24307.6091692984,24800.0129587848,23886.5184578919,22996.8971536352,23472.353941159,22283.5491536766,23431.6244224793,23337.741216738,25128.5094718367,24674.2027442256,25256.7934588981,24464.8808001499,23396.1807212946,24605.4983639265
,67.5,25597.7633993259,25952.0626820992,26440.4264695117,22619.2959256359,23037.1147881856,22343.2202715392,22330.2789832593,22783.161792345,22836.4092372845,24480.2807158383,24493.786247121,23775.1452130425,24545.323330655,26029.5924886142,26547.1355856901,23669.282447304,23665.5276531724,24400.811397711,23881.4296896179,23034.6013396311,24256.8488133339,24744.1362293916,24699.1488224671,24213.9972131418,25855.1804034223,27383.9268850308,26235.1851084962,22796.6280139263,24420.6405643755,23291.1711992615,24733.5077202996,24572.4664330294,25554.3576158652,24585.0233592648,24660.6292805881,22836.7581901916,26334.9664454466,26517.240624374,26202.7839211506,24216.7040447359,24810.4332089581,24850.3905255725,24306.2557189479,23515.893139628,23857.3269318322,23783.9566679415,24135.4837435675,23959.6145231895,25693.6962080086,26362.4779143852,26509.6275988259,24414.6098492863,24564.6791098412,25600.8157909311,23701.3964226776,23166.0503160948,24362.2841586879,24041.2689608222,23717.8611581254,23679.7888794364,24455.351606924,25326.6545872059,25690.8294428203,23901.3230858283,24429.6585525154,24510.2077317296,23898.4610462041,23945.7095969193,23911.5256093225,25336.2931732002,24294.3217839537,24718.7165042609,24594.6159606332,24002.2049970749,24095.690283996,23497.0582884587,23946.4937265323,24723.9987705914,25432.6610248482,24440.5203083641,23816.0768466009,24914.4551279734,24298.8525225334,24792.7047944877,23854.0046620479,22976.4833496692,23441.0128287701,22294.5644189177,23433.3122084287,23319.6343883802,25115.3870134761,24669.3491896068,25252.2716473198,24452.2781580944,23390.4736556519,24603.7525837011
,68,25479.0096542901,25866.4024873181,26301.8460373378,22630.8141490008,23059.9259182721,22373.6157780768,22322.6939782344,22772.3029326241,22849.8393072693,24500.2218377858,24517.3462775904,23774.2600269598,24417.6138692119,25909.4058736498,26404.1967955427,23686.4201566383,23663.655410364,24387.9587097719,23877.5377258399,23020.9070687502,24177.8506657059,24757.1779747662,24714.3142287517,24192.7194137042,25759.782828616,27231.7248452151,26089.4318486472,22826.681014788,24416.5272592831,23285.1645392495,24693.1228640084,24517.3381558682,25516.4576053648,24556.7629078151,24648.316970056,22821.67318368,26221.1711609676,26359.3561487571,26039.9021742881,24151.3194465848,24760.9575408498,24825.4794782401,24269.213467311,23507.8009667352,23846.6851201183,23761.7540266326,24130.8115900809,23954.6106902393,25596.3228760317,26216.5294084212,26375.6895021225,24444.9402825826,24537.8925474516,25582.2050255741,23676.5270927626,23139.3952055689,24348.5196063127,24015.0920313607,23682.1530369343,23710.042531236,24413.6392390992,25236.4116076892,25605.8334301584,23880.6237488135,24403.1292986943,24482.7797968017,23882.2687430481,23919.3504777261,23889.1092853056,25312.1941317314,24281.8945642152,24709.1542933228,24558.6755331682,23972.8177052338,24048.9624127695,23481.7878096546,23916.2447809518,24680.7931044859,25387.9126617291,24359.5226446855,23765.6567370313,24890.520498791,24290.0958757683,24785.3966301905,23821.490866204,22956.0695457032,23409.6717163811,22305.5796841588,23434.9999943782,23301.5275600228,25102.2645551153,24664.4956349881,25247.7498357415,24439.675516039,23384.7665900089,24602.0068034755
,68.5,25325.6451343105,25726.3071919089,26125.4320776995,22604.4126950899,23045.2183615774,22368.5762478677,22278.1547043638,22723.4314315779,22823.2759274457,24481.4641690904,24498.2644805532,23728.7880262093,24252.3822162322,25750.1959894533,26220.6965893792,23661.668920693,23622.5458070553,24337.7022884395,23838.331001077,22972.5541893787,24055.9478984595,24721.2432613815,24681.1491680804,24125.6599630757,25604.8306685208,27039.5438932363,25902.7320082055,22829.1077117206,24370.7286500332,23242.0373286104,24629.7985622184,24424.0134930023,25436.3113444394,24486.7155697863,24593.6950192797,22767.063007233,26057.9110498764,26159.8079522119,25834.4032735219,24042.310146104,24665.40438344,24754.0674271556,24190.5164870562,23455.8468484714,23789.3214382333,23699.8685808643,24089.0359787447,23906.2446869659,25454.5510998312,26033.1817393988,26198.9309011752,24449.6987721186,24474.7191452759,25521.332415639,23613.5647973234,23076.1655602329,24295.2077640045,23946.7560394592,23605.1440560812,23681.2066957389,24327.7681661902,25103.2961548239,25478.4419169332,23817.9002866488,24335.8748428186,24413.2336125907,23828.444078695,23852.1151470591,23829.204067542,25246.2041510552,24229.2938202511,24656.714292818,24480.7556613584,23902.3553976715,23964.4766393896,23429.2288062455,23850.0703086262,24599.7715554824,25324.2914261807,24240.713945771,23676.8908029368,24825.7526907553,24237.8054769729,24734.7793163503,23751.3502282677,22902.5106973001,23344.6864699687,22284.4470832345,23400.7346516367,23248.4340843121,25042.4612236039,24614.7914727233,25197.7607900789,24389.0454885529,23340.1664850821,24552.599928729
,69,25143.5442028374,25535.9542408269,25910.6922134641,22540.6395036698,22991.0586754084,22325.5113302115,22198.1758997248,22639.9046183322,22756.2992037392,24420.5573921571,24433.4220929494,23643.9420322145,24053.2419228701,25552.7282963108,25999.0996792789,23596.7615757247,23542.9274175686,24250.3666387213,23762.2175524645,22891.185304221,23899.9379596831,24636.1317754487,24598.3070232171,24019.1399563135,25396.7021307441,26811.8743281025,25680.4836335183,22802.772419333,24284.7502314302,23163.8468547197,24543.9162087584,24311.7376018425,25315.5834177099,24376.9485050492,24496.9237364487,22678.5609365888,25848.4840719114,25922.9088880944,25593.4082400833,23895.494212873,24529.2840960357,24636.6348213653,24073.178520513,23363.0900941722,23689.1567335922,23600.8856009971,24008.2702965922,23817.5038740556,25270.9560759214,25814.3058054943,25984.8054596437,24428.4987973792,24379.1150600443,25421.2030880412,23516.6230202681,22981.666257688,24204.7754020048,23841.3288923505,23490.0941932354,23602.161863293,24199.4130046124,24931.4548034602,25310.1075924572,23716.228780184,24230.5780981559,24303.8050273571,23738.3601590697,23750.1250249462,23733.7771354972,25141.8439662381,24140.3211597381,24566.7324613383,24361.7026161136,23793.748106533,23847.749932638,23341.557086849,23751.4185666131,24481.7288790179,25243.7802010156,24087.8699439843,23548.7678781469,24720.7042528621,24142.8712764544,24641.5671228759,23640.4180091987,22814.7438212231,23244.4213006764,22227.0867763356,23330.5643547469,23161.889178668,24937.2090603454,24517.9495085635,25101.9057992188,24301.4360556485,23251.7290296943,24461.2194652693
,69.5,24938.3015391562,25302.6962029091,25662.4791711751,22442.2950697159,22900.7964287739,22245.9368203079,22088.2082369687,22525.9202470134,22650.1190423619,24316.248494234,24328.1836278121,23525.4662879346,23826.611226128,25319.5546094219,25746.4723356877,23493.3814905815,23429.852977896,24130.6896397116,23654.4229461938,22782.5177099529,23719.4839712135,24505.2608575512,24470.0881832902,23878.1891004615,25146.7592879898,26552.5400599854,25427.5860534256,22752.7984112163,24159.9613758383,23059.7793051776,24439.4998658531,24183.9907551809,25158.4317248538,24233.7862326576,24365.8337470013,22561.6759006607,25600.6923621027,25657.7863832359,25326.0338443987,23718.4137037218,24360.931672683,24479.9674875777,23924.2614069818,23233.2773212545,23552.2434757222,23471.9235990109,23892.2169446996,23695.6271396369,25049.3537085539,25565.4047028753,25738.098841534,24382.5464304797,24253.83969752,25285.1298002165,23395.7521779819,22872.5244748558,24078.3103989483,23705.0733105029,23344.4652261341,23479.139781232,24033.2746741618,24727.3216212679,25105.5215076869,23579.8023063692,24092.802024693,24161.432035467,23617.9473257303,23617.4656288285,23608.9441779442,25004.5840228107,24018.3330395203,24441.9534034366,24207.8257549096,23650.0106382152,23701.7050060626,23221.0721091775,23623.7456728346,24334.4068073771,25149.2930314125,23911.2767277458,23387.3385919862,24581.1493443858,24010.4115271098,24510.0604120396,23490.8109131426,22695.73042144,23112.2332310332,22134.300026884,23226.5893992823,23044.5186033586,24791.7622253927,24378.8464426337,24961.4297885216,24178.9371316103,23126.3446188342,24336.325864765
