,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Std-1,Std-1,Std-1,Unkn-1,Unkn-1,Unkn-1,Unkn-9,Unkn-9,Unkn-9,Unkn-17,Unkn-17,Unkn-17
A,Sample,,,,,,,,,,,,
A,Cq,9.10453232952266,8.89439428692437,8.63746095228632,13.5211413341137,13.3990391151909,13.4953332747728,13.4550099123194,13.3108656459627,13.2790910318828,10.814093666271,11.0990070425078,11.2356445897305
A,copy number,365000000,365000000,365000000,22894656.1918681,24923222.1101074,23309187.9486683,23971941.6130876,26498976.6975999,27090921.9718566,150368171.170713,123345496.661702,112166750.801131
B,Content,Std-2,Std-2,Std-2,Unkn-2,Unkn-2,Unkn-2,Unkn-10,Unkn-10,Unkn-10,Unkn-18,Unkn-18,Unkn-18
B,Sample,,,,,,,,,,,,
B,Cq,13.0690965453736,12.8687132840682,13.0137629054563,14.1286890085445,13.9312325782201,14.5854160307798,12.0853326059521,12.2548932086526,29.7247893446006,11.2766105297633,11.2157480477408,11.3113187827243
B,copy number,36500000,36500000,36500000,15006473.781946,17214829.269612,10923582.1496807,62128636.0812011,55219337.8898375,293.001963009207,109016952.881902,113729233.396227,106417613.02998
C,Content,Std-3,Std-3,Std-3,Unkn-3,Unkn-3,Unkn-3,Unkn-11,Unkn-11,Unkn-11,Unkn-19,Unkn-19,Unkn-19
C,Sample,,,,,,,,,,,,
C,Cq,16.410559010086,16.1603543850964,16.2619123715825,13.87373771815,13.6116333926567,13.8693550873684,13.708690481553,13.8005281985666,13.6391146626476,14.5649834949587,14.6588616747036,14.8030425530163
C,copy number,3650000,3650000,3650000,17916942.6459664,21498545.9777411,17971622.4115391,20095632.0087039,18852558.425678,21091663.1513211,11079876.0062678,10379761.7932224,9389672.38484452
D,Content,Std-4,Std-4,Std-4,Unkn-4,Unkn-4,Unkn-4,Unkn-12,Unkn-12,Unkn-12,Unkn-20,Unkn-20,Unkn-20
D,Sample,,,,,,,,,,,,
D,Cq,20.0950760312541,19.7560711333152,19.7580043147269,14.4174292453179,14.3744081403597,14.2580007735227,13.7069875555077,14.041433745201,14.0287921091549,14.1308171779306,14.4028411017311,14.4725520966511
D,copy number,365000,365000,365000,12276949.5998022,12649726.9877076,13716130.0141275,20119439.8811797,15945065.4854489,16085834.0308498,14984285.1988562,12402108.2535816,11815321.4762562
E,Content,Std-5,Std-5,Std-5,Unkn-5,Unkn-5,Unkn-5,Unkn-13,Unkn-13,Unkn-13,Unkn-21,Unkn-21,Unkn-21
E,Sample,,,,,,,,,,,,
E,Cq,23.2671717949416,23.3985329448345,23.5440352955503,11.4707268707618,11.3872080612877,11.4311582880374,12.9222092917682,13.0381122026895,12.9588760567527,14.924178521886,14.8917503189385,15.0201878696237
E,copy number,36500,36500,36500,95252974.9125206,100948051.31009,97909921.4346703,34720663.5837407,32032431.2000648,33846681.7408824,8631219.22279776,8828037.87151001,8073857.96722744
F,Content,Std-6,Std-6,Std-6,Unkn-6,Unkn-6,Unkn-6,Unkn-14,Unkn-14,Unkn-14,Unkn-22,Unkn-22,Unkn-22
F,Sample,,,,,,,,,,,,
F,Cq,26.3213995052783,26.4469283464547,26.7389927956701,11.5489932681568,11.5630774149943,11.7105018877341,12.9848653470909,12.9811960630416,12.9623285776864,15.9829809132886,16.0756153161868,16.1356103669146
F,copy number,3650,3650,3650,90208025.8097155,89328968.8313044,80626152.4862887,33240561.8267497,33325473.9680085,33765530.1091488,4133857.68253829,3875998.31214221,3717640.89251331
G,Content,Std-7,Std-7,Std-7,Unkn-7,Unkn-7,Unkn-7,Unkn-15,Unkn-15,Unkn-15,Unkn-23,Unkn-23,Unkn-23
G,Sample,,,,,,,,,,,,
G,Cq,29.0364591977588,28.9504189135848,27.2140293419539,11.8462150792873,11.7820686601805,11.840846929969,14.1988700640523,14.3371166765848,14.3661857297148,11.565149150685,12.0167737450785,12.104056546803
G,copy number,365,365,365,73366178.1665172,76712403.2600201,73640523.2725799,14291793.7062385,12982003.0246915,12722252.0858896,89200386.9097378,65161923.5067639,61325052.235863
H,Content,NTC,NTC,NTC,Unkn-8,Unkn-8,Unkn-8,Unkn-16,Unkn-16,Unkn-16,Unkn-24,Unkn-24,Unkn-24
H,Sample,,,,,,,,,,,,
H,Cq,31.2914954100717,29.3840717128401,30.4352868269466,12.8806984004534,12.9768988105771,13.0736466609992,10.0458208209237,9.95866031968244,10.104698646545,11.2856076165173,11.5739590039441,11.6411230143455
H,copy number,NaN,NaN,NaN,35737376.8103154,33425193.9434865,31250710.4489269,256533485.707999,272560615.472569,246243784.715381,108337116.708698,88655668.5991815,84610765.2900937
