,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,,Std-01,,16527.4540671344,,Standard,Unassigned,False
,A02,SYBR,,Std-01,,16177.4563723385,,Standard,Unassigned,False
,A03,SYBR,,Std-01,,13765.8514466013,,Standard,Unassigned,False
,A04,SYBR,,Unkn-01,,11134.6883996349,,Unknown,Unassigned,False
,A05,SYBR,,Unkn-01,,12506.7382099655,,Unknown,Unassigned,False
,A06,SYBR,,Unkn-01,,12202.3158000672,,Unknown,Unassigned,False
,A07,SYBR,,Unkn-09,,10094.4538700302,,Unknown,Unassigned,False
,A08,SYBR,,Unkn-09,,11287.6599037848,,Unknown,Unassigned,False
,A09,SYBR,,Unkn-09,,10050.9828403799,,Unknown,Unassigned,False
,A10,SYBR,,Unkn-17,,11923.1393773216,,Unknown,Unassigned,False
,A11,SYBR,,Unkn-17,,11979.1035525181,,Unknown,Unassigned,False
,A12,SYBR,,Unkn-17,,10264.2690095501,,Unknown,Unassigned,False
,B01,SYBR,,Std-02,,16933.2776717902,,Standard,Unassigned,False
,B02,SYBR,,Std-02,,16700.7755534747,,Standard,Unassigned,False
,B03,SYBR,,Std-02,,17250.774475363,,Standard,Unassigned,False
,B04,SYBR,,Unkn-02,,12695.8807115275,,Unknown,Unassigned,False
,B05,SYBR,,Unkn-02,,12314.128385882,,Unknown,Unassigned,False
,B06,SYBR,,Unkn-02,,12852.2663853794,,Unknown,Unassigned,False
,B07,SYBR,,Unkn-10,,13248.7940561408,,Unknown,Unassigned,False
,B08,SYBR,,Unkn-10,,12599.4395111456,,Unknown,Unassigned,False
,B09,SYBR,,Unkn-10,,13747.6631137761,,Unknown,Unassigned,False
,B10,SYBR,,Unkn-18,,13271.0321047915,,Unknown,Unassigned,False
,B11,SYBR,,Unkn-18,,12434.9999456986,,Unknown,Unassigned,False
,B12,SYBR,,Unkn-18,,10298.2127651113,,Unknown,Unassigned,False
,C01,SYBR,,Std-03,,16598.3430807725,,Standard,Unassigned,False
,C02,SYBR,,Std-03,,16445.246510678,,Standard,Unassigned,False
,C03,SYBR,,Std-03,,16358.1960577121,,Standard,Unassigned,False
,C04,SYBR,,Unkn-03,,12270.3346916765,,Unknown,Unassigned,False
,C05,SYBR,,Unkn-03,,12201.7171662525,,Unknown,Unassigned,False
,C06,SYBR,,Unkn-03,,13104.252226007,,Unknown,Unassigned,False
,C07,SYBR,,Unkn-11,,14147.9304137451,,Unknown,Unassigned,False
,C08,SYBR,,Unkn-11,,13239.6237178303,,Unknown,Unassigned,False
,C09,SYBR,,Unkn-11,,13555.6840103079,,Unknown,Unassigned,False
,C10,SYBR,,Unkn-19,,11710.3115710798,,Unknown,Unassigned,False
,C11,SYBR,,Unkn-19,,11860.1852470404,,Unknown,Unassigned,False
,C12,SYBR,,Unkn-19,,9847.75520955551,,Unknown,Unassigned,False
,D01,SYBR,,Std-04,,16273.2819898866,,Standard,Unassigned,False
,D02,SYBR,,Std-04,,17443.2307012036,,Standard,Unassigned,False
,D03,SYBR,,Std-04,,17152.2472012127,,Standard,Unassigned,False
,D04,SYBR,,Unkn-04,,13864.1487622906,,Unknown,Unassigned,False
,D05,SYBR,,Unkn-04,,14241.9613092509,,Unknown,Unassigned,False
,D06,SYBR,,Unkn-04,,13936.4254553365,,Unknown,Unassigned,False
,D07,SYBR,,Unkn-12,,14081.4148499759,,Unknown,Unassigned,False
,D08,SYBR,,Unkn-12,,13750.4828257382,,Unknown,Unassigned,False
,D09,SYBR,,Unkn-12,,14291.3111943389,,Unknown,Unassigned,False
,D10,SYBR,,Unkn-20,,12195.4362735405,,Unknown,Unassigned,False
,D11,SYBR,,Unkn-20,,11758.7706547702,,Unknown,Unassigned,False
,D12,SYBR,,Unkn-20,,10856.9445663896,,Unknown,Unassigned,False
,E01,SYBR,,Std-05,,16081.6687729342,,Standard,Unassigned,False
,E02,SYBR,,Std-05,,17652.9236356509,,Standard,Unassigned,False
,E03,SYBR,,Std-05,,17483.1765403404,,Standard,Unassigned,False
,E04,SYBR,,Unkn-05,,14012.522304131,,Unknown,Unassigned,False
,E05,SYBR,,Unkn-05,,13950.8124723658,,Unknown,Unassigned,False
,E06,SYBR,,Unkn-05,,14633.1014694163,,Unknown,Unassigned,False
,E07,SYBR,,Unkn-13,,12848.7479402055,,Unknown,Unassigned,False
,E08,SYBR,,Unkn-13,,12515.7863023681,,Unknown,Unassigned,False
,E09,SYBR,,Unkn-13,,12865.309321529,,Unknown,Unassigned,False
,E10,SYBR,,Unkn-21,,10611.7949691707,,Unknown,Unassigned,False
,E11,SYBR,,Unkn-21,,11219.1022589127,,Unknown,Unassigned,False
,E12,SYBR,,Unkn-21,,10817.0654642859,,Unknown,Unassigned,False
,F01,SYBR,,Std-06,,14419.4231259879,,Standard,Unassigned,False
,F02,SYBR,,Std-06,,16742.0830842323,,Standard,Unassigned,False
,F03,SYBR,,Std-06,,16936.5311864056,,Standard,Unassigned,False
,F04,SYBR,,Unkn-06,,14460.5810927381,,Unknown,Unassigned,False
,F05,SYBR,,Unkn-06,,14380.4313154608,,Unknown,Unassigned,False
,F06,SYBR,,Unkn-06,,13932.4872138656,,Unknown,Unassigned,False
,F07,SYBR,,Unkn-14,,12413.3031860918,,Unknown,Unassigned,False
,F08,SYBR,,Unkn-14,,12058.1861910588,,Unknown,Unassigned,False
,F09,SYBR,,Unkn-14,,12120.2142071366,,Unknown,Unassigned,False
,F10,SYBR,,Unkn-22,,13727.676321694,,Unknown,Unassigned,False
,F11,SYBR,,Unkn-22,,12341.3341737976,,Unknown,Unassigned,False
,F12,SYBR,,Unkn-22,,12441.9498069604,,Unknown,Unassigned,False
,G01,SYBR,,Std-07,,14470.3253677102,,Standard,Unassigned,False
,G02,SYBR,,Std-07,,15687.7494119775,,Standard,Unassigned,False
,G03,SYBR,,Std-07,,14527.3329399911,,Standard,Unassigned,False
,G04,SYBR,,Unkn-07,,13400.5866730466,,Unknown,Unassigned,False
,G05,SYBR,,Unkn-07,,12926.3803401999,,Unknown,Unassigned,False
,G06,SYBR,,Unkn-07,,13135.6083311516,,Unknown,Unassigned,False
,G07,SYBR,,Unkn-15,,12622.70678835,,Unknown,Unassigned,False
,G08,SYBR,,Unkn-15,,13249.5384338174,,Unknown,Unassigned,False
,G09,SYBR,,Unkn-15,,12357.7523760132,,Unknown,Unassigned,False
,G10,SYBR,,Unkn-23,,14116.8069946004,,Unknown,Unassigned,False
,G11,SYBR,,Unkn-23,,12799.3022367087,,Unknown,Unassigned,False
,G12,SYBR,,Unkn-23,,11999.5678252737,,Unknown,Unassigned,False
,H01,SYBR,,NTC,,13019.0432183696,,NTC,Unassigned,False
,H02,SYBR,,NTC,,13386.7965542285,,NTC,Unassigned,False
,H03,SYBR,,NTC,,14307.685333996,,NTC,Unassigned,False
,H04,SYBR,,Unkn-08,,14392.5223103914,,Unknown,Unassigned,False
,H05,SYBR,,Unkn-08,,14320.8599534957,,Unknown,Unassigned,False
,H06,SYBR,,Unkn-08,,14906.3287500805,,Unknown,Unassigned,False
,H07,SYBR,,Unkn-16,,14018.3306991302,,Unknown,Unassigned,False
,H08,SYBR,,Unkn-16,,12798.9773429856,,Unknown,Unassigned,False
,H09,SYBR,,Unkn-16,,13414.5543346991,,Unknown,Unassigned,False
,H10,SYBR,,Unkn-23,,11834.3651845239,,Unknown,Unassigned,False
,H11,SYBR,,Unkn-23,,13118.5512383249,,Unknown,Unassigned,False
,H12,SYBR,,Unkn-23,,12151.2552832982,,Unknown,Unassigned,False
