,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Std-01,,8.70431999630024,365000000
,A02,SYBR,,Std-01,,8.49976140464024,365000000
,A03,SYBR,,Std-01,,32.3146328748388,365000000
,A04,SYBR,,Unkn-01,,15.5421643675427,23146894.724782
,A05,SYBR,,Unkn-01,,17.2446814205018,5861659.80409419
,A06,SYBR,,Unkn-01,,17.511742800034,4725593.88598505
,A07,SYBR,,Unkn-09,,15.8793169274321,17634870.3970688
,A08,SYBR,,Unkn-09,,16.3346786981848,12213426.945212
,A09,SYBR,,Unkn-09,,16.2171761614893,13427780.2977148
,A10,SYBR,,Unkn-17,,19.6515778747539,840951.816795183
,A11,SYBR,,Unkn-17,,18.046728127354,3069204.10585871
,A12,SYBR,,Unkn-17,,17.4602637832395,4925971.8614159
,B01,SYBR,,Std-02,,11.8545429988742,36500000
,B02,SYBR,,Std-02,,11.8292566260072,36500000
,B03,SYBR,,Std-02,,12.0732719491717,36500000
,B04,SYBR,,Unkn-02,,17.1188243471674,6488051.4627965
,B05,SYBR,,Unkn-02,,17.0429834550127,6897392.36883847
,B06,SYBR,,Unkn-02,,16.9342896551153,7529489.0058686
,B07,SYBR,,Unkn-10,,17.3182892918825,5523728.14071259
,B08,SYBR,,Unkn-10,,17.4987495724999,4775386.60822666
,B09,SYBR,,Unkn-10,,17.4026089412409,5160492.37469892
,B10,SYBR,,Unkn-18,,17.7500457744726,3899129.05498123
,B11,SYBR,,Unkn-18,,17.8847992396723,3497495.0389839
,B12,SYBR,,Unkn-18,,18.2169728511467,2675352.44899808
,C01,SYBR,,Std-03,,16.4460124859497,3650000
,C02,SYBR,,Std-03,,16.0762504179618,3650000
,C03,SYBR,,Std-03,,16.0524022687329,3650000
,C04,SYBR,,Unkn-03,,16.611152103395,9771828.7721454
,C05,SYBR,,Unkn-03,,16.4714227644258,10937791.3557178
,C06,SYBR,,Unkn-03,,16.9423997226061,7480388.67161677
,C07,SYBR,,Unkn-11,,16.9787090314861,7264459.354805
,C08,SYBR,,Unkn-11,,17.0300159858687,6969924.10383355
,C09,SYBR,,Unkn-11,,16.8945654717422,7774684.26279398
,C10,SYBR,,Unkn-19,,15.9214134100531,17046055.0385039
,C11,SYBR,,Unkn-19,,15.8757778195523,17685290.1311925
,C12,SYBR,,Unkn-19,,16.0781455494329,15021497.0242105
