,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Std-01,,8.11252919551764,365000000
,A02,SYBR,,Std-01,,8.3386934441829,365000000
,A03,SYBR,,Std-01,,8.03870788876123,365000000
,A04,SYBR,,Unkn-01,,15.3517708381785,2801878.97564933
,A05,SYBR,,Unkn-01,,15.6217877096861,2335007.52167542
,A06,SYBR,,Unkn-01,,15.5634335869533,2428823.82536675
,A07,SYBR,,Unkn-09,,13.4025503086786,10444895.6255772
,A08,SYBR,,Unkn-09,,13.5730662805945,9309230.50511884
,A09,SYBR,,Unkn-09,,13.4704658827234,9976845.22082167
,A10,SYBR,,Unkn-17,,12.2509422980195,22725950.612331
,A11,SYBR,,Unkn-17,,12.1266043467092,24715780.3699238
,A12,SYBR,,Unkn-17,,12.2587173792935,22606984.2106329
,B01,SYBR,,Std-02,,11.3370823175606,36500000
,B02,SYBR,,Std-02,,11.4352716628647,36500000
,B03,SYBR,,Std-02,,11.3484071184017,36500000
,B04,SYBR,,Unkn-02,,12.3635372419546,21062625.1043211
,B05,SYBR,,Unkn-02,,12.2403634797411,22888822.9704864
,B06,SYBR,,Unkn-02,,12.4632469343671,19691577.895711
,B07,SYBR,,Unkn-10,,12.4346430592622,20075498.6539937
,B08,SYBR,,Unkn-10,,12.4952011160102,19271365.2049456
,B09,SYBR,,Unkn-10,,12.4713380278072,19584317.6511295
,B10,SYBR,,Unkn-18,,12.129301770199,24670816.398342
,B11,SYBR,,Unkn-18,,12.1435263762584,24435052.7396493
,B12,SYBR,,Unkn-18,,12.1112928813642,24972567.9410962
,C01,SYBR,,Std-03,,15.1402126197153,3650000
,C02,SYBR,,Std-03,,14.8844599473312,3650000
,C03,SYBR,,Std-03,,14.9223691490033,3650000
,C04,SYBR,,Unkn-03,,13.0638909666636,13127715.8473737
,C05,SYBR,,Unkn-03,,12.8376755455391,15293572.4841864
,C06,SYBR,,Unkn-03,,12.7098327403167,16672039.6978364
,C07,SYBR,,Unkn-11,,14.0723784884004,6645535.40141048
,C08,SYBR,,Unkn-11,,13.847349983291,7735738.57675579
,C09,SYBR,,Unkn-11,,14.0738562148327,6638909.51528652
,C10,SYBR,,Unkn-19,,13.7666502423323,8168843.95721864
,C11,SYBR,,Unkn-19,,13.7409549441472,8311773.76463411
,C12,SYBR,,Unkn-19,,13.9287010694636,7322375.79485123
,D01,SYBR,,Std-04,,18.5103040884977,365000
