,Well,Fluor,Target,Content,Sample,Melt Temp
,A01,SYBR,,Std-01,,87
,A02,SYBR,,Std-01,,86.5
,A03,SYBR,,Std-01,,86.5
,A04,SYBR,,Unkn-01,,87
,A05,SYBR,,Unkn-01,,87
,A06,SYBR,,Unkn-01,,87
,A07,SYBR,,Unkn-09,,87
,A08,SYBR,,Unkn-09,,87
,A09,SYBR,,Unkn-09,,87
,A10,SYBR,,Unkn-17,,86.5
,A11,SYBR,,Unkn-17,,86.5
,A12,SYBR,,Unkn-17,,86.5
,B01,SYBR,,Std-02,,86.5
,B02,SYBR,,Std-02,,86.5
,B03,SYBR,,Std-02,,86.5
,B04,SYBR,,Unkn-02,,86.5
,B05,SYBR,,Unkn-02,,86.5
,B06,SYBR,,Unkn-02,,86.5
,B07,SYBR,,Unkn-10,,86.5
,B08,SYBR,,Unkn-10,,86.5
,B09,SYBR,,Unkn-10,,86.5
,B10,SYBR,,Unkn-18,,86.5
,B11,SYBR,,Unkn-18,,86.5
,B12,SYBR,,Unkn-18,,86.5
,C01,SYBR,,Std-03,,86.5
,C02,SYBR,,Std-03,,86.5
,C03,SYBR,,Std-03,,86.5
,C04,SYBR,,Unkn-03,,86
,C05,SYBR,,Unkn-03,,86
,C06,SYBR,,Unkn-03,,86
,C07,SYBR,,Unkn-11,,86.5
,C08,SYBR,,Unkn-11,,86.5
,C09,SYBR,,Unkn-11,,86.5
,C10,SYBR,,Unkn-19,,86
,C11,SYBR,,Unkn-19,,86
,C12,SYBR,,Unkn-19,,86
,D01,SYBR,,Std-04,,86.5
,D02,SYBR,,Std-04,,86.5
,D03,SYBR,,Std-04,,86.5
,D04,SYBR,,Unkn-04,,86.5
,D05,SYBR,,Unkn-04,,86.5
,D06,SYBR,,Unkn-04,,86.5
,D07,SYBR,,Unkn-12,,86.5
,D08,SYBR,,Unkn-12,,86.5
,D09,SYBR,,Unkn-12,,86.5
,D10,SYBR,,Unkn-20,,86.5
,D11,SYBR,,Unkn-20,,86.5
,D12,SYBR,,Unkn-20,,86.5
,E01,SYBR,,Std-05,,86.5
,E02,SYBR,,Std-05,,86.5
,E03,SYBR,,Std-05,,86.5
,E04,SYBR,,Unkn-05,,86.5
,E05,SYBR,,Unkn-05,,86.5
,E06,SYBR,,Unkn-05,,86.5
,E07,SYBR,,Unkn-13,,86.5
,E08,SYBR,,Unkn-13,,86.5
,E09,SYBR,,Unkn-13,,86.5
,E10,SYBR,,Unkn-21,,86
,E11,SYBR,,Unkn-21,,86
,E12,SYBR,,Unkn-21,,86
,F01,SYBR,,Std-06,,86.5
,F02,SYBR,,Std-06,,86.5
,F03,SYBR,,Std-06,,86.5
,F04,SYBR,,Unkn-06,,86.5
,F05,SYBR,,Unkn-06,,87
,F06,SYBR,,Unkn-06,,86.5
,F07,SYBR,,Unkn-14,,86.5
,F08,SYBR,,Unkn-14,,86.5
,F09,SYBR,,Unkn-14,,86.5
,F10,SYBR,,Unkn-22,,86.5
,F11,SYBR,,Unkn-22,,86.5
,F12,SYBR,,Unkn-22,,86.5
,G01,SYBR,,Std-07,,86.5
,G02,SYBR,,Std-07,,86.5
,G03,SYBR,,Std-07,,86.5
,G04,SYBR,,Unkn-07,,88.5
,G05,SYBR,,Unkn-07,,88.5
,G06,SYBR,,Unkn-07,,88.5
,G07,SYBR,,Unkn-15,,86.5
,G08,SYBR,,Unkn-15,,86.5
,G09,SYBR,,Unkn-15,,86.5
,G10,SYBR,,Unkn-23,,86.5
,G11,SYBR,,Unkn-23,,86.5
,G12,SYBR,,Unkn-23,,86.5
,H01,SYBR,,NTC,,86.5
,H02,SYBR,,NTC,,87
,H03,SYBR,,NTC,,86.5
,H04,SYBR,,Unkn-08,,86.5
,H05,SYBR,,Unkn-08,,87
,H06,SYBR,,Unkn-08,,87
,H07,SYBR,,Unkn-16,,86.5
,H08,SYBR,,Unkn-16,,86.5
,H09,SYBR,,Unkn-16,,86.5
,H10,SYBR,,Unkn-24,,86.5
,H11,SYBR,,Unkn-24,,86.5
,H12,SYBR,,Unkn-24,,86.5
