,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,,Std-01,,,8.66857635165184,8.67520449381381,0.108382082143054,365000000,8.56229286445648,365000000,0,59,
,A02,SYBR,,Std-01,,,8.57028859433084,8.67520449381381,0.108382082143054,365000000,8.56229286445648,365000000,0,59,
,A03,SYBR,,Std-01,,,8.78674853545875,8.67520449381381,0.108382082143054,365000000,8.56229286445648,365000000,0,59,
,A04,SYBR,,Unkn-01,,,11.4658794204296,11.5539108107431,0.209285462846488,70149084.1783556,7.84602200552998,66522737.074106,9051381.10743671,59,
,A05,SYBR,,Unkn-01,,,11.4030207320026,11.5539108107431,0.209285462846488,73198656.8164202,7.86450311189761,66522737.074106,9051381.10743671,59,
,A06,SYBR,,Unkn-01,,,11.792832279797,11.5539108107431,0.209285462846488,56220470.2275423,7.74989447372202,66522737.074106,9051381.10743671,59,
,A07,SYBR,,Unkn-09,,,13.6827537190572,13.8139068792809,0.11835651736981,15640043.9207173,7.19423796832091,14342203.3024424,1165515.10438711,59,
,A08,SYBR,,Unkn-09,,,13.9127611039368,13.8139068792809,0.11835651736981,13384847.0101231,7.12661341153049,14342203.3024424,1165515.10438711,59,
,A09,SYBR,,Unkn-09,,,13.8462058148488,13.8139068792809,0.11835651736981,14001718.9764869,7.14618135683358,14342203.3024424,1165515.10438711,59,
,A10,SYBR,,Unkn-17,,,15.1191317214489,15.2666635257302,0.148053953009639,5914634.84487818,6.77192793751007,5370375.46735116,537316.041495174,59,
,A11,SYBR,,Unkn-17,,,15.2656246950934,15.2666635257302,0.148053953009639,5356208.61685797,6.72885748383397,5370375.46735116,537316.041495174,59,
,A12,SYBR,,Unkn-17,,,15.4152341606483,15.2666635257302,0.148053953009639,4840282.94031734,6.68487074921197,5370375.46735116,537316.041495174,59,
,B01,SYBR,,Std-02,,,12.7830273124252,12.5814835742007,0.229880773255191,36500000,7.56229286445647,36500000,0,59,
,B02,SYBR,,Std-02,,,12.3311113671902,12.5814835742007,0.229880773255191,36500000,7.56229286445647,36500000,0,59,
,B03,SYBR,,Std-02,,,12.6303120429868,12.5814835742007,0.229880773255191,36500000,7.56229286445647,36500000,0,59,
,B04,SYBR,,Unkn-02,,,12.4615801159936,12.4269224730093,0.0324142582401604,35749969.3361899,7.55327567362999,36604541.3633067,801172.841039015,59,
,B05,SYBR,,Unkn-02,,,12.4218337485079,12.4269224730093,0.0324142582401604,36724975.7692913,7.56496151791998,36604541.3633067,801172.841039015,59,
,B06,SYBR,,Unkn-02,,,12.3973535545265,12.4269224730093,0.0324142582401604,37338678.984439,7.57215894885898,36604541.3633067,801172.841039015,59,
,B07,SYBR,,Unkn-10,,,11.9913536047744,11.99243009406,0.0236407502694658,49150410.0181931,7.69152714511619,49118795.9101583,785663.200498089,59,
,B08,SYBR,,Unkn-10,,,12.0165906999611,11.99243009406,0.0236407502694658,48317802.8426723,7.68410717737221,49118795.9101583,785663.200498089,59,
,B09,SYBR,,Unkn-10,,,11.9693459774446,11.99243009406,0.0236407502694658,49888174.8696096,7.69799761581418,49118795.9101583,785663.200498089,59,
,B10,SYBR,,Unkn-18,,,12.8417925378831,13.0828818027496,0.235204540079119,27636896.8768718,7.44148927803256,23674688.1811678,3780855.54730088,59,
,B11,SYBR,,Unkn-18,,,13.0951298496024,13.0828818027496,0.235204540079119,23281206.3823876,7.36700548077336,23674688.1811678,3780855.54730088,59,
,B12,SYBR,,Unkn-18,,,13.3117230207635,13.0828818027496,0.235204540079119,20105961.2842439,7.30332484194838,23674688.1811678,3780855.54730088,59,
