,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Std-01,,8.66857635165184,365000000
,A02,SYBR,,Std-01,,8.57028859433084,365000000
,A03,SYBR,,Std-01,,8.78674853545875,365000000
,A04,SYBR,,Unkn-01,,11.4658794204296,70149084.1783556
,A05,SYBR,,Unkn-01,,11.4030207320026,73198656.8164202
,A06,SYBR,,Unkn-01,,11.792832279797,56220470.2275423
,A07,SYBR,,Unkn-09,,13.6827537190572,15640043.9207173
,A08,SYBR,,Unkn-09,,13.9127611039368,13384847.0101231
,A09,SYBR,,Unkn-09,,13.8462058148488,14001718.9764869
,A10,SYBR,,Unkn-17,,15.1191317214489,5914634.84487818
,A11,SYBR,,Unkn-17,,15.2656246950934,5356208.61685797
,A12,SYBR,,Unkn-17,,15.4152341606483,4840282.94031734
,B01,SYBR,,Std-02,,12.7830273124252,36500000
,B02,SYBR,,Std-02,,12.3311113671902,36500000
,B03,SYBR,,Std-02,,12.6303120429868,36500000
,B04,SYBR,,Unkn-02,,12.4615801159936,35749969.3361899
,B05,SYBR,,Unkn-02,,12.4218337485079,36724975.7692913
,B06,SYBR,,Unkn-02,,12.3973535545265,37338678.984439
,B07,SYBR,,Unkn-10,,11.9913536047744,49150410.0181931
,B08,SYBR,,Unkn-10,,12.0165906999611,48317802.8426723
,B09,SYBR,,Unkn-10,,11.9693459774446,49888174.8696096
,B10,SYBR,,Unkn-18,,12.8417925378831,27636896.8768718
,B11,SYBR,,Unkn-18,,13.0951298496024,23281206.3823876
,B12,SYBR,,Unkn-18,,13.3117230207635,20105961.2842439
,C01,SYBR,,Std-03,,16.2003774285086,3650000
,C02,SYBR,,Std-03,,15.9030850647224,3650000
,C03,SYBR,,Std-03,,16.1741304623605,3650000
,C04,SYBR,,Unkn-03,,12.064626398963,46771810.7377755
,C05,SYBR,,Unkn-03,,11.8756053963122,53156737.5883784
,C06,SYBR,,Unkn-03,,11.9798964147232,49533119.2668122
,C07,SYBR,,Unkn-11,,12.1048723041674,45514677.5261382
,C08,SYBR,,Unkn-11,,11.9388914855675,50927405.5845414
,C09,SYBR,,Unkn-11,,11.9647442044463,50043835.1497361
,C10,SYBR,,Unkn-19,,14.075284711406,11990292.7074424
,C11,SYBR,,Unkn-19,,13.6915545873222,15547136.8648301
,C12,SYBR,,Unkn-19,,13.9880015411952,12720141.5033029
,D01,SYBR,,Std-04,,19.1648459400643,365000
,D02,SYBR,,Std-04,,19.2802164107794,365000
,D03,SYBR,,Std-04,,19.2605257156255,365000
,D04,SYBR,,Unkn-04,,13.0691613959994,23694114.0993915
,D05,SYBR,,Unkn-04,,12.9319642096592,26000270.7987287
,D06,SYBR,,Unkn-04,,13.0195528020284,24503375.5709874
,D07,SYBR,,Unkn-12,,11.6978023081053,59956223.6641841
,D08,SYBR,,Unkn-12,,11.7971970121313,56054592.1667392
,D09,SYBR,,Unkn-12,,11.7569520487784,57602805.2183685
,D10,SYBR,,Unkn-20,,13.3731587665542,19286885.2003053
,D11,SYBR,,Unkn-20,,13.4992687581012,17708609.039696
,D12,SYBR,,Unkn-20,,13.6975175632667,15484502.0892218
,E01,SYBR,,Std-05,,22.4222389196122,36500
,E02,SYBR,,Std-05,,22.4857547046849,36500
,E03,SYBR,,Std-05,,23.0143370422403,36500
,E04,SYBR,,Unkn-05,,15.9109709967791,3460341.63000844
,E05,SYBR,,Unkn-05,,16.0055841854414,3245650.25154031
,E06,SYBR,,Unkn-05,,15.800415282538,3729267.22435004
,E07,SYBR,,Unkn-13,,17.2275343677107,1419174.14738489
,E08,SYBR,,Unkn-13,,16.7574748354615,1950913.74759367
,E09,SYBR,,Unkn-13,,17.3314365355264,1322779.25759014
,E10,SYBR,,Unkn-21,,13.172904376143,22087113.5195269
,E11,SYBR,,Unkn-21,,13.3620142013189,19432949.1046776
,E12,SYBR,,Unkn-21,,13.3294656553178,19865903.5840533
,F01,SYBR,,Std-06,,26.3559586702527,3650
,F02,SYBR,,Std-06,,26.3442368432849,3650
,F03,SYBR,,Std-06,,26.3515361179903,3650
,F04,SYBR,,Unkn-06,,12.2002287672927,42669315.9822514
,F05,SYBR,,Unkn-06,,12.3027876641692,39807261.472121
,F06,SYBR,,Unkn-06,,12.3274081205809,39149266.714249
,F07,SYBR,,Unkn-14,,12.6485567708153,31499422.9453413
,F08,SYBR,,Unkn-14,,12.6753788308715,30932614.8385488
,F09,SYBR,,Unkn-14,,12.6980849465493,30460764.5996291
,F10,SYBR,,Unkn-22,,12.9177305803972,26252018.7580269
,F11,SYBR,,Unkn-22,,13.1692818766137,22141345.8511208
,F12,SYBR,,Unkn-22,,13.3679965469119,19354405.7561417
,G01,SYBR,,Std-07,,29.2052877356745,365
,G02,SYBR,,Std-07,,28.8246830730831,365
,G03,SYBR,,Std-07,,29.1439449578217,365
,G04,SYBR,,Unkn-07,,12.0408716261646,47530056.7929167
,G05,SYBR,,Unkn-07,,12.002565017186,48778773.2108898
,G06,SYBR,,Unkn-07,,11.9903579825056,49183549.5567588
,G07,SYBR,,Unkn-15,,12.0736557532414,46486779.4521936
,G08,SYBR,,Unkn-15,,12.2117447654874,42337953.1468944
,G09,SYBR,,Unkn-15,,12.1298744414458,44750777.2163677
,G10,SYBR,,Unkn-23,,13.1049658112412,23126696.7666992
,G11,SYBR,,Unkn-23,,13.0935170895226,23306638.9783377
,G12,SYBR,,Unkn-23,,13.4364878982939,18477477.1503774
,H01,SYBR,,NTC,,30.367459495596,NaN
,H02,SYBR,,NTC,,30.3137520876599,NaN
,H03,SYBR,,NTC,,30.3569366487473,NaN
,H04,SYBR,,Unkn-08,,11.956023221373,50340166.1105294
,H05,SYBR,,Unkn-08,,11.8243480217731,55033675.4953806
,H06,SYBR,,Unkn-08,,11.8680101924098,53430764.4327542
,H07,SYBR,,Unkn-16,,13.1185436329093,22915090.9676414
,H08,SYBR,,Unkn-16,,13.2110951711691,21523380.006092
,H09,SYBR,,Unkn-16,,13.1953150033604,21754545.1035644
,H10,SYBR,,Unkn-24,,12.0939243432655,45853266.9973594
,H11,SYBR,,Unkn-24,,12.2052295024481,42525106.7884383
,H12,SYBR,,Unkn-24,,12.2874483388601,40222792.8377983
