,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,65,18534.110385947,18404.4042864424,19110.530021518,16370.6649629003,16527.4012990755,16498.7404699224,16265.4050908112,15864.6780528957,15188.9429562714,15699.500685382,15084.7942061028,15738.6053089584,19064.1616019223,19610.1018771682,19091.9491890921,17216.9376687152,17142.3612515959,17214.7418180996,14883.1514426109,15773.3508044515,16914.8504878354,16450.0178008417,16376.5773778625,15313.9350581523,19070.2759232965,19844.5255055188,20300.0642254402,17371.100928042,17425.5624090039,17411.8724409677,15111.6736987432,16647.492298717,16780.3015696614,17093.6682631435,17016.5732348707,15389.3546925761,18669.105878612,19888.9985863324,20016.4734511556,17508.9774104354,18028.520797366,18345.5284683158,15728.1180363629,17077.9092838331,17566.8617642751,16610.5496851507,16497.7471459463,16720.417227136,18852.1562680804,19173.0463353229,19770.1646094679,17379.0740018266,17904.6277215565,17952.0695840764,17911.2379305073,16881.666318579,17261.0730330456,17012.778310666,16738.3248189088,16355.6286409104,18765.0706055697,19380.5483406077,19858.4031050536,17639.277823486,18281.5217009707,17651.3325544227,18712.4936124349,17964.814152043,17976.8623952098,17760.4575881702,17579.5318472858,16330.1397608283,18353.5470984333,18810.3929901884,19083.9445542879,17506.3359643751,17217.7756962905,18465.7988727851,16216.1693508008,17662.9430874935,17460.2733560337,18100.6688835521,17458.5259418572,16458.2456616075,17200.0119355113,17682.0676109228,17965.633632084,16996.6422987748,17210.1489843402,17567.419148909,17366.5923611942,16595.484488689,16685.3772929072,17296.4136073241,17524.9265947721,16698.9880494229
,65.5,18454.8048692663,18371.2193202843,19033.7129877713,16405.2223260476,16560.3939045422,16524.4375574792,16287.3278247195,15887.0012399194,15197.5994820822,15709.6972302101,15136.999354503,15749.9497283898,18980.9781414819,19520.5959412181,19023.7273527373,17239.074679144,17155.1902967044,17233.1168604479,14942.4223842188,15805.3786497116,16938.7253065278,16482.0252781604,16381.7903310175,15335.2970404249,18997.0655631348,19760.9889726951,20204.2931949432,17390.7236923806,17450.115597541,17437.5744177482,15174.2234363953,16675.5519608005,16810.9608884753,17081.5101239557,17013.7465459837,15379.0451531438,18601.5437292572,19804.7302607753,19937.3781005701,17528.6553510225,18055.67069474,18371.3929178521,15812.6239960447,17087.0095139282,17581.4756953124,16598.3703738742,16499.6445851133,16691.3894008314,18787.9820453824,19114.5981200022,19685.9501220222,17387.6329354563,17918.2800451608,17963.3018046318,17930.0929476624,16915.9030335354,17273.6362195954,16993.7951857991,16724.9999911612,16350.8806255657,18709.0035291684,19323.9597010828,19793.7374470022,17658.6656970256,18292.4557274775,17673.7193396889,18719.1728851967,17990.6217412347,17997.266883866,17782.8030140073,17605.1160376506,16356.8554854744,18345.674635764,18791.4611948864,19055.7922537136,17521.0739248913,17250.1490672666,18472.6296570814,16271.4615409967,17679.5283623032,17477.5658073222,18119.9298785984,17478.2868261842,16488.5485863937,17176.0191595722,17679.8772195027,17945.0459103422,17009.706464153,17233.249130839,17581.1798412196,17372.0513533719,16607.7204945846,16699.2476082528,17317.5952553168,17540.8550489647,16723.193822833
,66,18375.4993525855,18338.0343541262,18956.8959540245,16439.7796891949,16593.3865100089,16550.1346450361,16309.2505586279,15909.3244269431,15206.256007893,15719.8937750383,15189.2045029032,15761.2941478212,18897.7946810416,19431.090005268,18955.5055163824,17261.2116895728,17168.0193418129,17251.4919027962,15001.6933258267,15837.4064949717,16962.6001252203,16514.0327554791,16387.0032841725,15356.6590226976,18923.855202973,19677.4524398715,20108.5221644463,17410.3464567192,17474.6687860781,17463.2763945287,15236.7731740474,16703.611622884,16841.6202072892,17069.3519847678,17010.9198570966,15368.7356137115,18533.9815799025,19720.4619352182,19858.2827499846,17548.3332916096,18082.8205921141,18397.2573673884,15897.1299557265,17096.1097440234,17596.0896263497,16586.1910625977,16501.5420242802,16662.3615745268,18723.8078226844,19056.1499046814,19601.7356345765,17396.191869086,17931.9323687651,17974.5340251871,17948.9479648174,16950.1397484919,17286.1994061452,16974.8120609323,16711.6751634135,16346.1326102211,18652.9364527671,19267.3710615579,19729.0717889508,17678.0535705653,18303.3897539844,17696.106124955,18725.8521579586,18016.4293304264,18017.6713725222,17805.1484398445,17630.7002280153,16383.5712101206,18337.8021730947,18772.5293995843,19027.6399531394,17535.8118854075,17282.5224382426,18479.4604413777,16326.7537311925,17696.1136371128,17494.8582586108,18139.1908736447,17498.0477105113,16518.8515111799,17152.026383633,17677.6868280825,17924.4581886004,17022.7706295312,17256.3492773378,17594.9405335301,17377.5103455495,16619.9565004802,16713.1179235983,17338.7769033094,17556.7835031573,16747.3995962431
,66.5,18296.1938359048,18304.8493879681,18880.0789202777,16474.3370523422,16626.3791154756,16575.8317325929,16331.1732925362,15931.6476139668,15214.9125337038,15730.0903198664,15241.4096513034,15772.6385672526,18814.6112206012,19341.5840693179,18887.2836800276,17283.3487000016,17180.8483869214,17269.8669451444,15060.9642674345,15869.4343402318,16986.4749439128,16546.0402327979,16392.2162373274,15378.0210049702,18850.6448428113,19593.9159070479,20012.7511339493,17429.9692210579,17499.2219746152,17488.9783713092,15299.3229116994,16731.6712849675,16872.2795261031,17057.19384558,17008.0931682096,15358.4260742792,18466.4194305477,19636.1936096611,19779.187399399,17568.0112321967,18109.9704894881,18423.1218169246,15981.6359154084,17105.2099741185,17610.703557387,16574.0117513211,16503.4394634471,16633.3337482222,18659.6335999865,18997.7016893607,19517.5211471308,17404.7508027157,17945.5846923695,17985.7662457425,17967.8029819725,16984.3764634484,17298.762592695,16955.8289360654,16698.3503356659,16341.3845948764,18596.8693763658,19210.782422033,19664.4061308994,17697.441444105,18314.3237804912,17718.4929102212,18732.5314307204,18042.2369196181,18038.0758611784,17827.4938656817,17656.2844183801,16410.2869347667,18329.9297104253,18753.5976042823,18999.4876525652,17550.5498459236,17314.8958092187,18486.291225674,16382.0459213883,17712.6989119225,17512.1507098994,18158.451868691,17517.8085948384,16549.154435966,17128.0336076939,17675.4964366624,17903.8704668586,17035.8347949094,17279.4494238367,17608.7012258406,17382.9693377271,16632.1925063757,16726.9882389439,17359.9585513021,17572.7119573499,16771.6053696532
,67,18216.8883192241,18271.6644218099,18803.2618865309,16508.8944154895,16659.3717209423,16601.5288201497,16353.0960264446,15953.9708009905,15223.5690595146,15740.2868646945,15293.6147997036,15783.982986684,18731.4277601608,19252.0781333678,18819.0618436727,17305.4857104304,17193.6774320299,17288.2419874927,15120.2352090424,15901.4621854918,17010.3497626052,16578.0477101166,16397.4291904824,15399.3829872428,18777.4344826496,19510.3793742242,19916.9801034524,17449.5919853965,17523.7751631522,17514.6803480897,15361.8726493515,16759.730947051,16902.9388449169,17045.0357063922,17005.2664793225,15348.1165348469,18398.8572811929,19551.925284104,19700.0920488135,17587.6891727838,18137.1203868621,18448.9862664609,16066.1418750902,17114.3102042137,17625.3174884242,16561.8324400446,16505.3369026141,16604.3059219176,18595.4593772885,18939.25347404,19433.3066596851,17413.3097363454,17959.2370159738,17996.9984662979,17986.6579991275,17018.6131784048,17311.3257792448,16936.8458111985,16685.0255079182,16336.6365795317,18540.8022999644,19154.1937825081,19599.7404728479,17716.8293176447,18325.257806998,17740.8796954873,18739.2107034822,18068.0445088098,18058.4803498345,17849.8392915188,17681.8686087448,16437.0026594129,18322.057247756,18734.6658089802,18971.335351991,17565.2878064398,17347.2691801948,18493.1220099703,16437.3381115841,17729.2841867322,17529.443161188,18177.7128637373,17537.5694791654,16579.4573607522,17104.0408317547,17673.3060452422,17883.2827451169,17048.8989602876,17302.5495703355,17622.4619181511,17388.4283299048,16644.4285122713,16740.8585542895,17381.1401992948,17588.6404115425,16795.8111430633
,67.5,18137.582802543,18238.4794556521,18726.444852784,16543.4517786366,16692.3643264086,16627.2259077066,16375.0187603531,15976.2939880145,15232.2255853254,15750.4834095223,15345.8199481039,15795.3274061156,18648.2442997201,19162.5721974177,18750.840007318,17327.6227208593,17206.5064771384,17306.617029841,15179.5061506501,15933.4900307519,17034.2245812977,16610.0551874352,16402.6421436374,15420.7449695156,18704.2241224881,19426.8428414004,19821.2090729552,17469.2147497349,17548.3283516894,17540.3823248704,15424.4223870036,16787.7906091346,16933.5981637309,17032.8775672044,17002.4397904357,15337.8069954145,18331.2951318381,19467.6569585469,19620.9966982281,17607.3671133711,18164.270284236,18474.8507159975,16150.647834772,17123.4104343084,17639.9314194618,16549.6531287684,16507.2343417811,16575.2780956131,18531.2851545903,18880.8052587196,19349.0921722392,17421.8686699751,17972.889339578,18008.2306868535,18005.5130162823,17052.8498933612,17323.8889657948,16917.8626863315,16671.7006801706,16331.8885641871,18484.7352235632,19097.605142983,19535.0748147967,17736.2171911845,18336.1918335049,17763.2664807536,18745.8899762442,18093.8520980014,18078.8848384904,17872.184717356,17707.4527991094,16463.7183840588,18314.1847850866,18715.7340136784,18943.1830514166,17580.0257669562,17379.6425511706,18499.9527942665,16492.6303017798,17745.869461542,17546.7356124766,18196.9738587837,17557.3303634922,16609.7602855384,17080.0480558157,17671.1156538216,17862.6950233751,17061.9631256657,17325.6497168341,17636.2226104613,17393.8873220827,16656.6645181672,16754.7288696353,17402.3218472875,17604.5688657351,16820.0169164732
,68,18058.2772858623,18205.2944894939,18649.6278190372,16578.0091417839,16725.3569318753,16652.9229952635,16396.9414942614,15998.6171750382,15240.8821111362,15760.6799543504,15398.0250965041,15806.671825547,18565.0608392797,19073.0662614676,18682.6181709632,17349.7597312881,17219.3355222469,17324.9920721892,15238.777092258,15965.517876012,17058.0993999902,16642.0626647539,16407.8550967924,15442.1069517882,18631.0137623264,19343.3063085768,19725.4380424583,17488.8375140735,17572.8815402264,17566.0843016509,15486.9721246556,16815.8502712181,16964.2574825448,17020.7194280165,16999.6131015487,15327.4974559823,18263.7329824833,19383.3886329899,19541.9013476426,17627.0450539582,18191.42018161,18500.7151655338,16235.1537944538,17132.5106644036,17654.545350499,16537.4738174919,16509.131780948,16546.2502693085,18467.1109318923,18822.3570433988,19264.8776847934,17430.4276036048,17986.5416631823,18019.4629074089,18024.3680334374,17087.0866083176,17336.4521523446,16898.8795614647,16658.375852423,16327.1405488424,18428.6681471619,19041.0165034581,19470.4091567453,17755.6050647242,18347.1258600118,17785.6532660197,18752.569249006,18119.6596871931,18099.2893271466,17894.5301431931,17733.0369894741,16490.4341087049,18306.3123224173,18696.8022183764,18915.0307508424,17594.7637274724,17412.0159221466,18506.7835785627,16547.9224919757,17762.4547363517,17564.0280637652,18216.23485383,17577.0912478193,16640.0632103246,17056.0552798765,17668.9252624015,17842.1073016333,17075.0272910439,17348.7498633329,17649.9833027718,17399.3463142604,16668.9005240628,16768.5991849808,17423.5034952802,17620.4973199277,16844.2226898834
,68.5,17970.1766394395,18154.7997996511,18564.1219487565,16604.4734389338,16754.2275861554,16674.6134271387,16414.3806220893,16018.843572841,15244.8787543097,15762.2034155707,15451.1272575514,15803.9305747984,18478.4555875841,18975.3292804714,18601.4517318691,17359.4475121036,17225.5730809327,17338.9690198358,15293.6747355018,15988.3000603693,17068.6129348272,16662.1989160461,16396.9442462539,15453.5498414821,18546.9638760177,19249.7639281049,19620.3920534711,17506.9193072716,17589.337640609,17582.4114799905,15544.9859711735,16833.2531168125,16994.1487547404,16996.696213509,16983.4158945221,15306.3037751195,18189.5039393287,19294.8305619539,19453.203175655,17634.2581014536,18207.9694319089,18499.1461991146,16302.9247461363,17126.5480113208,17659.172546291,16514.5206425262,16497.6451495802,16505.4865261805,18402.0605676679,18756.6011524235,19171.1568808805,17428.3740341564,17989.7365226307,18019.3276180865,18018.4912502288,17112.8078910338,17337.56643058,16865.3490649703,16630.7512963763,16316.9199579806,18361.3673957573,18973.3053457853,19394.2836451904,17760.0801810317,18341.4596198394,17795.6034753283,18741.6706193603,18123.1012064206,18105.9819361729,17900.1972729844,17744.882136904,16507.760003002,18283.0441718791,18660.940423155,18869.5406506887,17594.0554307217,17429.8940682799,18500.5767358946,16592.6534100716,17759.0889154327,17568.9377126991,18217.6808049369,17583.0484735685,16651.8787244612,17011.0682834502,17650.5753900543,17809.0340243603,17079.0628904372,17365.2641578822,17655.7722996867,17387.3065672502,16667.3135127987,16771.9843338615,17427.8765219905,17620.253323666,16851.1845860544
,69,17869.5957458332,18078.3329808787,18458.2863803308,16615.4906990446,16764.293982095,16679.1106252754,16419.883832202,16028.672367588,15239.7810007831,15752.044056109,15505.3590064404,15789.2361671178,18379.087152583,18860.6396172762,18501.9501279089,17354.0899922382,17217.8839786158,17343.4858881793,15347.8081358291,15992.0572685527,17064.365415551,16666.7725908614,16368.7121825846,15455.1560709293,18448.2443849189,19137.7012751502,19497.5986885075,17515.5740375187,17587.2417137469,17579.5485606476,15587.6699239766,16832.4911464501,17017.979218848,16958.150483385,16950.9931038809,15270.4307922345,18101.8456386075,19187.4513209389,19350.3277174786,17621.9666843612,18204.625000756,18470.5954376914,16338.0556303594,17100.7595763002,17643.3513050441,16473.2868109296,16463.1915443462,16448.6667483168,18328.8482161967,18673.4491980111,19063.2633595147,17409.0161340896,17974.3804708529,17997.8442278124,17985.9458034959,17125.6132073742,17318.2230320384,16815.4183954531,16589.320592586,16292.5132645005,18276.1906239218,18886.7261825054,19302.4762854173,17739.8021238597,18311.9156944315,17793.6287190545,18710.7931953408,18101.5855901478,18094.0508767587,17878.7436399069,17731.6812133712,16502.2381290278,18236.8875404343,18605.2295648124,18800.7867102502,17574.0389771328,17427.3074924265,18477.9147862986,16617.1542114373,17731.9884775836,17554.2822503361,18197.9176684011,17567.3567835168,16642.2414134304,16941.6976471734,17606.0185619016,17756.1720855651,17066.2147167569,17367.2712568622,17645.2483164796,17359.4161604629,16651.5332752901,16761.4852050265,17413.7498082095,17599.4134468584,16833.7923462528
,69.5,17747.3173649647,17970.6603674924,18329.8125017041,16605.4946639563,16750.0878301341,16667.1307155439,16401.7233729448,16023.076843869,15219.2857991696,15724.330763346,15530.5227715857,15754.4145328119,18259.720628647,18730.2659875604,18375.7180232499,17322.9011354976,17189.7406449901,17327.2753362124,15386.4147678443,15972.0231385185,17032.5982742313,16644.8243982224,16320.0805495115,15440.8434909858,18328.3137406391,19003.4982425468,19353.5712291956,17513.2711686733,17560.5895843422,17551.8011764411,15608.2513087922,16811.1207729168,17030.2238124782,16901.7556160442,16900.3503782424,15218.3768775514,17996.1317290981,19063.4302855872,19226.0759327642,17586.0087027093,18175.858877424,18414.1018655033,16339.7095878675,17057.524061847,17608.8394964424,16418.1345273134,16413.4858932372,16378.4749231967,18235.5377205508,18568.7883597548,18933.0272132772,17367.7711650622,17936.7014302243,17951.9988375953,17932.2641520081,17121.1882934321,17276.4962343468,16748.1900158148,16530.4947168417,16251.2042849817,18169.5888190892,18774.4813130163,19189.4735391084,17692.5163943595,18259.742077131,17778.7559639251,18657.6926776955,18054.5584868679,18055.6027805189,17831.7564781472,17687.4193095545,16471.3898355559,18161.2902844698,18522.0639156466,18707.2725788033,17533.7632260738,17400.8070792537,18434.5179350264,16613.8693108204,17683.8556927852,17516.9673008967,18151.4198123057,17530.2584175449,16608.4197742145,16849.6891054418,17532.5819038578,17683.5256033183,17028.2399085306,17345.8384569905,17613.6247276978,17308.6656469101,16615.6710680665,16731.2601335923,17372.8525556631,17554.10216778,16792.9382613054
