,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Std-1,Std-1,Std-1,Unkn-1,Unkn-1,Unkn-1,Unkn-9,Unkn-9,Unkn-9,Unkn-17,Unkn-17,Unkn-17
A,Sample,,,,,,,,,,,,
A,Cq,9.32806090209807,9.18838774676291,9.16970364044825,17.2382701734091,17.529857622716,17.2040439969502,18.2449129363418,17.8484667743479,18.0463316774209,17.106163336946,17.0626518841368,18.0082955403953
A,copy number,365000000,365000000,365000000,1775962.0205104,1460091.46357647,1817260.39803831,903242.631086857,1178811.72229647,1032116.95875522,1940743.45254191,1998297.08719325,1058823.90070205
B,Content,Std-2,Std-2,Std-2,Unkn-2,Unkn-2,Unkn-2,Unkn-10,Unkn-10,Unkn-10,Unkn-18,Unkn-18,Unkn-18
B,Sample,,,,,,,,,,,,
B,Cq,12.3419083715457,12.5913273112107,12.4146548102806,16.6651686798336,16.4454086447831,16.520683572744,17.1317173555087,17.4324703302326,17.369512044351,17.9286431486621,18.0532523516849,18.225317949553
B,copy number,36500000,36500000,36500000,2609772.01980839,3024856.1679173,2875727.0590888,1907718.26108629,1558788.22995068,1626115.99450383,1117011.56674768,1027330.56981063,915208.658883699
C,Content,Std-3,Std-3,Std-3,Unkn-3,Unkn-3,Unkn-3,Unkn-11,Unkn-11,Unkn-11,Unkn-19,Unkn-19,Unkn-19
C,Sample,,,,,,,,,,,,
C,Cq,16.586231248761,16.3455649196909,16.4562454321417,16.8745460058799,16.9262442348452,16.7980598729119,17.3037934222727,17.5192236575094,17.5797301341279,19.3856303900252,19.9997277834153,19.7896924244076
C,copy number,3650000,3650000,3650000,2267404.27724602,2190024.74521237,2386928.03135806,1699499.69960822,1470557.12699436,1411993.4067102,419823.474005704,277932.709649466,320040.701192417
D,Content,Std-4,Std-4,Std-4,Unkn-4,Unkn-4,Unkn-4,Unkn-12,Unkn-12,Unkn-12,Unkn-20,Unkn-20,Unkn-20
D,Sample,,,,,,,,,,,,
D,Cq,20.1221058377035,19.8065256752967,19.7436644266289,17.5289635006179,17.3979654257271,22.2591034552888,17.786015339928,17.0431654504699,17.0736279848395,20.6432944515744,21.0799123303596,21.0517661900582
D,copy number,365000,365000,365000,1460968.55916194,1595335.05769738,60939.4790414985,1229308.8417132,2024622.61925093,1983619.72782924,180391.747121881,134542.314154291,137109.922798278
E,Content,Std-5,Std-5,Std-5,Unkn-5,Unkn-5,Unkn-5,Unkn-13,Unkn-13,Unkn-13,Unkn-21,Unkn-21,Unkn-21
E,Sample,,,,,,,,,,,,
E,Cq,22.9633324295439,22.8208553575971,22.834671164587,17.2275139472745,17.1842560977262,17.1403326898045,17.4162806412452,17.1123457666565,17.1797750189086,20.2320240167697,20.1040773617993,20.2789817552914
E,copy number,36500,36500,36500,1788838.67128045,1841573.79579986,1896711.23259865,1575830.54485155,1932701.42470604,1847124.71676941,237782.998614222,259120.49529192,230400.608225139
F,Content,Std-6,Std-6,Std-6,Unkn-6,Unkn-6,Unkn-6,Unkn-14,Unkn-14,Unkn-14,Unkn-22,Unkn-22,Unkn-22
F,Sample,,,,,,,,,,,,
F,Cq,26.6580465630473,26.6239273875989,26.5002585281158,17.9598054551895,17.8236136416293,17.9205758607229,18.440732326017,18.4625224443639,18.51557313803,20.0321802478688,20.0712967032256,20.1893893874029
F,copy number,3650,3650,3650,1093875.47887401,1198654.15775938,1123080.35471225,791927.737228398,780422.100806413,753104.283048441,271940.285992164,264888.807482836,244690.418165056
G,Content,Std-7,Std-7,Std-7,Unkn-7,Unkn-7,Unkn-7,Unkn-15,Unkn-15,Unkn-15,Unkn-23,Unkn-23,Unkn-23
G,Sample,,,,,,,,,,,,
G,Cq,30.1857624483567,29.3414397284829,29.4509075610157,17.2761459690899,17.3439057683913,17.3020060719917,17.1943860958519,17.3632193386813,17.5397928565473,19.3108014598549,18.6787977614071,18.4816130472795
G,copy number,365,365,365,1731352.99378345,1654324.33178086,1701541.11362775,1829086.69734674,1633003.25726927,1450380.78514606,441462.368577545,674906.894292392,770479.327925768
H,Content,NTC,NTC,NTC,Unkn-8,Unkn-8,Unkn-8,Unkn-16,Unkn-16,Unkn-16,Unkn-23,Unkn-23,Unkn-23
H,Sample,,,,,,,,,,,,
H,Cq,31.6288050036869,31.3464455965339,31.2800568212169,17.6094863889164,17.6974058242356,17.4512291883875,18.6463686856919,18.4752001482521,18.4881409963205,19.6570828029808,19.4635699724829,19.6693649379987
H,copy number,NaN,NaN,NaN,1384053.94949875,1304690.97262353,1539271.81185047,689768.176756619,773805.085947975,767108.58489915,349853.583794808,398411.986389427,346979.431662293
