,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Std-1,Std-1,Std-1,Unkn-1,Unkn-1,Unkn-1,Unkn-9,Unkn-9,Unkn-9,Unkn-17,Unkn-17,Unkn-17
A,Sample,,,,,,,,,,,,
A,Cq,8.21336026435596,8.27423436245562,8.22318968777961,14.9857774509756,14.8439566155325,15.0538900768658,14.9208687226792,14.9545909551557,14.8671738398435,13.2708691902041,12.8381340030715,13.0751457361019
A,copy number,365000000,365000000,365000000,3802770.68949562,4157162.45258563,3643469.23556056,3961055.81314606,3878016.05436966,4096962.65870395,11169287.5622281,14658868.5869512,12630776.6800194
B,Content,Std-2,Std-2,Std-2,Unkn-2,Unkn-2,Unkn-2,Unkn-10,Unkn-10,Unkn-10,Unkn-18,Unkn-18,Unkn-18
B,Sample,,,,,,,,,,,,
B,Cq,11.3564199773706,11.3716186857733,11.2019638455994,13.3304291221871,13.4956148809017,13.4508038913917,12.8676249623182,13.1647098844933,12.9234032889743,10.4703707925101,10.4293606371128,10.7039782971081
B,copy number,36500000,36500000,36500000,10759054.4830017,9698441.65174789,9975368.90258739,14389762.5094297,11939656.1533124,13894217.7095901,64887652.3715271,66581256.1224916,56029988.7898129
C,Content,Std-3,Std-3,Std-3,Unkn-3,Unkn-3,Unkn-3,Unkn-11,Unkn-11,Unkn-11,Unkn-19,Unkn-19,Unkn-19
C,Sample,,,,,,,,,,,,
C,Cq,15.0305190505026,14.7096158203952,14.8110603123657,14.4092465375788,13.859869382885,14.0426930925954,12.6937865412513,12.7879681190451,12.4160336555278,11.2773324205723,11.2493066682689,11.6252067149413
C,copy number,3650000,3650000,3650000,5462743.87503102,7714582.66147041,6877453.18366595,16050431.7171959,15128246.1417797,19110569.8143607,39081987.8309946,39776235.4628054,31409179.0193359
D,Content,Std-4,Std-4,Std-4,Unkn-4,Unkn-4,Unkn-4,Unkn-12,Unkn-12,Unkn-12,Unkn-20,Unkn-20,Unkn-20
D,Sample,,,,,,,,,,,,
D,Cq,18.4221287059701,18.6052744733864,18.5626897758945,13.2616075139631,13.2614984240536,13.2621404883285,13.0497712534623,13.0713918643762,13.0129798375681,11.0593258040337,11.2088327858975,11.3868260190877
D,copy number,365000,365000,365000,11234469.9993628,11235240.021852,11230708.7029929,12833752.8319465,12660601.1735253,13133862.924847,44818916.6037563,40800668.0811058,36483837.3856712
E,Content,Std-5,Std-5,Std-5,Unkn-5,Unkn-5,Unkn-5,Unkn-13,Unkn-13,Unkn-13,Unkn-21,Unkn-21,Unkn-21
E,Sample,,,,,,,,,,,,
E,Cq,21.8287459077343,21.9668685585944,21.7770723022873,14.6197427802472,14.6425829620135,14.6341453462358,13.3199926230989,13.4851532730353,13.3508100186932,14.3653841109098,14.4512919594438,14.578773763005
E,copy number,36500,36500,36500,4786029.71242904,4717840.76722694,4742917.21528318,10829833.5637433,9762397.4310966,10622164.6560552,5615378.36677633,5320328.35012669,4910820.81747104
F,Content,Std-6,Std-6,Std-6,Unkn-6,Unkn-6,Unkn-6,Unkn-14,Unkn-14,Unkn-14,Unkn-22,Unkn-22,Unkn-22
F,Sample,,,,,,,,,,,,
F,Cq,25.7915735268347,26.5366475888838,24.8888352425631,14.8382613667816,14.5538404121409,14.7903807157461,13.6202694906406,13.7877940938191,13.6790204668246,14.1376204946673,14.3198029988821,14.4728098774665
F,copy number,3650,3650,3650,4172064.2370065,4988354.81161999,4299476.44992221,8967864.34263524,8071954.58331537,8642878.22502529,6479268.87794885,5778513.95296961,5248885.67850791
G,Content,Std-7,Std-7,Std-7,Unkn-7,Unkn-7,Unkn-7,Unkn-15,Unkn-15,Unkn-15,Unkn-23,Unkn-23,Unkn-23
G,Sample,,,,,,,,,,,,
G,Cq,32.6000283236002,30.5848317106391,28.2784452586818,13.953006263474,13.990698105148,14.1223231621106,12.6740413488655,12.8691658593879,12.7176994406997,14.4949166775419,14.5850695929573,14.8836698905367
G,copy number,365,365,365,7276111.63751993,7105830.72557118,6541841.12236752,16250784.8045413,14375838.3686415,15811093.5334011,5176486.79936,4891434.30071916,4054720.63136122
H,Content,NTC,NTC,NTC,Unkn-8,Unkn-8,Unkn-8,Unkn-16,Unkn-16,Unkn-16,Unkn-24,Unkn-24,Unkn-24
H,Sample,,,,,,,,,,,,
H,Cq,31.8597139303498,33.2065256531208,32.2663177638171,13.3362772404171,13.2787790182048,13.3642806632018,13.6844133133083,13.8053219770387,13.6714904914275,13.5472693587097,13.6116273915071,13.6855692228583
H,copy number,NaN,NaN,NaN,10719595.6715269,11113918.7524985,10532645.4392053,8613643.9535111,7983550.88677883,8683863.79854317,9388747.36401188,9016688.99876816,8607390.7230591
