,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,65,102.466256338942,92.1470107604282,94.1281045743485,20.6036628048914,8.26488161915404,-2.89309187432764,-0.806306114613108,-11.13818817423,-13.379773422811,1.70794170192073,1.56331986608438,1.7651067070608,78.72580654781,93.533396135922,101.025105118694,33.5801198428112,3.82455351651652,8.45220771267213,9.55353228812601,1.0712384742219,0.214657339114638,1.77257101026623,2.08306311556248,1.93028596154295,72.5979517035403,48.4095845408283,91.0990058637644,8.64611940967916,9.74073292492631,16.6400049500862,2.37649901544091,7.1955515961713,-3.98427408334419,1.5322887001048,2.0396066532328,2.27954502664306,36.6471192278664,66.5098897933262,83.8323592983506,-14.1979193260659,-6.26276023997343,-5.45409768999434,-15.1486670394056,-0.312200605153521,11.1056971749804,1.82411461823449,2.3450439122131,2.55412618965249,51.2692528747962,62.2867971744536,71.9737642372147,-20.7489424906785,-24.194623058238,-23.0606180556415,28.9055198653768,-9.62538644667166,11.2430164497355,2.54154265392947,2.05723386482441,1.80462933313765,25.5271552949444,30.8744905547469,48.5795301780868,-15.4181419220454,-21.8497127476926,-22.1020059090029,46.1765169203859,13.2706172869766,5.08126535532938,2.36931149786494,2.36007362480439,1.70003390553757,20.8739710228751,-55.6288753844551,14.6700197628356,-63.0017056152183,-16.3278090443591,-20.6648527317825,9.27386512554767,18.1285826385151,14.132347206229,1.83823151819092,1.35793646724596,1.51075926722069,34.8009137931385,30.983266777564,13.7178952368836,-33.6841862708443,-8.49628536193677,-5.11664271619384,21.0441503627176,65.5572225684227,7.47425049757305,2.56612620037015,1.41063112772383,2.22518206629172
,65.5,222.010222067707,199.651856647593,203.944226577756,44.6412694106002,17.9072435081634,-6.26836572771617,-1.74699658166173,-24.132741044165,-28.989509082754,3.70054035416172,3.38719304318283,3.82439786529812,170.572580853594,202.655691627831,218.887727757168,72.7569263260993,8.28653261911541,18.3131167107886,20.6993199576063,2.32101669414169,0.465090901420808,3.84057052224455,4.51330341705125,4.18228625000881,157.295562024332,104.887433171799,197.381179371492,18.7332587209721,21.1049213373371,36.0533440585154,5.14908120012251,15.5903617917097,-8.63259384724051,3.31995885022707,4.41914774867132,4.9390142243941,79.4020916603777,144.104761218874,181.636778479757,-30.7621585398115,-13.5693138532747,-11.8172116616497,-32.8221119187106,-0.676434644495657,24.0623438791195,3.95224833950726,5.08092847646276,5.53394007758027,111.083381228726,134.954727211315,155.943155847294,-44.9560420631346,-52.4216832928532,-49.9646724538857,62.6286263749821,-20.8550039677875,24.3598689744258,5.50667575018156,4.45734004045369,3.91003022179734,55.3088364723794,66.8947295352855,105.255648719186,-33.4059741644369,-47.3410442866657,-47.8876794695093,100.049119994169,28.7530041217801,11.0094082698793,5.13350824537417,5.11349285374297,3.68340679533139,45.2269372162295,-120.529229999649,31.7850428194788,-136.503695499642,-35.3769195961136,-44.7738475855272,20.0933744386903,39.2785957167812,30.6200856134947,3.98283495608007,2.94219567903372,3.27331174564404,75.4019798851346,67.1304113513925,29.7221063465759,-72.9824035868282,-18.4086182841943,-11.0860592184158,45.595659119223,142.040648898247,16.1942094114087,5.55994010080224,3.05636744340177,4.82122781029977
,66,204.932512677887,184.294021520859,188.256209148697,41.2073256097847,16.5297632383013,-5.78618374866437,-1.61261222922622,-22.2763763484563,-26.7595468456188,3.41588340384158,3.12663973216877,3.53021341412136,157.451613095629,187.06679227184,202.050210237386,67.1602396856342,7.6491070330294,16.9044154253434,19.107064576252,2.14247694843516,0.429314678237915,3.54514202053429,4.16612623112417,3.8605719230851,145.195903407072,96.8191690816607,182.198011727534,17.2922388193624,19.4814658498494,33.2800099001679,4.75299803088228,14.3911031923508,-7.96854816668019,3.0645774002096,4.07921330646582,4.55909005328772,73.29423845573,133.019779586657,167.664718596699,-28.3958386521372,-12.5255204799496,-10.908195379981,-30.2973340788099,-0.624401210303404,22.2113943499567,3.64822923646727,4.69008782442711,5.10825237930487,102.538505749596,124.573594348906,143.947528474425,-41.4978849813551,-48.3892461164801,-46.1212361112753,57.8110397307564,-19.2507728933424,22.48603289947,5.08308530785996,4.11446772965053,3.6092586662736,51.0543105898923,61.7489811094911,97.1590603561722,-30.8362838440953,-43.6994254953838,-44.2040118180121,92.353033840775,26.5412345739505,10.1625307106615,4.73862299573,4.72014724960889,3.40006781107513,41.7479420457539,-111.257750768903,29.3400395256758,-126.003411230442,-32.6556180887242,-41.3297054635636,18.5477302511022,36.2571652770289,28.2646944124563,3.67646303638162,2.71587293449363,3.02151853443968,69.6018275862816,61.9665335551349,27.4357904737626,-67.368372541684,-16.9925707238754,-10.2332854323804,42.0883007254365,131.114445136843,14.9485009951464,5.13225240073962,2.82126225544698,4.45036413258526
,66.5,204.932512677938,184.294021520852,188.256209148754,41.2073256098288,16.5297632383572,-5.7861837486771,-1.6126122292244,-22.2763763484163,-26.7595468456757,3.41588340384374,3.1266397321682,3.53021341412216,157.451613095656,187.066792271848,202.050210237427,67.1602396856115,7.6491070330494,16.9044154253811,19.1070645762752,2.14247694845744,0.4293146782652,3.5451420205294,4.16612623112019,3.86057192308817,145.195903407058,96.8191690816593,182.198011727559,17.2922388193947,19.4814658498535,33.2800099001934,4.75299803091957,14.3911031923667,-7.96854816666519,3.06457740021074,4.07921330646548,4.55909005327806,73.2942384556832,133.019779586633,167.664718596693,-28.395838652089,-12.5255204799387,-10.9081953799614,-30.297334078844,-0.624401210286578,22.2113943499139,3.64822923646841,4.69008782442563,5.10825237930862,102.538505749659,124.573594348899,143.947528474434,-41.4978849813115,-48.3892461165037,-46.1212361113016,57.8110397307014,-19.2507728933379,22.4860328994782,5.08308530785382,4.1144677296511,3.60925866627622,51.0543105898487,61.7489811094783,97.1590603561967,-30.8362838440298,-43.6994254954129,-44.2040118179943,92.3530338407445,26.5412345738969,10.1625307106187,4.73862299573682,4.72014724960627,3.40006781107877,41.7479420457717,-111.25775076889,29.3400395256808,-126.003411230488,-32.6556180887005,-41.3297054635177,18.547730251044,36.2571652770594,28.2646944124053,3.67646303638276,2.71587293449363,3.02151853444195,69.6018275862352,61.9665335551304,27.4357904737799,-67.3683725416727,-16.9925707238667,-10.2332854323772,42.0883007254224,131.114445136777,14.948500995148,5.13225240073757,2.82126225545073,4.45036413257799
,67,204.932512677535,184.294021520904,188.256209148312,41.2073256094923,16.5297632379552,-5.78618374855023,-1.61261222922622,-22.276376348736,-26.759546845251,3.41588340382805,3.12663973217275,3.53021341411375,157.451613095401,187.066792271784,202.050210237101,67.1602396857438,7.64910703292253,16.9044154250701,19.1070645760897,2.14247694830055,0.42931467802191,3.54514202056191,4.16612623115986,3.86057192307055,145.19590340721,96.8191690816498,182.198011727334,17.2922388191319,19.4814658498381,33.2800099000197,4.75299803063399,14.3911031922053,-7.96854816682253,3.06457740020073,4.0792133064723,4.55909005334797,73.2942384560656,133.019779586823,167.664718596783,-28.3958386524496,-12.5255204800051,-10.9081953801392,-30.2973340785584,-0.62440121045438,22.2113943502695,3.64822923646761,4.69008782443052,5.1082523792777,102.538505749152,124.573594348938,143.947528474385,-41.4978849816821,-48.3892461162973,-46.1212361111152,57.8110397311302,-19.2507728933779,22.4860328994091,5.08308530789657,4.11446772963825,3.60925866626508,51.0543105901897,61.7489811095879,97.1590603559839,-30.8362838445369,-43.6994254951674,-44.2040118180821,92.3530338409673,26.5412345743594,10.1625307109366,4.73862299568225,4.72014724962719,3.40006781104967,41.7479420456343,-111.257750769017,29.340039525649,-126.003411230078,-32.6556180888356,-41.3297054638851,18.5477302514682,36.2571652768156,28.2646944128214,3.67646303637048,2.71587293448545,3.02151853443354,69.6018275865986,61.9665335551454,27.435790473668,-67.3683725417677,-16.9925707239154,-10.2332854324241,42.0883007255479,131.114445137348,14.9485009951374,5.13225240075428,2.82126225542265,4.45036413262949
,67.5,201.556447327858,180.831113295075,186.607449018411,36.8741587121553,15.6202784511024,-8.02062754627832,-6.23951569640076,-24.1710974189591,-29.1529931079749,3.3457478899702,3.28689450753734,3.52274439471648,154.891954268465,185.230391811294,200.070633519023,64.5995479321787,6.3722530682976,14.9801084736005,17.1520145937311,0.643829623879355,-2.02899983569887,3.4819319928788,4.27194401456472,3.87012190415101,141.880033310284,95.6370330271757,179.76041254757,14.3607095321049,17.3973382855656,31.2165423189276,2.51573042689006,12.7777523525651,-9.33780224297288,3.0532630735554,4.06301933510247,4.54349723446614,70.9122906839757,129.747955122438,164.8871973934,-30.2323470858455,-15.0441684338907,-13.6930955194384,-33.7387936221371,-3.5066203552642,19.5566726614761,3.59824887050092,4.73756601180696,5.21737038102663,98.3275756788958,121.676358567071,140.167557535504,-44.6190775844757,-51.670001374895,-49.5811249968378,52.9002959578852,-25.7734130712161,16.8950626862852,4.9980470145025,4.11392122297195,3.67497831830133,48.1535919345565,58.8965289523994,94.4507087715601,-34.4775098113305,-46.7797636408372,-47.0520247198169,87.4678661397174,20.6582207329911,4.36869869970906,4.68318214069325,4.8427282847282,3.35923249512371,39.2711276855439,-117.432276937152,26.1357332467887,-130.34174088685,-35.3518813951182,-44.4982087094459,11.5180795592214,32.1999617918968,23.545911800154,3.7667946549243,2.67935718828835,3.08663687209491,65.3022056708173,58.3712396746128,23.7631636791702,-71.8515336866249,-21.4279101534871,-13.4767250200262,36.9609735762074,126.40152049194,15.0185817920292,5.09472375717758,2.85291094538843,4.45197387977953
,68,222.0799794912,202.643485136525,195.391730795561,63.1464881586135,20.2039180441366,5.2108179453503,20.0721216472166,-13.2014354504518,-15.3773583608004,3.89822878112,2.05244655531135,3.46807816035312,169.491858231147,195.350442293561,210.631905272115,80.0242600061492,12.2554132969376,26.5537500690943,28.0668062274967,8.50217426466315,12.8387697170469,3.95490040180937,3.56597041820078,3.90912986930823,161.263197012407,99.024083517786,192.652662056667,32.1977442963994,29.4476558327569,44.4237616753726,15.5503655375937,21.7837789122664,-1.98928927016777,3.00087741778088,4.33538387949227,4.71252404582913,84.0203593136221,149.012233572962,180.533979886191,-21.6004960855971,-0.606994314768144,2.29236079711563,-11.761709962459,13.8110776107587,35.8588640522466,3.92806449573231,4.34610868659183,4.49336597113984,123.92646038056,137.326010709714,162.527630557257,-25.9319678958827,-32.6625628059141,-29.1208201814511,82.2420919812048,13.2472131470736,49.8379791972134,5.64138014101161,4.09725974790547,3.15285923489955,65.0315913744867,75.0983175323595,110.036807685086,-12.3096949227693,-29.2787981775655,-31.0794106948965,117.969649159004,56.5703455537264,38.6855153299352,5.13587069669768,3.91161547448587,3.73013490355004,52.8463873842047,-81.5445335656864,45.3067445563556,-104.559714411303,-20.3556947117372,-25.8610826983568,55.2882307050991,56.282041235645,51.347863863974,3.1472164025746,2.88498805206211,2.58468839021282,91.994779669023,80.110603950352,45.6692259864176,-45.1440977558832,5.12770837138169,6.03969334695012,68.4450562153838,155.263795277872,14.5371250411636,5.53187614830711,2.56489225146083,4.46995909838972
,68.5,265.131438397259,241.225313509824,224.084021362788,118.037078025402,37.0879929650077,34.0089911577743,90.0864732770829,13.3397049841819,18.7275838342757,4.00869754587711,1.67175730203337,4.30768051651728,206.74047878398,225.541444287165,245.119913076388,114.537157919438,41.2147980858063,50.9461419625627,58.6925915815596,34.2237460418023,44.2983667770677,4.1699588208462,2.54955242344283,3.07039571712687,207.37818560133,136.069740917963,235.224338071578,69.3187513383359,59.6213836626598,64.538510858677,47.3659204711298,47.078353356656,19.6462052510474,4.06927449549232,3.33433639635211,4.45103357076221,122.05255751954,194.716366484912,223.931479325393,16.4945343787044,35.6696293190294,43.1029562679928,25.0697060576354,51.0262133287001,68.1175951221162,4.40534134472318,4.43003506632942,3.47000361665619,176.419243384238,186.966783766657,214.240668868631,13.9472942548791,14.1549198304351,16.8165257814212,147.03350144323,98.7959114892387,127.462470830015,5.99688221958934,4.20660872131657,3.07623164422535,104.762723065181,117.788682401795,148.518901032582,32.6172861378586,16.7024093891,12.764221547417,175.093535760614,130.693831630509,117.924532288183,5.07440262815533,3.74099039972066,3.40934826547596,92.3343130993144,7.11735174986734,86.9033664593358,-46.5541400912102,21.5638235298347,17.6210760937865,137.856932897474,110.612662222493,116.74474372727,2.36161799199351,3.54604540382616,2.44781387316198,143.125118213331,125.68303580334,95.8905356308833,14.6989336110091,62.3913881812759,46.8285733603821,131.643467086903,213.493459112267,14.0946360083077,4.57452702873616,2.8434010461732,4.31066702108183
,69,297.848145287384,270.338256067429,254.382807010899,166.243373814817,60.638433278375,72.3933398740237,158.350461732175,43.8836498561959,57.7811712426496,3.16694834712359,2.94888187197512,4.84088982641754,252.447777477835,252.687596844321,280.744159051573,134.109472403735,68.2166248379544,76.3981501926905,91.2138857720233,70.8944137249932,71.4279035296736,4.07318954671075,2.67419017405939,2.68927996385275,255.444537479378,201.833161918124,285.874041531948,98.4691155570131,88.4089680730281,89.767106601435,76.5211706804726,73.292715610055,56.0826930179228,4.51050828105485,2.23765537197801,3.72437928592228,166.371462383387,233.093066013798,263.120399407878,71.0143176556053,77.2716693820012,84.9154055907002,48.8562371365051,86.8179473007376,94.6887019667829,4.52732510312478,4.85280091535935,3.12823723179463,225.270552390119,234.293847125204,260.881700489671,56.7193508039627,61.1248978062349,68.6148675044419,208.787048538776,179.936762647473,195.701454774335,4.92341960109945,4.68028829136495,3.94282920102,153.18797128771,164.030410788023,193.916799914678,75.2247220318668,66.9070309358171,60.4460866650757,214.113128390615,185.402979274748,185.968594218169,4.59144138384715,3.05681210462342,2.86636277920343,142.881054979618,87.3834148027249,128.64413724724,8.33664330341344,71.2495513990229,60.2831332276623,198.041883610342,163.180466360354,175.142474146181,2.78524033930171,3.36401882952828,2.78891493071967,179.909782502995,168.631883155177,132.526434828758,68.9744518797115,122.482008405609,92.0417329249167,179.445742012394,260.8999269785,13.4392104692907,3.28400941872962,3.0892876138098,3.77282566399015
,69.5,324.799273720635,306.699903156729,282.264455520439,206.863255510963,82.854397840732,111.135281059978,212.251903755341,79.0616408677588,103.292537714653,2.83990722296562,3.16784746101769,4.11045863681329,288.62785900376,281.128591506915,310.177312286238,149.061304022726,90.4151823840493,104.625035469922,119.013614925783,107.40566908483,92.9606829068071,3.56550106829388,2.70569626169902,2.03823131429192,294.971342487646,268.237719041425,318.469650807052,123.759097870557,115.080484940899,123.562406913947,105.031420857101,97.5733401510088,98.4133151187516,3.86762083030226,2.25544606820404,3.11483433922069,209.926669055818,263.625043314157,295.523335071873,118.663548092617,127.468308335884,119.85255199888,72.9766951907177,116.266391491913,125.256463416376,5.0865189968124,4.89327954646319,3.30053222966149,268.635307145425,274.011527832391,294.777399028466,113.888770667847,111.43575640247,115.652195378987,251.103810184203,250.181196430739,245.89754273064,4.09914594436555,4.47513513094259,4.22398512055577,210.895581804359,201.540005080754,244.394659854762,121.459920451957,110.556050749244,109.457960129473,246.286285961119,231.515762808597,244.868943873199,4.36790974139342,2.36645365120091,2.90292576845332,185.688597411981,159.941332673328,172.241475347011,61.0116696854443,117.713355674889,102.115980161186,249.218717635062,212.238482427561,219.123783087443,3.42466845514241,3.54437899408561,3.2652356474664,210.563135804908,205.819159350212,150.396815459698,117.72280711012,176.883785901993,139.37890945891,217.285864401101,297.589177905854,11.8525370539212,3.69590865814678,2.81573568465694,2.95162586430308
