,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,A01,SYBR,,Std-01,,87,2431.98626185567,81,94,
,A02,SYBR,,Std-01,,87,2520.80063975437,81,95,
,A03,SYBR,,Std-01,,87,2616.35835656392,81,94.5,
,A04,SYBR,,Unkn-01,,87.5,1891.25391708413,81,92,
,A05,SYBR,,Unkn-01,,87,1921.24838519435,77,92,
,A06,SYBR,,Unkn-01,,87,2007.85693044959,78.5,91.5,
,A07,SYBR,,Unkn-09,,87.5,2039.79660986011,80,94,
,A08,SYBR,,Unkn-09,,87.5,2006.8786851021,81,95,
,A09,SYBR,,Unkn-09,,87.5,2054.15240455216,82,93,
,A10,SYBR,,Unkn-17,,None,None,None,None,
,A11,SYBR,,Unkn-17,,None,None,None,None,
,A12,SYBR,,Unkn-17,,None,None,None,None,
,B01,SYBR,,Std-02,,87,2704.62924934772,78,94,
,B02,SYBR,,Std-02,,87,2670.08732832626,81,94,
,B03,SYBR,,Std-02,,87,2841.79784866733,82.5,94,
,B04,SYBR,,Unkn-02,,87,1950.01974835189,67.5,95,
,B05,SYBR,,Unkn-02,,87,2041.43680911791,78.5,94,
,B06,SYBR,,Unkn-02,,87,1889.81446404033,67.5,94,
,B07,SYBR,,Unkn-10,,87.5,1960.77727543463,67.5,95,
,B08,SYBR,,Unkn-10,,87,1962.85026737235,80,94,
,B09,SYBR,,Unkn-10,,87,2056.35705278817,80.5,95,
,B10,SYBR,,Unkn-18,,None,None,None,None,
,B11,SYBR,,Unkn-18,,None,None,None,None,
,B12,SYBR,,Unkn-18,,None,None,None,None,
,C01,SYBR,,Std-03,,87,2585.03960094756,82,90.5,
,C02,SYBR,,Std-03,,87,2808.15367440254,81.5,94,
,C03,SYBR,,Std-03,,87,2773.79615808101,82.5,95,
,C04,SYBR,,Unkn-03,,87,2082.07900470164,80,94,
,C05,SYBR,,Unkn-03,,87,1939.27998131182,76,95,
,C06,SYBR,,Unkn-03,,87,2033.377718567,79.5,92,
,C07,SYBR,,Unkn-11,,87,2215.43006942951,78.5,94,
,C08,SYBR,,Unkn-11,,87,2182.72196555864,75,95,
,C09,SYBR,,Unkn-11,,87,2183.41723151109,76,94,
,C10,SYBR,,Unkn-19,,None,None,None,None,
,C11,SYBR,,Unkn-19,,None,None,None,None,
,C12,SYBR,,Unkn-19,,None,None,None,None,
,D01,SYBR,,Std-04,,87,2532.78497779935,81.5,91,
,D02,SYBR,,Std-04,,87,2425.41310263724,79,91,
,D03,SYBR,,Std-04,,87,2633.91436135674,81.5,91,
,D04,SYBR,,Unkn-04,,87.5,2242.74467746197,78.5,91,
,D05,SYBR,,Unkn-04,,87.5,2249.84519346905,78.5,91,
,D06,SYBR,,Unkn-04,,87.5,2273.74654720025,80.5,91,
,D07,SYBR,,Unkn-12,,87,2262.85907187234,80,94,
,D08,SYBR,,Unkn-12,,87,2192.83494803855,79.5,94,
,D09,SYBR,,Unkn-12,,87,2224.45975180361,82,95,
,D10,SYBR,,Unkn-20,,None,None,None,None,
,D11,SYBR,,Unkn-20,,None,None,None,None,
,D12,SYBR,,Unkn-20,,None,None,None,None,
,E01,SYBR,,Std-05,,87,2325.70438283409,77.5,91,
,E02,SYBR,,Std-05,,87,2415.14931380554,81,91,
,E03,SYBR,,Std-05,,87,2617.75376870277,79,92,
,E04,SYBR,,Unkn-05,,87,2034.86841710571,78,92.5,
,E05,SYBR,,Unkn-05,,87,2029.85137981438,75.5,95,
,E06,SYBR,,Unkn-05,,87,2030.97642817642,77,95,
,E07,SYBR,,Unkn-13,,87.5,2406.32204686052,80,92.5,
,E08,SYBR,,Unkn-13,,87.5,2235.2222565931,79.5,91.5,
,E09,SYBR,,Unkn-13,,87.5,2298.4485702822,79,94,
,E10,SYBR,,Unkn-21,,None,None,None,None,
,E11,SYBR,,Unkn-21,,None,None,None,None,
,E12,SYBR,,Unkn-21,,None,None,None,None,
,F01,SYBR,,Std-06,,87,2300.6117470955,81,91,
,F02,SYBR,,Std-06,,87,2254.9443993061,78.5,92,
,F03,SYBR,,Std-06,,87,2392.74311194964,80,91,
,F04,SYBR,,Unkn-06,,87,2201.38621913454,68,95,
,F05,SYBR,,Unkn-06,,87,2154.760278037,75,95,
,F06,SYBR,,Unkn-06,,87,2238.01705729739,80,94,
,F07,SYBR,,Unkn-14,,87.5,2162.74383073804,81.5,92,
,F08,SYBR,,Unkn-14,,87.5,2283.6524577247,79.5,92,
,F09,SYBR,,Unkn-14,,87.5,2469.62871417484,81.5,95,
,F10,SYBR,,Unkn-22,,None,None,None,None,
,F11,SYBR,,Unkn-22,,None,None,None,None,
,F12,SYBR,,Unkn-22,,None,None,None,None,
,G01,SYBR,,Std-07,,87.5,2294.73290091452,80.5,92.5,
,G02,SYBR,,Std-07,,87.5,2216.2271457645,78.5,92,
,G03,SYBR,,Std-07,,87.5,1960.00143821421,82.5,92,
,G04,SYBR,,Unkn-07,,87.5,1826.4873129644,81.5,95,
,G05,SYBR,,Unkn-07,,87.5,2096.47686259329,81,95,
,G06,SYBR,,Unkn-07,,87.5,2081.0900884217,78,94,
,G07,SYBR,,Unkn-15,,87.5,2221.22605935137,80,95,
,G08,SYBR,,Unkn-15,,87,2373.23166893558,76.5,91,
,G09,SYBR,,Unkn-15,,87.5,2130.51043038685,76,92.5,
,G10,SYBR,,Unkn-23,,None,None,None,None,
,G11,SYBR,,Unkn-23,,None,None,None,None,
,G12,SYBR,,Unkn-23,,None,None,None,None,
,H01,SYBR,,NTC,,87.5,1896.41117213801,82,92,
,H02,SYBR,,NTC,,87.5,2003.49490350247,80.5,92,
,H03,SYBR,,NTC,,87.5,1981.37049081518,78,91,
,H04,SYBR,,Unkn-08,,87,1887.86792536236,74,92,
,H05,SYBR,,Unkn-08,,87,1821.49664794565,68,92,
,H06,SYBR,,Unkn-08,,86.5,1961.99013307484,68,92.5,
,H07,SYBR,,Unkn-16,,87.5,1867.46392443687,76,92,
,H08,SYBR,,Unkn-16,,87,2092.33393536818,67.5,93,
,H09,SYBR,,Unkn-16,,None,None,None,None,
,H10,SYBR,,Unkn-23,,None,None,None,None,
,H11,SYBR,,Unkn-23,,None,None,None,None,
,H12,SYBR,,Unkn-23,,None,None,None,None,
