,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Std-1,Std-1,Std-1,Unkn-1,Unkn-1,Unkn-1,Unkn-9,Unkn-9,Unkn-9,Unkn-17,Unkn-17,Unkn-17
A,Sample,,,,,,,,,,,,
A,Cq,8.81758633409624,8.88741731443739,8.71492798802668,24.6895629874303,22.6737241744639,25.1245412961168,25.2644997496396,25.7251618332923,27.3354375733268,20.917291634083,20.6988927632243,20.8523673287837
A,copy number,365000000,365000000,365000000,9365.94944672193,37774.1905517786,6932.11729340981,6292.4019258677,4575.24183528055,1501.82393450747,127321.543003189,148087.419014698,133170.461339287
B,Content,Std-2,Std-2,Std-2,Unkn-2,Unkn-2,Unkn-2,Unkn-10,Unkn-10,Unkn-10,Unkn-18,Unkn-18,Unkn-18
B,Sample,,,,,,,,,,,,
B,Cq,12.8797494153751,12.9753822526537,12.9173127495244,25.2877868118664,22.7955157701744,25.2418807894848,21.7411332617578,21.9494588233244,22.0766693554799,19.7014795753451,19.5929193662827,19.7985808437431
B,copy number,36500000,36500000,36500000,6191.84442078502,34721.9264756044,6391.63768871294,72008.7008360935,62344.0703820968,57092.0610910239,295245.528983182,318272.719034631,276064.139637531
C,Content,Std-3,Std-3,Std-3,Unkn-3,Unkn-3,Unkn-3,Unkn-11,Unkn-11,Unkn-11,Unkn-19,Unkn-19,Unkn-19
C,Sample,,,,,,,,,,,,
C,Cq,16.476006127183,16.2131909956836,16.3629977738831,25.8266074328754,22.6282865376995,24.9238431626456,21.1425646954234,21.2451702355496,21.1545330368876,22.416434052359,24.1393742319535,22.9011769006543
C,copy number,3650000,3650000,3650000,4265.16169281658,38980.4238724268,7964.60279910916,108948.266484402,101482.994688771,108049.939424029,45133.1885685391,13704.1408602243,32274.441405834
D,Content,Std-4,Std-4,Std-4,Unkn-4,Unkn-4,Unkn-4,Unkn-12,Unkn-12,Unkn-12,Unkn-20,Unkn-20,Unkn-20
D,Sample,,,,,,,,,,,,
D,Cq,19.5144705516967,19.7692715177027,19.7718532359614,22.1641787595155,20.3138807312879,22.3027363711077,21.2144741575518,20.9068716950967,21.040717026488,25.4983748344784,25.3860249666242,25.8656650235274
D,copy number,365000,365000,365000,53738.3330408955,193282.300026518,48826.5024116696,103661.067377476,128242.650143942,116901.390719297,5352.42356840398,5785.02357466501,4151.46083863504
E,Content,Std-5,Std-5,Std-5,Unkn-5,Unkn-5,Unkn-5,Unkn-13,Unkn-13,Unkn-13,Unkn-21,Unkn-21,Unkn-21
E,Sample,,,,,,,,,,,,
E,Cq,23.2058502572897,22.7617925249119,22.9282412225039,22.7490505294188,21.3857780749745,22.9503422283558,22.7083644815524,23.1229941989751,22.9018012088529,24.1871225580388,25.0817486344293,24.868634982676
E,copy number,36500,36500,36500,35856.1733979865,92076.4833882816,31195.1722221414,36879.7315720291,27683.1447271801,32260.5053192506,13258.8602914785,7140.40146604301,8274.67599790424
F,Content,Std-6,Std-6,Std-6,Unkn-6,Unkn-6,Unkn-6,Unkn-14,Unkn-14,Unkn-14,Unkn-22,Unkn-22,Unkn-22
F,Sample,,,,,,,,,,,,
F,Cq,27.2675819470214,26.1901847249232,25.2840338340868,22.4911106178479,20.2453160924355,23.311160367814,24.5877492809799,24.5461383506902,24.5908196413342,21.0578388524551,21.0955572012128,20.7994118965292
F,copy number,3650,3650,3650,42860.7744012613,202671.091521833,24304.2563108718,10049.4191124838,10342.9075972959,10028.096225686,115524.887985283,112549.447294465,138139.525203041
G,Content,Std-7,Std-7,Std-7,Unkn-7,Unkn-7,Unkn-7,Unkn-15,Unkn-15,Unkn-15,Unkn-23,Unkn-23,Unkn-23
G,Sample,,,,,,,,,,,,
G,Cq,28.0240736237709,NaN,28.9507959825543,23.9997931142038,22.4114782767643,25.7361925780916,NaN,26.3353843605235,24.3482515531341,21.6680150310574,22.2927361132439,21.9512357159901
G,copy number,365,365,365,15093.4282119509,45288.1876657278,4540.46102156871,NaN,2999.69681770781,11860.3148983379,75744.7940143578,49165.4611036603,62267.4814008251
H,Content,NTC,NTC,NTC,Unkn-8,Unkn-8,Unkn-8,Unkn-16,Unkn-16,Unkn-16,Unkn-24,Unkn-24,Unkn-24
H,Sample,,,,,,,,,,,,
H,Cq,NaN,NaN,NaN,25.7285901254648,23.6140899642316,25.2536796178265,20.5555683285296,21.3068431198703,21.0351161711636,20.0176263502632,NaN,20.0667646897125
H,copy number,NaN,NaN,NaN,4564.40371851318,19709.2208353485,6339.67918359935,163523.018199714,97244.294060005,117355.220002617,237246.300239352,NaN,229316.978134834
