,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Std-01,,8.81758633409624,365000000
,A02,SYBR,,Std-01,,8.88741731443739,365000000
,A03,SYBR,,Std-01,,8.71492798802668,365000000
,A04,SYBR,,Unkn-01,,24.6895629874303,9365.94944672193
,A05,SYBR,,Unkn-01,,22.6737241744639,37774.1905517786
,A06,SYBR,,Unkn-01,,25.1245412961168,6932.11729340981
,A07,SYBR,,Unkn-09,,25.2644997496396,6292.4019258677
,A08,SYBR,,Unkn-09,,25.7251618332923,4575.24183528055
,A09,SYBR,,Unkn-09,,27.3354375733268,1501.82393450747
,A10,SYBR,,Unkn-17,,20.917291634083,127321.543003189
,A11,SYBR,,Unkn-17,,20.6988927632243,148087.419014698
,A12,SYBR,,Unkn-17,,20.8523673287837,133170.461339287
,B01,SYBR,,Std-02,,12.8797494153751,36500000
,B02,SYBR,,Std-02,,12.9753822526537,36500000
,B03,SYBR,,Std-02,,12.9173127495244,36500000
,B04,SYBR,,Unkn-02,,25.2877868118664,6191.84442078502
,B05,SYBR,,Unkn-02,,22.7955157701744,34721.9264756044
,B06,SYBR,,Unkn-02,,25.2418807894848,6391.63768871294
,B07,SYBR,,Unkn-10,,21.7411332617578,72008.7008360935
,B08,SYBR,,Unkn-10,,21.9494588233244,62344.0703820968
,B09,SYBR,,Unkn-10,,22.0766693554799,57092.0610910239
,B10,SYBR,,Unkn-18,,19.7014795753451,295245.528983182
,B11,SYBR,,Unkn-18,,19.5929193662827,318272.719034631
,B12,SYBR,,Unkn-18,,19.7985808437431,276064.139637531
,C01,SYBR,,Std-03,,16.476006127183,3650000
,C02,SYBR,,Std-03,,16.2131909956836,3650000
,C03,SYBR,,Std-03,,16.3629977738831,3650000
,C04,SYBR,,Unkn-03,,25.8266074328754,4265.16169281658
,C05,SYBR,,Unkn-03,,22.6282865376995,38980.4238724268
,C06,SYBR,,Unkn-03,,24.9238431626456,7964.60279910916
,C07,SYBR,,Unkn-11,,21.1425646954234,108948.266484402
,C08,SYBR,,Unkn-11,,21.2451702355496,101482.994688771
,C09,SYBR,,Unkn-11,,21.1545330368876,108049.939424029
,C10,SYBR,,Unkn-19,,22.416434052359,45133.1885685391
,C11,SYBR,,Unkn-19,,24.1393742319535,13704.1408602243
,C12,SYBR,,Unkn-19,,22.9011769006543,32274.441405834
,D01,SYBR,,Std-04,,19.5144705516967,365000
,D02,SYBR,,Std-04,,19.7692715177027,365000
,D03,SYBR,,Std-04,,19.7718532359614,365000
,D04,SYBR,,Unkn-04,,22.1641787595155,53738.3330408955
,D05,SYBR,,Unkn-04,,20.3138807312879,193282.300026518
,D06,SYBR,,Unkn-04,,22.3027363711077,48826.5024116696
,D07,SYBR,,Unkn-12,,21.2144741575518,103661.067377476
,D08,SYBR,,Unkn-12,,20.9068716950967,128242.650143942
,D09,SYBR,,Unkn-12,,21.040717026488,116901.390719297
,D10,SYBR,,Unkn-20,,25.4983748344784,5352.42356840398
,D11,SYBR,,Unkn-20,,25.3860249666242,5785.02357466501
,D12,SYBR,,Unkn-20,,25.8656650235274,4151.46083863504
,E01,SYBR,,Std-05,,23.2058502572897,36500
,E02,SYBR,,Std-05,,22.7617925249119,36500
,E03,SYBR,,Std-05,,22.9282412225039,36500
,E04,SYBR,,Unkn-05,,22.7490505294188,35856.1733979865
,E05,SYBR,,Unkn-05,,21.3857780749745,92076.4833882816
,E06,SYBR,,Unkn-05,,22.9503422283558,31195.1722221414
,E07,SYBR,,Unkn-13,,22.7083644815524,36879.7315720291
,E08,SYBR,,Unkn-13,,23.1229941989751,27683.1447271801
,E09,SYBR,,Unkn-13,,22.9018012088529,32260.5053192506
,E10,SYBR,,Unkn-21,,24.1871225580388,13258.8602914785
,E11,SYBR,,Unkn-21,,25.0817486344293,7140.40146604301
,E12,SYBR,,Unkn-21,,24.868634982676,8274.67599790424
,F01,SYBR,,Std-06,,27.2675819470214,3650
,F02,SYBR,,Std-06,,26.1901847249232,3650
,F03,SYBR,,Std-06,,25.2840338340868,3650
,F04,SYBR,,Unkn-06,,22.4911106178479,42860.7744012613
,F05,SYBR,,Unkn-06,,20.2453160924355,202671.091521833
,F06,SYBR,,Unkn-06,,23.311160367814,24304.2563108718
,F07,SYBR,,Unkn-14,,24.5877492809799,10049.4191124838
,F08,SYBR,,Unkn-14,,24.5461383506902,10342.9075972959
,F09,SYBR,,Unkn-14,,24.5908196413342,10028.096225686
,F10,SYBR,,Unkn-22,,21.0578388524551,115524.887985283
