,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,,Std-01,,17300.4187215054,,Standard,Unassigned,False
,A02,SYBR,,Std-01,,17536.5673323614,,Standard,Unassigned,False
,A03,SYBR,,Std-01,,17394.7022591447,,Standard,Unassigned,False
,A04,SYBR,,Unkn-01,,7768.27796232199,,Unknown,Unassigned,False
,A05,SYBR,,Unkn-01,,8820.27546875377,,Unknown,Unassigned,False
,A06,SYBR,,Unkn-01,,8026.48117873906,,Unknown,Unassigned,False
,A07,SYBR,,Unkn-09,,9844.62832409022,,Unknown,Unassigned,False
,A08,SYBR,,Unkn-09,,10499.836987171,,Unknown,Unassigned,False
,A09,SYBR,,Unkn-09,,10986.9765480473,,Unknown,Unassigned,False
,A10,SYBR,,Unkn-17,,10775.3020633978,,Unknown,Unassigned,False
,A11,SYBR,,Unkn-17,,10880.7886855782,,Unknown,Unassigned,False
,A12,SYBR,,Unkn-17,,10400.2655453162,,Unknown,Unassigned,False
,B01,SYBR,,Std-02,,15225.3264433352,,Standard,Unassigned,False
,B02,SYBR,,Std-02,,15830.6789201673,,Standard,Unassigned,False
,B03,SYBR,,Std-02,,16312.5590649604,,Standard,Unassigned,False
,B04,SYBR,,Unkn-02,,5496.41753421961,,Unknown,Unassigned,False
,B05,SYBR,,Unkn-02,,7855.36069868298,,Unknown,Unassigned,False
,B06,SYBR,,Unkn-02,,6195.43544386589,,Unknown,Unassigned,False
,B07,SYBR,,Unkn-10,,7010.15309574848,,Unknown,Unassigned,False
,B08,SYBR,,Unkn-10,,7093.14431970321,,Unknown,Unassigned,False
,B09,SYBR,,Unkn-10,,7598.10183137902,,Unknown,Unassigned,False
,B10,SYBR,,Unkn-18,,6958.40279872407,,Unknown,Unassigned,False
,B11,SYBR,,Unkn-18,,7199.10776419969,,Unknown,Unassigned,False
,B12,SYBR,,Unkn-18,,6705.07224718263,,Unknown,Unassigned,False
,C01,SYBR,,Std-03,,14957.3391750257,,Standard,Unassigned,False
,C02,SYBR,,Std-03,,17242.9331446743,,Standard,Unassigned,False
,C03,SYBR,,Std-03,,16854.2683467159,,Standard,Unassigned,False
,C04,SYBR,,Unkn-03,,6511.38930632093,,Unknown,Unassigned,False
,C05,SYBR,,Unkn-03,,6782.19667882367,,Unknown,Unassigned,False
,C06,SYBR,,Unkn-03,,6041.79930487967,,Unknown,Unassigned,False
,C07,SYBR,,Unkn-11,,7085.73614670343,,Unknown,Unassigned,False
,C08,SYBR,,Unkn-11,,7018.31880101615,,Unknown,Unassigned,False
,C09,SYBR,,Unkn-11,,8030.16167035798,,Unknown,Unassigned,False
,C10,SYBR,,Unkn-19,,6794.46091210857,,Unknown,Unassigned,False
,C11,SYBR,,Unkn-19,,7591.00558903433,,Unknown,Unassigned,False
,C12,SYBR,,Unkn-19,,7814.8090314503,,Unknown,Unassigned,False
,D01,SYBR,,Std-04,,17486.4734262488,,Standard,Unassigned,False
,D02,SYBR,,Std-04,,16497.5906917059,,Standard,Unassigned,False
,D03,SYBR,,Std-04,,15593.6863920922,,Standard,Unassigned,False
,D04,SYBR,,Unkn-04,,7643.95510018222,,Unknown,Unassigned,False
,D05,SYBR,,Unkn-04,,8375.19769125383,,Unknown,Unassigned,False
,D06,SYBR,,Unkn-04,,8660.97079719365,,Unknown,Unassigned,False
,D07,SYBR,,Unkn-12,,4280.58625827836,,Unknown,Unassigned,False
,D08,SYBR,,Unkn-12,,4878.35702030298,,Unknown,Unassigned,False
,D09,SYBR,,Unkn-12,,4835.68294868319,,Unknown,Unassigned,False
,D10,SYBR,,Unkn-20,,8816.52521859006,,Unknown,Unassigned,False
,D11,SYBR,,Unkn-20,,9241.29067715434,,Unknown,Unassigned,False
,D12,SYBR,,Unkn-20,,8686.66601190074,,Unknown,Unassigned,False
,E01,SYBR,,Std-05,,16686.8652558191,,Standard,Unassigned,False
,E02,SYBR,,Std-05,,17689.3327087906,,Standard,Unassigned,False
,E03,SYBR,,Std-05,,18003.6140919004,,Standard,Unassigned,False
,E04,SYBR,,Unkn-05,,12623.2338277303,,Unknown,Unassigned,False
,E05,SYBR,,Unkn-05,,12524.040504984,,Unknown,Unassigned,False
,E06,SYBR,,Unkn-05,,13187.2581017434,,Unknown,Unassigned,False
,E07,SYBR,,Unkn-13,,12979.5048329519,,Unknown,Unassigned,False
,E08,SYBR,,Unkn-13,,12973.7564906609,,Unknown,Unassigned,False
,E09,SYBR,,Unkn-13,,13254.6115107029,,Unknown,Unassigned,False
,E10,SYBR,,Unkn-21,,6610.88085431188,,Unknown,Unassigned,False
,E11,SYBR,,Unkn-21,,6807.46973976111,,Unknown,Unassigned,False
,E12,SYBR,,Unkn-21,,6910.26517228074,,Unknown,Unassigned,False
,F01,SYBR,,Std-06,,15968.6608212708,,Standard,Unassigned,False
,F02,SYBR,,Std-06,,16516.2022027439,,Standard,Unassigned,False
,F03,SYBR,,Std-06,,17065.7415322353,,Standard,Unassigned,False
,F04,SYBR,,Unkn-06,,6429.43150538031,,Unknown,Unassigned,False
,F05,SYBR,,Unkn-06,,7425.41184194688,,Unknown,Unassigned,False
,F06,SYBR,,Unkn-06,,6729.28645186209,,Unknown,Unassigned,False
,F07,SYBR,,Unkn-14,,10653.1291043265,,Unknown,Unassigned,False
,F08,SYBR,,Unkn-14,,11399.0178963288,,Unknown,Unassigned,False
,F09,SYBR,,Unkn-14,,10901.5303161769,,Unknown,Unassigned,False
,F10,SYBR,,Unkn-22,,7308.44663837158,,Unknown,Unassigned,False
,F11,SYBR,,Unkn-22,,8231.53418815985,,Unknown,Unassigned,False
,F12,SYBR,,Unkn-22,,7729.14883173171,,Unknown,Unassigned,False
,G01,SYBR,,Std-07,,15302.3317617156,,Standard,Unassigned,False
,G02,SYBR,,Std-07,,14881.8926652883,,Standard,Unassigned,False
,G03,SYBR,,Std-07,,15781.3474051021,,Standard,Unassigned,False
,G04,SYBR,,Unkn-07,,6395.75794117161,,Unknown,Unassigned,False
,G05,SYBR,,Unkn-07,,6717.70520840286,,Unknown,Unassigned,False
,G06,SYBR,,Unkn-07,,6654.18819502171,,Unknown,Unassigned,False
,G07,SYBR,,Unkn-15,,10049.3771508836,,Unknown,Unassigned,False
,G08,SYBR,,Unkn-15,,9747.87124239286,,Unknown,Unassigned,False
,G09,SYBR,,Unkn-15,,9417.29204610613,,Unknown,Unassigned,False
,G10,SYBR,,Unkn-23,,8006.71423995865,,Unknown,Unassigned,False
,G11,SYBR,,Unkn-23,,8221.02226003847,,Unknown,Unassigned,False
,G12,SYBR,,Unkn-23,,7741.32110151193,,Unknown,Unassigned,False
,H01,SYBR,,NTC,,7286.21022466807,,NTC,Unassigned,False
,H02,SYBR,,NTC,,8681.90749786836,,NTC,Unassigned,False
,H03,SYBR,,NTC,,11201.285435949,,NTC,Unassigned,False
,H04,SYBR,,Unkn-08,,6232.73404259951,,Unknown,Unassigned,False
,H05,SYBR,,Unkn-08,,7402.82012356284,,Unknown,Unassigned,False
,H06,SYBR,,Unkn-08,,6488.21202947386,,Unknown,Unassigned,False
,H07,SYBR,,Unkn-16,,10126.1237244321,,Unknown,Unassigned,False
,H08,SYBR,,Unkn-16,,10466.0696550435,,Unknown,Unassigned,False
,H09,SYBR,,Unkn-16,,10383.7327157199,,Unknown,Unassigned,False
,H10,SYBR,,Unkn-24,,4877.46118972532,,Unknown,Unassigned,False
,H11,SYBR,,Unkn-24,,4291.73639706003,,Unknown,Unassigned,False
,H12,SYBR,,Unkn-24,,4653.85161219982,,Unknown,Unassigned,False
