,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,A01,SYBR,,Std-01,,91,2353.03903279329,82.5,95,
,A02,SYBR,,Std-01,,91,2336.45072921462,84,95,
,A03,SYBR,,Std-01,,91,2409.77674820179,84.5,95,
,A04,SYBR,,Unkn-01,,91,1632.65307183271,82,95,
,A05,SYBR,,Unkn-01,,91,1685.31076960978,82.5,95,
,A06,SYBR,,Unkn-01,,91,1642.87390841001,80,95,
,A07,SYBR,,Unkn-09,,91,1940.33804491957,83,95,
,A08,SYBR,,Unkn-09,,91,1832.70174383878,83.5,95,
,A09,SYBR,,Unkn-09,,91,2005.74714755843,84,95,
,A10,SYBR,,Unkn-17,,90.5,1765.43611057354,78.5,95,
,A11,SYBR,,Unkn-17,,90.5,1832.77008799205,80.5,95,
,A12,SYBR,,Unkn-17,,90.5,1879.10432976929,84.5,95,
,B01,SYBR,,Std-02,,91,2194.12136940849,83,95,
,B02,SYBR,,Std-02,,91,2134.56589579199,84,95,
,B03,SYBR,,Std-02,,91,2287.89301423226,82.5,95,
,B04,SYBR,,Unkn-02,,89.5,1590.09726870343,66.5,95,
,B05,SYBR,,Unkn-02,,89.5,1691.36548841986,72,95,
,B06,SYBR,,Unkn-02,,89.5,1612.51008690127,74.5,95,
,B07,SYBR,,Unkn-10,,90,1401.91863404436,82,95,
,B08,SYBR,,Unkn-10,,90.5,1482.33406975562,80.5,95,
,B09,SYBR,,Unkn-10,,90,1488.32187626222,79.5,95,
,B10,SYBR,,Unkn-18,,90.5,1712.27471658535,67,95,
,B11,SYBR,,Unkn-18,,90.5,1764.50501166528,67,95,
,B12,SYBR,,Unkn-18,,90.5,1802.21878050828,82.5,95,
,C01,SYBR,,Std-03,,90.5,1985.44075873676,82.5,95,
,C02,SYBR,,Std-03,,90.5,2242.87055410999,83.5,95,
,C03,SYBR,,Std-03,,90.5,2302.03197908729,81.5,95,
,C04,SYBR,,Unkn-03,,90,1588.24520879841,67,95,
,C05,SYBR,,Unkn-03,,90,1652.10716173851,66,95,
,C06,SYBR,,Unkn-03,,90,1643.82543541108,66,95,
,C07,SYBR,,Unkn-11,,90.5,1460.85588634352,81.5,95,
,C08,SYBR,,Unkn-11,,90.5,1367.95231218325,81.5,95,
,C09,SYBR,,Unkn-11,,90,1534.7013865071,80,95,
,C10,SYBR,,Unkn-19,,90,1133.19778294542,66.5,95,
,C11,SYBR,,Unkn-19,,90,1297.16224801487,67,95,
,C12,SYBR,,Unkn-19,,90,1392.8411708069,67.5,95,
,D01,SYBR,,Std-04,,91,2263.4217861344,82.5,95,
,D02,SYBR,,Std-04,,90.5,2100.43527611242,84,95,
,D03,SYBR,,Std-04,,90.5,1958.12522630522,83.5,95,
,D04,SYBR,,Unkn-04,,90.5,1613.17295151195,66.5,95,
,D05,SYBR,,Unkn-04,,90.5,1626.25374468099,66,95,
,D06,SYBR,,Unkn-04,,90.5,1722.23483812526,66.5,95,
,D07,SYBR,,Unkn-12,,90.5,1473.40858676434,77.5,95,
,D08,SYBR,,Unkn-12,,90.5,1452.68167887495,78.5,95,
,D09,SYBR,,Unkn-12,,90.5,1545.7526594219,79,95,
,D10,SYBR,,Unkn-20,,90,1543.42928250392,66.5,95,
,D11,SYBR,,Unkn-20,,90,1596.62461179714,67,95,
,D12,SYBR,,Unkn-20,,90.5,1581.22967014272,66.5,95,
,E01,SYBR,,Std-05,,90.5,2139.77529730747,83.5,95,
,E02,SYBR,,Std-05,,90.5,2240.45743560374,83,95,
,E03,SYBR,,Std-05,,90.5,2275.27949846483,82,95,
,E04,SYBR,,Unkn-05,,90.5,1794.24349827192,80,95,
,E05,SYBR,,Unkn-05,,90.5,1777.24425277229,78.5,95,
,E06,SYBR,,Unkn-05,,90.5,1918.34683729193,80.5,95,
,E07,SYBR,,Unkn-13,,90,1562.93759125688,83,95,
,E08,SYBR,,Unkn-13,,90,1547.16388007057,66,95,
,E09,SYBR,,Unkn-13,,90.5,1549.62863244597,65.5,95,
,E10,SYBR,,Unkn-21,,90.5,1752.24969391851,66,95,
,E11,SYBR,,Unkn-21,,90.5,1792.03479738831,66.5,95,
,E12,SYBR,,Unkn-21,,91,1884.86488180409,66.5,95,
,F01,SYBR,,Std-06,,90.5,2072.14447887695,80,95,
,F02,SYBR,,Std-06,,90.5,2054.99881827648,81.5,95,
,F03,SYBR,,Std-06,,90.5,2121.12715306329,83,95,
,F04,SYBR,,Unkn-06,,90.5,1502.09978447905,81.5,95,
,F05,SYBR,,Unkn-06,,90.5,1603.09854679844,82,95,
,F06,SYBR,,Unkn-06,,90.5,1516.80928650577,81.5,95,
,F07,SYBR,,Unkn-14,,91,1559.2753495542,81,95,
,F08,SYBR,,Unkn-14,,91,1661.06703139974,79,95,
,F09,SYBR,,Unkn-14,,91,1603.10839288928,81.5,95,
,F10,SYBR,,Unkn-22,,90.5,1870.9571634088,66.5,95,
,F11,SYBR,,Unkn-22,,90.5,1799.96762046112,67,95,
,F12,SYBR,,Unkn-22,,90.5,1901.26380725285,66.5,95,
,G01,SYBR,,Std-07,,90.5,1831.96218509606,80.5,95,
,G02,SYBR,,Std-07,,90.5,1756.62963754833,79.5,95,
,G03,SYBR,,Std-07,,90.5,1819.61157439697,81.5,95,
,G04,SYBR,,Unkn-07,,90.5,1438.69013413881,81.5,95,
,G05,SYBR,,Unkn-07,,90.5,1452.72919683835,81,95,
