,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,,Std-01,,,11.0678638812861,11.0804840245088,0.0518810247620729,365000000,8.56229286445648,365000000,0,59,
,A02,SYBR,,Std-01,,,11.1375108558662,11.0804840245088,0.0518810247620729,365000000,8.56229286445648,365000000,0,59,
,A03,SYBR,,Std-01,,,11.0360773363741,11.0804840245088,0.0518810247620729,365000000,8.56229286445648,365000000,0,59,
,A04,SYBR,,Unkn-01,,,24.2417007285136,24.2245912848698,0.0867929632843115,69789.8698020667,4.84379238811963,70631.7236943136,3954.79288176784,59,
,A05,SYBR,,Unkn-01,,,24.1305177424333,24.2245912848698,0.0867929632843115,74939.6608354022,4.87471172321673,70631.7236943136,3954.79288176784,59,
,A06,SYBR,,Unkn-01,,,24.3015553836626,24.2245912848698,0.0867929632843115,67165.6404454719,4.82714716023975,70631.7236943136,3954.79288176784,59,
,A07,SYBR,,Unkn-09,,,25.3982738050298,25.2932068126901,0.0924296618667221,33277.9229434081,4.52215621177833,35634.9953271257,2076.89642512631,59,
,A08,SYBR,,Unkn-09,,,25.2244271559487,25.2932068126901,0.0924296618667221,37196.4885585324,4.57050194333264,35634.9953271257,2076.89642512631,59,
,A09,SYBR,,Unkn-09,,,25.2569194770918,25.2932068126901,0.0924296618667221,36430.5744794366,4.56146601975364,35634.9953271257,2076.89642512631,59,
,A10,SYBR,,Unkn-17,,,NaN,0,0,NaN,NaN,0,0,59,
,A11,SYBR,,Unkn-17,,,25.8046382004456,26.0023663020034,0.279629762885205,25653.6202315478,4.40914866128572,22784.1795240195,4058.00196501196,59,
,A12,SYBR,,Unkn-17,,,26.2000944035611,26.0023663020034,0.279629762885205,19914.7388164912,4.29917461497329,22784.1795240195,4058.00196501196,59,
,B01,SYBR,,Std-02,,,13.8186041292151,14.1986919610687,0.681014753418069,36500000,7.56229286445647,36500000,0,59,
,B02,SYBR,,Std-02,,,13.7925555146632,14.1986919610687,0.681014753418069,36500000,7.56229286445647,36500000,0,59,
,B03,SYBR,,Std-02,,,14.9849162393278,14.1986919610687,0.681014753418069,36500000,7.56229286445647,36500000,0,59,
,B04,SYBR,,Unkn-02,,,22.1894824500744,21.9469629584647,0.245038174209363,259718.109006994,5.41450223213843,305849.574762434,47955.6502363438,59,
,B05,SYBR,,Unkn-02,,,21.9519249578619,21.9469629584647,0.245038174209363,302388.711740348,5.48056557479087,305849.574762434,47955.6502363438,59,
,B06,SYBR,,Unkn-02,,,21.6994814674577,21.9469629584647,0.245038174209363,355441.903539959,5.55076862606752,305849.574762434,47955.6502363438,59,
,B07,SYBR,,Unkn-10,,,22.1099517824739,22.1481469780535,0.170440628956066,273287.170058327,5.43661924346118,267731.858165901,28665.7976422377,59,
,B08,SYBR,,Unkn-10,,,22.334444615541,22.1481469780535,0.170440628956066,236695.011912832,5.37418910574675,267731.858165901,28665.7976422377,59,
,B09,SYBR,,Unkn-10,,,22.0000445361455,22.1481469780535,0.170440628956066,293213.392526545,5.46718380282975,267731.858165901,28665.7976422377,59,
,B10,SYBR,,Unkn-18,,,25.2952730131181,25.2776438588419,0.181122090054631,35546.7685749157,4.55080012675722,36112.587647781,4216.0339951105,59,
,B11,SYBR,,Unkn-18,,,25.0883518005728,25.2776438588419,0.181122090054631,40582.9581369288,4.60834370005864,36112.587647781,4216.0339951105,59,
,B12,SYBR,,Unkn-18,,,25.4493067628348,25.2776438588419,0.181122090054631,32208.0362314986,4.50796424609187,36112.587647781,4216.0339951105,59,
,C01,SYBR,,Std-03,,,18.0186181642023,17.6212485822585,0.347841109850424,3650000,6.56229286445647,3650000,0,59,
,C02,SYBR,,Std-03,,,17.4732244191087,17.6212485822585,0.347841109850424,3650000,6.56229286445647,3650000,0,59,
,C03,SYBR,,Std-03,,,17.3719031634645,17.6212485822585,0.347841109850424,3650000,6.56229286445647,3650000,0,59,
,C04,SYBR,,Unkn-03,,,22.4647747662657,22.0793417944283,0.335317423708484,217743.428405215,5.33794505667433,282825.560107368,56730.0596589702,59,
,C05,SYBR,,Unkn-03,,,21.8547059913505,22.0793417944283,0.335317423708484,321811.528497504,5.50760159810101,282825.560107368,56730.0596589702,59,
,C06,SYBR,,Unkn-03,,,21.9185446256685,22.0793417944283,0.335317423708484,308921.723419386,5.48984844902481,282825.560107368,56730.0596589702,59,
,C07,SYBR,,Unkn-11,,,21.7623693062955,21.3034492256426,0.400841149082613,341412.869408402,5.53327988762732,467691.643239991,110785.990564656,59,
,C08,SYBR,,Unkn-11,,,21.126122634061,21.3034492256426,0.400841149082613,513116.935059368,5.71021634847231,467691.643239991,110785.990564656,59,
,C09,SYBR,,Unkn-11,,,21.0218557365713,21.3034492256426,0.400841149082613,548545.125252203,5.73921235997257,467691.643239991,110785.990564656,59,
,C10,SYBR,,Unkn-19,,,24.0027418936065,24.0857235822601,0.198321336636919,81329.0006701628,4.91024543594087,77526.3335498012,9498.66710352401,59,
,C11,SYBR,,Unkn-19,,,23.9423715687952,24.0857235822601,0.198321336636919,84534.5156230519,4.92703406852367,77526.3335498012,9498.66710352401,59,
,C12,SYBR,,Unkn-19,,,24.3120572843786,24.0857235822601,0.198321336636919,66715.4843561889,4.82422664336174,77526.3335498012,9498.66710352401,59,
,D01,SYBR,,Std-04,,,23.0775848699364,21.9872426982368,1.01439914492253,365000,5.56229286445647,365000,0,59,
,D02,SYBR,,Std-04,,,21.8127076692943,21.9872426982368,1.01439914492253,365000,5.56229286445647,365000,0,59,
,D03,SYBR,,Std-04,,,21.0714355554799,21.9872426982368,1.01439914492253,365000,5.56229286445647,365000,0,59,
,D04,SYBR,,Unkn-04,,,22.3915848579156,21.814862548159,0.503486439247032,228191.120083249,5.35829874010901,341000.27565838,99024.7092866449,59,
,D05,SYBR,,Unkn-04,,,21.4629236646538,21.814862548159,0.503486439247032,413574.697697637,5.61655396096976,341000.27565838,99024.7092866449,59,
,D06,SYBR,,Unkn-04,,,21.5900791219074,21.814862548159,0.503486439247032,381235.009194254,5.58119277549658,341000.27565838,99024.7092866449,59,
,D07,SYBR,,Unkn-12,,,21.5208805060089,21.6952314938046,0.164059071200465,398507.504244832,5.60043650395405,357732.336334098,37932.0056267198,59,
,D08,SYBR,,Unkn-12,,,21.8465683361465,21.6952314938046,0.164059071200465,323492.809834305,5.50986463219486,357732.336334098,37932.0056267198,59,
,D09,SYBR,,Unkn-12,,,21.7182456392583,21.6952314938046,0.164059071200465,351196.694923157,5.54555042015152,357732.336334098,37932.0056267198,59,
,D10,SYBR,,Unkn-20,,,24.2866913664016,24.3191388801132,0.171845930171208,67807.9720623192,4.83128075609631,66679.2823322281,7215.7490162201,59,
,D11,SYBR,,Unkn-20,,,24.1658297703712,24.3191388801132,0.171845930171208,73264.1736840781,4.86489165574722,66679.2823322281,7215.7490162201,59,
,D12,SYBR,,Unkn-20,,,24.5048955035667,24.3191388801132,0.171845930171208,58965.7012502869,4.77059946775865,66679.2823322281,7215.7490162201,59,
,E01,SYBR,,Std-05,,,26.3182475219582,25.554321880876,0.84849339393373,36500,4.56229286445647,36500,0,59,
,E02,SYBR,,Std-05,,,25.7036351191989,25.554321880876,0.84849339393373,36500,4.56229286445647,36500,0,59,
,E03,SYBR,,Std-05,,,24.641083001471,25.554321880876,0.84849339393373,36500,4.56229286445647,36500,0,59,
,E04,SYBR,,Unkn-05,,,24.7280256337931,24.4293633502425,0.279102557562973,51114.9911216915,4.70854828969672,62539.2252414225,10900.9116772887,59,
,E05,SYBR,,Unkn-05,,,24.3849076961965,24.4293633502425,0.279102557562973,63674.7680935175,4.80396737191772,62539.2252414225,10900.9116772887,59,
,E06,SYBR,,Unkn-05,,,24.1751567207379,24.4293633502425,0.279102557562973,72827.9165090584,4.86229788565711,62539.2252414225,10900.9116772887,59,
,E07,SYBR,,Unkn-13,,,23.6910971748899,23.8182991490053,0.131097296468448,99291.4838331741,4.9969120009338,91739.2122116721,7666.88332793509,59,
,E08,SYBR,,Unkn-13,,,23.8108280284735,23.8182991490053,0.131097296468448,91963.5132496241,4.9636155541129,91739.2122116721,7666.88332793509,59,
,E09,SYBR,,Unkn-13,,,23.9529722436524,23.8182991490053,0.131097296468448,83962.6395522181,4.92408608313742,91739.2122116721,7666.88332793509,59,
,E10,SYBR,,Unkn-21,,,22.01953071231,21.9419510475325,0.104386955471319,289577.49822001,5.4617648117428,304784.589627231,20697.556120173,59,
,E11,SYBR,,Unkn-21,,,21.8232695185644,21.9419510475325,0.104386955471319,328355.198540681,5.51634389645629,304784.589627231,20697.556120173,59,
,E12,SYBR,,Unkn-21,,,21.9830529117231,21.9419510475325,0.104386955471319,296421.072121001,5.4719090737357,304784.589627231,20697.556120173,59,
,F01,SYBR,,Std-06,,,28.4586444149545,29.1018043911793,0.556993057708991,3650,3.56229286445647,3650,0,59,
,F02,SYBR,,Std-06,,,29.4238316743866,29.1018043911793,0.556993057708991,3650,3.56229286445647,3650,0,59,
,F03,SYBR,,Std-06,,,29.4229370841967,29.1018043911793,0.556993057708991,3650,3.56229286445647,3650,0,59,
,F04,SYBR,,Unkn-06,,,23.2180678630013,23.0990553679378,0.103538159599295,134418.38493654,5.12845867296208,145272.58344779,9448.01752811222,59,
,F05,SYBR,,Unkn-06,,,23.049406605241,23.0990553679378,0.103538159599295,149748.464421259,5.1753623776604,145272.58344779,9448.01752811222,59,
,F06,SYBR,,Unkn-06,,,23.029691635571,23.0990553679378,0.103538159599295,151650.90098557,5.18084499487681,145272.58344779,9448.01752811222,59,
,F07,SYBR,,Unkn-14,,,21.7553402416492,22.006022722654,0.217102657701006,342953.018143404,5.53523462920138,294028.228021792,42370.9142724494,59,
,F08,SYBR,,Unkn-14,,,22.1298525833905,22.006022722654,0.217102657701006,269826.71598156,5.43108494766707,294028.228021792,42370.9142724494,59,
,F09,SYBR,,Unkn-14,,,22.1328753429222,22.006022722654,0.217102657701006,269304.949940413,5.4302443360036,294028.228021792,42370.9142724494,59,
,F10,SYBR,,Unkn-22,,,21.7100522664211,21.716979645054,0.211740428612152,353044.092634918,5.54782894899176,353633.826375746,47679.2937498327,59,
,F11,SYBR,,Unkn-22,,,21.508787912333,21.716979645054,0.211740428612152,401605.251564363,5.603799383197,353633.826375746,47679.2937498327,59,
,F12,SYBR,,Unkn-22,,,21.9320987564077,21.716979645054,0.211740428612152,306252.134927957,5.48607912491283,353633.826375746,47679.2937498327,59,
,G01,SYBR,,Std-07,,,31.4406890348608,32.062496283557,0.566205409099287,365,2.56229286445647,365,0,59,
