,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,,Std-01,,,9.24974840178001,9.28841294140515,0.0586921412899403,365000000,8.56229286445648,365000000,0,58,
,A02,SYBR,,Std-01,,,9.35594850447534,9.28841294140515,0.0586921412899403,365000000,8.56229286445648,365000000,0,58,
,A03,SYBR,,Std-01,,,9.2595419179601,9.28841294140515,0.0586921412899403,365000000,8.56229286445648,365000000,0,58,
,A04,SYBR,,Unkn-01,,,20.5386887323694,20.8142551809865,0.242078893785619,376607.479868917,5.57588894136715,319666.584502599,49859.4914336188,58,
,A05,SYBR,,Unkn-01,,,20.9926529361171,20.8142551809865,0.242078893785619,283829.33885963,5.45305728557627,319666.584502599,49859.4914336188,58,
,A06,SYBR,,Unkn-01,,,20.9114238744729,20.8142551809865,0.242078893785619,298562.934779252,5.47503589106483,319666.584502599,49859.4914336188,58,
,A07,SYBR,,Unkn-09,,,21.836213333716,22.5274349954848,0.602514918442564,167807.122214582,5.22481038958476,114626.796706924,46208.0470625882,58,
,A08,SYBR,,Unkn-09,,,22.9414832990872,22.5274349954848,0.602514918442564,84285.187896833,4.92575125932365,114626.796706924,46208.0470625882,58,
,A09,SYBR,,Unkn-09,,,22.8046083536512,22.5274349954848,0.602514918442564,91788.0800093572,4.96278628553364,114626.796706924,46208.0470625882,58,
,A10,SYBR,,Unkn-17,,,21.6769722057326,21.5063032752776,0.33206607303694,185309.276304024,5.26789715999248,209165.45488537,45463.2731784421,58,
,A11,SYBR,,Unkn-17,,,21.1236105009427,21.5063032752776,0.33206607303694,261591.337519864,5.41762335842283,209165.45488537,45463.2731784421,58,
,A12,SYBR,,Unkn-17,,,21.7183271191574,21.5063032752776,0.33206607303694,180595.750832221,5.25670752775031,209165.45488537,45463.2731784421,58,
,B01,SYBR,,Std-02,,,13.4030688235715,13.0825342494532,0.461997531751762,36500000,7.56229286445647,36500000,0,58,
,B02,SYBR,,Std-02,,,12.5529636866966,13.0825342494532,0.461997531751762,36500000,7.56229286445647,36500000,0,58,
,B03,SYBR,,Std-02,,,13.2915702380914,13.0825342494532,0.461997531751762,36500000,7.56229286445647,36500000,0,58,
