,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,A01,SYBR,,Std-01,,91,3060.70381994424,84.5,94,
,A02,SYBR,,Std-01,,90.5,2780.05872085891,84.5,94,
,A03,SYBR,,Std-01,,91,3084.29379358994,84,94,
,A04,SYBR,,Unkn-01,,91,2638.0522506676,82.5,95,
,A05,SYBR,,Unkn-01,,91,2429.1884378214,79,95,
,A06,SYBR,,Unkn-01,,91,2533.23619989415,80.5,95,
,A07,SYBR,,Unkn-09,,90.5,2162.19882605203,80,95,
,A08,SYBR,,Unkn-09,,90.5,2151.04747037251,79,95,
,A09,SYBR,,Unkn-09,,90,2195.3236788035,79,95,
,A10,SYBR,,Unkn-17,,91.5,2504.41976519704,81.5,95,
,A11,SYBR,,Unkn-17,,91,2630.68125362103,82.5,95,
,A12,SYBR,,Unkn-17,,91,2821.86873722269,87,95,
,B01,SYBR,,Std-02,,90.5,2947.46328907563,84,94,
,B02,SYBR,,Std-02,,90.5,2887.88914754102,84,94,
,B03,SYBR,,Std-02,,90.5,3023.27100793409,83.5,94,
,B04,SYBR,,Unkn-02,,91,2826.67484530793,80,95,
,B05,SYBR,,Unkn-02,,90.5,2269.53220501475,77.5,95,
,B06,SYBR,,Unkn-02,,91,2619.64427791486,80.5,95,
,B07,SYBR,,Unkn-10,,91,2913.89810240623,83.5,95,
,B08,SYBR,,Unkn-10,,91,2693.78872042854,81,95,
,B09,SYBR,,Unkn-10,,91,2819.97996993237,80.5,95,
,B10,SYBR,,Unkn-18,,90.5,2761.66568643147,82.5,95,
,B11,SYBR,,Unkn-18,,90.5,2852.3847709476,80,95,
,B12,SYBR,,Unkn-18,,90.5,2445.56079782866,86.5,95,
,C01,SYBR,,Std-03,,90.5,2945.01749867563,83.5,94,
,C02,SYBR,,Std-03,,90.5,3010.17972537072,83.5,94,
,C03,SYBR,,Std-03,,90.5,2953.60688161375,83.5,94,
,C04,SYBR,,Unkn-03,,91,2650.59592464142,81.5,95,
,C05,SYBR,,Unkn-03,,91,2377.47267513679,79.5,95,
,C06,SYBR,,Unkn-03,,91,2596.17331575192,80,95,
,C07,SYBR,,Unkn-11,,91,2832.79356908779,84,95,
,C08,SYBR,,Unkn-11,,91,2824.22251575373,83.5,95,
