,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Std-1,Std-1,Std-1,Unkn-1,Unkn-1,Unkn-1,Unkn-9,Unkn-9,Unkn-9,Unkn-17,Unkn-17,Unkn-17
A,Sample,,,,,,,,,,,,
A,Cq,22.3077734647295,16.8843647358751,18.0268562437369,27.8690147547198,25.0829811706807,25.0327952344381,25.9961784967034,25.840006348397,26.2230598701869,27.9472906525992,29.8416278073485,30.563252711245
A,copy number,365000000,365000000,365000000,56251.1044571494,495050.589769317,514829.675050318,242693.569683291,274159.694084829,203301.768360044,52916.8558014921,12060.8412680295,6866.46158093701
B,Content,Std-2,Std-2,Std-2,Unkn-2,Unkn-2,Unkn-2,Unkn-10,Unkn-10,Unkn-10,Unkn-18,Unkn-18,Unkn-18
B,Sample,,,,,,,,,,,,
B,Cq,19.5189013261625,18.3438871886062,18.846697779518,25.0143938235169,24.4569525025641,24.511783250783,25.765682372752,24.9263063936185,25.3118725562958,30.1310698723901,29.1875046830471,30.1760676433086
B,copy number,36500000,36500000,36500000,522278.323321873,807021.754877317,773208.416262953,290536.601598363,559455.206890564,414048.329155924,9621.68690589714,20097.3047571833,9289.58083096102
C,Content,Std-3,Std-3,Std-3,Unkn-3,Unkn-3,Unkn-3,Unkn-11,Unkn-11,Unkn-11,Unkn-19,Unkn-19,Unkn-19
C,Sample,,,,,,,,,,,,
C,Cq,21.270729115937,20.0288016720573,20.6124034232741,25.2653307708256,23.8389112575755,23.2624906863311,23.8671346473037,24.4158179439136,25.2423221552924,24.1371631384972,23.1487947975891,23.7238639705735
C,copy number,3650000,3650000,3650000,429367.916305721,1307413.64512234,2050362.17817115,1278924.02496035,833356.145008556,437149.46280951,1035857.31316209,2240658.43074676,1430264.10066632
D,Content,Std-4,Std-4,Std-4,Unkn-4,Unkn-4,Unkn-4,Unkn-12,Unkn-12,Unkn-12,Unkn-20,Unkn-20,Unkn-20
D,Sample,,,,,,,,,,,,
D,Cq,25.1709811072323,23.5445883478221,24.082909853343,25.532798814313,27.0142126017902,21.8781088010263,23.0956818919576,23.5498919593007,23.7304897654437,24.8949545309574,23.829962359973,24.8223138720993
D,copy number,365000,365000,365000,348459.910568639,109628.958713209,6041745.78984663,2335511.1512074,1638309.94816772,1422885.54435265,573316.181558256,1316578.80787944,606765.345380133
E,Content,Std-5,Std-5,Std-5,Unkn-5,Unkn-5,Unkn-5,Unkn-13,Unkn-13,Unkn-13,Unkn-21,Unkn-21,Unkn-21
E,Sample,,,,,,,,,,,,
E,Cq,NaN,27.6293084483088,28.9386173690744,29.5212404229744,28.8282471220773,28.0997136289772,26.6265068458916,27.2726293312407,28.1784002497512,26.4468995429758,24.2678190727596,25.6664773886704
E,copy number,36500,36500,36500,15487.9891753143,26603.1451611978,46980.7272273375,148376.436220566,89601.8730943035,44181.8065406202,170708.535844716,935416.621275667,313930.299388374
F,Content,Std-6,Std-6,Std-6,Unkn-6,Unkn-6,Unkn-6,Unkn-14,Unkn-14,Unkn-14,Unkn-22,Unkn-22,Unkn-22
F,Sample,,,,,,,,,,,,
F,Cq,NaN,32.2356515473619,30.5550288348626,29.1032229261117,25.289447747583,23.6150355627207,23.7642294699935,25.6387051013345,27.2997347208878,27.4584231428892,24.09482720764,24.7990849005784
F,copy number,3650,3650,3650,21464.0139292872,421360.163958482,1557080.7809052,1385898.94384707,320810.496487972,87725.9024169024,77504.9503480935,1070662.581034,617868.184718105
G,Content,Std-7,Std-7,Std-7,Unkn-7,Unkn-7,Unkn-7,Unkn-15,Unkn-15,Unkn-15,Unkn-23,Unkn-23,Unkn-23
G,Sample,,,,,,,,,,,,
G,Cq,NaN,35.3334687673731,37.4919675486344,28.782963649303,24.826912823082,23.6137938413813,24.0859612294187,25.7196712719349,28.2092178556448,28.0566883389334,25.4721875396165,25.9658010002013
G,copy number,365,365,365,27560.3637517185,604590.942374571,1558590.81103415,1078098.29786608,301161.528813217,43131.6143509416,48585.4387622444,365343.343607068,248517.410865101
H,Content,NTC,NTC,NTC,Unkn-8,Unkn-8,Unkn-8,Unkn-16,Unkn-16,Unkn-16,Unkn-24,Unkn-24,Unkn-24
H,Sample,,,,,,,,,,,,
H,Cq,NaN,NaN,NaN,26.1947338820588,23.8313294067567,24.4388075174533,25.3998395068757,27.8489156122218,27.5499066816389,30.5692744302806,29.9190275873615,29.0764730821821
H,copy number,NaN,NaN,NaN,207847.213503065,1315174.57753376,818534.027351068,386570.36932292,57140.632936859,72163.0329111415,6834.26031343018,11353.7048450279,21916.9263814258
