,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,,Std-01,,18731.234900577,,Standard,Unassigned,False
,A02,SYBR,,Std-01,,18448.5068472443,,Standard,Unassigned,False
,A03,SYBR,,Std-01,,17173.3631856389,,Standard,Unassigned,False
,A04,SYBR,,Unkn-01,,6528.38244756185,,Unknown,Unassigned,False
,A05,SYBR,,Unkn-01,,8562.0750415843,,Unknown,Unassigned,False
,A06,SYBR,,Unkn-01,,8558.09825073368,,Unknown,Unassigned,False
,A07,SYBR,,Unkn-09,,5748.43134464303,,Unknown,Unassigned,False
,A08,SYBR,,Unkn-09,,6310.01536978601,,Unknown,Unassigned,False
,A09,SYBR,,Unkn-09,,7792.83665392103,,Unknown,Unassigned,False
,A10,SYBR,,Unkn-17,,15209.6508112591,,Unknown,Unassigned,False
,A11,SYBR,,Unkn-17,,15801.1370835231,,Unknown,Unassigned,False
,A12,SYBR,,Unkn-17,,15954.8358999708,,Unknown,Unassigned,False
,B01,SYBR,,Std-02,,17879.0405962094,,Standard,Unassigned,False
,B02,SYBR,,Std-02,,18068.3998462193,,Standard,Unassigned,False
,B03,SYBR,,Std-02,,18220.4044371388,,Standard,Unassigned,False
,B04,SYBR,,Unkn-02,,4345.7701751503,,Unknown,Unassigned,False
,B05,SYBR,,Unkn-02,,6707.15989976353,,Unknown,Unassigned,False
,B06,SYBR,,Unkn-02,,7173.63749707875,,Unknown,Unassigned,False
,B07,SYBR,,Unkn-10,,13646.9766526068,,Unknown,Unassigned,False
,B08,SYBR,,Unkn-10,,12766.2001460254,,Unknown,Unassigned,False
,B09,SYBR,,Unkn-10,,14078.8427802877,,Unknown,Unassigned,False
,B10,SYBR,,Unkn-18,,14046.5656295829,,Unknown,Unassigned,False
,B11,SYBR,,Unkn-18,,15080.9696797364,,Unknown,Unassigned,False
,B12,SYBR,,Unkn-18,,14825.4906664897,,Unknown,Unassigned,False
,C01,SYBR,,Std-03,,18088.2135972911,,Standard,Unassigned,False
,C02,SYBR,,Std-03,,19897.5085862078,,Standard,Unassigned,False
,C03,SYBR,,Std-03,,19673.3913894649,,Standard,Unassigned,False
,C04,SYBR,,Unkn-03,,5037.46210657787,,Unknown,Unassigned,False
,C05,SYBR,,Unkn-03,,6878.38594648186,,Unknown,Unassigned,False
,C06,SYBR,,Unkn-03,,6712.32488975403,,Unknown,Unassigned,False
,C07,SYBR,,Unkn-11,,13381.0428225486,,Unknown,Unassigned,False
,C08,SYBR,,Unkn-11,,11309.9234414936,,Unknown,Unassigned,False
,C09,SYBR,,Unkn-11,,13775.6975172659,,Unknown,Unassigned,False
,C10,SYBR,,Unkn-19,,13647.493623933,,Unknown,Unassigned,False
,C11,SYBR,,Unkn-19,,14582.0676566267,,Unknown,Unassigned,False
,C12,SYBR,,Unkn-19,,13534.1777772255,,Unknown,Unassigned,False
,D01,SYBR,,Std-04,,19698.0469299599,,Standard,Unassigned,False
,D02,SYBR,,Std-04,,18858.1217929903,,Standard,Unassigned,False
,D03,SYBR,,Std-04,,18337.6550333406,,Standard,Unassigned,False
,D04,SYBR,,Unkn-04,,14917.6532849055,,Unknown,Unassigned,False
,D05,SYBR,,Unkn-04,,15638.8207316425,,Unknown,Unassigned,False
,D06,SYBR,,Unkn-04,,14672.2692743771,,Unknown,Unassigned,False
,D07,SYBR,,Unkn-12,,14589.6810634878,,Unknown,Unassigned,False
,D08,SYBR,,Unkn-12,,14752.1902947331,,Unknown,Unassigned,False
,D09,SYBR,,Unkn-12,,14530.8237419477,,Unknown,Unassigned,False
,D10,SYBR,,Unkn-20,,13902.8849549057,,Unknown,Unassigned,False
,D11,SYBR,,Unkn-20,,14010.1345850391,,Unknown,Unassigned,False
,D12,SYBR,,Unkn-20,,13263.8045226014,,Unknown,Unassigned,False
,E01,SYBR,,Std-05,,17564.9897382976,,Standard,Unassigned,False
,E02,SYBR,,Std-05,,19333.0103437068,,Standard,Unassigned,False
,E03,SYBR,,Std-05,,18553.5607789588,,Standard,Unassigned,False
,E04,SYBR,,Unkn-05,,15121.4202145887,,Unknown,Unassigned,False
,E05,SYBR,,Unkn-05,,14284.0803395124,,Unknown,Unassigned,False
,E06,SYBR,,Unkn-05,,15152.3718463777,,Unknown,Unassigned,False
,E07,SYBR,,Unkn-13,,6542.63744407259,,Unknown,Unassigned,False
,E08,SYBR,,Unkn-13,,6663.09822421262,,Unknown,Unassigned,False
,E09,SYBR,,Unkn-13,,8819.11125216776,,Unknown,Unassigned,False
,E10,SYBR,,Unkn-21,,13283.3321547782,,Unknown,Unassigned,False
,E11,SYBR,,Unkn-21,,12888.8564679371,,Unknown,Unassigned,False
,E12,SYBR,,Unkn-21,,12852.2127616984,,Unknown,Unassigned,False
,F01,SYBR,,Std-06,,17604.4112593765,,Standard,Unassigned,False
,F02,SYBR,,Std-06,,16928.8926596157,,Standard,Unassigned,False
,F03,SYBR,,Std-06,,17810.9521555134,,Standard,Unassigned,False
,F04,SYBR,,Unkn-06,,15074.8857168561,,Unknown,Unassigned,False
,F05,SYBR,,Unkn-06,,15239.9544552124,,Unknown,Unassigned,False
,F06,SYBR,,Unkn-06,,16285.44221184,,Unknown,Unassigned,False
,F07,SYBR,,Unkn-14,,9074.89353950601,,Unknown,Unassigned,False
,F08,SYBR,,Unkn-14,,9568.69200824543,,Unknown,Unassigned,False
,F09,SYBR,,Unkn-14,,10480.7565772102,,Unknown,Unassigned,False
,F10,SYBR,,Unkn-22,,14100.1885393152,,Unknown,Unassigned,False
,F11,SYBR,,Unkn-22,,14562.5930862682,,Unknown,Unassigned,False
,F12,SYBR,,Unkn-22,,13285.2446862052,,Unknown,Unassigned,False
,G01,SYBR,,Std-07,,14586.0831536666,,Standard,Unassigned,False
,G02,SYBR,,Std-07,,15379.0419207128,,Standard,Unassigned,False
,G03,SYBR,,Std-07,,16170.539935222,,Standard,Unassigned,False
,G04,SYBR,,Unkn-07,,10798.2564144078,,Unknown,Unassigned,False
,G05,SYBR,,Unkn-07,,10496.4551386235,,Unknown,Unassigned,False
,G06,SYBR,,Unkn-07,,11413.2390912346,,Unknown,Unassigned,False
,G07,SYBR,,Unkn-15,,6683.17214223628,,Unknown,Unassigned,False
,G08,SYBR,,Unkn-15,,6568.21382496986,,Unknown,Unassigned,False
,G09,SYBR,,Unkn-15,,7628.62213653486,,Unknown,Unassigned,False
,G10,SYBR,,Unkn-23,,13141.9818440724,,Unknown,Unassigned,False
,G11,SYBR,,Unkn-23,,17090.6667906695,,Unknown,Unassigned,False
,G12,SYBR,,Unkn-23,,16040.7962679167,,Unknown,Unassigned,False
,H01,SYBR,,NTC,,13700.9917320943,,NTC,Unassigned,False
,H02,SYBR,,NTC,,14432.6563674971,,NTC,Unassigned,False
,H03,SYBR,,NTC,,13627.8624307854,,NTC,Unassigned,False
,H04,SYBR,,Unkn-08,,6288.6555200468,,Unknown,Unassigned,False
,H05,SYBR,,Unkn-08,,5641.63949293455,,Unknown,Unassigned,False
,H06,SYBR,,Unkn-08,,8604.61562982203,,Unknown,Unassigned,False
,H07,SYBR,,Unkn-16,,14901.981282166,,Unknown,Unassigned,False
,H08,SYBR,,Unkn-16,,13540.3908772667,,Unknown,Unassigned,False
,H09,SYBR,,Unkn-16,,14037.7024642337,,Unknown,Unassigned,False
,H10,SYBR,,Unkn-24,,13736.4346272678,,Unknown,Unassigned,False
,H11,SYBR,,Unkn-24,,14104.9351543119,,Unknown,Unassigned,False
,H12,SYBR,,Unkn-24,,13628.0660989846,,Unknown,Unassigned,False
