,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Std-01,,10.4099225110333,365000000
,A02,SYBR,,Std-01,,10.5696473276685,365000000
,A03,SYBR,,Std-01,,10.0534798951261,365000000
,A04,SYBR,,Unkn-01,,20.0733953761743,1070634.63198614
,A05,SYBR,,Unkn-01,,19.9037545708111,1188685.90827659
,A06,SYBR,,Unkn-01,,20.0806239567328,1065873.44701994
,A07,SYBR,,Unkn-09,,19.7923027806703,1273242.97366999
,A08,SYBR,,Unkn-09,,19.698508673368,1349047.21315055
,A09,SYBR,,Unkn-09,,19.0048176118843,2069099.31404783
,A10,SYBR,,Unkn-17,,18.2607735097782,3273549.30884333
,A11,SYBR,,Unkn-17,,18.4822982200299,2855615.74626632
,A12,SYBR,,Unkn-17,,18.7741976972265,2385261.16829162
,B01,SYBR,,Std-02,,14.1979071395408,36500000
,B02,SYBR,,Std-02,,14.0774648326306,36500000
,B03,SYBR,,Std-02,,14.8555996997252,36500000
,B04,SYBR,,Unkn-02,,21.7634299320801,377650.177327661
,B05,SYBR,,Unkn-02,,19.3990352270634,1622628.5399063
,B06,SYBR,,Unkn-02,,19.3005750585017,1724187.26480737
,B07,SYBR,,Unkn-10,,26.2662769162961,23514.3478042692
,B08,SYBR,,Unkn-10,,23.8559306195573,103936.266625058
,B09,SYBR,,Unkn-10,,26.0068761188612,27592.7117388987
,B10,SYBR,,Unkn-18,,22.1230766296902,302541.354591781
,B11,SYBR,,Unkn-18,,21.8896632628806,349371.415336749
,B12,SYBR,,Unkn-18,,22.404432193352,254357.372216744
,C01,SYBR,,Std-03,,18.2071066073921,3650000
,C02,SYBR,,Std-03,,17.6481927581731,3650000
,C03,SYBR,,Std-03,,17.9425464404896,3650000
,C04,SYBR,,Unkn-03,,19.9464968143056,1157768.54031489
,C05,SYBR,,Unkn-03,,19.1999395593116,1834561.42773321
,C06,SYBR,,Unkn-03,,19.1182197710177,1929367.23827969
,C07,SYBR,,Unkn-11,,23.3476377429801,142192.279782158
,C08,SYBR,,Unkn-11,,21.721238466215,387603.399517382
,C09,SYBR,,Unkn-11,,23.4645159823749,132305.764801429
,C10,SYBR,,Unkn-19,,22.1283377469158,301561.533649374
,C11,SYBR,,Unkn-19,,22.4925283800597,240909.673003292
,C12,SYBR,,Unkn-19,,22.4526302361461,246909.627799295
,D01,SYBR,,Std-04,,21.7198429888714,365000
,D02,SYBR,,Std-04,,21.732105763856,365000
,D03,SYBR,,Std-04,,21.8220681123717,365000
,D04,SYBR,,Unkn-04,,25.4957476519103,37814.8683558751
,D05,SYBR,,Unkn-04,,25.4243582465337,39516.5480811801
,D06,SYBR,,Unkn-04,,26.2547945183704,23681.4153142562
,D07,SYBR,,Unkn-12,,23.9126782994853,100362.48730109
,D08,SYBR,,Unkn-12,,24.0898803001597,89974.7976348867
,D09,SYBR,,Unkn-12,,24.2962087964477,79226.5873134394
,D10,SYBR,,Unkn-20,,19.5982341946737,1435087.23487157
,D11,SYBR,,Unkn-20,,19.7192882515693,1331873.15579337
,D12,SYBR,,Unkn-20,,19.9668528357621,1143328.10564673
,E01,SYBR,,Std-05,,26.9215569724072,36500
,E02,SYBR,,Std-05,,25.9878870913515,36500
,E03,SYBR,,Std-05,,26.3688560547868,36500
,E04,SYBR,,Unkn-05,,23.4752454703583,131433.375746642
,E05,SYBR,,Unkn-05,,23.9253348218881,99582.3329162883
,E06,SYBR,,Unkn-05,,24.119043591581,88371.3792903748
,E07,SYBR,,Unkn-13,,18.7392374395487,2437235.38379138
,E08,SYBR,,Unkn-13,,18.5914552514796,2669746.81203264
,E09,SYBR,,Unkn-13,,18.619864141955,2623389.90119242
,E10,SYBR,,Unkn-21,,21.4479119178226,458752.044752452
,E11,SYBR,,Unkn-21,,21.4974753513009,444944.751852886
,E12,SYBR,,Unkn-21,,21.7373508656324,383771.796338888
,F01,SYBR,,Std-06,,29.7369165182637,3650
,F02,SYBR,,Std-06,,30.3491106496203,3650
,F03,SYBR,,Std-06,,29.3737255063012,3650
,F04,SYBR,,Unkn-06,,25.7912487485581,31516.2352516559
,F05,SYBR,,Unkn-06,,25.8485823652362,30421.5779197729
,F06,SYBR,,Unkn-06,,26.2241687585374,24132.844478125
,F07,SYBR,,Unkn-14,,18.7398080627012,2436378.03277056
,F08,SYBR,,Unkn-14,,18.8672074408443,2252320.09339731
,F09,SYBR,,Unkn-14,,19.0605770585023,1999172.48286977
,F10,SYBR,,Unkn-22,,23.0812676281419,167572.860525848
,F11,SYBR,,Unkn-22,,23.4855063314809,130604.471068016
,F12,SYBR,,Unkn-22,,23.5865100094668,122718.949774409
,G01,SYBR,,Std-07,,32.4661571216652,365
,G02,SYBR,,Std-07,,32.0689473254633,365
