,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,,Std-01,,18520.4955480169,,Standard,Unassigned,False
,A02,SYBR,,Std-01,,18937.766572953,,Standard,Unassigned,False
,A03,SYBR,,Std-01,,19500.1120507804,,Standard,Unassigned,False
,A04,SYBR,,Unkn-01,,12787.1593572174,,Unknown,Unassigned,False
,A05,SYBR,,Unkn-01,,14456.6629964349,,Unknown,Unassigned,False
,A06,SYBR,,Unkn-01,,14019.8706927816,,Unknown,Unassigned,False
,A07,SYBR,,Unkn-09,,12468.4189872981,,Unknown,Unassigned,False
,A08,SYBR,,Unkn-09,,13449.9202948121,,Unknown,Unassigned,False
,A09,SYBR,,Unkn-09,,13182.2874629997,,Unknown,Unassigned,False
,A10,SYBR,,Unkn-17,,317.71416788609,,Unknown,Unassigned,False
,A11,SYBR,,Unkn-17,,370.305666652777,,Unknown,Unassigned,False
,A12,SYBR,,Unkn-17,,508.419591232122,,Unknown,Unassigned,False
,B01,SYBR,,Std-02,,18047.2321524277,,Standard,Unassigned,False
,B02,SYBR,,Std-02,,18756.005222211,,Standard,Unassigned,False
,B03,SYBR,,Std-02,,18777.0938781606,,Standard,Unassigned,False
,B04,SYBR,,Unkn-02,,13440.2688616847,,Unknown,Unassigned,False
,B05,SYBR,,Unkn-02,,13365.5004493796,,Unknown,Unassigned,False
,B06,SYBR,,Unkn-02,,13487.4566908129,,Unknown,Unassigned,False
,B07,SYBR,,Unkn-10,,13424.8508218706,,Unknown,Unassigned,False
,B08,SYBR,,Unkn-10,,14774.2163535306,,Unknown,Unassigned,False
,B09,SYBR,,Unkn-10,,15064.7764853686,,Unknown,Unassigned,False
,B10,SYBR,,Unkn-18,,809.268012653509,,Unknown,Unassigned,False
,B11,SYBR,,Unkn-18,,524.937334289928,,Unknown,Unassigned,False
,B12,SYBR,,Unkn-18,,499.230915024094,,Unknown,Unassigned,False
,C01,SYBR,,Std-03,,18560.9982312646,,Standard,Unassigned,False
,C02,SYBR,,Std-03,,19800.513209116,,Standard,Unassigned,False
,C03,SYBR,,Std-03,,18566.0018009271,,Standard,Unassigned,False
,C04,SYBR,,Unkn-03,,12492.6838326353,,Unknown,Unassigned,False
,C05,SYBR,,Unkn-03,,13323.659587261,,Unknown,Unassigned,False
,C06,SYBR,,Unkn-03,,12379.3699590148,,Unknown,Unassigned,False
,C07,SYBR,,Unkn-11,,12618.2626887902,,Unknown,Unassigned,False
,C08,SYBR,,Unkn-11,,13681.1657833243,,Unknown,Unassigned,False
,C09,SYBR,,Unkn-11,,14605.4490616565,,Unknown,Unassigned,False
,C10,SYBR,,Unkn-19,,813.589847679335,,Unknown,Unassigned,False
,C11,SYBR,,Unkn-19,,997.203500876177,,Unknown,Unassigned,False
,C12,SYBR,,Unkn-19,,413.894361051789,,Unknown,Unassigned,False
,D01,SYBR,,Std-04,,18291.0708027089,,Standard,Unassigned,False
,D02,SYBR,,Std-04,,18230.790508119,,Standard,Unassigned,False
,D03,SYBR,,Std-04,,16559.7046396591,,Standard,Unassigned,False
,D04,SYBR,,Unkn-04,,13305.1830703122,,Unknown,Unassigned,False
,D05,SYBR,,Unkn-04,,13721.7918123753,,Unknown,Unassigned,False
,D06,SYBR,,Unkn-04,,14618.2228273936,,Unknown,Unassigned,False
,D07,SYBR,,Unkn-12,,13521.7055779207,,Unknown,Unassigned,False
,D08,SYBR,,Unkn-12,,15057.5385957605,,Unknown,Unassigned,False
,D09,SYBR,,Unkn-12,,14945.7735522371,,Unknown,Unassigned,False
,D10,SYBR,,Unkn-20,,424.135721112819,,Unknown,Unassigned,False
,D11,SYBR,,Unkn-20,,301.899201328313,,Unknown,Unassigned,False
,D12,SYBR,,Unkn-20,,618.650561807906,,Unknown,Unassigned,False
,E01,SYBR,,Std-05,,16771.6126660882,,Standard,Unassigned,False
,E02,SYBR,,Std-05,,14625.7044659996,,Standard,Unassigned,False
,E03,SYBR,,Std-05,,9805.61038354931,,Standard,Unassigned,False
,E04,SYBR,,Unkn-05,,14019.277480475,,Unknown,Unassigned,False
,E05,SYBR,,Unkn-05,,14001.7788313385,,Unknown,Unassigned,False
,E06,SYBR,,Unkn-05,,14110.6727404388,,Unknown,Unassigned,False
,E07,SYBR,,Unkn-13,,14060.7008675254,,Unknown,Unassigned,False
,E08,SYBR,,Unkn-13,,14006.3602317449,,Unknown,Unassigned,False
,E09,SYBR,,Unkn-13,,14882.981718556,,Unknown,Unassigned,False
,E10,SYBR,,Unkn-21,,766.377780433035,,Unknown,Unassigned,False
,E11,SYBR,,Unkn-21,,401.724841314175,,Unknown,Unassigned,False
,E12,SYBR,,Unkn-21,,1039.68418654372,,Unknown,Unassigned,False
,F01,SYBR,,Std-06,,12109.2688219611,,Standard,Unassigned,False
,F02,SYBR,,Std-06,,7302.50590220993,,Standard,Unassigned,False
,F03,SYBR,,Std-06,,10879.3019663451,,Standard,Unassigned,False
,F04,SYBR,,Unkn-06,,13511.5410648654,,Unknown,Unassigned,False
,F05,SYBR,,Unkn-06,,11885.6560288004,,Unknown,Unassigned,False
,F06,SYBR,,Unkn-06,,13285.9234268912,,Unknown,Unassigned,False
,F07,SYBR,,Unkn-14,,10343.0803642318,,Unknown,Unassigned,False
,F08,SYBR,,Unkn-14,,11018.7870053621,,Unknown,Unassigned,False
,F09,SYBR,,Unkn-14,,9680.41002773433,,Unknown,Unassigned,False
,F10,SYBR,,Unkn-22,,267.439008633546,,Unknown,Unassigned,False
,F11,SYBR,,Unkn-22,,518.348944926014,,Unknown,Unassigned,False
,F12,SYBR,,Unkn-22,,591.090242855533,,Unknown,Unassigned,False
,G01,SYBR,,Std-07,,4666.76411583695,,Standard,Unassigned,False
,G02,SYBR,,Std-07,,4400.06757693473,,Standard,Unassigned,False
,G03,SYBR,,Std-07,,3226.26291590049,,Standard,Unassigned,False
,G04,SYBR,,Unkn-07,,15072.8799053611,,Unknown,Unassigned,False
,G05,SYBR,,Unkn-07,,13784.0926706344,,Unknown,Unassigned,False
,G06,SYBR,,Unkn-07,,15402.0834371288,,Unknown,Unassigned,False
,G07,SYBR,,Unkn-15,,16471.6155956543,,Unknown,Unassigned,False
,G08,SYBR,,Unkn-15,,16211.7982681801,,Unknown,Unassigned,False
,G09,SYBR,,Unkn-15,,16393.8807106106,,Unknown,Unassigned,False
,G10,SYBR,,Unkn-23,,523.877146176314,,Unknown,Unassigned,False
,G11,SYBR,,Unkn-23,,766.244600065854,,Unknown,Unassigned,False
,G12,SYBR,,Unkn-23,,194.563295826037,,Unknown,Unassigned,False
,H01,SYBR,,NTC,,2410.54512071632,,NTC,Unassigned,False
,H02,SYBR,,NTC,,2576.88365770857,,NTC,Unassigned,False
,H03,SYBR,,NTC,,1959.53776502884,,NTC,Unassigned,False
,H04,SYBR,,Unkn-08,,15297.7263537385,,Unknown,Unassigned,False
,H05,SYBR,,Unkn-08,,15762.0507571639,,Unknown,Unassigned,False
,H06,SYBR,,Unkn-08,,16128.017397421,,Unknown,Unassigned,False
,H07,SYBR,,Unkn-16,,15251.8983823706,,Unknown,Unassigned,False
,H08,SYBR,,Unkn-16,,15279.3525771241,,Unknown,Unassigned,False
,H09,SYBR,,Unkn-16,,15250.859153072,,Unknown,Unassigned,False
,H10,SYBR,,Unkn-24,,682.324748350005,,Unknown,Unassigned,False
,H11,SYBR,,Unkn-24,,509.42173960592,,Unknown,Unassigned,False
,H12,SYBR,,Unkn-24,,511.047759489553,,Unknown,Unassigned,False
