,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,A01,SYBR,,Std-01,,91,2616.08264770037,85,95,
,A02,SYBR,,Std-01,,91,2644.71623223421,84,95,
,A03,SYBR,,Std-01,,91,2741.25999291864,84,95,
,A04,SYBR,,Unkn-01,,88,1454.44228097258,67.5,95,
,A05,SYBR,,Unkn-01,,91,1570.07132187629,76.5,95,
,A06,SYBR,,Unkn-01,,91,1588.72196026043,67.5,95,
,A07,SYBR,,Unkn-09,,90,1422.17090355339,78.5,95,
,A08,SYBR,,Unkn-09,,90.5,1801.34148577685,80,95,
,A09,SYBR,,Unkn-09,,90,1367.85233147155,67.5,95,
,A10,SYBR,,Unkn-17,,None,None,None,None,
,A11,SYBR,,Unkn-17,,None,None,None,None,
,A12,SYBR,,Unkn-17,,None,None,None,None,
,B01,SYBR,,Std-02,,91,2571.53002410638,85,95,
,B02,SYBR,,Std-02,,91,2534.34544517301,84,95,
,B03,SYBR,,Std-02,,91,2679.60503266876,83.5,95,
,B04,SYBR,,Unkn-02,,88,1490.41924480951,67.5,95,
,B05,SYBR,,Unkn-02,,88,1505.45850407745,75,95,
,B06,SYBR,,Unkn-02,,88,1379.04697093748,67.5,95,
,B07,SYBR,,Unkn-10,,87.5,1241.50909981669,68,95,
,B08,SYBR,,Unkn-10,,90,1944.70821752869,75.5,95,
,B09,SYBR,,Unkn-10,,90,2029.86085620035,67.5,95,
,B10,SYBR,,Unkn-18,,None,None,None,None,
,B11,SYBR,,Unkn-18,,None,None,None,None,
,B12,SYBR,,Unkn-18,,None,None,None,None,
,C01,SYBR,,Std-03,,91,2547.13058329089,83.5,95,
,C02,SYBR,,Std-03,,91,2642.72411183247,84,95,
,C03,SYBR,,Std-03,,91,2448.49661610501,84,95,
,C04,SYBR,,Unkn-03,,87.5,1412.73969326489,68.5,95,
,C05,SYBR,,Unkn-03,,87.5,1454.86416993703,68,95,
,C06,SYBR,,Unkn-03,,None,None,None,None,
,C07,SYBR,,Unkn-11,,90,1841.3515778497,77,95,
,C08,SYBR,,Unkn-11,,90,1863.96698270821,69,95,
,C09,SYBR,,Unkn-11,,90,2005.84269297153,75.5,95,
,C10,SYBR,,Unkn-19,,None,None,None,None,
,C11,SYBR,,Unkn-19,,None,None,None,None,
,C12,SYBR,,Unkn-19,,None,None,None,None,
,D01,SYBR,,Std-04,,91,2209.10245410564,84.5,95,
,D02,SYBR,,Std-04,,91,2338.87485433115,84,95,
,D03,SYBR,,Std-04,,91,2087.94435213631,84,95,
,D04,SYBR,,Unkn-04,,88,1375.61418675431,69.5,95,
,D05,SYBR,,Unkn-04,,87.5,1556.63108962096,67.5,95,
,D06,SYBR,,Unkn-04,,90,1587.61853514046,67.5,95,
,D07,SYBR,,Unkn-12,,90,1293.52403248404,67.5,95,
,D08,SYBR,,Unkn-12,,90,1838.96231661503,67.5,95,
