,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,,Std-01,,,15.1117503154029,14.6433494262233,0.788748254590819,365000000,8.56229286445648,365000000,0,58,
,A02,SYBR,,Std-01,,,15.0855913401399,14.6433494262233,0.788748254590819,365000000,8.56229286445648,365000000,0,58,
,A03,SYBR,,Std-01,,,13.7327066231269,14.6433494262233,0.788748254590819,365000000,8.56229286445648,365000000,0,58,
,A04,SYBR,,Unkn-01,,,31.286484594106,30.1610344431298,0.9746919125661,21283.3210706749,4.32803939665551,45611.298280896,21069.9156020088,58,
,A05,SYBR,,Unkn-01,,,29.605076395971,30.1610344431298,0.9746919125661,57544.0140601094,4.76000015340678,45611.298280896,21069.9156020088,58,
,A06,SYBR,,Unkn-01,,,29.5915423393123,30.1610344431298,0.9746919125661,58006.5597119037,4.76347710883181,45611.298280896,21069.9156020088,58,
,A07,SYBR,,Unkn-09,,,30.0381967498862,29.7984496721352,0.745359354529456,44537.8997859115,4.64872973373765,54919.1820972735,25660.9064486409,58,
,A08,SYBR,,Unkn-09,,,28.9627189048845,29.7984496721352,0.745359354529456,84144.2538254635,4.92502446354297,54919.1820972735,25660.9064486409,58,
,A09,SYBR,,Unkn-09,,,30.3944333616348,29.7984496721352,0.745359354529456,36075.3926804456,4.55721106708424,54919.1820972735,25660.9064486409,58,
,A10,SYBR,,Unkn-17,,,NaN,0,0,NaN,NaN,0,0,58,
,A11,SYBR,,Unkn-17,,,NaN,0,0,NaN,NaN,0,0,58,
,A12,SYBR,,Unkn-17,,,NaN,0,0,NaN,NaN,0,0,58,
,B01,SYBR,,Std-02,,,19.2574049302923,18.8050369064742,0.448600832805994,36500000,7.56229286445647,36500000,0,58,
,B02,SYBR,,Std-02,,,18.7974051433854,18.8050369064742,0.448600832805994,36500000,7.56229286445647,36500000,0,58,
,B03,SYBR,,Std-02,,,18.3603006457448,18.8050369064742,0.448600832805994,36500000,7.56229286445647,36500000,0,58,
,B04,SYBR,,Unkn-02,,,31.2300310734886,31.2635503859414,0.202371101850897,22006.0725702168,4.3425425408142,21676.2165957259,2552.69211671116,58,
,B05,SYBR,,Unkn-02,,,31.4805883601003,31.2635503859414,0.202371101850897,18974.6307049017,4.27817333216256,21676.2165957259,2552.69211671116,58,
,B06,SYBR,,Unkn-02,,,31.0800317242354,31.2635503859414,0.202371101850897,24047.9465120593,4.38107799727713,21676.2165957259,2552.69211671116,58,
,B07,SYBR,,Unkn-10,,,31.7404488693543,30.1793287005295,1.35754715965943,16270.9940751131,4.21141408693489,48880.4410886672,28634.2934739565,58,
,B08,SYBR,,Unkn-10,,,29.5217001196698,30.1793287005295,1.35754715965943,60453.2794684238,4.78141986543513,48880.4410886672,28634.2934739565,58,
,B09,SYBR,,Unkn-10,,,29.2758371125644,30.1793287005295,1.35754715965943,69917.0497224648,4.84458309416458,48880.4410886672,28634.2934739565,58,
,B10,SYBR,,Unkn-18,,,NaN,0,0,NaN,NaN,0,0,58,
,B11,SYBR,,Unkn-18,,,NaN,0,0,NaN,NaN,0,0,58,
,B12,SYBR,,Unkn-18,,,NaN,0,0,NaN,NaN,0,0,58,
,C01,SYBR,,Std-03,,,22.3463904246203,22.2958567537434,1.30362849853122,3650000,6.56229286445647,3650000,0,58,
,C02,SYBR,,Std-03,,,20.9676962068828,22.2958567537434,1.30362849853122,3650000,6.56229286445647,3650000,0,58,
,C03,SYBR,,Std-03,,,23.5734836297272,22.2958567537434,1.30362849853122,3650000,6.56229286445647,3650000,0,58,
,C04,SYBR,,Unkn-03,,,31.3834899009999,31.2561807994347,0.134851180764493,20096.4029446713,4.3031183300036,21714.4597425051,1741.36832320322,58,
,C05,SYBR,,Unkn-03,,,31.2701737563234,31.2561807994347,0.134851180764493,21489.6686280187,4.33222971869607,21714.4597425051,1741.36832320322,58,
,C06,SYBR,,Unkn-03,,,31.1148787409808,31.2561807994347,0.134851180764493,23557.3076548253,4.3721256537947,21714.4597425051,1741.36832320322,58,
,C07,SYBR,,Unkn-11,,,28.1052299861018,28.0951582879808,0.226440657540977,139738.775043043,5.14531693188828,141418.311311128,18984.1610277332,58,
,C08,SYBR,,Unkn-11,,,28.3163950445541,28.0951582879808,0.226440657540977,123329.721397784,5.09106775042857,141418.311311128,18984.1610277332,58,
,C09,SYBR,,Unkn-11,,,27.8638498332865,28.0951582879808,0.226440657540977,161186.437492557,5.20732849671263,141418.311311128,18984.1610277332,58,
,C10,SYBR,,Unkn-19,,,NaN,0,0,NaN,NaN,0,0,58,
,C11,SYBR,,Unkn-19,,,NaN,0,0,NaN,NaN,0,0,58,
,C12,SYBR,,Unkn-19,,,NaN,0,0,NaN,NaN,0,0,58,
,D01,SYBR,,Std-04,,,25.2965527530373,26.0779229166384,0.996268017386478,365000,5.56229286445647,365000,0,58,
,D02,SYBR,,Std-04,,,25.7374134531619,26.0779229166384,0.996268017386478,365000,5.56229286445647,365000,0,58,
,D03,SYBR,,Std-04,,,27.1998025437158,26.0779229166384,0.996268017386478,365000,5.56229286445647,365000,0,58,
,D04,SYBR,,Unkn-04,,,31.4376072840496,31.1894482819359,0.72316634356568,19463.2494723802,4.28921534929883,24027.2542107168,10925.9408733418,58,
,D05,SYBR,,Unkn-04,,,31.7558630912964,31.1894482819359,0.72316634356568,16123.3064754967,4.20745410923154,24027.2542107168,10925.9408733418,58,
