,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Std-1,Std-1,Std-1,Unkn-1,Unkn-1,Unkn-1,Unkn-9,Unkn-9,Unkn-9,Unkn-17,Unkn-17,Unkn-17
A,Sample,,,,,,,,,,,,
A,Cq,15.1117503154029,15.0855913401399,13.7327066231269,31.286484594106,29.605076395971,29.5915423393123,30.0381967498862,28.9627189048845,30.3944333616348,NaN,NaN,NaN
A,copy number,365000000,365000000,365000000,21283.3210706749,57544.0140601094,58006.5597119037,44537.8997859115,84144.2538254635,36075.3926804456,NaN,NaN,NaN
B,Content,Std-2,Std-2,Std-2,Unkn-2,Unkn-2,Unkn-2,Unkn-10,Unkn-10,Unkn-10,Unkn-18,Unkn-18,Unkn-18
B,Sample,,,,,,,,,,,,
B,Cq,19.2574049302923,18.7974051433854,18.3603006457448,31.2300310734886,31.4805883601003,31.0800317242354,31.7404488693543,29.5217001196698,29.2758371125644,NaN,NaN,NaN
B,copy number,36500000,36500000,36500000,22006.0725702168,18974.6307049017,24047.9465120593,16270.9940751131,60453.2794684238,69917.0497224648,NaN,NaN,NaN
C,Content,Std-3,Std-3,Std-3,Unkn-3,Unkn-3,Unkn-3,Unkn-11,Unkn-11,Unkn-11,Unkn-19,Unkn-19,Unkn-19
C,Sample,,,,,,,,,,,,
C,Cq,22.3463904246203,20.9676962068828,23.5734836297272,31.3834899009999,31.2701737563234,31.1148787409808,28.1052299861018,28.3163950445541,27.8638498332865,NaN,NaN,NaN
C,copy number,3650000,3650000,3650000,20096.4029446713,21489.6686280187,23557.3076548253,139738.775043043,123329.721397784,161186.437492557,NaN,NaN,NaN
D,Content,Std-4,Std-4,Std-4,Unkn-4,Unkn-4,Unkn-4,Unkn-12,Unkn-12,Unkn-12,Unkn-20,Unkn-20,Unkn-20
D,Sample,,,,,,,,,,,,
D,Cq,25.2965527530373,25.7374134531619,27.1998025437158,31.4376072840496,31.7558630912964,30.3748744704618,29.9411393488564,28.7906934086231,29.3409963923526,NaN,NaN,NaN
D,copy number,365000,365000,365000,19463.2494723802,16123.3064754967,36495.2066842736,47169.8161560115,93157.6509189754,67273.4041488901,NaN,NaN,NaN
E,Content,Std-5,Std-5,Std-5,Unkn-5,Unkn-5,Unkn-5,Unkn-13,Unkn-13,Unkn-13,Unkn-21,Unkn-21,Unkn-21
E,Sample,,,,,,,,,,,,
E,Cq,29.3818543055821,31.7638450327406,34.212368979618,31.1645275687934,30.0798085785308,30.3236902272217,26.778128251354,24.6356398143838,23.4974567451453,NaN,NaN,NaN
E,copy number,36500,36500,36500,22875.503586941,43454.9727533259,37617.0966066403,306376.101121135,1088100.65624509,2133403.65521809,NaN,NaN,NaN
F,Content,Std-6,Std-6,Std-6,Unkn-6,Unkn-6,Unkn-6,Unkn-14,Unkn-14,Unkn-14,Unkn-22,Unkn-22,Unkn-22
F,Sample,,,,,,,,,,,,
F,Cq,33.2721678715134,35.5361207636725,33.9734246396243,29.6853444458192,30.6812741666248,30.0739770529035,25.7586911180266,25.9203121853656,25.0041472938452,NaN,NaN,NaN
F,copy number,3650,3650,3650,54875.5590484554,30445.3149931011,43605.1339701242,559954.221449688,508898.767370165,874979.682608901,NaN,NaN,NaN
G,Content,Std-7,Std-7,Std-7,Unkn-7,Unkn-7,Unkn-7,Unkn-15,Unkn-15,Unkn-15,Unkn-23,Unkn-23,Unkn-23
G,Sample,,,,,,,,,,,,
G,Cq,37.1229145286983,37.2530405254549,38.1429205758225,28.6182629008385,28.9481390466597,28.7837930060032,31.049856814428,30.992852003881,30.9702335978235,NaN,NaN,NaN
G,copy number,365,365,365,103161.261229542,84873.1048104098,93538.6873091497,24481.0509110058,25320.6488190047,25661.7099819226,NaN,NaN,NaN
H,Content,NTC,NTC,NTC,Unkn-8,Unkn-8,Unkn-8,Unkn-16,Unkn-16,Unkn-16,Unkn-24,Unkn-24,Unkn-24
H,Sample,,,,,,,,,,,,
H,Cq,38.8884419496765,38.7166364633055,39.3841292659816,29.5108231055931,29.3687701445014,28.4330890755301,29.9998575330533,30.3037512748456,30.1685815953997,NaN,NaN,NaN
H,copy number,NaN,NaN,NaN,60843.5037607331,66177.1731733,115103.510362439,45559.5302904486,38063.4081784421,41231.8978091886,NaN,NaN,NaN
