,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Std-01,,15.1117503154029,365000000
,A02,SYBR,,Std-01,,15.0855913401399,365000000
,A03,SYBR,,Std-01,,13.7327066231269,365000000
,A04,SYBR,,Unkn-01,,31.286484594106,21283.3210706749
,A05,SYBR,,Unkn-01,,29.605076395971,57544.0140601094
,A06,SYBR,,Unkn-01,,29.5915423393123,58006.5597119037
,A07,SYBR,,Unkn-09,,30.0381967498862,44537.8997859115
,A08,SYBR,,Unkn-09,,28.9627189048845,84144.2538254635
,A09,SYBR,,Unkn-09,,30.3944333616348,36075.3926804456
,A10,SYBR,,Unkn-17,,NaN,NaN
,A11,SYBR,,Unkn-17,,NaN,NaN
,A12,SYBR,,Unkn-17,,NaN,NaN
,B01,SYBR,,Std-02,,19.2574049302923,36500000
,B02,SYBR,,Std-02,,18.7974051433854,36500000
,B03,SYBR,,Std-02,,18.3603006457448,36500000
,B04,SYBR,,Unkn-02,,31.2300310734886,22006.0725702168
,B05,SYBR,,Unkn-02,,31.4805883601003,18974.6307049017
,B06,SYBR,,Unkn-02,,31.0800317242354,24047.9465120593
,B07,SYBR,,Unkn-10,,31.7404488693543,16270.9940751131
,B08,SYBR,,Unkn-10,,29.5217001196698,60453.2794684238
,B09,SYBR,,Unkn-10,,29.2758371125644,69917.0497224648
,B10,SYBR,,Unkn-18,,NaN,NaN
,B11,SYBR,,Unkn-18,,NaN,NaN
,B12,SYBR,,Unkn-18,,NaN,NaN
,C01,SYBR,,Std-03,,22.3463904246203,3650000
,C02,SYBR,,Std-03,,20.9676962068828,3650000
,C03,SYBR,,Std-03,,23.5734836297272,3650000
,C04,SYBR,,Unkn-03,,31.3834899009999,20096.4029446713
,C05,SYBR,,Unkn-03,,31.2701737563234,21489.6686280187
,C06,SYBR,,Unkn-03,,31.1148787409808,23557.3076548253
,C07,SYBR,,Unkn-11,,28.1052299861018,139738.775043043
,C08,SYBR,,Unkn-11,,28.3163950445541,123329.721397784
,C09,SYBR,,Unkn-11,,27.8638498332865,161186.437492557
,C10,SYBR,,Unkn-19,,NaN,NaN
,C11,SYBR,,Unkn-19,,NaN,NaN
,C12,SYBR,,Unkn-19,,NaN,NaN
,D01,SYBR,,Std-04,,25.2965527530373,365000
,D02,SYBR,,Std-04,,25.7374134531619,365000
,D03,SYBR,,Std-04,,27.1998025437158,365000
,D04,SYBR,,Unkn-04,,31.4376072840496,19463.2494723802
,D05,SYBR,,Unkn-04,,31.7558630912964,16123.3064754967
,D06,SYBR,,Unkn-04,,30.3748744704618,36495.2066842736
,D07,SYBR,,Unkn-12,,29.9411393488564,47169.8161560115
,D08,SYBR,,Unkn-12,,28.7906934086231,93157.6509189754
,D09,SYBR,,Unkn-12,,29.3409963923526,67273.4041488901
,D10,SYBR,,Unkn-20,,NaN,NaN
,D11,SYBR,,Unkn-20,,NaN,NaN
,D12,SYBR,,Unkn-20,,NaN,NaN
,E01,SYBR,,Std-05,,29.3818543055821,36500
,E02,SYBR,,Std-05,,31.7638450327406,36500
,E03,SYBR,,Std-05,,34.212368979618,36500
,E04,SYBR,,Unkn-05,,31.1645275687934,22875.503586941
,E05,SYBR,,Unkn-05,,30.0798085785308,43454.9727533259
,E06,SYBR,,Unkn-05,,30.3236902272217,37617.0966066403
,E07,SYBR,,Unkn-13,,26.778128251354,306376.101121135
,E08,SYBR,,Unkn-13,,24.6356398143838,1088100.65624509
,E09,SYBR,,Unkn-13,,23.4974567451453,2133403.65521809
,E10,SYBR,,Unkn-21,,NaN,NaN
,E11,SYBR,,Unkn-21,,NaN,NaN
,E12,SYBR,,Unkn-21,,NaN,NaN
,F01,SYBR,,Std-06,,33.2721678715134,3650
,F02,SYBR,,Std-06,,35.5361207636725,3650
,F03,SYBR,,Std-06,,33.9734246396243,3650
,F04,SYBR,,Unkn-06,,29.6853444458192,54875.5590484554
,F05,SYBR,,Unkn-06,,30.6812741666248,30445.3149931011
,F06,SYBR,,Unkn-06,,30.0739770529035,43605.1339701242
,F07,SYBR,,Unkn-14,,25.7586911180266,559954.221449688
,F08,SYBR,,Unkn-14,,25.9203121853656,508898.767370165
,F09,SYBR,,Unkn-14,,25.0041472938452,874979.682608901
,F10,SYBR,,Unkn-22,,NaN,NaN
,F11,SYBR,,Unkn-22,,NaN,NaN
,F12,SYBR,,Unkn-22,,NaN,NaN
,G01,SYBR,,Std-07,,37.1229145286983,365
,G02,SYBR,,Std-07,,37.2530405254549,365
,G03,SYBR,,Std-07,,38.1429205758225,365
,G04,SYBR,,Unkn-07,,28.6182629008385,103161.261229542
,G05,SYBR,,Unkn-07,,28.9481390466597,84873.1048104098
,G06,SYBR,,Unkn-07,,28.7837930060032,93538.6873091497
,G07,SYBR,,Unkn-15,,31.049856814428,24481.0509110058
,G08,SYBR,,Unkn-15,,30.992852003881,25320.6488190047
,G09,SYBR,,Unkn-15,,30.9702335978235,25661.7099819226
,G10,SYBR,,Unkn-23,,NaN,NaN
,G11,SYBR,,Unkn-23,,NaN,NaN
,G12,SYBR,,Unkn-23,,NaN,NaN
,H01,SYBR,,NTC,,38.8884419496765,NaN
,H02,SYBR,,NTC,,38.7166364633055,NaN
,H03,SYBR,,NTC,,39.3841292659816,NaN
,H04,SYBR,,Unkn-08,,29.5108231055931,60843.5037607331
,H05,SYBR,,Unkn-08,,29.3687701445014,66177.1731733
,H06,SYBR,,Unkn-08,,28.4330890755301,115103.510362439
,H07,SYBR,,Unkn-16,,29.9998575330533,45559.5302904486
,H08,SYBR,,Unkn-16,,30.3037512748456,38063.4081784421
,H09,SYBR,,Unkn-16,,30.1685815953997,41231.8978091886
,H10,SYBR,,Unkn-24,,NaN,NaN
,H11,SYBR,,Unkn-24,,NaN,NaN
,H12,SYBR,,Unkn-24,,NaN,NaN
