,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,65,57.357037459944,69.8166359724951,75.8374256548,-37.2313841013502,-34.5071284335759,-34.1187508723656,-49.7726819144718,-46.5946125186151,-37.853117745602,-29.7496734602878,-48.9898807618688,-48.8975911202356,91.309022281348,64.120648589449,84.3720518627911,-62.64302856938,-51.8085458894834,-49.4792921115013,-35.4451790323255,-36.437183437919,-22.360208124991,-58.1977994485405,-49.1513208560355,-60.0758165831571,48.6952060364556,84.2672181161661,93.9552081453235,-24.6590905263815,-10.8366620783859,-9.82620073895168,-46.0990880026011,-23.8632935706078,-26.8720097502974,-5.12189774151875,-17.1149924345837,-29.8998270853554,74.1897731737386,45.8185950136012,79.3379305320964,-29.3868597681949,-47.2157661070814,-37.4436737327983,-55.79278245971,-63.7823905655805,-58.0814797496341,-12.7180712213426,-17.4941510868871,-34.0648434646355,73.7603476521235,94.7715144137037,83.3902049048365,-71.5570832815151,-61.3654601789112,-75.9164290306057,84.6699562569211,-34.0651339567953,-25.589065003519,-49.1541778182327,-59.7482200001837,-45.9721141000532,113.238539483836,86.5066991125391,96.210859390857,-53.8026817633954,-35.9491971009274,-82.9895774229226,-4.59682559124985,-2.75220574586547,-0.634800448776332,-32.388164925213,-39.9537167989984,-77.2717166576463,116.531369112045,99.3863685574174,116.704101048067,-50.5008543833083,-69.4049279638966,-49.7167663498185,-8.13836728027673,-4.76717222052002,-4.15043859452317,-43.9094768427085,-40.6678796342735,-46.4603636493225,33.5857341956919,34.1921731793421,57.6469985998865,-46.6454486656303,-28.7371985427112,-42.054993944017,-31.2518362415904,-31.906889890794,-31.977664733341,-49.7479242095587,-53.2392404038283,-116.170469421961
,65.5,124.273581163212,151.269377940407,164.314422252068,-80.6679988862629,-74.7654449394113,-73.9239602234588,-107.84081081469,-100.954993790334,-82.0150884488075,-64.457625830622,-106.144741650716,-105.944780760512,197.836214942922,138.928071943808,182.806112369377,-135.726561900323,-112.251849427214,-107.205132908253,-76.7978879033694,-78.9472307821588,-48.4471176041425,-126.095232138503,-106.494528521408,-130.164269263509,105.506279745655,182.578972585028,203.569617648199,-53.4280294738314,-23.479434503171,-21.2901016010578,-99.881357338968,-51.7038027363174,-58.2226877923063,-11.0974451066245,-37.0824836082656,-64.7829586849366,160.744508543105,99.2736225294725,171.898849486208,-63.6715294977598,-102.300826565342,-81.1279597543994,-120.884361996036,-138.195179558756,-125.843206124208,-27.555820979574,-37.9039940215903,-73.807160840041,159.814086579603,205.338281229691,180.678777293815,-155.040347109949,-132.958497054305,-164.485596232981,183.451571889996,-73.8077902397226,-55.4429741742911,-106.50071860617,-129.454476667061,-99.6062472167819,245.350168881648,187.431181410501,208.456862013522,-116.572477154021,-77.8899270520137,-179.810751082996,-9.95978878104552,-5.96311244936942,-1.37540097234341,-70.1743573379631,-86.5663863978298,-167.422052758228,252.484633076094,215.337131874408,252.858885604141,-109.418517830497,-150.377343921777,-107.719660424604,-17.6331291072688,-10.3288731444663,-8.99261695480072,-95.1371998258705,-88.1137392075957,-100.664121240201,72.7690907573322,74.0830418885743,124.901830299753,-101.06513877553,-62.2639301758759,-91.1191535453681,-67.7123118567765,-69.1315947633839,-69.2849402555748,-107.787169120711,-115.351687541629,-251.702683747578
,66,114.714074919888,139.633271944991,151.674851309601,-74.4627682027076,-69.014256867149,-68.2375017447348,-99.5453638289478,-93.1892250372316,-75.7062354912068,-59.4993469205742,-97.9797615237412,-97.7951822404762,182.618044562694,128.241297178899,168.744103725575,-125.286057138756,-103.617091778963,-98.9585842229994,-70.8903580646488,-72.8743668758389,-44.7204162499743,-116.395598897077,-98.3026417120686,-120.151633166312,97.3904120729121,168.534436232337,187.910416290645,-49.3181810527676,-21.6733241567736,-19.6524014778961,-92.1981760052008,-47.726587141216,-53.7440195005906,-10.243795483038,-34.2299848691682,-59.7996541707107,148.379546347482,91.6371900272093,158.675861064192,-58.773719536397,-94.4315322141651,-74.8873474656029,-111.585564919418,-127.564781131163,-116.162959499269,-25.4361424426834,-34.9883021737755,-68.1296869292682,147.520695304249,189.543028827407,166.780409809679,-143.114166563026,-122.73092035782,-151.832858061213,169.339912513842,-68.1302679135938,-51.1781300070343,-98.3083556364677,-119.496440000365,-91.9442282001028,226.477078967679,173.013398225078,192.421718781713,-107.605363526785,-71.8983942018622,-165.979154845843,-9.19365118250698,-5.50441149172548,-1.26960089754402,-64.7763298504274,-79.9074335979967,-154.543433315288,233.062738224083,198.772737114838,233.408202096126,-101.001708766612,-138.809855927791,-99.4335326996347,-16.2767345605557,-9.5343444410496,-8.30087718904315,-87.8189536854229,-81.3357592685534,-92.9207272986478,67.1714683913835,68.384346358684,115.293997199774,-93.2908973312547,-57.4743970854238,-84.1099878880318,-62.5036724831784,-63.8137797815853,-63.955329466688,-99.4958484191143,-106.478480807657,-232.340938843915
,66.5,114.714074919848,139.633271944921,151.674851309652,-74.4627682027221,-69.0142568671854,-68.2375017447248,-99.5453638289769,-93.1892250372011,-75.7062354912432,-59.4993469205851,-97.9797615236862,-97.7951822404452,182.618044562741,128.241297178888,168.744103725554,-125.286057138778,-103.617091778984,-98.9585842229799,-70.8903580646293,-72.8743668758921,-44.7204162500025,-116.39559889709,-98.3026417120395,-120.15163316631,97.3904120729208,168.534436232355,187.910416290668,-49.3181810527731,-21.6733241567163,-19.6524014779066,-92.1981760052186,-47.7265871412806,-53.744019500582,-10.2437954830484,-34.2299848691891,-59.7996541707007,148.379546347445,91.6371900271829,158.67586106418,-58.7737195364202,-94.4315322141592,-74.8873474656612,-111.585564919375,-127.564781131129,-116.1629594993,-25.436142442632,-34.9883021737619,-68.1296869292673,147.520695304211,189.543028827365,166.780409809703,-143.114166562997,-122.730920357814,-151.832858061199,169.339912513842,-68.1302679135447,-51.1781300070484,-98.3083556365195,-119.496440000401,-91.9442282000987,226.477078967622,173.013398225079,192.421718781714,-107.605363526765,-71.8983942018026,-165.979154845815,-9.19365118251835,-5.50441149170092,-1.26960089751128,-64.7763298503978,-79.9074335980345,-154.543433315282,233.062738224065,198.772737114767,233.408202096124,-101.001708766584,-138.809855927792,-99.4335326996079,-16.2767345605403,-9.53434444106597,-8.30087718897175,-87.8189536854507,-81.335759268542,-92.9207272986587,67.1714683913882,68.3843463586815,115.293997199763,-93.2908973312983,-57.4743970854361,-84.10998788804,-62.5036724831953,-63.813779781553,-63.955329466683,-99.4958484191166,-106.478480807638,-232.340938843886
,67,114.714074920161,139.633271945497,151.674851309258,-74.4627682025935,-69.0142568669276,-68.2375017448062,-99.545363828749,-93.1892250374449,-75.7062354909062,-59.4993469204851,-97.9797615241187,-97.7951822406512,182.61804456238,128.241297178979,168.744103725755,-125.286057138598,-103.617091778821,-98.9585842231313,-70.8903580648152,-72.8743668754664,-44.7204162497983,-116.395598896992,-98.3026417123183,-120.151633166348,97.390412072848,168.534436232218,187.910416290486,-49.3181810526994,-21.6733241571287,-19.6524014778602,-92.1981760050767,-47.7265871407731,-53.7440195006716,-10.2437954829684,-34.2299848690345,-59.7996541707807,148.379546347719,91.6371900273562,158.675861064262,-58.7737195362133,-94.4315322141861,-74.8873474651541,-111.585564919747,-127.564781131378,-116.162959499053,-25.4361424430303,-34.9883021738674,-68.1296869293205,147.520695304541,189.543028827707,166.780409809481,-143.114166563225,-122.730920357839,-151.832858061305,169.339912513854,-68.1302679139294,-51.1781300069433,-98.3083556361003,-119.496440000156,-91.9442282001392,226.477078968055,173.013398225055,192.4217187817,-107.60536352696,-71.8983942022546,-165.979154846083,-9.19365118239011,-5.5044114919142,-1.26960089781915,-64.7763298506343,-79.9074335977361,-154.54343331533,233.062738224229,198.772737115285,233.408202096166,-101.001708766846,-138.809855927786,-99.4335326998648,-16.2767345606212,-9.53434444090135,-8.30087718956338,-87.8189536851874,-81.3357592685952,-92.9207272985668,67.1714683913477,68.3843463586974,115.293997199851,-93.29089733099,-57.4743970853506,-84.1099878880173,-62.5036724830902,-63.8137797818281,-63.9553294666816,-99.4958484190934,-106.478480807807,-232.340938844149
,67.5,114.699008915728,140.489945450354,152.577381345648,-74.4289351096709,-68.9363974764328,-68.1221263856487,-99.5309005495833,-94.7381144896335,-76.9801622026216,-59.8956387162198,-97.5223079254306,-98.3986318025677,183.236653081598,128.734305489371,170.246103533339,-125.174058129223,-104.333508551455,-98.5838170480743,-70.8939823707328,-73.8675850180816,-44.4609970026991,-116.856894869801,-97.7548490485897,-120.910081198233,98.5589534968044,170.04280140535,189.422936219016,-48.3474280527544,-21.3874094588191,-19.3497986541338,-91.8501056336167,-47.2264707237096,-53.3719194316154,-10.4973557924818,-34.6107228625715,-60.8915436244356,150.004491005895,94.950124744496,159.009984959979,-58.0642668709074,-94.4078885784661,-74.1186871760128,-111.80043365558,-127.981848841227,-116.443628608997,-25.7614381816898,-35.3177093703471,-67.1801294485654,148.407739765197,190.900293816215,167.420536667139,-143.11795362767,-123.047446780126,-151.587588057898,167.596000839047,-69.1401285269717,-51.8156208810656,-99.9374673646835,-119.993740793624,-92.6623142182607,227.768479231944,174.022509201807,193.298780814156,-106.846631289005,-71.3187204006476,-164.997505019132,-9.17550006194961,-5.66503519995513,-1.18758607217569,-64.9719308750118,-79.8092455143051,-153.098176024529,233.802470842188,198.949545305417,233.978396993222,-100.896206402138,-140.055110834669,-98.9430448236149,-16.7074092013049,-10.0446686727246,-9.33208731456443,-88.5414453948483,-81.447671004837,-92.82808099769,67.8112569803238,68.9078325281831,115.24901372503,-93.6891004782615,-58.5093843719201,-83.5171326886689,-62.4616170659174,-64.8125777667456,-64.4528538830032,-101.644934469437,-106.417801699581,-231.815154160139
,68,113.759534047971,135.205105524823,145.880294606008,-74.9674698369327,-70.4967101357456,-69.3915126683996,-100.994795903118,-85.697028151686,-69.1127678468488,-57.452564002388,-101.636973110029,-95.8559968689242,178.364620917765,125.075531771646,160.367127156885,-127.169978186334,-100.853832744948,-101.744891861068,-72.0688908529723,-68.3728366790292,-46.480713402234,-114.615397241717,-102.403319195588,-117.63502552913,90.2164906475114,159.433394326776,179.564884524817,-55.0731864141367,-24.4415859492287,-21.4005105423694,-94.3647048695393,-51.1851495157948,-56.6982196207309,-9.60107779889677,-33.0425342100921,-54.5268811534793,138.891785898781,73.347510626962,156.752813576182,-63.06641873734,-96.0450314962695,-80.0692710162298,-111.579484777832,-126.181121976058,-115.560046174701,-24.5471681103045,-34.4291853702971,-73.7894060742865,141.984307201565,182.11353841167,162.729488996042,-144.129536723482,-122.014694218081,-154.220260055498,178.450542331829,-64.2068641508326,-49.1594710623554,-89.6445022422913,-117.446456726822,-88.5996690016464,219.158322295084,166.799242384996,187.595183567938,-112.201234595011,-75.712740959716,-172.246523992989,-9.84876085438782,-5.43165028709291,-2.04379122048749,-63.9295418459469,-81.4359451659857,-162.648179627821,229.46445003002,197.490216822662,230.570459186547,-102.223983249743,-133.542456617731,-102.682635219189,-14.3412761679429,-7.53139670140763,-3.11161367510476,-84.5698119565404,-81.3609074660708,-94.1319088692699,63.8263792123913,65.7764410780048,115.749763810987,-91.4651853013802,-52.9433788140846,-88.6226134845224,-63.3635246013937,-58.7674571120165,-61.9055808797107,-89.1461279540781,-107.902085426461,-239.720451319945
,68.5,118.852296060204,123.558562459243,140.75263165466,-74.7832649754314,-65.271220023275,-68.0984071478943,-93.9001611661615,-64.7305979905814,-53.9780054642356,-52.9546749683668,-99.4271113350719,-82.6848229498614,176.749217989843,121.71076659156,145.131714320722,-122.288258848023,-87.5402687872274,-102.227035728222,-66.0461927785514,-54.0379004737615,-47.6518839639834,-106.871890643623,-102.052429943626,-100.968927458111,81.836118687394,147.929003136182,163.68406982419,-63.7069478503568,-21.3821208355976,-25.0026914305181,-95.840290093618,-52.8645284010963,-55.4861453569192,-3.34907138706876,-25.0209108197105,-40.8340997763307,124.309551787198,38.9411221436758,152.057588271034,-69.5352358459791,-88.1487897228371,-83.4992867952719,-103.47377053054,-117.985518592859,-108.141453157496,-16.5800310398845,-24.7521480159039,-81.8422714829608,135.8979372728,166.998299384574,157.925954052676,-139.194337442661,-114.207071472971,-151.808866866517,197.770966032028,-44.8585878156759,-34.8402492467958,-73.112885111741,-110.222425528273,-79.2210267260489,207.049619649556,159.484976308699,177.670871779048,-118.616163921575,-78.6598642448839,-178.928317463186,-8.0744150263663,0.0898547977362796,-2.19155915201918,-61.9109959151692,-77.4893445728267,-177.819037934633,218.040766554905,197.219297138395,222.423758494847,-100.361479884146,-112.981895703765,-105.280700296236,-8.53621414558029,1.44761494351724,8.68991985115736,-74.5706690493353,-77.945074458552,-92.646053514326,56.2954289590294,58.7352045598378,115.121435040644,-86.8074225040009,-36.7088457186064,-87.5698724635349,-61.3606864662543,-46.8443274046672,-53.5080506870481,-60.6643993519774,-103.744998009683,-219.061679852101
,69,139.100080232028,121.585517782267,152.304464891956,-63.5041596769352,-51.7997836855366,-59.7342092573431,-71.0221556758024,-39.6484114283699,-42.4245956541868,-49.3789688265965,-88.8298759694303,-55.1096323253264,186.905408236692,131.163105416917,142.147629879735,-98.6892505932624,-64.4866449607425,-89.4519236864712,-44.6838959580059,-29.4379871892033,-42.7946117478609,-87.4989640069962,-88.9802732270464,-71.34987431742,90.830435738284,155.862761120478,159.265025651334,-56.8254374572539,-1.0889135217094,-20.7991633514062,-98.8828444757737,-42.6590097833587,-44.2721163610886,10.875407835948,-5.55149080694673,-16.1121186325754,130.268228784064,29.546239782409,160.914840711422,-59.3627522515403,-66.6022301664489,-67.8458360708782,-81.9141736276579,-96.6041181541164,-89.5002259882781,-0.975392140481745,-1.05622382224692,-76.627340792832,144.919263331834,165.131767995551,168.693896629547,-119.390488357412,-91.7788544951354,-133.346466496537,218.797919460878,-16.0930637376573,-7.71903685918869,-52.2090381212297,-88.5860353022745,-60.3882411261288,204.773068116082,168.210148179108,178.246533350169,-110.843925497115,-70.2336235931475,-162.362075569731,5.77504453199299,15.3634105463143,6.88383256781481,-51.3213888071609,-60.2275148144704,-178.723027620214,213.565050334609,201.078227350126,218.137017661058,-88.183499571519,-77.9462647458713,-96.0047263176134,4.92231184953698,18.781766958853,28.1920908357279,-52.3399100717379,-61.0232807805933,-74.2285327244681,50.9915221486914,53.3049292694936,111.16291585952,-72.424810378167,-10.3089712697933,-73.051280995935,-46.6307811416764,-31.8969677935861,-38.8612480723482,-20.4375811877735,-80.6618929828282,-158.67505130739
,69.5,173.576998510007,140.554455690442,174.56438535578,-36.9719776859279,-26.2372219322833,-36.194591606848,-39.6794752022201,-4.82210436379683,-21.9572057590749,-31.2691622406219,-65.836153975878,-18.2183442701544,203.500530876629,152.354346920516,154.764965379415,-53.1220254631744,-25.122753896313,-64.177313462761,-7.09156105057446,14.5049470243252,-25.5467408087843,-49.8501801675939,-57.5856853804421,-29.4982447147358,114.890824276576,181.862832333523,172.610253982658,-30.4445284676967,34.1381607997077,0.873941913277577,-97.0938074179635,-15.809439506238,-20.5725375597813,40.6132163893135,33.2321322519661,22.3783746895297,159.512828812082,43.0697469748052,192.845011241439,-29.7432429884684,-26.402643960972,-35.1029227989952,-44.7335355448054,-57.5005798698817,-56.7565035346643,31.4447198078692,36.4459543351177,-48.9070503373764,170.964735179396,184.085751963148,203.60365668589,-81.4095510036027,-48.7431383857088,-94.8572864074458,252.679031821384,22.2226281558787,35.2950787842969,-13.2400119838644,-47.8499784224036,-21.7823781784537,210.340419562637,194.105401639902,196.582389213362,-83.1758665645493,-43.061754922815,-121.74345663932,38.2139965630604,48.2384372775819,39.7918488889813,-24.0297127312283,-31.296905100909,-135.146047319317,227.195776248386,215.533334476502,225.283620612931,-63.1812889468679,-30.4113240162978,-73.4032830375727,32.1247692503548,52.6831483435162,62.650751040655,-16.8096045430057,-26.1391255721178,-36.2121555176859,46.5263487251473,49.6826828018272,109.190264920067,-37.7896334069483,28.1749519235036,-46.2429491437201,-14.6863273524086,-6.78179041636076,-12.3583870500893,42.7133694681775,-37.8851433705281,-88.9830131406952
