,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,A01,SYBR,,Std-01,,88.5,3227.22913869127,85,95,
,A02,SYBR,,Std-01,,88.5,3328.27062538399,83.5,95,
,A03,SYBR,,Std-01,,88.5,3429.5753527921,83,95,
,A04,SYBR,,Unkn-01,,89,2426.69895614878,70,93,
,A05,SYBR,,Unkn-01,,89,2456.6838454906,70,93,
,A06,SYBR,,Unkn-01,,89,2405.35469146329,70,93,
,A07,SYBR,,Unkn-09,,88.5,2548.81408939364,70,92.5,
,A08,SYBR,,Unkn-09,,88.5,2525.28658724244,69.5,93,
,A09,SYBR,,Unkn-09,,88.5,2518.30534617052,70,92.5,
,A10,SYBR,,Unkn-17,,88.5,2180.57308140232,70,94,
,A11,SYBR,,Unkn-17,,88.5,2262.71131351172,70,94,
,A12,SYBR,,Unkn-17,,88.5,2506.1054074715,69.5,94,
,B01,SYBR,,Std-02,,88.5,3214.74161762268,80.5,92,
,B02,SYBR,,Std-02,,88.5,3298.93802179221,83.5,92,
,B03,SYBR,,Std-02,,88.5,3387.27197172477,82.5,92,
,B04,SYBR,,Unkn-02,,89,2783.89168330284,70,94,
,B05,SYBR,,Unkn-02,,89,2766.32846084252,69.5,94,
,B06,SYBR,,Unkn-02,,89,2835.13681002867,79.5,94,
,B07,SYBR,,Unkn-10,,89,2278.08417136984,69.5,95,
,B08,SYBR,,Unkn-10,,89,2239.06838599135,69.5,94,
,B09,SYBR,,Unkn-10,,89,2261.7159408743,70,94,
,B10,SYBR,,Unkn-18,,88.5,2086.16644492225,70,95,
,B11,SYBR,,Unkn-18,,88.5,2133.255642847,70,95,
,B12,SYBR,,Unkn-18,,88.5,2110.75228223682,78,95,
,C01,SYBR,,Std-03,,88.5,3244.51462742854,83.5,92,
,C02,SYBR,,Std-03,,88.5,3546.13123416503,83.5,92,
,C03,SYBR,,Std-03,,88.5,3373.09079055597,84,92,
,C04,SYBR,,Unkn-03,,89,2806.02115639568,70,93.5,
,C05,SYBR,,Unkn-03,,89,2972.53442038121,69,93,
,C06,SYBR,,Unkn-03,,89,2827.66864672454,69.5,93.5,
,C07,SYBR,,Unkn-11,,88.5,2346.97368950722,71,93.5,
,C08,SYBR,,Unkn-11,,88.5,2275.51500496028,77.5,94,
,C09,SYBR,,Unkn-11,,88.5,2287.23925857457,77,94,
,C10,SYBR,,Unkn-19,,89,2428.11512298849,78,94,
,C11,SYBR,,Unkn-19,,89,2548.78740575604,78.5,94,
,C12,SYBR,,Unkn-19,,89,2414.48791029388,78.5,95,
,D01,SYBR,,Std-04,,88.5,3335.68402248946,83.5,94,
,D02,SYBR,,Std-04,,88.5,3261.78833745858,83.5,92,
,D03,SYBR,,Std-04,,88.5,3364.38289414258,83.5,92,
,D04,SYBR,,Unkn-04,,89,2079.8764298343,70,94,
,D05,SYBR,,Unkn-04,,89.5,2219.28738290988,69.5,95,
,D06,SYBR,,Unkn-04,,89,2239.75208606748,78,94,
,D07,SYBR,,Unkn-12,,89,1943.16811977372,77.5,95,
,D08,SYBR,,Unkn-12,,89,1901.18545875869,77.5,95,
,D09,SYBR,,Unkn-12,,89,1893.9181890758,70,95,
,D10,SYBR,,Unkn-20,,88.5,2812.55198880467,69,95,
,D11,SYBR,,Unkn-20,,88.5,2867.41870862554,69,95,
,D12,SYBR,,Unkn-20,,88.5,2842.89514063729,78,95,
,E01,SYBR,,Std-05,,88.5,3086.70098468899,83,92,
,E02,SYBR,,Std-05,,88.5,3209.20063097228,83,92,
,E03,SYBR,,Std-05,,88.5,3227.72918119568,83.5,92,
,E04,SYBR,,Unkn-05,,89,2431.85248142283,70,93.5,
,E05,SYBR,,Unkn-05,,89,2321.13984861812,70,93.5,
,E06,SYBR,,Unkn-05,,89,2451.11304264468,70,93.5,
,E07,SYBR,,Unkn-13,,None,None,None,None,
,E08,SYBR,,Unkn-13,,89,2420.90815008413,69,94,
,E09,SYBR,,Unkn-13,,89,2461.94037340891,69,93,
,E10,SYBR,,Unkn-21,,88.5,2558.16712806308,69.5,94,
,E11,SYBR,,Unkn-21,,88.5,2526.51668600045,70,95,
