,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,,Std-01,,,9.42257078600281,9.42526748793388,0.0846270301277542,365000000,8.56229286445648,365000000,0,60,
,A02,SYBR,,Std-01,,,9.51121063825058,9.42526748793388,0.0846270301277542,365000000,8.56229286445648,365000000,0,60,
,A03,SYBR,,Std-01,,,9.34202103954824,9.42526748793388,0.0846270301277542,365000000,8.56229286445648,365000000,0,60,
,A04,SYBR,,Unkn-01,,,20.4267102928081,20.3822332649147,0.038527321043141,543072.305799375,5.73485765632756,558403.958631987,13280.8646330217,60,
,A05,SYBR,,Unkn-01,,,20.3608313865456,20.3822332649147,0.038527321043141,565775.367885351,5.75264403569019,558403.958631987,13280.8646330217,60,
,A06,SYBR,,Unkn-01,,,20.3591581153904,20.3822332649147,0.038527321043141,566364.202211236,5.75309579539951,558403.958631987,13280.8646330217,60,
,A07,SYBR,,Unkn-09,,,19.2041437433538,19.2900365524571,0.0748751566548461,1161270.65758506,6.06493345263821,1101691.10596532,51911.0260667676,60,
,A08,SYBR,,Unkn-09,,,19.3415332840399,19.2900365524571,0.0748751566548461,1066203.75181923,6.02784020641209,1101691.10596532,51911.0260667676,60,
,A09,SYBR,,Unkn-09,,,19.3244326299777,19.2900365524571,0.0748751566548461,1077598.90849166,6.03245714281488,1101691.10596532,51911.0260667676,60,
,A10,SYBR,,Unkn-17,,,25.7072226190633,25.9256895781741,0.189996687114903,20379.4987396711,4.30919349776304,17876.0592534407,2175.48949490243,60,
,A11,SYBR,,Unkn-17,,,26.0175195538495,25.9256895781741,0.189996687114903,16804.1938861901,4.22541768376911,17876.0592534407,2175.48949490243,60,
,A12,SYBR,,Unkn-17,,,26.0523265616096,25.9256895781741,0.189996687114903,16444.4851344608,4.21602028056948,17876.0592534407,2175.48949490243,60,
,B01,SYBR,,Std-02,,,14.9852964010012,13.996452221028,0.856700400288605,36500000,7.56229286445647,36500000,0,60,
,B02,SYBR,,Std-02,,,13.5260294363328,13.996452221028,0.856700400288605,36500000,7.56229286445647,36500000,0,60,
,B03,SYBR,,Std-02,,,13.4780308257499,13.996452221028,0.856700400288605,36500000,7.56229286445647,36500000,0,60,
,B04,SYBR,,Unkn-02,,,19.494120833134,19.580368796523,0.0910113933057293,969714.102071513,5.98664371138545,920068.149622539,51821.8825070236,60,
,B05,SYBR,,Unkn-02,,,19.5714923905277,19.580368796523,0.0910113933057293,924175.556400137,5.96575447764198,920068.149622539,51821.8825070236,60,
,B06,SYBR,,Unkn-02,,,19.6754931659073,19.580368796523,0.0910113933057293,866314.790395966,5.93767572907351,920068.149622539,51821.8825070236,60,
,B07,SYBR,,Unkn-10,,,26.0195177236104,25.9919988215245,0.0629201828208256,16783.3327857243,4.22487820599975,17081.6932147414,674.920621518693,60,
,B08,SYBR,,Unkn-10,,,26.036471508749,25.9919988215245,0.0629201828208256,16607.3723176641,4.22030092214342,17081.6932147414,674.920621518693,60,
,B09,SYBR,,Unkn-10,,,25.9200072322141,25.9919988215245,0.0629201828208256,17854.3745408357,4.25174464096277,17081.6932147414,674.920621518693,60,
,B10,SYBR,,Unkn-18,,,23.3347118120835,23.4664864959294,0.124995340435105,89071.3616713356,4.9497380916087,82231.5408398983,6428.48033841728,60,
,B11,SYBR,,Unkn-18,,,23.4813796258917,23.4664864959294,0.124995340435105,81309.2288119903,4.91013984196126,82231.5408398983,6428.48033841728,60,
,B12,SYBR,,Unkn-18,,,23.5833680498128,23.4664864959294,0.124995340435105,76314.032036369,4.88260440002131,82231.5408398983,6428.48033841728,60,
,C01,SYBR,,Std-03,,,18.0780446894562,17.7525537723671,0.38896067662083,3650000,6.56229286445647,3650000,0,60,
,C02,SYBR,,Std-03,,,17.8578235281794,17.7525537723671,0.38896067662083,3650000,6.56229286445647,3650000,0,60,
,C03,SYBR,,Std-03,,,17.3217930994658,17.7525537723671,0.38896067662083,3650000,6.56229286445647,3650000,0,60,
,C04,SYBR,,Unkn-03,,,22.0589291517212,21.978324611387,0.0989978034927376,196870.88355021,5.29418149039656,207250.863882891,12909.2004062413,60,
,C05,SYBR,,Unkn-03,,,21.8678244341676,21.978324611387,0.0989978034927376,221705.812837503,5.34577707989914,207250.863882891,12909.2004062413,60,
,C06,SYBR,,Unkn-03,,,22.0082202482722,21.978324611387,0.0989978034927376,203175.895260961,5.30787218207585,207250.863882891,12909.2004062413,60,
,C07,SYBR,,Unkn-11,,,21.6586297078147,21.6385495572133,0.102856904727113,252497.287905974,5.40225671768717,256019.661068322,16508.6946033356,60,
,C08,SYBR,,Unkn-11,,,21.729885679878,21.6385495572133,0.102856904727113,241556.432005626,5.38301860608402,256019.661068322,16508.6946033356,60,
,C09,SYBR,,Unkn-11,,,21.5271332839472,21.6385495572133,0.102856904727113,274005.263293367,5.43775890514634,256019.661068322,16508.6946033356,60,
,C10,SYBR,,Unkn-19,,,18.1803085599418,18.3984711671793,0.232319386818632,2194595.94028943,6.34135457147743,1929496.59611359,274605.656963411,60,
,C11,SYBR,,Unkn-19,,,18.372363325175,18.3984711671793,0.232319386818632,1947612.18254423,6.28950248244563,1929496.59611359,274605.656963411,60,
,C12,SYBR,,Unkn-19,,,18.6427416164211,18.3984711671793,0.232319386818632,1646281.66550712,6.21650414151441,1929496.59611359,274605.656963411,60,
,D01,SYBR,,Std-04,,,20.7608263633078,20.9422392006868,0.273540524139178,365000,5.56229286445647,365000,0,60,
,D02,SYBR,,Std-04,,,21.2568684971086,20.9422392006868,0.273540524139178,365000,5.56229286445647,365000,0,60,
,D03,SYBR,,Std-04,,,20.8090227416441,20.9422392006868,0.273540524139178,365000,5.56229286445647,365000,0,60,
,D04,SYBR,,Unkn-04,,,19.3346703106388,19.3048463786494,0.0262066904479509,1070762.40092258,6.02969311283378,1090896.31186454,17699.0008935339,60,
