,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Std-1,Std-1,Std-1,Unkn-1,Unkn-1,Unkn-1,Unkn-9,Unkn-9,Unkn-9,Unkn-17,Unkn-17,Unkn-17
A,Sample,,,,,,,,,,,,
A,Cq,9.03444025737222,8.87729584846872,8.72289890096039,19.725923785938,19.6566856760142,19.6736257158124,19.6971463746421,19.8588982991421,19.7564757111955,18.9264151881196,18.9730815945461,19.0545240623624
A,copy number,365000000,365000000,365000000,1035541.18123489,1076218.09354976,1066120.6499083,1052257.59713983,961681.261415074,1018084.50745492,1615794.93142674,1574375.33127336,1504616.81006052
B,Content,Std-2,Std-2,Std-2,Unkn-2,Unkn-2,Unkn-2,Unkn-10,Unkn-10,Unkn-10,Unkn-18,Unkn-18,Unkn-18
B,Sample,,,,,,,,,,,,
B,Cq,13.6098745830273,13.7248142760504,13.5045144787964,19.8268637437078,20.3021245451784,20.2740568949988,19.2391546682618,19.189856412244,18.904571419691,15.8909314598945,16.0760299835816,16.2988836853821
B,copy number,36500000,36500000,36500000,978978.174964517,751477.127389879,763306.450659466,1357706.37126166,1395467.94766149,1635555.43801677,8749389.69442496,7893045.8219167,6972477.43173873
C,Content,Std-3,Std-3,Std-3,Unkn-3,Unkn-3,Unkn-3,Unkn-11,Unkn-11,Unkn-11,Unkn-19,Unkn-19,Unkn-19
C,Sample,,,,,,,,,,,,
C,Cq,17.9744046725712,17.6718371240541,17.285764725115,19.7556116853208,20.0244967762847,20.0223636123632,21.5729193922727,21.6191117751794,21.613782542413,20.0526319291899,20.169495285909,20.4218927406413
C,copy number,3650000,3650000,3650000,1018574.12510808,877022.294235731,878063.97521222,370510.222152124,361107.731831553,362180.208074145,863398.229759054,809037.307830783,703025.606063357
D,Content,Std-4,Std-4,Std-4,Unkn-4,Unkn-4,Unkn-4,Unkn-12,Unkn-12,Unkn-12,Unkn-20,Unkn-20,Unkn-20
D,Sample,,,,,,,,,,,,
D,Cq,21.7830671786629,21.8667074279876,21.6738121474317,23.233316655439,23.2099319636994,23.3432738647637,19.6915497040449,20.0257820349309,20.0608276217525,19.6286908005455,19.7230588853781,19.812270655703
D,copy number,365000,365000,365000,147071.531513497,148997.863440674,138342.313075012,1055539.83728122,876395.264766191,859469.529138712,1093115.03468528,1037193.39120004,986960.453104849
E,Content,Std-5,Std-5,Std-5,Unkn-5,Unkn-5,Unkn-5,Unkn-13,Unkn-13,Unkn-13,Unkn-21,Unkn-21,Unkn-21
E,Sample,,,,,,,,,,,,
E,Cq,25.3756307617296,25.3363923781226,25.3179662601018,17.5942901296745,18.0657014842434,17.8986677510087,19.1902864169219,19.3468378685436,19.2968291634407,19.6030685594528,19.5739839408086,19.7299181867084
E,copy number,36500,36500,36500,3390967.36716418,2608535.01483776,2862622.31446219,1395134.07322498,1278738.78626776,1314823.76012249,1108812.33006054,1126904.16892978,1033241.9718975
F,Content,Std-6,Std-6,Std-6,Unkn-6,Unkn-6,Unkn-6,Unkn-14,Unkn-14,Unkn-14,Unkn-22,Unkn-22,Unkn-22
F,Sample,,,,,,,,,,,,
F,Cq,29.9824677810559,29.792028268909,29.6746986532639,17.6908389958546,17.73755190835,17.5742095313314,18.2630938623117,18.4182705316747,18.4550378674121,22.5524046763134,22.9809723679002,23.1593989716754
F,copy number,3650,3650,3650,3213589.87029649,3131131.05290769,3429071.41028662,2337181.57393584,2143831.2282927,2100414.25029128,214825.581534915,169243.957280248,153247.165949078
G,Content,Std-7,Std-7,Std-7,Unkn-7,Unkn-7,Unkn-7,Unkn-15,Unkn-15,Unkn-15,Unkn-23,Unkn-23,Unkn-23
G,Sample,,,,,,,,,,,,
G,Cq,33.7389886069985,34.4622961804355,34.186858707436,18.9411419310041,19.1783315589234,19.0366687967888,21.4397955130107,21.56267155413,21.5252578100198,18.1663469432563,18.2484898226559,18.4857268683628
G,copy number,365,365,365,1602607.60605947,1404446.17742453,1519641.08943261,398999.648163499,372629.136635347,380468.464611292,2466456.60115503,2356252.57224335,2064848.92961998
H,Content,NTC,NTC,NTC,Unkn-8,Unkn-8,Unkn-8,Unkn-16,Unkn-16,Unkn-16,Unkn-24,Unkn-24,Unkn-24
H,Sample,,,,,,,,,,,,
H,Cq,38.9160302142126,36.9614642471727,35.5070420360133,20.124160519155,20.0398848405967,20.0721699465356,38.2887797058996,22.0374797279433,21.6780558049507,18.0086718842564,18.0016338001271,17.9614141421097
H,copy number,NaN,NaN,NaN,829706.88559394,869544.412337079,854061.926092855,33.8099303594854,286107.310181975,349455.326077495,2692645.18884537,2703211.57301745,2764394.40006227
