,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,,Std-01,,17370.0828203819,,Standard,Unassigned,False
,A02,SYBR,,Std-01,,16416.63969105,,Standard,Unassigned,False
,A03,SYBR,,Std-01,,17076.0222621855,,Standard,Unassigned,False
,A04,SYBR,,Unkn-01,,9718.73773057495,,Unknown,Unassigned,False
,A05,SYBR,,Unkn-01,,10631.0279045947,,Unknown,Unassigned,False
,A06,SYBR,,Unkn-01,,11073.3934166816,,Unknown,Unassigned,False
,A07,SYBR,,Unkn-09,,11494.8784362944,,Unknown,Unassigned,False
,A08,SYBR,,Unkn-09,,11572.9808344074,,Unknown,Unassigned,False
,A09,SYBR,,Unkn-09,,10630.0619263601,,Unknown,Unassigned,False
,A10,SYBR,,Unkn-17,,12894.4973404395,,Unknown,Unassigned,False
,A11,SYBR,,Unkn-17,,13949.941397023,,Unknown,Unassigned,False
,A12,SYBR,,Unkn-17,,13663.5202767234,,Unknown,Unassigned,False
,B01,SYBR,,Std-02,,16275.3936234004,,Standard,Unassigned,False
,B02,SYBR,,Std-02,,16194.5821573857,,Standard,Unassigned,False
,B03,SYBR,,Std-02,,16661.1199184979,,Standard,Unassigned,False
,B04,SYBR,,Unkn-02,,6712.77706744666,,Unknown,Unassigned,False
,B05,SYBR,,Unkn-02,,7617.93229462276,,Unknown,Unassigned,False
,B06,SYBR,,Unkn-02,,8541.6411153538,,Unknown,Unassigned,False
,B07,SYBR,,Unkn-10,,8512.21961904293,,Unknown,Unassigned,False
,B08,SYBR,,Unkn-10,,8897.7476757079,,Unknown,Unassigned,False
,B09,SYBR,,Unkn-10,,9811.39127627505,,Unknown,Unassigned,False
,B10,SYBR,,Unkn-18,,9998.2858507232,,Unknown,Unassigned,False
,B11,SYBR,,Unkn-18,,9969.3274359615,,Unknown,Unassigned,False
,B12,SYBR,,Unkn-18,,9277.39548964023,,Unknown,Unassigned,False
,C01,SYBR,,Std-03,,17111.4944188642,,Standard,Unassigned,False
,C02,SYBR,,Std-03,,17841.8630430196,,Standard,Unassigned,False
,C03,SYBR,,Std-03,,17136.647692068,,Standard,Unassigned,False
,C04,SYBR,,Unkn-03,,8646.34341693832,,Unknown,Unassigned,False
,C05,SYBR,,Unkn-03,,8852.79765323043,,Unknown,Unassigned,False
