,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,-73.2428416525081,-31.4433468684529,-10.3239984383217,-27.9133624172218,-21.9290662482063,-17.2378941382876,-44.3314632171541,-87.7790037184523,-97.2069387742868,-193.909271742537,-190.983855601957,-341.168617186402,111.849813278928,187.606240659775,187.721625515951,-85.4436489580457,-67.9008532388707,-86.3460259251751,-76.4705012958111,-80.6852910994639,-70.9023647004869,-230.208010746832,-246.444204826876,-406.119812781104,71.4078132713494,145.374945598362,145.357692190093,-74.793367285838,-59.8689283210042,-79.2346369549123,-30.535396092906,-33.0214598731782,-30.4077057241066,-77.5451807303843,-86.3512390643082,-186.210952404576,78.7925610685652,103.293670295892,112.080012648092,-36.9203644953413,4.61395146570248,-6.27675037867812,-113.756182947196,-174.050182635923,-163.319553028907,-104.785517316768,-75.5510575025346,-207.483548303435,32.2803615864732,100.046099975516,80.7730931085916,-35.5976293106141,-25.8674184865104,-12.5013000129875,-61.9390490114583,-87.422949245014,-76.3668289768884,51.6669511607179,31.4529454755866,-51.577002279405,4.28591314917321,92.1427073927671,100.461065573512,-51.0365710028036,-62.0965996885861,-33.5706844032193,-111.31433472107,-113.520720056707,-114.431500457558,68.5155302495677,81.7770772859603,-25.4258266027073,-17.5104607648454,69.696446044305,99.4137314134914,-60.9980840226035,-65.7958541921835,-53.8474582378312,83.757792533499,65.2181773810689,61.3592578231128,41.8894600079366,26.590173759776,-84.0161234088046,-64.4347959366387,12.9288450382173,47.6775679981611,13.3461187512585,35.7249985967574,48.7724935258666,-77.7837430024847,-92.166774507079,-69.0071755314657,6.39267163210025,3.58963568889521,-194.51613532195
,2,3.60196985555285,16.437601470001,23.994401762091,14.5652066712846,20.1577413299592,16.8690862520625,27.2245089739718,-20.3250664134493,-18.4489076814889,-17.9460341717968,-9.99511868258924,-88.2783484488773,167.325367654056,182.426440155401,174.073675297108,5.53729213885345,-40.0420870419148,-7.36825872705413,-22.5284767678349,-28.3240759291311,-3.60784170648549,-59.2079799667099,-72.2289721202797,-136.108385770396,85.2732698468808,106.743002753442,91.4863547004161,-22.3369091940367,-14.8437553424246,-19.8390733575598,10.4798860337323,-6.10881311326466,4.30102247633567,-28.311843556914,-19.8874673922201,-55.4126530625927,83.4007092168013,80.3021143242649,77.0817126931133,-2.00906601442148,18.5545829116691,7.74010019989146,-25.8736870062112,-59.5463328698443,-63.4571581120399,-46.4567333546929,1.24927646802826,-26.6062278407571,53.9309593466442,76.8575380534949,53.3911123399485,-8.72875341060535,2.27135294369145,5.53349691729818,-20.513768227549,-29.9407004748646,-13.2755379217124,40.7168586497828,42.9729950431101,29.8435138825225,51.586931865244,75.1597274020905,79.3559950022736,-1.29143952264531,-14.6602534852336,-5.89243519472438,-32.3181506811125,-35.0834276484657,-44.9475349740533,51.3591114233977,62.7675362937116,43.2539567529029,44.8730215409596,54.6019846554873,78.7716817999781,-37.6003831530925,-19.6468742097368,-17.60053646089,57.5214208011284,51.9550238293623,53.9539062828353,25.6633189433778,23.6667814403536,11.2958366852163,5.5950410373307,69.9875469993995,76.2707761695765,23.5840931241164,43.4840551860943,56.7574094816591,-14.4800242660931,-9.35580210271291,-21.6300136290629,20.9857313802477,56.9605412207075,-28.0680343555887
,3,6.18718402935065,14.7687386439584,27.3481203673273,18.5013443015732,19.1183863084798,25.69591233338,27.5767393631577,-0.125911688285669,10.377879510208,8.04681831575726,-9.994150479366,1.557749050653,171.217026312785,184.976349978087,180.821288839105,-1.51932956317069,-2.72917825616241,-13.2353551041069,0.783395509315596,2.58252541776346,4.71301682107696,-2.77750156459115,-3.4223902314061,-12.92794701602,51.0710787297521,54.9067728667715,62.7138395173642,-3.72235390102469,4.35393106577976,2.30741274237516,6.71703182056172,-1.55392047409077,-1.89616959136492,-11.9319424439236,-16.4645029379517,-5.32620279550792,62.7929926028919,49.6694644894906,47.8355802043388,6.38524098782909,0.748767644117834,5.28034703685626,-22.359176859416,-8.38695876205202,-21.393798071198,-7.4988273535273,-9.53092253459727,4.31020416455431,40.1279492782514,50.5766563471798,42.3831275877628,-4.33313571299368,3.4745667956704,7.89291148270604,-8.64162232405761,-7.55827267409404,-3.05126783253036,26.3690907171695,24.354033656723,34.5305884673044,41.7041360834728,47.5649686489114,59.706097143614,-15.4723115038378,-10.8493978970782,4.58190362426285,-2.91039689003992,-16.2055082306215,-21.2038064150711,34.4894658584435,39.1225202801425,31.7509392373422,40.690110929143,37.9564987875083,58.7500718577548,-14.3866219824249,-12.2154227063584,-8.509099200317,39.5537201039069,34.2019958713063,32.2666403189251,5.1985378463196,18.9462020456722,27.4281556247388,14.6820375953484,57.0481002604556,50.4512799817858,12.3889049194931,17.0953105393055,15.8825144817056,-7.55154660543303,8.4860284130209,7.5088349611251,16.0709840565123,20.452487090517,3.30134013137649
,4,25.5661920665461,16.2786399643164,11.8373229569706,27.9472851066903,21.5482600079695,22.6221718826582,26.14402544923,9.3536101268528,19.6959270229336,8.18381455770577,23.06599091932,18.2266378834665,191.86722726223,207.833981286303,228.124924649957,24.0017116247745,16.4246192152241,20.2259358658339,22.5787822658804,11.6890817426338,8.54430968384258,37.7419004983494,16.0098487932955,21.8556435425544,21.572508167711,23.535094652726,22.6258138121666,21.3026296567314,12.2985541477119,14.7397106872177,10.5545871728727,6.17320900778759,12.4539505443026,4.86088391166959,19.1800849740266,0.956838853898262,43.9727362295334,35.8499332491047,30.4660685750896,-0.719652881418369,10.0975926819374,12.1518227473352,14.933373856853,16.2057542443963,12.1311050538043,12.4276274024596,16.456255391784,14.0963326237124,21.9807858070117,27.0325137884529,14.824477480759,5.13853658180597,18.3935459639051,9.31597588455588,6.21138306851935,14.3793444430885,2.68059399392769,19.5756466910507,25.3880865046194,15.5585181470333,31.4620567950033,29.1098184683588,41.1585615919876,25.9874040397044,10.0154816107442,7.97626247082553,4.5658177279638,-12.6597947529262,13.5307876566494,41.2335743550966,33.0644511733317,30.0751676577374,32.9379251014707,27.0035434194187,40.0341782717287,5.88039080276212,3.91430649943686,1.74881559597088,23.9574591794408,34.3285429816024,28.390514732273,23.273655934925,21.7708339751061,1.79164129424134,17.9745077510115,47.6805117503409,37.3750409628447,13.2984859194639,37.8898035979382,33.1899206427661,15.332918624852,16.4213338709396,7.15297309933885,6.68968823218347,13.611227264515,28.0915642108866
,5,15.0082144194075,16.5041258270612,18.0187966416261,15.1435635894995,20.1245030354239,15.3617471989019,11.3733791204832,16.8602088308353,17.7191986772532,24.6355057422588,13.265026805886,22.3535959621458,244.358848525717,260.886673116281,298.774789304748,19.8702916698512,23.8131579242818,33.0882895174254,14.6871381585952,22.8522865121176,13.4295077208262,55.476637390102,40.0308546553151,43.1065708007009,-2.75324521356015,-9.76630695407403,-10.152431508981,17.7170449512305,19.3426095981831,27.6647243047919,12.383142100648,17.9955883345119,15.8904641420395,23.4501364420685,19.145538969211,14.6145449727146,12.3435745823826,13.4544293118161,11.1805984237317,13.8506695192264,9.39206957435454,17.9397304953964,35.2076776270787,20.275674234972,31.9416427204415,23.9995714614488,19.7982779959948,27.1759660858133,15.2852724598724,17.4822661488488,7.04458143200009,10.593033515941,12.0630656764024,12.7287808912188,16.7584727169869,8.0993238272622,15.7653080023301,25.0491240537058,20.6585027455094,15.5614422381595,17.0555903875411,16.5015485001895,20.675856305279,15.4171775189334,8.24546827224003,11.8567255884263,30.3665101040697,10.4173523703066,33.9832545876343,28.0656313038317,14.7869910037343,16.1363245786415,21.7360521020164,16.8410314978064,24.7971333952464,21.8493457115565,13.5241311353657,9.60665899701053,15.619544258624,13.6862166716619,19.6429241114574,19.976708410175,0.895529703593638,4.46590154189835,20.2547670179438,34.8489776154292,25.1167029451271,3.77078571624224,14.0018529784393,34.1028975221634,21.7703402146344,12.6699588524389,19.1675984627909,6.82475331725982,0.72346580424346,20.4683911431966
,6,18.126896046102,10.5429762173526,16.5691413721897,19.5398651627629,18.7263324794385,4.79987320129203,-0.820893008102757,20.482380790525,-3.52530217470394,1.64386820629079,-1.19420953883491,18.2178226601882,326.71139225353,353.880556583725,436.294575554219,31.5418596823529,24.1779747575965,22.7869402873293,26.8140563533943,12.69286959487,30.3421815901729,53.4795338680906,48.8856727979437,65.2263054665855,-22.4919091470847,-22.7405547476137,-24.0211110569153,15.5226776020299,25.4853804222603,17.0246326158067,12.0339401591464,11.0192183625732,13.2263001858992,18.7317170011283,11.4521452773533,16.7655351475769,-10.3950646958574,-10.8097292375032,0.675697068217232,3.61196081313756,10.5418160651807,7.75240267178197,37.1599754637682,27.9105378266413,37.6937273453532,9.32902656169063,12.3623478111313,4.06626866824809,-2.2055502704734,2.28319789741727,-0.356053482537391,11.9222182767171,16.4459168351386,15.5500290527962,24.5363227186681,17.8981412148005,14.4082159138943,7.14110836759028,5.51623056464177,1.46642077836532,4.5189769341705,6.83129331387227,11.0004820537715,10.6607581690932,21.9557622808497,7.12039628077764,22.4147916077527,87.2964208800768,28.3606289475683,15.8118304370291,16.2369209144827,8.13146409374895,8.7792036258279,8.85202245898836,17.9747485500948,8.81058691785074,10.4254587501691,10.9626590392054,10.5432161545232,7.01687959886385,8.48534312259562,5.67728212061229,4.21240767223389,-12.1326738919906,16.9243665228305,31.0674079604269,14.8150393558308,8.39695982397461,12.0995510688572,-0.593130025836217,29.5369236614169,8.80504146073872,12.6773343928635,6.39246478322457,-6.6526601077112,6.27720884805785
,7,17.1154249952533,9.85690611444534,1.9301686780218,13.333350234775,2.89507544467961,8.19248563775454,6.5928579348747,9.27794644106416,1.88087677444764,2.80677216566255,26.2086652196049,3.73871255703125,495.897792270718,550.614151560676,701.965775291851,11.3408453394786,3.42218303406116,20.7853168297152,14.1442042087365,13.629737880623,23.8269092572118,44.9842387551907,60.743273338072,42.9581323393759,-26.4784956383337,-27.0163490307477,-32.4453059870038,20.8207250361193,18.6640735744841,14.0634769728968,11.4636974762498,10.0531506901425,19.3054649149863,26.1210377850803,12.5907012681528,19.9141958330119,-23.8710507838323,-22.1080359774533,-15.4735087342069,18.7327641724278,8.52816336622709,12.1127943963838,24.7290192841847,32.6796337234973,23.993927169764,22.4054215341239,18.1335212386875,17.6592931050272,-8.74180922336654,-8.86533432364104,-2.52558690924798,7.84032009601287,7.44811099317667,5.21783946649157,17.6835533670455,16.0012636711326,19.2607469653485,0.0943255557886005,-3.15231585509719,-1.11377261319103,8.82457852337757,-1.42587462784377,9.04117190855231,8.16608970069319,16.0404171991431,13.2875028036415,35.5624828154178,68.4034916798664,38.8306896838603,-1.48089402812275,-7.04464517509496,1.04574936515473,2.76478020054765,1.1569752030091,12.4061190924094,20.6689767169664,15.3467357998197,13.9622943561335,-9.95411863502977,2.45398257155102,3.72637890824899,-6.67883786566927,-9.10537640537586,2.95920662172648,12.7423319854033,16.2650219384532,7.52134510074757,12.2389507481257,-24.637764404757,-7.80463271329609,1.17856774979191,4.65400381374457,21.3350733300576,-0.876718680829072,-6.80924082171259,2.88590315317015
,8,17.0748618113366,4.88506601150402,13.7762847291342,-5.55107061288982,2.69910875288133,0.740984764981476,-3.24193479077894,-4.94638023487914,-12.7328591469486,-4.09771873060345,5.96128721086279,10.6013188673842,815.300947718191,923.362796582136,1203.69181349639,3.74287660549817,21.5370104731228,8.34095507013808,14.9823127762538,6.27626891916589,1.09319238498756,50.4742013902414,41.7896794944445,40.9568281527681,0.0341981083747669,-2.05291721106096,-2.92901659527706,17.1378207083362,10.526900843186,4.84117130875893,8.21925525777988,7.68551918197682,-1.20427697282685,10.0280608388366,10.8415341704367,3.34845588292683,-42.8064831642823,-32.6447750807629,-31.9874390923515,10.7452175650233,10.9546808032464,5.66098986452926,17.6957600824553,30.3875721728891,21.6936024617025,20.2966955960601,8.88716313162331,-3.40530242723435,-14.2428011053344,-19.241013028899,-17.6992919169152,9.92771929229457,3.92846387965437,3.31876209917027,8.26600130640145,19.1611084403357,5.51137079719229,-4.1528254489358,-7.76768050637384,-2.76194125569873,-8.24240664724221,-3.21893694761638,-8.58782848251667,10.2032314219778,16.4580740387864,14.4308815410477,31.322636086783,52.6448135879236,31.0168985662822,-5.33916209055951,0.399019448502258,-3.42323285119073,-6.8745007748139,0.866090542745042,9.98447783679421,1.48770979017718,13.3333314916945,17.2830177962114,-18.6054997300189,-9.72255037560444,-9.74208887301938,-19.3939421849154,-5.99308541971186,-15.2723125060184,7.95264228427914,6.27038345286201,5.83539372754149,8.69411206833865,6.11943011928634,-22.2305275018789,2.6706725114509,6.01980779123915,2.66455911211597,0.154275211205459,-23.8399204339457,-31.492156631899
,9,9.90759098130457,7.07028332654318,7.61590643984164,-14.8720949871495,-13.6496898827163,-4.45102976000999,-9.51788564380695,2.88212417477371,-6.58030408237119,18.1230624014843,1.44915551034137,12.8462561964279,1424.06124080861,1611.03389805528,2104.7834693327,-8.95228160369334,0.659552535313196,-3.48679629036269,6.0286864856771,13.4664702951595,1.19747383006325,27.6253175801467,33.2031085899343,30.4558235287768,73.3383689109032,77.7154614681904,87.1813512816561,6.18077225819434,5.76121194335974,7.24506185245264,0.665066918293633,5.1986177341596,0.00369474373565026,10.3385484126156,11.3257117226822,6.40236385040498,-49.7312758466505,-35.0188925339698,-37.6525454450421,-6.76755675010645,-1.96899236206264,-2.84267269738302,20.6764995871381,15.2383478318789,10.5968102633851,-0.897787363437601,6.28125603474109,1.70679809497778,-23.9363249420785,-28.6803228434064,-19.5378083945106,6.59971905312887,-2.15860984936262,-3.21457918285887,10.0370486123284,13.8025133426854,1.98084729828952,-12.7312683563378,-11.4427891207042,-8.92570027444799,-20.1920074552791,-21.9597872239447,-11.3398335262809,0.0343840535133495,9.58220354764853,-2.93364981604464,14.1668444119823,43.2571053637803,15.1346619373271,-14.9071072883498,-19.714347909231,-17.760392519247,-6.41113978430167,-11.5677237911241,-5.77150106366844,3.41614177956581,18.9423486472588,19.1454967634054,-31.8331785488353,-13.5977989745043,-7.87230800631369,-16.9202637075796,-19.1508746857216,-2.05064528237926,4.95131690428025,1.9842751820006,-0.413406833215049,17.1639141260857,-37.7543116084162,4.75046445280896,-3.76880105302916,-1.38762908407807,0.830889335285974,-11.8354448259306,-19.2392224522027,-37.0760417503625
,10,9.00794844915072,4.83235691963364,9.01827265783322,-10.1118160992683,-14.5455849498485,-13.2689547722766,-30.0348217936871,-13.3897612817545,-12.7614642220797,13.0954654929319,4.66192395944563,-2.98575278931276,2491.52195652972,2797.28436028073,3653.82396383168,9.43818231082514,14.2544604287668,14.5942574073833,8.44032801077446,2.69488991007711,11.294140263979,7.80614382165913,23.2673546281094,19.7606805253345,234.987796925902,262.241580012625,284.916238186581,6.57034785431279,9.8326096398705,16.0520738002397,-11.0923259862366,-6.22811017569165,-12.3713064595613,-0.0131832694696641,11.6039024738584,4.25543978639325,-39.3731735706888,-39.5367544729925,-47.9344448139782,-5.54208569841649,5.84449314954873,-6.75457212484616,5.13842058976843,14.1383027890188,7.25471483641013,1.73821642551411,13.378277471169,-11.3570548516709,-25.032935734559,-29.6306850004185,-28.28919352916,1.58927761430277,-7.9529183078721,3.84410776938057,8.87632636021408,12.3672666753828,14.3007009669436,-22.4593934197919,-12.0033476615008,-11.1979556959832,-18.2874028121241,-20.9889674777023,-23.7068267071991,17.5627677780758,0.518544513744928,-8.29190514264337,14.99009215154,13.0458669730724,12.0236287823482,-32.532495677824,-31.55747208097,-19.4766873303142,-8.8993896719021,-15.2589713716543,-19.0540032423496,5.2714273866859,12.6717936646364,-2.64019463824116,-51.6771426236128,-24.5851449237389,-17.4582288421143,-14.5393836547664,-13.9411318010261,-11.731464860577,-0.879432937882484,0.445800385407892,-6.2982298711222,-27.9948818798875,-13.2656590675342,-35.152431669705,18.3293044532729,21.5207769715398,17.8605203804145,-6.73777247515864,6.30492214664264,-15.5215703834874
