,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Std-01,,11.3138785749086,365000000
,A02,SYBR,,Std-01,,10.6865397718528,365000000
,A03,SYBR,,Std-01,,10.4729664990968,365000000
,A04,SYBR,,Unkn-01,,19.4936796717753,2118520.66142546
,A05,SYBR,,Unkn-01,,19.5627236426508,2035722.34657252
,A06,SYBR,,Unkn-01,,19.537758879226,2065280.09299487
,A07,SYBR,,Unkn-09,,19.9715673195356,1607654.7772232
,A08,SYBR,,Unkn-09,,20.0076590646872,1574497.83102217
,A09,SYBR,,Unkn-09,,20.0502073336895,1536286.57423447
,A10,SYBR,,Unkn-17,,19.9240529453607,1652372.57143297
,A11,SYBR,,Unkn-17,,19.8879161400498,1687213.36020277
,A12,SYBR,,Unkn-17,,19.5758722448752,2020325.1416855
,B01,SYBR,,Std-02,,13.9802569170436,36500000
,B02,SYBR,,Std-02,,13.9403581100677,36500000
,B03,SYBR,,Std-02,,13.820334404278,36500000
,B04,SYBR,,Unkn-02,,17.9653162006062,5120359.8738102
,B05,SYBR,,Unkn-02,,18.0785223331207,4796360.06347306
,B06,SYBR,,Unkn-02,,18.1292170171061,4657995.5559018
,B07,SYBR,,Unkn-10,,19.056356190947,2727095.4223248
,B08,SYBR,,Unkn-10,,18.9570950441425,2887965.87348909
,B09,SYBR,,Unkn-10,,18.9554706787588,2890675.88304469
,B10,SYBR,,Unkn-18,,19.2131088184545,2491101.77045379
,B11,SYBR,,Unkn-18,,19.3175110264884,2345365.45235453
,B12,SYBR,,Unkn-18,,19.3596566704822,2288978.21016595
,C01,SYBR,,Std-03,,18.6032216047472,3650000
,C02,SYBR,,Std-03,,18.6101595112381,3650000
,C03,SYBR,,Std-03,,18.1907607020836,3650000
,C04,SYBR,,Unkn-03,,17.4254405780587,6993347.70304754
,C05,SYBR,,Unkn-03,,17.2599448235772,7694608.00302209
,C06,SYBR,,Unkn-03,,17.3916584717414,7131102.22180888
,C07,SYBR,,Unkn-11,,22.6146791313816,349445.553314412
,C08,SYBR,,Unkn-11,,22.7214503258944,328552.29173144
,C09,SYBR,,Unkn-11,,22.7526177221053,322692.336322857
,C10,SYBR,,Unkn-19,,25.4115982764237,69501.7866839415
,C11,SYBR,,Unkn-19,,25.2209863241216,77588.2109049129
,C12,SYBR,,Unkn-19,,25.4587358981056,67635.5872991411
,D01,SYBR,,Std-04,,23.2630150773594,365000
,D02,SYBR,,Std-04,,23.4185465834223,365000
,D03,SYBR,,Std-04,,23.1945179509623,365000
,D04,SYBR,,Unkn-04,,19.6968593547919,1884001.8503259
,D05,SYBR,,Unkn-04,,19.8650306713256,1709657.02764109
,D06,SYBR,,Unkn-04,,20.0003826492239,1581127.06855013
,D07,SYBR,,Unkn-12,,19.7625740118997,1813852.87304525
,D08,SYBR,,Unkn-12,,19.8289600073699,1745639.00746209
,D09,SYBR,,Unkn-12,,19.9905569198432,1590123.19407607
,D10,SYBR,,Unkn-20,,19.7077125923794,1872231.97493693
,D11,SYBR,,Unkn-20,,20.1483216301024,1451670.69029289
,D12,SYBR,,Unkn-20,,20.2030257308608,1406533.10480709
,E01,SYBR,,Std-05,,25.9452410936949,36500
,E02,SYBR,,Std-05,,25.6343424267851,36500
