,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,,Std-01,,17828.2362250366,,Standard,Unassigned,False
,A02,SYBR,,Std-01,,17490.9179920575,,Standard,Unassigned,False
,A03,SYBR,,Std-01,,19042.3985526195,,Standard,Unassigned,False
,A04,SYBR,,Unkn-01,,14797.2738527188,,Unknown,Unassigned,False
,A05,SYBR,,Unkn-01,,15169.308849006,,Unknown,Unassigned,False
,A06,SYBR,,Unkn-01,,14837.7698359349,,Unknown,Unassigned,False
,A07,SYBR,,Unkn-09,,13638.5156263941,,Unknown,Unassigned,False
,A08,SYBR,,Unkn-09,,13674.1871916959,,Unknown,Unassigned,False
,A09,SYBR,,Unkn-09,,13829.2793100866,,Unknown,Unassigned,False
,A10,SYBR,,Unkn-17,,14373.865291179,,Unknown,Unassigned,False
,A11,SYBR,,Unkn-17,,14082.8798534718,,Unknown,Unassigned,False
,A12,SYBR,,Unkn-17,,13891.5380328817,,Unknown,Unassigned,False
,B01,SYBR,,Std-02,,17569.0672760665,,Standard,Unassigned,False
,B02,SYBR,,Std-02,,18173.0816611145,,Standard,Unassigned,False
,B03,SYBR,,Std-02,,18529.8806851035,,Standard,Unassigned,False
,B04,SYBR,,Unkn-02,,14977.5489045022,,Unknown,Unassigned,False
,B05,SYBR,,Unkn-02,,14285.9395455238,,Unknown,Unassigned,False
,B06,SYBR,,Unkn-02,,14702.08007481,,Unknown,Unassigned,False
,B07,SYBR,,Unkn-10,,14183.4678631582,,Unknown,Unassigned,False
,B08,SYBR,,Unkn-10,,13451.7923357657,,Unknown,Unassigned,False
,B09,SYBR,,Unkn-10,,13799.1874239825,,Unknown,Unassigned,False
,B10,SYBR,,Unkn-18,,14732.1121239945,,Unknown,Unassigned,False
,B11,SYBR,,Unkn-18,,14756.4226774255,,Unknown,Unassigned,False
,B12,SYBR,,Unkn-18,,14108.1232647083,,Unknown,Unassigned,False
,C01,SYBR,,Std-03,,15028.719360407,,Standard,Unassigned,False
,C02,SYBR,,Std-03,,18656.4294748867,,Standard,Unassigned,False
,C03,SYBR,,Std-03,,17605.8313319393,,Standard,Unassigned,False
,C04,SYBR,,Unkn-03,,15410.5174101312,,Unknown,Unassigned,False
,C05,SYBR,,Unkn-03,,16577.8389816098,,Unknown,Unassigned,False
,C06,SYBR,,Unkn-03,,15410.011007326,,Unknown,Unassigned,False
,C07,SYBR,,Unkn-11,,14332.8815652827,,Unknown,Unassigned,False
,C08,SYBR,,Unkn-11,,14289.5544759802,,Unknown,Unassigned,False
,C09,SYBR,,Unkn-11,,15083.018061732,,Unknown,Unassigned,False
,C10,SYBR,,Unkn-19,,14996.6265237211,,Unknown,Unassigned,False
,C11,SYBR,,Unkn-19,,15320.113573622,,Unknown,Unassigned,False
,C12,SYBR,,Unkn-19,,14084.3609946221,,Unknown,Unassigned,False
,D01,SYBR,,Std-04,,18800.8781039929,,Standard,Unassigned,False
,D02,SYBR,,Std-04,,18470.8617520268,,Standard,Unassigned,False
,D03,SYBR,,Std-04,,18328.0660929361,,Standard,Unassigned,False
,D04,SYBR,,Unkn-04,,14821.3927120185,,Unknown,Unassigned,False
,D05,SYBR,,Unkn-04,,15866.7934315911,,Unknown,Unassigned,False
,D06,SYBR,,Unkn-04,,15609.5785186219,,Unknown,Unassigned,False
,D07,SYBR,,Unkn-12,,16023.2331137358,,Unknown,Unassigned,False
,D08,SYBR,,Unkn-12,,16340.7139852984,,Unknown,Unassigned,False
,D09,SYBR,,Unkn-12,,16129.8792273883,,Unknown,Unassigned,False
,D10,SYBR,,Unkn-20,,15771.520615684,,Unknown,Unassigned,False
,D11,SYBR,,Unkn-20,,16208.2051888549,,Unknown,Unassigned,False
,D12,SYBR,,Unkn-20,,15388.0170073958,,Unknown,Unassigned,False
,E01,SYBR,,Std-05,,17167.9089248018,,Standard,Unassigned,False
