,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,A01,SYBR,,Std-01,,88.5,3447.1199502956,85,91.5,
,A02,SYBR,,Std-01,,88.5,3449.59599044785,84.5,91.5,
,A03,SYBR,,Std-01,,88.5,3341.87922865835,84.5,91.5,
,A04,SYBR,,Unkn-01,,92,2277.01128380236,83.5,95,
,A05,SYBR,,Unkn-01,,92,2368.1990411137,82.5,95,
,A06,SYBR,,Unkn-01,,92,2258.84596193319,83,95,
,A07,SYBR,,Unkn-09,,92,2238.2721840092,82.5,95,
,A08,SYBR,,Unkn-09,,92,2156.8389601377,85,95,
,A09,SYBR,,Unkn-09,,92,2245.50373068887,80.5,95,
,A10,SYBR,,Unkn-17,,None,None,None,None,
,A11,SYBR,,Unkn-17,,None,None,None,None,
,A12,SYBR,,Unkn-17,,None,None,None,None,
,B01,SYBR,,Std-02,,88.5,3405.54409243246,85,91.5,
,B02,SYBR,,Std-02,,88.5,3244.04420288644,84,91.5,
,B03,SYBR,,Std-02,,88.5,3463.12393911214,84,91.5,
,B04,SYBR,,Unkn-02,,92,2349.59210139568,83,95,
,B05,SYBR,,Unkn-02,,92,2297.70316650709,84,95,
,B06,SYBR,,Unkn-02,,92,2256.1481604323,85,95,
,B07,SYBR,,Unkn-10,,92,2230.36795607668,80.5,95,
,B08,SYBR,,Unkn-10,,92,2272.46143807941,86,95,
,B09,SYBR,,Unkn-10,,92,2317.84306081211,85.5,95,
,B10,SYBR,,Unkn-18,,89.5,1363.20934093902,86,95,
,B11,SYBR,,Unkn-18,,91,1412.67889767925,85.5,95,
,B12,SYBR,,Unkn-18,,None,None,None,None,
,C01,SYBR,,Std-03,,88.5,3406.94584856477,82.5,91.5,
,C02,SYBR,,Std-03,,88,3173.70482372636,84,91.5,
,C03,SYBR,,Std-03,,88,3350.36943695812,84,91.5,
,C04,SYBR,,Unkn-03,,91.5,2165.21683883058,80,95,
,C05,SYBR,,Unkn-03,,91.5,2083.99654135326,82.5,95,
,C06,SYBR,,Unkn-03,,92,2058.2632715209,85,95,
,C07,SYBR,,Unkn-11,,92,2288.93690107804,86,95,
,C08,SYBR,,Unkn-11,,92,2241.01378261198,86.5,95,
,C09,SYBR,,Unkn-11,,92,2379.67138965344,85,95,
,C10,SYBR,,Unkn-19,,None,None,None,None,
,C11,SYBR,,Unkn-19,,90.5,1253.49657808275,86.5,95,
,C12,SYBR,,Unkn-19,,None,None,None,None,
,D01,SYBR,,Std-04,,88,3174.6856967542,84,95,
,D02,SYBR,,Std-04,,88,3198.27771607199,84,95,
,D03,SYBR,,Std-04,,88,3304.73592382447,84,94,
,D04,SYBR,,Unkn-04,,92,2245.79161386402,80.5,95,
,D05,SYBR,,Unkn-04,,92,2391.08115320795,83,95,
,D06,SYBR,,Unkn-04,,92,2256.8247805322,83,95,
,D07,SYBR,,Unkn-12,,92,2200.52322003222,85.5,95,
,D08,SYBR,,Unkn-12,,91.5,2227.7824007519,84.5,95,
,D09,SYBR,,Unkn-12,,91.5,2247.05579927653,83,95,
,D10,SYBR,,Unkn-20,,89.5,1739.39847370352,84,95,
,D11,SYBR,,Unkn-20,,89.5,1448.06096152605,83.5,95,
,D12,SYBR,,Unkn-20,,91,2179.9769447907,83.5,95,
,E01,SYBR,,Std-05,,88,3188.91730784548,83.5,95,
,E02,SYBR,,Std-05,,88,3183.50014594272,83.5,95,
,E03,SYBR,,Std-05,,88,3080.54646976184,83.5,95,
,E04,SYBR,,Unkn-05,,92,2293.69985949656,83,95,
,E05,SYBR,,Unkn-05,,92,2304.89402251511,83,95,
,E06,SYBR,,Unkn-05,,92,2259.49418611294,82,95,
,E07,SYBR,,Unkn-13,,91,1799.47475496411,85,95,
,E08,SYBR,,Unkn-13,,91,1725.31842967696,85.5,95,
,E09,SYBR,,Unkn-13,,91,1800.23303535219,80.5,95,
,E10,SYBR,,Unkn-21,,89.5,1437.55529051778,83,95,
,E11,SYBR,,Unkn-21,,91,1377.8968060141,84,95,
,E12,SYBR,,Unkn-21,,90,1399.00483760327,86,95,
,F01,SYBR,,Std-06,,88,2551.53118806084,84,95,
,F02,SYBR,,Std-06,,88,2426.21038996054,80.5,95,
,F03,SYBR,,Std-06,,88,2629.5066293175,83.5,95,
,F04,SYBR,,Unkn-06,,92,2207.78780646028,83,95,
,F05,SYBR,,Unkn-06,,92,2292.3096057702,80,95,
,F06,SYBR,,Unkn-06,,92,2163.88644117269,81.5,95,
,F07,SYBR,,Unkn-14,,91,1720.4745019642,84.5,95,
,F08,SYBR,,Unkn-14,,91,1703.5901290114,81,95,
,F09,SYBR,,Unkn-14,,91,1724.55086909431,81,95,
,F10,SYBR,,Unkn-22,,91,1791.35231166578,83.5,95,
,F11,SYBR,,Unkn-22,,89.5,1411.15404545858,83.5,95,
,F12,SYBR,,Unkn-22,,91,1530.61990035382,84.5,95,
,G01,SYBR,,Std-07,,88.5,1846.66153929635,83.5,95,
,G02,SYBR,,Std-07,,88,1949.54247663197,83.5,95,
,G03,SYBR,,Std-07,,88.5,1762.35921553119,83,95,
,G04,SYBR,,Unkn-07,,92,2336.67264190751,83.5,95,
,G05,SYBR,,Unkn-07,,92,2302.14219473653,83,95,
,G06,SYBR,,Unkn-07,,92,2346.99173213098,83.5,95,
,G07,SYBR,,Unkn-15,,91,2006.5739717151,82,95,
,G08,SYBR,,Unkn-15,,91,1890.4814210324,82,95,
,G09,SYBR,,Unkn-15,,91,1895.74879575255,85.5,95,
,G10,SYBR,,Unkn-23,,90.5,1498.27347203779,83.5,95,
,G11,SYBR,,Unkn-23,,90,2046.84307478533,85.5,95,
,G12,SYBR,,Unkn-23,,None,None,None,None,
,H01,SYBR,,NTC,,90.5,1851.95229694742,80,95,
,H02,SYBR,,NTC,,91,1828.76100067545,80.5,95,
,H03,SYBR,,NTC,,90.5,1664.91834284176,82,95,
