,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Std-01,,7.04750125567342,365000000
,A02,SYBR,,Std-01,,7.17225567311595,365000000
,A03,SYBR,,Std-01,,7.10444322915463,365000000
,A04,SYBR,,Unkn-01,,23.0672446254675,21005.1422652531
,A05,SYBR,,Unkn-01,,23.2158921966596,19115.9763439868
,A06,SYBR,,Unkn-01,,23.2217024340876,19045.688337602
,A07,SYBR,,Unkn-09,,22.8599613704571,23955.1957893507
,A08,SYBR,,Unkn-09,,23.0671973832147,21005.7714138785
,A09,SYBR,,Unkn-09,,22.9256591248674,22977.8968201513
,A10,SYBR,,Unkn-17,,35.2090782207517,9.53126704780773
,A11,SYBR,,Unkn-17,,35.6153341435684,7.36700066564285
,A12,SYBR,,Unkn-17,,NaN,NaN
,B01,SYBR,,Std-02,,11.334568404262,36500000
,B02,SYBR,,Std-02,,10.9305492864913,36500000
,B03,SYBR,,Std-02,,11.2258696633232,36500000
,B04,SYBR,,Unkn-02,,22.6154372010023,27972.2799483814
,B05,SYBR,,Unkn-02,,22.6844550201862,26774.6780850869
,B06,SYBR,,Unkn-02,,22.7402770684081,25843.6600520065
,B07,SYBR,,Unkn-10,,23.7476778986229,13644.9750729925
,B08,SYBR,,Unkn-10,,23.9758931938868,11806.8799622356
,B09,SYBR,,Unkn-10,,23.7178486884952,13905.4813144395
,B10,SYBR,,Unkn-18,,34.7480995780942,12.7666840879957
,B11,SYBR,,Unkn-18,,35.0853856467553,10.3088111652745
,B12,SYBR,,Unkn-18,,35.9597577445362,5.92182962710245
,C01,SYBR,,Std-03,,15.0038237833988,3650000
,C02,SYBR,,Std-03,,14.8336284301377,3650000
,C03,SYBR,,Std-03,,15.0259365426706,3650000
,C04,SYBR,,Unkn-03,,23.249385280274,18714.3342270978
,C05,SYBR,,Unkn-03,,23.1899989032946,19432.3817894769
,C06,SYBR,,Unkn-03,,23.3030301942305,18088.5436803121
,C07,SYBR,,Unkn-11,,22.8200798550401,24568.624396537
,C08,SYBR,,Unkn-11,,22.8302425401451,24410.8336729313
,C09,SYBR,,Unkn-11,,22.5019252646427,30059.5614472562
,C10,SYBR,,Unkn-19,,34.7919125909959,12.4169371662705
,C11,SYBR,,Unkn-19,,34.9735778005314,11.0660887356707
,C12,SYBR,,Unkn-19,,35.9336860187654,6.02052811372403
,D01,SYBR,,Std-04,,20.9289798353404,365000
,D02,SYBR,,Std-04,,19.7935157863849,365000
,D03,SYBR,,Std-04,,18.814742851458,365000
,D04,SYBR,,Unkn-04,,23.2568972246802,18625.4174944053
,D05,SYBR,,Unkn-04,,23.1987695035254,19324.6264083075
,D06,SYBR,,Unkn-04,,23.2351447926934,18884.0615456564
,D07,SYBR,,Unkn-12,,22.8975829425814,23390.5734550553
,D08,SYBR,,Unkn-12,,23.1239907220961,20262.870007441
,D09,SYBR,,Unkn-12,,23.013848634531,21728.405945494
,D10,SYBR,,Unkn-20,,34.5873996014752,14.1359762327406
,D11,SYBR,,Unkn-20,,34.8241899791052,12.1654202020894
,D12,SYBR,,Unkn-20,,32.7429343643265,45.5184353312426
,E01,SYBR,,Std-05,,22.5672350362573,36500
,E02,SYBR,,Std-05,,21.9200786699661,36500
,E03,SYBR,,Std-05,,22.5255021658155,36500
,E04,SYBR,,Unkn-05,,22.5979446476498,28284.2278371177
,E05,SYBR,,Unkn-05,,22.7564299013967,25580.3476270269
,E06,SYBR,,Unkn-05,,22.7287046506563,26033.9705794707
,E07,SYBR,,Unkn-13,,23.9367499112459,12103.5563495365
,E08,SYBR,,Unkn-13,,24.0134262957456,11529.2392656211
,E09,SYBR,,Unkn-13,,23.9407541726255,12072.8679118771
