,Well,Fluor,Target,Content,Sample,Melt Temp
,A01,SYBR,,Std-01,,88.5
,A02,SYBR,,Std-01,,88.5
,A03,SYBR,,Std-01,,88.5
,A04,SYBR,,Unkn-01,,91.5
,A05,SYBR,,Unkn-01,,91.5
,A06,SYBR,,Unkn-01,,91.5
,A07,SYBR,,Unkn-09,,91.5
,A08,SYBR,,Unkn-09,,91.5
,A09,SYBR,,Unkn-09,,91.5
,A10,SYBR,,Unkn-17,,90
,A11,SYBR,,Unkn-17,,90
,A12,SYBR,,Unkn-17,,90.5
,B01,SYBR,,Std-02,,88.5
,B02,SYBR,,Std-02,,88.5
,B03,SYBR,,Std-02,,88.5
,B04,SYBR,,Unkn-02,,91
,B05,SYBR,,Unkn-02,,91
,B06,SYBR,,Unkn-02,,91
,B07,SYBR,,Unkn-10,,90.5
,B08,SYBR,,Unkn-10,,90.5
,B09,SYBR,,Unkn-10,,90.5
,B10,SYBR,,Unkn-18,,91.5
,B11,SYBR,,Unkn-18,,91.5
,B12,SYBR,,Unkn-18,,91.5
,C01,SYBR,,Std-03,,88.5
,C02,SYBR,,Std-03,,88.5
,C03,SYBR,,Std-03,,88
,C04,SYBR,,Unkn-03,,91.5
,C05,SYBR,,Unkn-03,,91.5
,C06,SYBR,,Unkn-03,,91.5
,C07,SYBR,,Unkn-11,,90.5
,C08,SYBR,,Unkn-11,,90.5
,C09,SYBR,,Unkn-11,,90.5
,C10,SYBR,,Unkn-19,,92
,C11,SYBR,,Unkn-19,,92
,C12,SYBR,,Unkn-19,,92
,D01,SYBR,,Std-04,,88.5
,D02,SYBR,,Std-04,,88
,D03,SYBR,,Std-04,,88
,D04,SYBR,,Unkn-04,,90.5
,D05,SYBR,,Unkn-04,,90.5
,D06,SYBR,,Unkn-04,,90.5
,D07,SYBR,,Unkn-12,,91
,D08,SYBR,,Unkn-12,,91
,D09,SYBR,,Unkn-12,,91
,D10,SYBR,,Unkn-20,,92
,D11,SYBR,,Unkn-20,,92
,D12,SYBR,,Unkn-20,,92
,E01,SYBR,,Std-05,,88
,E02,SYBR,,Std-05,,88
,E03,SYBR,,Std-05,,88
,E04,SYBR,,Unkn-05,,90.5
,E05,SYBR,,Unkn-05,,90.5
,E06,SYBR,,Unkn-05,,90.5
,E07,SYBR,,Unkn-13,,92
,E08,SYBR,,Unkn-13,,92
,E09,SYBR,,Unkn-13,,91.5
,E10,SYBR,,Unkn-21,,92
,E11,SYBR,,Unkn-21,,92
,E12,SYBR,,Unkn-21,,92
,F01,SYBR,,Std-06,,88
,F02,SYBR,,Std-06,,88
,F03,SYBR,,Std-06,,88
,F04,SYBR,,Unkn-06,,91.5
,F05,SYBR,,Unkn-06,,91
,F06,SYBR,,Unkn-06,,91
,F07,SYBR,,Unkn-14,,91.5
,F08,SYBR,,Unkn-14,,91.5
,F09,SYBR,,Unkn-14,,91.5
,F10,SYBR,,Unkn-22,,89.5
,F11,SYBR,,Unkn-22,,89.5
,F12,SYBR,,Unkn-22,,90
,G01,SYBR,,Std-07,,88.5
,G02,SYBR,,Std-07,,88
,G03,SYBR,,Std-07,,88
,G04,SYBR,,Unkn-07,,91.5
,G05,SYBR,,Unkn-07,,91.5
,G06,SYBR,,Unkn-07,,91.5
,G07,SYBR,,Unkn-15,,91.5
,G08,SYBR,,Unkn-15,,91.5
,G09,SYBR,,Unkn-15,,91.5
,G10,SYBR,,Unkn-23,,90
,G11,SYBR,,Unkn-23,,90
,G12,SYBR,,Unkn-23,,90
,H01,SYBR,,NTC,,90.5
,H02,SYBR,,NTC,,91
,H03,SYBR,,NTC,,90.5
,H04,SYBR,,Unkn-08,,91
,H05,SYBR,,Unkn-08,,91
,H06,SYBR,,Unkn-08,,91
,H07,SYBR,,Unkn-16,,90.5
,H08,SYBR,,Unkn-16,,90
,H09,SYBR,,Unkn-16,,90.5
,H10,SYBR,,Unkn-24,,91.5
,H11,SYBR,,Unkn-24,,91.5
,H12,SYBR,,Unkn-24,,91
