,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Std-1,Std-1,Std-1,Unkn-1,Unkn-1,Unkn-1,Unkn-9,Unkn-9,Unkn-9,Unkn-17,Unkn-17,Unkn-17
A,Sample,,,,,,,,,,,,
A,Cq,7.71269406398927,7.86078811671893,7.84269094854722,24.6581285778486,25.6681425233503,25.085549306842,24.1678400760711,25.2551438206873,25.1284682872497,25.0044745645323,24.37914547562,24.242869964803
A,copy number,365000000,365000000,365000000,4795.24423762272,2430.4290677221,3596.81145696069,6669.20183138965,3208.9420140589,3494.43264851373,3798.4625558272,5785.35570290663,6340.88680636395
B,Content,Std-2,Std-2,Std-2,Unkn-2,Unkn-2,Unkn-2,Unkn-10,Unkn-10,Unkn-10,Unkn-18,Unkn-18,Unkn-18
B,Sample,,,,,,,,,,,,
B,Cq,11.4110945795383,11.3247054611088,11.326956086613,24.3239456742562,24.2017382283604,24.3914681545241,23.9891605759914,24.7233079544506,24.5280519653107,23.322688551856,23.1459570138541,23.8069819766865
B,copy number,36500000,36500000,36500000,6004.26070717706,6518.81660880354,5737.58798430643,7521.15107994302,4589.49824528622,5233.82669640641,11776.8342883405,13263.856607225,8501.92377877754
C,Content,Std-3,Std-3,Std-3,Unkn-3,Unkn-3,Unkn-3,Unkn-11,Unkn-11,Unkn-11,Unkn-19,Unkn-19,Unkn-19
C,Sample,,,,,,,,,,,,
C,Cq,14.88270058378,14.6429501406468,14.8311824919154,25.141586728138,24.9619587582437,23.8187809248618,24.6527809676468,23.9813174203045,23.908566390675,23.6778793511989,23.6854308236887,23.9625549588286
C,copy number,3650000,3650000,3650000,3463.7253152012,3908.68831104476,8434.6979420463,4812.52848253471,7560.94529619057,7940.24804813404,9273.44738900161,9226.45057046557,7656.99773942132
D,Content,Std-4,Std-4,Std-4,Unkn-4,Unkn-4,Unkn-4,Unkn-12,Unkn-12,Unkn-12,Unkn-20,Unkn-20,Unkn-20
D,Sample,,,,,,,,,,,,
D,Cq,18.5568103710691,18.2295784894201,18.6304264286008,23.9268555523245,23.5653308390721,23.9384167878564,23.2664388505824,24.0016165502815,24.0325058358634,23.3697889067844,23.2608370817804,23.4580644998184
D,copy number,365000,365000,365000,7843.13961251585,10002.9495361629,7782.36746337382,12231.0804259188,7458.38256265365,7304.97534378889,11409.4776210644,12277.2660795476,10751.5600132362
E,Content,Std-5,Std-5,Std-5,Unkn-5,Unkn-5,Unkn-5,Unkn-13,Unkn-13,Unkn-13,Unkn-21,Unkn-21,Unkn-21
E,Sample,,,,,,,,,,,,
E,Cq,21.734352830925,21.9361030085035,21.7626030632785,21.8718788078174,21.6418754841479,23.7111878156799,21.3870097368566,23.7981508877226,23.6193814739431,24.5199363745081,24.7184860737887,25.0359806594767
E,copy number,36500,36500,36500,31257.7434762551,36489.2538272035,9067.93551019909,43314.8868767804,8552.59026038658,9645.71422799007,5262.48326100597,4604.4119228299,3718.79052217376
F,Content,Std-6,Std-6,Std-6,Unkn-6,Unkn-6,Unkn-6,Unkn-14,Unkn-14,Unkn-14,Unkn-22,Unkn-22,Unkn-22
F,Sample,,,,,,,,,,,,
F,Cq,24.7473349517152,25.0104603072312,25.2208992887404,23.1691368535901,23.2046817903901,24.0522208984577,23.005073186546,23.9940664656047,24.0584667727292,24.1798455678538,24.1898617354498,24.3500563200774
F,copy number,3650,3650,3650,13058.6003214015,12750.0045348276,7208.71705807964,14582.6452381885,7496.3663644062,7178.48710861458,6615.54816613483,6571.11540709992,5899.70051712655
G,Content,Std-7,Std-7,Std-7,Unkn-7,Unkn-7,Unkn-7,Unkn-15,Unkn-15,Unkn-15,Unkn-23,Unkn-23,Unkn-23
G,Sample,,,,,,,,,,,,
G,Cq,28.6222849008952,27.9085039090534,28.4069069211474,23.4604268121022,23.8982886945472,23.184423048353,23.5337796424506,23.0674830671182,23.2995694899034,24.0188353419373,23.9013951169965,24.323826920443
G,copy number,365,365,365,10734.4849581608,7995.34539668486,12924.9829209426,10217.5645672519,13982.9897079783,11961.4545139477,7372.47478442423,7978.65208948208,6004.74046588576
H,Content,NTC,NTC,NTC,Unkn-8,Unkn-8,Unkn-8,Unkn-16,Unkn-16,Unkn-16,Unkn-24,Unkn-24,Unkn-24
H,Sample,,,,,,,,,,,,
H,Cq,33.4296747921859,33.2174395531189,33.0619849539777,22.6461476178779,23.3626726844307,25.2852253026933,23.3021277216862,24.0547363349365,35.5296124194311,24.5652014528951,35.573007645501,24.5692415745776
H,copy number,NaN,NaN,NaN,18565.8555941405,11464.236403497,3144.64778513967,11940.8838367704,7196.52709779671,3.19260202363952,5104.62913662171,3.10073481977062,5090.77220988563
